Nome: MORRINHOS
Codigo Estacao: A003
Latitude: -17.745066
Longitude: -49.101698
Altitude: 751.09
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;926.041667;18.370833;31.9;25.354167;19.1;67.375;43;8.5;1.741667;
2020-01-02;0;926.4625;19.170833;29.1;24.195833;21.6;73.916667;59;12.1;2.625;
2020-01-03;0;926.591667;19.1625;31;24.904167;21.3;71.791667;47;9.7;2.454167;
2020-01-04;31.6;926.058333;19.379167;26.6;22.116667;19.4;84.75;64;8.8;2.258333;
2020-01-05;15.2;925.304167;19.366667;30;24.145833;20.4;76.166667;46;9.8;2.85;
2020-01-06;4;926.725;19.683333;29.2;24.345833;21.5;75.916667;56;10.9;2.575;
2020-01-07;4;928.316667;19.833333;31.1;25.054167;21.8;73.75;48;11.1;2.6125;
2020-01-08;3;928.645833;20.104167;31.3;24.529167;21.2;77.291667;50;10.3;2.029167;
2020-01-09;4.4;929.6125;19.908333;26.8;23.245833;20.9;82.083333;59;11.7;1.679167;
2020-01-10;0;928.8;19.725;32.1;25.270833;20.8;73.791667;41;6;1.070833;
2020-01-11;0;927.8625;20.358333;33.3;26.020833;21.4;72.833333;44;6.4;1.183333;
2020-01-12;0;928.9;18.479167;33.9;26.275;19.9;65.875;31;5.9;1.025;
2020-01-13;0;929.041667;18.5625;34.6;26.275;19.6;65.666667;31;6.1;1.104167;
2020-01-14;0;928.825;19.2625;33.7;26.141667;19.7;68;37;10.5;.9;
2020-01-15;0;928.0875;19.079167;34.5;26.791667;20.7;65.291667;32;7.3;1.104167;
2020-01-16;0;929.65;19.5875;35.2;26.345833;20.6;69.75;33;6.5;.695833;
2020-01-17;.6;930.958333;20.745833;28.6;23.608333;22.1;84.208333;62;9.6;1.854167;
2020-01-18;25.2;930.891667;19.833333;31.4;24.225;19.8;78.5;48;13.6;1.708333;
2020-01-19;27;929.1;19.4625;31.5;24.304167;19.4;76.416667;46;11.5;1.233333;
2020-01-20;0;927.183333;20.25;31.4;25.075;21.9;76.041667;40;8.6;1.616667;
2020-01-21;0;924.841667;19.925;31.5;24.879167;21.4;75.166667;49;9.2;2.3875;
2020-01-22;3.4;924.1125;20.254167;28.7;24.375;22.6;78.291667;59;9.3;3.158333;
2020-01-23;9.6;923.233333;20.058333;28.3;23.129167;21;83.083333;63;12.5;3.0875;
2020-01-24;6.8;922.966667;20.120833;27.5;23.975;22.2;79.208333;61;13.3;3.775;
2020-01-25;40.8;925.916667;19.858333;28.7;22.870833;20;83.666667;58;9.9;1.629167;
