Nome: ITAPACI
Codigo Estacao: A015
Latitude: -14.97972221
Longitude: -49.53999999
Altitude: 551.16
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.54;
2020-01-01;0200;-3.536;
2020-01-01;0300;-3.389;
2020-01-01;0400;-3.226;
2020-01-01;0500;-3.486;
2020-01-01;0600;-3.525;
2020-01-01;0700;-3.328;
2020-01-01;0800;-3.511;
2020-01-01;0900;-1.255;
2020-01-01;1000;235.704;
2020-01-01;1100;990.402;
2020-01-01;1200;1712.555;
2020-01-01;1300;2364.986;
2020-01-01;1400;2195.511;
2020-01-01;1500;3835.55;
2020-01-01;1600;3168.344;
2020-01-01;1700;2358.524;
2020-01-01;1800;2347.208;
2020-01-01;1900;1225.226;
2020-01-01;2000;1442.974;
2020-01-01;2100;327.337;
2020-01-01;2200;76.37;
2020-01-01;2300;-3.54;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.517;
2020-01-02;0200;-3.54;
2020-01-02;0300;-3.54;
2020-01-02;0400;-3.54;
2020-01-02;0500;-3.54;
2020-01-02;0600;-3.174;
2020-01-02;0700;-2.904;
2020-01-02;0800;-2.55;
2020-01-02;0900;-2.097;
2020-01-02;1000;224.367;
2020-01-02;1100;515.851;
2020-01-02;1200;779.014;
2020-01-02;1300;1915.698;
2020-01-02;1400;2462.393;
2020-01-02;1500;1264.943;
2020-01-02;1600;2237.645;
2020-01-02;1700;2612.82;
2020-01-02;1800;2047.577;
2020-01-02;1900;1788.633;
2020-01-02;2000;1259.14;
2020-01-02;2100;466.259;
2020-01-02;2200;97.09;
2020-01-02;2300;-3.1;
2020-01-03;0000;-3.28;
2020-01-03;0100;-3.253;
2020-01-03;0200;-3.54;
2020-01-03;0300;-3.54;
2020-01-03;0400;-3.54;
2020-01-03;0500;-3.273;
2020-01-03;0600;-3.29;
2020-01-03;0700;-3.279;
2020-01-03;0800;-3.157;
