Nome: JATAI
Codigo Estacao: A016
Latitude: -17.923622
Longitude: -51.717467
Altitude: 670.08
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.493;
2020-01-01;0100;-3.512;
2020-01-01;0200;-3.461;
2020-01-01;0300;-2.734;
2020-01-01;0400;-3.241;
2020-01-01;0500;-3.504;
2020-01-01;0600;-3.54;
2020-01-01;0700;-3.499;
2020-01-01;0800;-3.431;
2020-01-01;0900;-1.46;
2020-01-01;1000;218.095;
2020-01-01;1100;898.719;
2020-01-01;1200;1634.598;
2020-01-01;1300;2666.965;
2020-01-01;1400;2775.189;
2020-01-01;1500;2927.402;
2020-01-01;1600;3505.653;
2020-01-01;1700;2963.326;
2020-01-01;1800;3314.524;
2020-01-01;1900;2804.583;
2020-01-01;2000;2057.956;
2020-01-01;2100;537.392;
2020-01-01;2200;210.503;
2020-01-01;2300;-1.189;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.54;
2020-01-02;0200;-3.158;
2020-01-02;0300;-3.527;
2020-01-02;0400;-3.54;
2020-01-02;0500;-3.54;
2020-01-02;0600;-3.493;
2020-01-02;0700;-3.26;
2020-01-02;0800;-3.314;
2020-01-02;0900;-1.985;
2020-01-02;1000;75.572;
2020-01-02;1100;183.6;
2020-01-02;1200;475.187;
2020-01-02;1300;780.241;
2020-01-02;1400;838.109;
2020-01-02;1500;3678.625;
2020-01-02;1600;3645.448;
2020-01-02;1700;1135.54;
2020-01-02;1800;1356.154;
2020-01-02;1900;2846.916;
2020-01-02;2000;1371.661;
2020-01-02;2100;362.99;
2020-01-02;2200;82.279;
2020-01-02;2300;.274;
2020-01-03;0000;-3.54;
2020-01-03;0100;-3.54;
2020-01-03;0200;-3.54;
2020-01-03;0300;-3.54;
2020-01-03;0400;-3.54;
2020-01-03;0500;-3.54;
2020-01-03;0600;-3.54;
2020-01-03;0700;-3.529;
2020-01-03;0800;-3.502;
2020-01-03;0900;-1.625;
2020-01-03;1000;147.231;
2020-01-03;1100;1174.037;
2020-01-03;1200;1826.032;
2020-01-03;1300;2943.497;
2020-01-03;1400;3340.994;
2020-01-03;1500;2914.8;
2020-01-03;1600;3753.479;
2020-01-03;1700;1927.211;
2020-01-03;1800;3537.034;
2020-01-03;1900;2174.011;
2020-01-03;2000;1341.703;
2020-01-03;2100;746.709;
2020-01-03;2200;121.096;
2020-01-03;2300;-.041;
2020-01-04;0000;-3.54;
2020-01-04;0100;-3.368;
2020-01-04;0200;-3.523;
2020-01-04;0300;-2.9;
2020-01-04;0400;-2.97;
2020-01-04;0500;-3.54;
2020-01-04;0600;-3.54;
2020-01-04;0700;-3.419;
2020-01-04;0800;-1.894;
2020-01-04;0900;-.453;
2020-01-04;1000;250.27;
2020-01-04;1100;1088.758;
2020-01-04;1200;2138.865;
2020-01-04;1300;2794.694;
2020-01-04;1400;3415.67;
2020-01-04;1500;3484.208;
2020-01-04;1600;3225.394;
2020-01-04;1700;2927.757;
2020-01-04;1800;2385.236;
2020-01-04;1900;1941.2;
