Nome: PEIXE
Codigo Estacao: A018
Latitude: -12.015377
Longitude: -48.544517
Altitude: 250.87
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;6.4;981.525;22.179167;30.4;25.075;23.5;84.583333;58;7.5;.8875;
2020-01-02;12.6;982.120833;22.504167;29.5;24.591667;23.3;88.458333;66;9.5;.466667;
2020-01-03;9.2;983.066667;22.35;28.6;24.370833;22.3;88.75;70;6.5;.591667;
2020-01-04;20.6;982.908333;22.1875;29.8;24.908333;22.7;85.458333;61;10;1.358333;
2020-01-05;16.8;982.595833;22.3;27.9;24.570833;22.4;87.5;72;8.9;1.775;
2020-01-06;4;983.16087;21.643478;30.9;25.991304;23;78.217391;54;6.3;.982609;
2020-01-07;0;983.675;21.566667;32.7;26.566667;22.8;75.541667;48;7.4;.775;
2020-01-08;0;982.854167;22.1;33.8;26.995833;23.2;76.541667;46;7.8;.720833;
2020-01-09;2;983.295833;22.55;33.1;27.029167;23.5;78.125;51;6.9;1.566667;
2020-01-10;.2;981.970833;22.133333;34.1;27.65;22.6;74.625;39;9.7;.875;
2020-01-11;0;981.2875;22.666667;34.6;27.766667;24.5;75.333333;43;10.9;1.229167;
2020-01-12;2;982.670833;21.9625;34.1;27.841667;23;73;42;8.7;.779167;
2020-01-13;69;982.991667;22.083333;32.3;27.054167;22.1;75.833333;53;10.6;1.479167;
2020-01-14;0;982.041667;22.629167;34.5;28.125;23.5;74.125;45;6.3;.970833;
2020-01-15;0;980.770833;22.675;35.2;27.979167;24.2;74.875;46;6.7;.583333;
2020-01-16;0;982.366667;22.05;34.9;28.416667;23.4;70.625;40;7.9;.691667;
2020-01-17;0;983.479167;22.729167;33.9;27.866667;24.5;74.875;49;10.1;1.7125;
2020-01-18;0;982.829167;22.016667;35.7;28.233333;22.7;71.958333;38;5.3;.958333;
2020-01-19;0;981.883333;22.5375;33.8;28.4625;25.3;71.541667;47;8;.95;
2020-01-20;34.2;981.791667;22.5875;30.5;25.9625;22.1;82.458333;61;11;1.025;
2020-01-21;0;979.883333;22.325;33.8;27.133333;22.8;77.375;46;10.3;1.183333;
2020-01-22;67.6;980.745833;22.091667;28;24.291667;21.4;87.916667;70;9.8;1.045833;
2020-01-23;68.8;980.895833;22.325;29.5;24.275;21.9;89.083333;67;7.7;1.566667;
2020-01-24;38.8;981.7125;22.254167;27.1;23.95;22.9;90.25;79;13;2.216667;
2020-01-25;12.2;982.620833;22.766667;30.7;24.891667;23;88.458333;61;9.2;.670833;
2020-01-26;18.8;983.116667;22.508333;30.6;25.791667;22.8;83.166667;60;6.2;.741667;
2020-01-27;7;983.5;22.143478;29.7;25.491304;22.4;82.478261;60;9.3;1.6;
2020-01-28;1.4;984.295833;21.920833;29.8;24.725;22.9;85.041667;60;10.9;.420833;
2020-01-29;17.2;984.108333;21.8875;33.3;26.125;21.8;79.291667;45;10.9;1.129167;
2020-01-30;4.4;984.0625;21.658333;34.9;27.095833;21.6;74.708333;43;5.9;.6625;
2020-01-31;0;983.379167;21.2875;36.1;28.795833;24.3;67.5;32;9.6;.770833;
2020-02-01;0;983.104167;21.054167;35.4;27.983333;22.3;69.208333;37;4.5;.329167;
2020-02-02;0;982.895833;21.6;34.8;27.104167;22.7;74;42;8.6;.733333;
2020-02-03;34.6;983.382609;21.1;32.9;26.126087;21;76.043478;45;8.1;.943478;
2020-02-04;2;984.175;21.658333;30.8;25.6;21.9;79.583333;55;7.5;1.05;
2020-02-05;.4;983.745833;22.3375;31.9;25.5375;23.7;83.375;52;10.1;.754167;
2020-02-06;4;983.916667;21.908333;30.6;25.429167;23.1;81.875;53;7.7;.983333;
2020-02-07;40.8;982.404167;21.8;27;23.916667;22.3;88.208333;73;10.9;.816667;
2020-02-08;20.4;983.275;21.791667;26.3;23.583333;21.9;89.75;76;13.7;.908333;
2020-02-09;61.2;985.975;20.8375;29.5;24.15;21;82.875;60;6;.966667;
2020-02-10;.4;985.283333;21.670833;33.6;26.983333;22.3;74.875;43;4.9;.716667;
2020-02-11;0;982.704167;23.0125;35.5;28.358333;24.2;74.916667;41;5.2;.766667;
2020-02-12;25.2;982.220833;22.991667;29.8;25.9625;21.8;84;69;11.3;1.166667;
2020-02-13;0;982.704167;22.3375;33.2;26.65;22.7;78.583333;50;6.4;.879167;
2020-02-14;0;981.995833;22.5875;34.5;26.920833;22.5;78.791667;45;7.9;.583333;
2020-02-15;.2;981.952174;22.273913;33.2;26.126087;23;81.043478;50;11.4;1.026087;
2020-02-16;2.2;982.575;22.458333;33.5;27.0125;23.2;78.125;48;4.8;.2625;
2020-02-17;3.8;982.279167;22.6875;31.2;26.2625;22.6;81.5;58;10.1;.908333;
2020-02-18;0;982.133333;22.466667;32.1;26.25;24;80.5;53;8.6;1.020833;
2020-02-19;18.2;980.904167;22.454167;33.7;26.504167;22.5;79.875;51;6;.633333;
2020-02-20;4;981.847826;21.321739;30.8;26.021739;22.3;76.347826;54;8.8;1.317391;
2020-02-21;0;982.5625;21.875;32.8;26.304167;23.6;78.25;49;15;.758333;
2020-02-22;2.2;983.716667;22.433333;30.7;25.595833;23;83.375;58;8;.679167;
2020-02-23;.2;983.741667;22.033333;34.1;26.954167;22.6;76.916667;45;11.8;.5625;
2020-02-24;1;982.830435;22.443478;33.6;26.291304;23.3;80.695652;50;8.6;1.113043;
2020-02-25;4.8;982.433333;22.583333;31.1;26.0875;23.2;81.958333;60;8.6;.595833;
2020-02-26;1.4;982.208696;23.3;32.4;27.026087;24.1;81;56;6.8;.752174;
2020-02-27;0;981.725;22.345833;34.3;27.725;22.7;75.208333;41;4.8;.520833;
2020-02-28;16.4;983.675;22.675;31.6;26.433333;22.3;80.583333;50;13.2;1.2625;
2020-02-29;0;984.8375;22.766667;32.4;25.45;23;85.916667;57;9.5;1.091667;
2020-03-01;56.8;983.891667;21.479167;32.1;25.991667;21.7;77.75;54;7.3;.733333;
2020-03-02;null;null;null;null;null;23.8;null;78;3.3;null;
2020-03-03;null;null;null;null;null;null;null;null;null;null;
2020-03-04;null;null;null;null;null;null;null;null;null;null;
2020-03-05;null;null;null;null;null;null;null;null;null;null;
2020-03-06;null;null;null;null;null;null;null;null;null;null;
2020-03-07;null;null;null;null;null;null;null;66;0;null;
2020-03-08;null;982.433333;22.9875;27.4;24.583333;23.9;91;79;0;0;
2020-03-09;3;983.65;22.816667;31.3;25.691667;23.1;84.916667;57;0;0;
2020-03-10;1.2;983.108333;23.245833;30.4;25.4125;24.1;88.041667;63;0;0;
2020-03-11;11;981.920833;22.604167;32.1;26.254167;23.6;81.333333;53;0;0;
2020-03-12;8.2;982.920833;22.075;29.7;25.004167;22.7;84.5;59;0;0;
2020-03-13;.2;982.4875;21.333333;33.4;26.579167;21.8;74.916667;46;0;0;
2020-03-14;0;982.945833;22.245833;33.1;26.85;23.7;76.875;50;0;0;
2020-03-15;3.8;983.379167;22.520833;31.3;25.183333;23;85.875;55;0;0;
2020-03-16;16.6;984.379167;21.879167;30.9;24.933333;22.6;83.916667;55;0;0;
2020-03-17;1.4;983.454167;22.5;32.8;26.295833;23.2;80.916667;50;0;0;
2020-03-18;.4;982.725;22.829167;33.3;27.270833;23.6;77.875;52;0;0;
2020-03-19;0;981.670833;22.620833;32.7;25.970833;22.9;83.25;54;0;0;
2020-03-20;6.8;982.195833;22.454167;27.8;24.529167;23.1;88.583333;75;0;0;
2020-03-21;.4;983.166667;22.066667;30.1;24.6625;23.1;86.041667;59;0;0;
2020-03-22;3.4;983.9375;21.85;32.1;25.741667;21.4;80.875;52;0;0;
2020-03-23;0;983.35;22.495833;34.3;27.816667;22.8;75;43;0;0;
2020-03-24;.2;983.2625;22.658333;28.7;25.029167;23.8;87.083333;66;0;0;
2020-03-25;21.8;983.091667;21.679167;29.2;24.445833;21.5;85.125;64;0;0;
2020-03-26;1.6;982.104167;21.8875;31.2;25.529167;22.6;81.541667;52;0;0;
2020-03-27;3.4;981.3875;22.291667;31.5;26.091667;22.9;80.833333;53;0;0;
2020-03-28;0;982.4875;22.533333;33.1;27.2125;23.4;77.166667;48;0;0;
2020-03-29;0;983.004167;21.504167;33.4;27.733333;23.1;71.666667;39;0;0;
2020-03-30;0;982.6;21.315;33.6;null;23.4;69.2;45;0;0;
2020-03-31;null;981.113043;21.452174;34.2;27.965217;22.6;69.913043;42;0;0;
2020-04-01;0;981.6;22.270833;34.6;27.35;22.7;76.25;44;0;0;
2020-04-02;2.8;983.429167;22.508333;33.7;27.945833;22.7;74.583333;44;0;0;
2020-04-03;0;982.195833;22.5125;35.1;28.545833;23.2;72.708333;40;0;0;
2020-04-04;0;981.3125;22.408333;35.5;28.5125;22.8;72.625;38;0;0;
2020-04-05;0;981.9375;22.4;35.9;28.870833;22.9;71.166667;41;0;0;
2020-04-06;6.2;982.775;23.591667;36.3;28.608333;24.3;76.208333;42;0;0;
2020-04-07;.2;983.445833;23.020833;33.2;27.466667;24.1;77.833333;53;0;0;
2020-04-08;0;982.191667;22.979167;35.2;28.108333;23.7;75.708333;45;0;0;
2020-04-09;.4;981.7625;22.8125;34;28.066667;24.1;74.916667;50;0;0;
2020-04-10;0;982.433333;22.9875;32.6;26.841667;23.8;80.541667;50;0;0;
2020-04-11;.2;983.083333;22.854167;32.7;25.845833;24;84.541667;54;0;0;
2020-04-12;8.6;984.129167;22.3125;32.1;26.154167;23.1;80.75;55;0;0;
2020-04-13;.2;982.6;21.958333;33.1;27.2375;23.9;74.625;48;0;0;
2020-04-14;0;981.570833;22.554167;30.5;25.625;24;83.708333;60;0;0;
2020-04-15;63;983.025;22.183333;25.9;23.729167;22.2;91.291667;82;0;0;
2020-04-16;11.4;985.433333;22.241667;30.7;25.404167;22.2;83.583333;59;0;0;
2020-04-17;0;985.254167;22.691667;33;26.308333;23.9;81.5;53;0;0;
2020-04-18;17.6;985.875;22.041667;29.8;24.6875;21.2;85.875;64;0;0;
2020-04-19;.2;985.2625;22.2625;31.7;25.125;22.5;84.791667;58;0;0;
2020-04-20;1.8;984.779167;22.25;31.5;26.104167;23;80.791667;55;0;0;
2020-04-21;5;984.65;22.1;29.6;25.166667;22.9;83.833333;61;0;0;
2020-04-22;2;983.9125;21.4875;30.2;25.025;21.2;81.958333;54;0;0;
2020-04-23;0;983.179167;22.608333;30.5;25.033333;23.4;86.875;62;0;0;
2020-04-24;8.8;983.9125;22.175;32.3;25.258333;22.4;84.25;52;0;0;
2020-04-25;22;984.566667;21.1625;32.3;26.35;22;75.5;46;0;0;
2020-04-26;0;985.2125;20.191667;32;26.35;22;71.041667;45;0;0;
2020-04-27;0;985.533333;20.220833;32.4;26.191667;21.1;71.666667;48;0;0;
