Nome: GOIANESIA
Codigo Estacao: A022
Latitude: -15.22027777
Longitude: -48.98999999
Altitude: 667.01
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.6;
2020-01-01;0100;-2.841;
2020-01-01;0200;-3.446;
2020-01-01;0300;-3.05;
2020-01-01;0400;-2.985;
2020-01-01;0500;-3.494;
2020-01-01;0600;-3.417;
2020-01-01;0700;-3.107;
2020-01-01;0800;-3.264;
2020-01-01;0900;2.147;
2020-01-01;1000;302.4;
2020-01-01;1100;1152.18;
2020-01-01;1200;1991.304;
2020-01-01;1300;1543.791;
2020-01-01;1400;2398.595;
2020-01-01;1500;2756.914;
2020-01-01;1600;2920.161;
2020-01-01;1700;2141.041;
2020-01-01;1800;1019.872;
2020-01-01;1900;null;
2020-01-01;2000;534.325;
2020-01-01;2100;471.249;
2020-01-01;2200;188.738;
2020-01-01;2300;-3.6;
2020-01-02;0000;-3.583;
2020-01-02;0100;-3.491;
2020-01-02;0200;-3.474;
2020-01-02;0300;-3.561;
2020-01-02;0400;-3.591;
2020-01-02;0500;-3.598;
2020-01-02;0600;-3.6;
2020-01-02;0700;-3.596;
2020-01-02;0800;-3.566;
2020-01-02;0900;-1.356;
2020-01-02;1000;89.861;
2020-01-02;1100;479.017;
2020-01-02;1200;913.365;
2020-01-02;1300;1421.595;
2020-01-02;1400;1186.114;
2020-01-02;1500;1449.624;
2020-01-02;1600;null;
2020-01-02;1700;1883.201;
2020-01-02;1800;1036.306;
2020-01-02;1900;1062.669;
2020-01-02;2000;null;
2020-01-02;2100;null;
2020-01-02;2200;74.493;
2020-01-02;2300;-2.709;
2020-01-03;0000;-1.762;
2020-01-03;0100;-3.523;
2020-01-03;0200;-3.308;
2020-01-03;0300;-3.555;
2020-01-03;0400;-3.48;
2020-01-03;0500;-3.577;
2020-01-03;0600;-2.76;
2020-01-03;0700;-1.598;
2020-01-03;0800;null;
2020-01-03;0900;null;
2020-01-03;1000;null;
2020-01-03;1100;663.981;
2020-01-03;1200;1619.11;
2020-01-03;1300;1239.302;
2020-01-03;1400;1900.677;
2020-01-03;1500;2172.21;
2020-01-03;1600;null;
2020-01-03;1700;2109.374;
2020-01-03;1800;null;
2020-01-03;1900;null;
2020-01-03;2000;null;
2020-01-03;2100;null;
2020-01-03;2200;null;
2020-01-03;2300;-3.578;
2020-01-04;0000;-3.6;
2020-01-04;0100;null;
2020-01-04;0200;-3.564;
2020-01-04;0300;-3.512;
2020-01-04;0400;-3.555;
2020-01-04;0500;-3.157;
2020-01-04;0600;-2.579;
2020-01-04;0700;-2.658;
2020-01-04;0800;-2.88;
2020-01-04;0900;-.893;
2020-01-04;1000;95.074;
2020-01-04;1100;385.424;
2020-01-04;1200;852.887;
2020-01-04;1300;678.4;
2020-01-04;1400;1338.544;
2020-01-04;1500;1635.037;
2020-01-04;1600;2247.736;
2020-01-04;1700;1650.323;
2020-01-04;1800;1640.907;
2020-01-04;1900;1333.354;
2020-01-04;2000;953.896;
2020-01-04;2100;642.526;
2020-01-04;2200;68.297;
2020-01-04;2300;-3.597;
2020-01-05;0000;-2.893;
2020-01-05;0100;-2.148;
2020-01-05;0200;-3.363;
2020-01-05;0300;-2.848;
2020-01-05;0400;-2.605;
