Nome: CAIAPONIA
Codigo Estacao: A023
Latitude: -16.96694443
Longitude: -51.81749999
Altitude: 740.1
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;927.566667;19.8;31.2;23.4125;20.1;81.166667;50;11.4;1.25;
2020-01-02;19.4;927.941667;20.383333;29.5;23.9125;21.1;81.875;58;7;1.35;
2020-01-03;1;928.204167;20.458333;29.4;23.375;20.8;84.375;57;10.2;1.925;
2020-01-04;4.8;926.720833;20.591667;30.3;24.0625;21.6;81.75;54;8.7;1.658333;
2020-01-05;3.6;926.475;19.654167;30.8;25.0875;21.7;74.333333;43;7.4;1.995833;
2020-01-06;30.6;927.7375;20.7;28.6;23.625;21.3;84.083333;60;11.1;2.3875;
2020-01-07;30.6;929.5625;20.8625;28.3;22.883333;20.8;88.5;68;8.3;1.391667;
2020-01-08;1.4;930.020833;20.545833;31.2;23.791667;21;82.958333;49;10.6;1.4625;
2020-01-09;0;930.983333;20.079167;28.3;22.891667;19.9;84.583333;64;7.4;1.129167;
2020-01-10;.2;929.941667;20.3;31.4;25.1125;20.4;76.625;48;6.6;1.05;
2020-01-11;.2;929.008333;20.591667;33.5;25.829167;21;75.166667;42;10.3;1.241667;
2020-01-12;.2;930.045833;20.233333;32.2;26.5;21.1;70.708333;41;7.9;1.629167;
