Nome: MINEIROS
Codigo Estacao: A026
Latitude: -17.45472222
Longitude: -52.60111111
Altitude: 862
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.6;
2020-01-01;0100;-3.195;
2020-01-01;0200;-3.011;
2020-01-01;0300;-3.214;
2020-01-01;0400;-3.16;
2020-01-01;0500;-3.6;
2020-01-01;0600;-3.6;
2020-01-01;0700;-2.883;
2020-01-01;0800;-2.804;
2020-01-01;0900;-2.21;
2020-01-01;1000;195.063;
2020-01-01;1100;645.579;
2020-01-01;1200;1748.946;
2020-01-01;1300;2413.098;
2020-01-01;1400;3183.348;
2020-01-01;1500;3065.235;
2020-01-01;1600;1434.585;
2020-01-01;1700;1779.185;
2020-01-01;1800;3181.446;
2020-01-01;1900;2677.255;
2020-01-01;2000;922.634;
2020-01-01;2100;360.252;
2020-01-01;2200;179.386;
2020-01-01;2300;-.295;
2020-01-02;0000;-3.326;
2020-01-02;0100;-3.6;
2020-01-02;0200;-3.6;
2020-01-02;0300;-3.6;
2020-01-02;0400;-3.6;
2020-01-02;0500;-3.6;
2020-01-02;0600;-3.6;
2020-01-02;0700;-3.367;
2020-01-02;0800;-3.526;
2020-01-02;0900;-2.293;
2020-01-02;1000;60.727;
2020-01-02;1100;259.786;
2020-01-02;1200;1360.239;
2020-01-02;1300;2694.391;
2020-01-02;1400;2489.81;
2020-01-02;1500;2791.784;
2020-01-02;1600;3115.263;
2020-01-02;1700;3232.103;
2020-01-02;1800;3153.708;
2020-01-02;1900;739.524;
2020-01-02;2000;272.494;
2020-01-02;2100;322.553;
2020-01-02;2200;170.498;
2020-01-02;2300;-1.622;
2020-01-03;0000;-3.488;
2020-01-03;0100;-3.6;
2020-01-03;0200;-3.6;
2020-01-03;0300;-3.6;
2020-01-03;0400;-3.467;
2020-01-03;0500;-3.411;
2020-01-03;0600;-3.568;
2020-01-03;0700;-3.584;
2020-01-03;0800;-3.6;
2020-01-03;0900;-2.725;
2020-01-03;1000;89.804;
2020-01-03;1100;465.053;
2020-01-03;1200;1769.46;
2020-01-03;1300;2339.657;
2020-01-03;1400;3044.044;
2020-01-03;1500;3338.811;
2020-01-03;1600;3843.282;
