Nome: EDEIA
Codigo Estacao: A029
Latitude: -17.33694444
Longitude: -49.91472222
Altitude: 608
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.6;
2020-01-01;0100;-3.6;
2020-01-01;0200;-3.6;
2020-01-01;0300;-3.496;
2020-01-01;0400;-3.6;
2020-01-01;0500;-3.6;
2020-01-01;0600;-3.6;
2020-01-01;0700;-3.6;
2020-01-01;0800;-3.551;
2020-01-01;0900;5.811;
2020-01-01;1000;353.813;
2020-01-01;1100;1121.847;
2020-01-01;1200;1821.029;
2020-01-01;1300;1964.249;
2020-01-01;1400;3399.705;
2020-01-01;1500;3572.959;
2020-01-01;1600;3674.172;
2020-01-01;1700;3797.481;
2020-01-01;1800;3627.091;
2020-01-01;1900;2646.158;
2020-01-01;2000;1103.717;
2020-01-01;2100;642.085;
2020-01-01;2200;134.331;
2020-01-01;2300;-3.6;
2020-01-02;0000;-3.6;
2020-01-02;0100;-3.6;
2020-01-02;0200;-3.6;
2020-01-02;0300;-3.6;
2020-01-02;0400;-3.6;
2020-01-02;0500;-3.6;
2020-01-02;0600;-3.558;
2020-01-02;0700;-3.062;
2020-01-02;0800;-3.201;
2020-01-02;0900;-.256;
2020-01-02;1000;170.162;
2020-01-02;1100;404.133;
2020-01-02;1200;553.389;
2020-01-02;1300;1140.606;
2020-01-02;1400;1315.91;
2020-01-02;1500;1165.922;
2020-01-02;1600;914.79;
2020-01-02;1700;3182.357;
2020-01-02;1800;2856.527;
2020-01-02;1900;2524.373;
2020-01-02;2000;1334.644;
2020-01-02;2100;518.987;
2020-01-02;2200;205.535;
2020-01-02;2300;-3.6;
2020-01-03;0000;-3.6;
2020-01-03;0100;-3.599;
2020-01-03;0200;-3.444;
2020-01-03;0300;-2.328;
2020-01-03;0400;-3.194;
2020-01-03;0500;-1.89;
2020-01-03;0600;-1.823;
2020-01-03;0700;-2.696;
2020-01-03;0800;-3.525;
2020-01-03;0900;2.443;
2020-01-03;1000;227.582;
2020-01-03;1100;646.208;
2020-01-03;1200;952.04;
2020-01-03;1300;2124.18;
2020-01-03;1400;2803.721;
2020-01-03;1500;2767.907;
2020-01-03;1600;3054.112;
2020-01-03;1700;3299.227;
2020-01-03;1800;1703.217;
2020-01-03;1900;2541.04;
2020-01-03;2000;975.252;
2020-01-03;2100;477.693;
2020-01-03;2200;180.864;
2020-01-03;2300;-1.665;
2020-01-04;0000;-3.51;
2020-01-04;0100;-3.517;
2020-01-04;0200;-3.451;
2020-01-04;0300;-3.543;
2020-01-04;0400;-3.304;
2020-01-04;0500;-3.057;
2020-01-04;0600;-2.845;
2020-01-04;0700;-2.28;
2020-01-04;0800;-2.644;
2020-01-04;0900;-.836;
2020-01-04;1000;85.628;
