Nome: SAO MIGUEL DO ARAGUAIA
Codigo Estacao: A031
Latitude: -12.82055554
Longitude: -50.33583333
Altitude: 210
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;null;null;null;null;null;null;null;52;5.7;null;
2020-01-02;null;null;null;null;null;null;null;68;8.4;null;
2020-01-03;null;null;null;null;null;null;null;76;5.2;null;
2020-01-04;null;null;null;null;null;null;null;81;10.1;null;
2020-01-05;null;null;null;null;null;null;null;72;8.4;null;
2020-01-06;null;null;null;null;null;null;null;66;5.9;null;
2020-01-07;null;null;null;null;null;null;null;75;5.5;null;
2020-01-08;null;null;null;null;null;null;null;55;3.7;null;
2020-01-09;null;null;null;null;null;null;null;53;5.8;null;
2020-01-10;null;null;null;null;null;null;null;49;6.3;null;
2020-01-11;null;null;null;null;null;null;null;65;7.7;null;
2020-01-12;null;null;null;null;null;null;null;52;8.3;null;
2020-01-13;null;null;null;null;null;null;null;63;4.9;null;
2020-01-14;null;null;null;null;null;null;null;44;4.5;null;
2020-01-15;null;null;null;null;null;null;null;46;10.7;null;
2020-01-16;null;null;null;null;null;null;null;49;5.8;null;
2020-01-17;null;null;null;null;null;null;null;69;3.2;null;
2020-01-18;null;null;null;null;null;null;null;44;4.5;null;
2020-01-19;null;null;null;null;null;null;null;58;8.2;null;
2020-01-20;null;null;null;null;null;null;null;61;7.8;null;
2020-01-21;null;null;null;null;null;null;null;50;7.6;null;
2020-01-22;null;null;null;null;null;null;null;76;8.2;null;
2020-01-23;null;null;null;null;null;null;null;73;11.6;null;
2020-01-24;null;null;null;null;null;null;null;69;9.7;null;
2020-01-25;null;null;null;null;null;null;null;null;null;null;
2020-01-26;null;null;null;null;null;null;null;63;4.6;null;
2020-01-27;null;null;null;null;null;null;null;65;8.4;null;
2020-01-28;null;null;null;null;null;null;null;60;7.2;null;
2020-01-29;null;null;null;null;null;null;null;63;6.6;null;
2020-01-30;null;null;null;null;null;null;null;49;5.8;null;
2020-01-31;null;null;null;null;null;null;null;51;7.1;null;
2020-02-01;null;null;null;null;null;null;null;47;5.6;null;
2020-02-02;null;null;null;null;null;null;null;41;4.6;null;
2020-02-03;null;null;null;null;null;null;null;54;9.6;null;
2020-02-04;null;null;null;null;null;null;null;65;7.1;null;
2020-02-05;null;null;null;null;null;null;null;70;5.5;null;
2020-02-06;null;null;null;null;null;null;null;74;7.9;null;
2020-02-07;null;null;null;null;null;null;null;81;8.3;null;
2020-02-08;null;null;null;null;null;null;null;84;7.6;null;
2020-02-09;null;null;null;null;null;null;null;71;10.6;null;
2020-02-10;null;null;null;null;null;null;null;56;5.1;null;
2020-02-11;null;null;null;null;null;null;null;45;7;null;
2020-02-12;null;null;null;null;null;null;null;82;3.5;null;
2020-02-13;null;null;null;null;null;null;null;54;6.6;null;
2020-02-14;null;null;null;null;null;null;null;45;4.9;null;
2020-02-15;null;null;null;null;null;null;null;46;12.1;null;
2020-02-16;null;null;null;null;null;null;null;53;4.8;null;
2020-02-17;null;null;null;null;null;null;null;77;8.3;null;
2020-02-18;null;null;null;null;null;null;null;64;5.1;null;
2020-02-19;null;null;null;null;null;null;null;56;13;null;
2020-02-20;null;null;null;null;null;null;null;59;8;null;
2020-02-21;null;null;null;null;null;null;null;59;12.8;null;
2020-02-22;null;null;null;null;null;null;null;67;7;null;
2020-02-23;null;null;null;null;null;null;null;60;4;null;
2020-02-24;null;null;null;null;null;null;null;67;6.6;null;
2020-02-25;null;null;null;null;null;null;null;57;8.2;null;
2020-02-26;null;null;null;null;null;null;null;71;3.7;null;
2020-02-27;null;null;null;null;null;null;null;54;4.9;null;
2020-02-28;null;null;null;null;null;null;null;69;4.4;null;
2020-02-29;null;null;null;null;null;null;null;77;7.8;null;
2020-03-01;null;null;null;null;null;null;null;59;6.2;null;
2020-03-02;null;null;null;null;null;null;null;64;6.1;null;
2020-03-03;null;null;null;null;null;null;null;58;7.8;null;
2020-03-04;null;null;null;null;null;null;null;67;5.4;null;
2020-03-05;null;null;null;null;null;null;null;66;7.9;null;
2020-03-06;null;null;null;null;null;null;null;77;11.9;null;
2020-03-07;null;null;null;null;null;null;null;77;11;null;
2020-03-08;null;null;null;null;null;null;null;65;4.8;null;
2020-03-09;null;null;null;null;null;null;null;66;7;null;
