Nome: MONTE ALEGRE DE GOIAS
Codigo Estacao: A032
Latitude: -13.25361111
Longitude: -46.89027777
Altitude: 552
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;null;
2020-01-01;0100;null;
2020-01-01;0200;null;
2020-01-01;0300;null;
2020-01-01;0400;null;
2020-01-01;0500;null;
2020-01-01;0600;null;
2020-01-01;0700;null;
2020-01-01;0800;null;
2020-01-01;0900;null;
2020-01-01;1000;null;
2020-01-01;1100;122.242;
2020-01-01;1200;577.326;
2020-01-01;1300;null;
2020-01-01;1400;null;
2020-01-01;1500;1259.851;
2020-01-01;1600;2651.9;
2020-01-01;1700;2522.821;
2020-01-01;1800;1404.88;
2020-01-01;1900;963.588;
2020-01-01;2000;966.262;
2020-01-01;2100;null;
2020-01-01;2200;null;
2020-01-01;2300;null;
2020-01-02;0000;null;
2020-01-02;0100;null;
2020-01-02;0200;null;
2020-01-02;0300;null;
2020-01-02;0400;null;
2020-01-02;0500;null;
2020-01-02;0600;null;
2020-01-02;0700;null;
2020-01-02;0800;null;
2020-01-02;0900;null;
2020-01-02;1000;null;
2020-01-02;1100;387.374;
2020-01-02;1200;1304.899;
2020-01-02;1300;2098.041;
2020-01-02;1400;2761.093;
2020-01-02;1500;2951.386;
2020-01-02;1600;2734.633;
2020-01-02;1700;1639.752;
2020-01-02;1800;386.767;
2020-01-02;1900;null;
2020-01-02;2000;null;
2020-01-02;2100;null;
2020-01-02;2200;null;
2020-01-02;2300;null;
2020-01-03;0000;null;
2020-01-03;0100;null;
2020-01-03;0200;null;
2020-01-03;0300;null;
2020-01-03;0400;null;
2020-01-03;0500;null;
2020-01-03;0600;null;
2020-01-03;0700;null;
2020-01-03;0800;null;
2020-01-03;0900;null;
2020-01-03;1000;null;
2020-01-03;1100;840.533;
2020-01-03;1200;2007.956;
2020-01-03;1300;1425.995;
2020-01-03;1400;1862.887;
2020-01-03;1500;3233.824;
2020-01-03;1600;3750.192;
2020-01-03;1700;2714.072;
2020-01-03;1800;1003.848;
2020-01-03;1900;707.319;
2020-01-03;2000;496.286;
2020-01-03;2100;null;
2020-01-03;2200;null;
2020-01-03;2300;null;
2020-01-04;0000;null;
2020-01-04;0100;null;
2020-01-04;0200;null;
2020-01-04;0300;null;
2020-01-04;0400;null;
2020-01-04;0500;null;
2020-01-04;0600;null;
2020-01-04;0700;null;
2020-01-04;0800;null;
2020-01-04;0900;null;
2020-01-04;1000;null;
2020-01-04;1100;289.62;
2020-01-04;1200;1319.208;
2020-01-04;1300;1642.465;
2020-01-04;1400;2127.634;
2020-01-04;1500;2364.698;
2020-01-04;1600;2374.693;
2020-01-04;1700;1529.028;
2020-01-04;1800;794.918;
2020-01-04;1900;691.369;
2020-01-04;2000;410.715;
2020-01-04;2100;null;
2020-01-04;2200;null;
2020-01-04;2300;null;
2020-01-05;0000;null;
2020-01-05;0100;null;
2020-01-05;0200;null;
2020-01-05;0300;null;
2020-01-05;0400;null;
2020-01-05;0500;null;
2020-01-05;0600;null;
2020-01-05;0700;null;
2020-01-05;0800;null;
2020-01-05;0900;null;
2020-01-05;1000;null;
2020-01-05;1100;null;
2020-01-05;1200;527.526;
2020-01-05;1300;790.179;
2020-01-05;1400;959.584;
2020-01-05;1500;1405.625;
2020-01-05;1600;966.205;
2020-01-05;1700;1688.388;
2020-01-05;1800;1589.927;
2020-01-05;1900;1313.191;
2020-01-05;2000;1325.415;
2020-01-05;2100;null;
2020-01-05;2200;null;
2020-01-05;2300;null;
2020-01-06;0000;null;
2020-01-06;0100;null;
2020-01-06;0200;null;
2020-01-06;0300;null;
2020-01-06;0400;null;
2020-01-06;0500;null;
2020-01-06;0600;null;
2020-01-06;0700;null;
2020-01-06;0800;null;
2020-01-06;0900;null;
2020-01-06;1000;null;
2020-01-06;1100;165.744;
2020-01-06;1200;1019.727;
2020-01-06;1300;874.37;
2020-01-06;1400;1831.28;
2020-01-06;1500;2775.692;
2020-01-06;1600;2229.495;
2020-01-06;1700;2726.01;
2020-01-06;1800;2024.327;
2020-01-06;1900;1598.227;
2020-01-06;2000;1782.227;
2020-01-06;2100;707.296;
2020-01-06;2200;null;
2020-01-06;2300;null;
2020-01-07;0000;null;
2020-01-07;0100;null;
2020-01-07;0200;null;
2020-01-07;0300;null;
2020-01-07;0400;null;
2020-01-07;0500;null;
