Nome: CRISTALINA
Codigo Estacao: A036
Latitude: -16.78499999
Longitude: -47.61305555
Altitude: 1211.08
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.231;
2020-01-01;0100;-3.367;
2020-01-01;0200;-.496;
2020-01-01;0300;-1.83;
2020-01-01;0400;-2.365;
2020-01-01;0500;-2.51;
2020-01-01;0600;-3.491;
2020-01-01;0700;-3.491;
2020-01-01;0800;-3.54;
2020-01-01;0900;24.554;
2020-01-01;1000;550.424;
2020-01-01;1100;1333.856;
2020-01-01;1200;2071.58;
2020-01-01;1300;2461.574;
2020-01-01;1400;2847.074;
2020-01-01;1500;2619.034;
2020-01-01;1600;1876.527;
2020-01-01;1700;1451.868;
2020-01-01;1800;496.871;
2020-01-01;1900;1065.189;
2020-01-01;2000;1685.773;
2020-01-01;2100;924.04;
2020-01-01;2200;71.342;
2020-01-01;2300;-3.54;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.361;
2020-01-02;0200;-3.538;
2020-01-02;0300;-3.54;
2020-01-02;0400;-3.54;
2020-01-02;0500;-3.54;
2020-01-02;0600;-3.507;
2020-01-02;0700;-1.683;
2020-01-02;0800;-2.946;
2020-01-02;0900;6.457;
2020-01-02;1000;71.839;
2020-01-02;1100;352.215;
2020-01-02;1200;710.422;
2020-01-02;1300;1933.239;
2020-01-02;1400;2383.625;
2020-01-02;1500;1345.802;
2020-01-02;1600;1838.494;
2020-01-02;1700;1078.132;
2020-01-02;1800;323.133;
2020-01-02;1900;429.612;
2020-01-02;2000;321.278;
2020-01-02;2100;13.691;
2020-01-02;2200;13.531;
2020-01-02;2300;-2.676;
2020-01-03;0000;-3.305;
2020-01-03;0100;-.641;
2020-01-03;0200;.015;
2020-01-03;0300;-2.417;
2020-01-03;0400;-1.463;
2020-01-03;0500;-1.593;
2020-01-03;0600;-2.644;
2020-01-03;0700;-2.436;
2020-01-03;0800;-3.11;
2020-01-03;0900;15.719;
2020-01-03;1000;174.343;
2020-01-03;1100;597.341;
2020-01-03;1200;1300.609;
2020-01-03;1300;2385.082;
2020-01-03;1400;2689.536;
2020-01-03;1500;2744.225;
2020-01-03;1600;3086.484;
2020-01-03;1700;1610.991;
2020-01-03;1800;562.348;
2020-01-03;1900;1138.906;
2020-01-03;2000;646.868;
2020-01-03;2100;614.87;
2020-01-03;2200;28.29;
2020-01-03;2300;-2.98;
2020-01-04;0000;-2.435;
2020-01-04;0100;-3.536;
2020-01-04;0200;-1.3;
2020-01-04;0300;-.45;
2020-01-04;0400;-1.686;
2020-01-04;0500;-.67;
2020-01-04;0600;.694;
2020-01-04;0700;-.783;
2020-01-04;0800;-2.641;
2020-01-04;0900;8.293;
2020-01-04;1000;155.964;
2020-01-04;1100;380.834;
2020-01-04;1200;745.505;
2020-01-04;1300;765.237;
2020-01-04;1400;1837.747;
2020-01-04;1500;623.032;
2020-01-04;1600;557.074;
2020-01-04;1700;442.895;
2020-01-04;1800;149.267;
2020-01-04;1900;170.091;
2020-01-04;2000;133.301;
2020-01-04;2100;11.297;
2020-01-04;2200;1.276;
2020-01-04;2300;-.735;
2020-01-05;0000;-.868;
2020-01-05;0100;-1.201;
2020-01-05;0200;-.839;
2020-01-05;0300;-.869;
2020-01-05;0400;-1.368;
2020-01-05;0500;-.952;
2020-01-05;0600;.014;
2020-01-05;0700;-1.192;
2020-01-05;0800;-.843;
2020-01-05;0900;10.35;
2020-01-05;1000;171.005;
2020-01-05;1100;1560.339;
2020-01-05;1200;746.948;
2020-01-05;1300;1362.447;
2020-01-05;1400;936.407;
2020-01-05;1500;804.549;
2020-01-05;1600;575.82;
2020-01-05;1700;1074.536;
2020-01-05;1800;758.646;
2020-01-05;1900;502.003;
2020-01-05;2000;1320.876;
2020-01-05;2100;976.348;
2020-01-05;2200;118.434;
2020-01-05;2300;-2.496;
2020-01-06;0000;-3.153;
2020-01-06;0100;-3.518;
2020-01-06;0200;-3.265;
2020-01-06;0300;-2.993;
2020-01-06;0400;-2.034;
2020-01-06;0500;-2.292;
2020-01-06;0600;-1.484;
2020-01-06;0700;-.276;
2020-01-06;0800;-.838;
2020-01-06;0900;19.704;
2020-01-06;1000;331.279;
2020-01-06;1100;825.855;
2020-01-06;1200;1107.729;
2020-01-06;1300;1336.196;
2020-01-06;1400;1431.294;
2020-01-06;1500;2368.69;
2020-01-06;1600;2496.155;
2020-01-06;1700;2691.821;
2020-01-06;1800;1601.834;
2020-01-06;1900;1429.631;
2020-01-06;2000;1828.072;
2020-01-06;2100;748.346;
2020-01-06;2200;39.844;
2020-01-06;2300;-3.54;
2020-01-07;0000;-3.392;
2020-01-07;0100;-2.615;
2020-01-07;0200;-1.84;
2020-01-07;0300;.768;
2020-01-07;0400;.519;
2020-01-07;0500;-2.242;
2020-01-07;0600;.708;
2020-01-07;0700;-2.009;
2020-01-07;0800;-3.303;
2020-01-07;0900;12.09;
2020-01-07;1000;197.268;
2020-01-07;1100;479.437;
2020-01-07;1200;1846.81;
2020-01-07;1300;2633.899;
2020-01-07;1400;3200.429;
2020-01-07;1500;2568.961;
2020-01-07;1600;2296.575;
2020-01-07;1700;2494.221;
2020-01-07;1800;2729.689;
2020-01-07;1900;1970.511;
2020-01-07;2000;838.16;
2020-01-07;2100;177.471;
2020-01-07;2200;19.648;
2020-01-07;2300;-3.135;
2020-01-08;0000;-2.475;
2020-01-08;0100;-.199;
2020-01-08;0200;-1.589;
2020-01-08;0300;-1.69;
2020-01-08;0400;-2.497;
2020-01-08;0500;-3.412;
2020-01-08;0600;-3.119;
2020-01-08;0700;-3.443;
2020-01-08;0800;-2.124;
2020-01-08;0900;13.386;
2020-01-08;1000;567.875;
2020-01-08;1100;1086.874;
2020-01-08;1200;1818.675;
2020-01-08;1300;2442.05;
2020-01-08;1400;2104.637;
2020-01-08;1500;2240.376;
2020-01-08;1600;1152.139;
2020-01-08;1700;1881.75;
2020-01-08;1800;1189.046;
2020-01-08;1900;1312.655;
2020-01-08;2000;620.617;
2020-01-08;2100;436.109;
2020-01-08;2200;40.021;
2020-01-08;2300;-3.54;
2020-01-09;0000;-3.54;
2020-01-09;0100;-3.48;
2020-01-09;0200;-2.938;
2020-01-09;0300;-3.443;
2020-01-09;0400;-3.538;
2020-01-09;0500;-3.54;
2020-01-09;0600;-3.54;
2020-01-09;0700;-3.54;
2020-01-09;0800;-3.54;
2020-01-09;0900;17.864;
2020-01-09;1000;704.221;
2020-01-09;1100;1217.975;
2020-01-09;1200;2062.42;
2020-01-09;1300;844.492;
2020-01-09;1400;1988.042;
2020-01-09;1500;2989.619;
2020-01-09;1600;2914.25;
2020-01-09;1700;3281.982;
2020-01-09;1800;2157.663;
2020-01-09;1900;2580.522;
2020-01-09;2000;2004.847;
2020-01-09;2100;351.652;
2020-01-09;2200;21.949;
2020-01-09;2300;-3.54;
2020-01-10;0000;-3.54;
2020-01-10;0100;-3.54;
2020-01-10;0200;-3.54;
2020-01-10;0300;-3.142;
2020-01-10;0400;-3.54;
2020-01-10;0500;-3.54;
2020-01-10;0600;-3.54;
2020-01-10;0700;-3.54;
2020-01-10;0800;-2.516;
2020-01-10;0900;15.404;
2020-01-10;1000;431.086;
2020-01-10;1100;1387.904;
2020-01-10;1200;2078.656;
2020-01-10;1300;3132.261;
2020-01-10;1400;3503.381;
2020-01-10;1500;3123.553;
2020-01-10;1600;3301.787;
2020-01-10;1700;3165.324;
2020-01-10;1800;3593.128;
