Nome: DIANOPOLIS
Codigo Estacao: A038
Latitude: -11.59444444
Longitude: -46.84722221
Altitude: 727.87
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;929.941667;20.225;27.7;22.7875;20.5;86.083333;63;8.4;2.608333;
2020-01-02;0;930.445833;19.929167;28.9;22.241667;20.7;87.125;62;13.1;2.370833;
2020-01-03;55.4;931.175;20.166667;28.6;23;19.7;85.125;62;7.3;1.445833;
2020-01-04;1.8;931.495833;20.283333;25.3;21.404167;20.8;93.333333;75;14.7;2.825;
2020-01-05;16.8;931.158333;19.666667;26.8;22.233333;19.2;85.916667;66;9.2;3.095833;
2020-01-06;13.4;931.645833;20.366667;27.6;22.525;19.6;88.291667;64;7.4;2.041667;
2020-01-07;14.8;932.058333;20.229167;30.5;23.508333;19.6;83.125;52;8.5;1.8;
2020-01-08;1.6;931.395833;19.633333;30.7;24.520833;19.3;75.958333;48;11.2;2.245833;
2020-01-09;0;931.479167;20.9125;30.5;24.316667;21.9;81.916667;60;15.2;3.441667;
2020-01-10;.2;930.85;20.083333;30.8;24.283333;19.8;79.25;50;8.1;1.545833;
2020-01-11;0;930.120833;19.8625;32.1;26.4625;22.3;68.208333;42;9;2.041667;
2020-01-12;0;931.275;20.845833;30.3;24.2125;20.8;82.291667;58;12.9;1.620833;
2020-01-13;10;931.3125;20.645833;30.6;24.120833;21;81.833333;55;9.3;2.191667;
2020-01-14;14.8;930.670833;20.979167;31.5;24.191667;21.2;83.166667;54;12.5;2.1875;
2020-01-15;9.6;929.820833;20.383333;30.9;25.225;21.5;75.083333;58;9.7;1.566667;
2020-01-16;5.2;931.308333;20.5625;32.6;26.729167;21.7;70.208333;46;5.8;1.591667;
2020-01-17;0;932.154167;20.520833;30.4;25.6625;22.8;73.916667;57;8.8;2.304167;
2020-01-18;.8;931.591667;20.8875;32.5;26.383333;21.7;73.333333;48;7.8;1.575;
2020-01-19;0;930.7;20.883333;31.7;25.104167;21.8;78;54;12;1.933333;
2020-01-20;4.6;930.1375;20.891667;30.2;24.0125;21.2;83.458333;56;7.5;2.4625;
2020-01-21;6.2;928.75;20.533333;30.6;25.358333;21;75.541667;54;7.9;1.725;
2020-01-22;10.8;929.375;20.35;25.8;21.966667;20;90.875;74;11.5;1.941667;
