Nome: MARIANOPOLIS DO TO
Codigo Estacao: A041
Latitude: -9.57638888
Longitude: -49.72333332
Altitude: 186.69
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.584;
2020-01-01;0100;-3.597;
2020-01-01;0200;-3.065;
2020-01-01;0300;-2.825;
2020-01-01;0400;-2.29;
2020-01-01;0500;-2.828;
2020-01-01;0600;-2.639;
2020-01-01;0700;-2.293;
2020-01-01;0800;-3.252;
2020-01-01;0900;-2.5;
2020-01-01;1000;128.015;
2020-01-01;1100;749.829;
2020-01-01;1200;1751.716;
2020-01-01;1300;2449.831;
2020-01-01;1400;3161.874;
2020-01-01;1500;2775.227;
2020-01-01;1600;2822.674;
2020-01-01;1700;3211.732;
2020-01-01;1800;3173.521;
2020-01-01;1900;2025.602;
2020-01-01;2000;1056.747;
2020-01-01;2100;430.726;
2020-01-01;2200;80.731;
2020-01-01;2300;-3.6;
2020-01-02;0000;-3.6;
2020-01-02;0100;-3.477;
2020-01-02;0200;-3.595;
2020-01-02;0300;-3.595;
2020-01-02;0400;-3.146;
2020-01-02;0500;-2.967;
2020-01-02;0600;-3.373;
2020-01-02;0700;-3.469;
2020-01-02;0800;-3.6;
2020-01-02;0900;-3.033;
2020-01-02;1000;95.673;
2020-01-02;1100;368.363;
2020-01-02;1200;1328.775;
2020-01-02;1300;2350.276;
2020-01-02;1400;2608.355;
2020-01-02;1500;2702.548;
2020-01-02;1600;2474.789;
2020-01-02;1700;1837.295;
2020-01-02;1800;640.619;
2020-01-02;1900;461.619;
2020-01-02;2000;625.546;
2020-01-02;2100;512.384;
2020-01-02;2200;95.287;
2020-01-02;2300;-2.705;
2020-01-03;0000;-3.6;
2020-01-03;0100;-3.243;
2020-01-03;0200;-3.345;
2020-01-03;0300;-3.013;
2020-01-03;0400;-2.729;
2020-01-03;0500;-2.433;
2020-01-03;0600;-2.628;
2020-01-03;0700;-1.985;
2020-01-03;0800;-2.435;
2020-01-03;0900;-1.545;
2020-01-03;1000;172.556;
2020-01-03;1100;603.628;
2020-01-03;1200;1273.114;
2020-01-03;1300;1532.67;
2020-01-03;1400;1872.296;
2020-01-03;1500;2879.766;
2020-01-03;1600;1664.295;
2020-01-03;1700;2449.033;
2020-01-03;1800;2014.871;
2020-01-03;1900;1313.242;
2020-01-03;2000;14.476;
2020-01-03;2100;5.763;
2020-01-03;2200;1.898;
2020-01-03;2300;-1.175;
2020-01-04;0000;-1.75;
2020-01-04;0100;-2.149;
2020-01-04;0200;-1.419;
2020-01-04;0300;-1.794;
2020-01-04;0400;-1.329;
2020-01-04;0500;-.745;
2020-01-04;0600;-.538;
2020-01-04;0700;-.553;
2020-01-04;0800;-.764;
2020-01-04;0900;-.581;
2020-01-04;1000;83.578;
2020-01-04;1100;283.006;
2020-01-04;1200;875.173;
2020-01-04;1300;1439.493;
2020-01-04;1400;1537.525;
2020-01-04;1500;1946.865;
2020-01-04;1600;2120.601;
2020-01-04;1700;1943.097;
2020-01-04;1800;1608.055;
2020-01-04;1900;941.633;
2020-01-04;2000;312.77;
2020-01-04;2100;230.297;
2020-01-04;2200;97.457;
2020-01-04;2300;-3.337;
2020-01-05;0000;-1.85;
2020-01-05;0100;-1.906;
2020-01-05;0200;-2.082;
2020-01-05;0300;-2.342;
2020-01-05;0400;-1.659;
2020-01-05;0500;-1.311;
2020-01-05;0600;-1.519;
2020-01-05;0700;-1.27;
2020-01-05;0800;-.667;
2020-01-05;0900;-.024;
2020-01-05;1000;7.132;
2020-01-05;1100;81.31;
2020-01-05;1200;229.126;
2020-01-05;1300;307.83;
2020-01-05;1400;1040.526;
2020-01-05;1500;1219.15;
2020-01-05;1600;2748.018;
2020-01-05;1700;1376.898;
2020-01-05;1800;553.993;
2020-01-05;1900;265.463;
2020-01-05;2000;374.893;
2020-01-05;2100;324.767;
2020-01-05;2200;47.505;
2020-01-05;2300;-3.003;
2020-01-06;0000;-2.009;
2020-01-06;0100;-2.252;
2020-01-06;0200;-1.883;
2020-01-06;0300;-1.728;
2020-01-06;0400;-1.539;
2020-01-06;0500;-1.899;
2020-01-06;0600;-2.6;
2020-01-06;0700;-2.801;
2020-01-06;0800;-2.638;
2020-01-06;0900;-2.445;
2020-01-06;1000;63.234;
2020-01-06;1100;275.373;
2020-01-06;1200;997.943;
2020-01-06;1300;1145.378;
2020-01-06;1400;1422.792;
2020-01-06;1500;1067.728;
2020-01-06;1600;2083.601;
2020-01-06;1700;3016.733;
2020-01-06;1800;2940.848;
2020-01-06;1900;1754.082;
2020-01-06;2000;174.66;
2020-01-06;2100;57.894;
2020-01-06;2200;2.74;
2020-01-06;2300;-.803;
2020-01-07;0000;-1.426;
2020-01-07;0100;-2.17;
2020-01-07;0200;-1.033;
2020-01-07;0300;-1.112;
2020-01-07;0400;-.845;
2020-01-07;0500;-1.495;
2020-01-07;0600;-1.411;
2020-01-07;0700;-.638;
2020-01-07;0800;-1.321;
2020-01-07;0900;-1.912;
2020-01-07;1000;127.101;
2020-01-07;1100;542.81;
2020-01-07;1200;1533.001;
2020-01-07;1300;2023.904;
2020-01-07;1400;2826.18;
2020-01-07;1500;2448.664;
2020-01-07;1600;2794.273;
2020-01-07;1700;2451.563;
2020-01-07;1800;2738.099;
2020-01-07;1900;2690.335;
2020-01-07;2000;1705.138;
2020-01-07;2100;823.866;
2020-01-07;2200;106.588;
2020-01-07;2300;-3.6;
2020-01-08;0000;-3.6;
2020-01-08;0100;-3.6;
2020-01-08;0200;-3.584;
2020-01-08;0300;-3.6;
2020-01-08;0400;-3.595;
2020-01-08;0500;-2.727;
2020-01-08;0600;-3.026;
2020-01-08;0700;-3.262;
2020-01-08;0800;-3.137;
2020-01-08;0900;-3.038;
2020-01-08;1000;21.546;
2020-01-08;1100;83.521;
2020-01-08;1200;371.771;
2020-01-08;1300;1466.394;
2020-01-08;1400;1493.406;
2020-01-08;1500;2511.517;
2020-01-08;1600;3033.017;
2020-01-08;1700;2849.598;
2020-01-08;1800;2323.161;
2020-01-08;1900;2935.804;
2020-01-08;2000;1441.206;
2020-01-08;2100;400.017;
2020-01-08;2200;41.308;
2020-01-08;2300;-3.583;
2020-01-09;0000;-3.588;
2020-01-09;0100;-3.6;
2020-01-09;0200;-3.599;
2020-01-09;0300;-3.596;
2020-01-09;0400;-3.596;
2020-01-09;0500;-2.928;
2020-01-09;0600;-3.43;
2020-01-09;0700;-2.848;
2020-01-09;0800;-2.28;
2020-01-09;0900;-2.37;
2020-01-09;1000;114.283;
2020-01-09;1100;166.001;
2020-01-09;1200;111.71;
2020-01-09;1300;78.877;
2020-01-09;1400;229.378;
2020-01-09;1500;1536.919;
2020-01-09;1600;3315.744;
2020-01-09;1700;2460.983;
2020-01-09;1800;1315.923;
2020-01-09;1900;1529.168;
2020-01-09;2000;1124.385;
2020-01-09;2100;493.842;
2020-01-09;2200;77.67;
2020-01-09;2300;-3.6;
2020-01-10;0000;-3.6;
2020-01-10;0100;-3.6;
2020-01-10;0200;-3.544;
2020-01-10;0300;-3.465;
2020-01-10;0400;-3.395;
2020-01-10;0500;-3.457;
2020-01-10;0600;-1.844;
2020-01-10;0700;-2.1;
2020-01-10;0800;-3.093;
2020-01-10;0900;-1.796;
2020-01-10;1000;100.618;
2020-01-10;1100;738.903;
2020-01-10;1200;1265.684;
2020-01-10;1300;1450.524;
2020-01-10;1400;3203.613;
2020-01-10;1500;3631.685;
2020-01-10;1600;3247.732;
