Nome: AGUAS EMENDADAS
Codigo Estacao: A045
Latitude: -15.596491
Longitude: -47.625801
Altitude: 1030.36
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;15;897.408696;17.943478;28.9;22.213043;17.9;78.434783;46;5.7;1.313043;
2020-01-02;.2;897.720833;18.920833;27.7;22.0375;19.7;83.125;58;10;2.154167;
2020-01-03;61.8;898.241667;18.7625;28;21.8;17.9;84;56;9.7;1.820833;
2020-01-04;.4;897.604167;18.95;26.8;21.0875;19.8;88.083333;61;8.7;1.966667;
2020-01-05;17.8;897.629167;18.891667;23.6;20.108333;19.3;92.791667;79;9.7;1.641667;
2020-01-06;29.2;898.5625;18.75;26;21.354167;18.8;85.791667;63;10.6;2.383333;
2020-01-07;.2;899.733333;18.820833;27.9;22.016667;18.6;83;57;7.4;1.829167;
2020-01-08;24.4;899.666667;19.470833;28.5;21.983333;19.1;86.708333;55;11.1;1.270833;
2020-01-09;7.6;900.0625;18.416667;30;20.670833;16.8;87.75;51;11.1;1.458333;
2020-01-10;33.6;899.329167;17.65;31.4;22.4375;15.1;76.875;42;6.7;1.558333;
2020-01-11;0;898.854167;16.8875;31.3;24.245833;16.4;67;34;8.5;1.825;
2020-01-12;0;899.6875;14.1125;32.6;23.3375;13.7;62.333333;26;6.3;1.2125;
2020-01-13;0;899.608333;14.958333;32.7;23.945833;15.3;63;22;8.4;1.320833;
2020-01-14;0;899.3875;16.541667;32.8;24.745833;16.4;65.458333;29;6.7;1.629167;
2020-01-15;0;898.9125;16.7125;31.9;24.379167;16.3;65.958333;33;8.3;1.641667;
2020-01-16;0;900.483333;16.25;32.6;24.795833;17.7;62.708333;32;10;1.604167;
2020-01-17;0;900.933333;17.791667;30.4;23.9;18.3;70.333333;42;9.2;1.720833;
2020-01-18;0;901.129167;18.166667;29.9;22.8375;18.5;76.541667;49;9.8;1.925;
2020-01-19;0;899.745833;17.758333;32;24.425;17.7;69.5;36;9;1.654167;
2020-01-20;0;898.370833;18.645833;30;22.9375;18.3;78.5;48;9.5;1.554167;
2020-01-21;1.4;896.491667;19.345833;29.3;22.358333;19.7;84.125;54;11.9;2.0125;
2020-01-22;.8;896.0625;19.025;25.8;21.1375;19.6;88.083333;68;10;2.104167;
2020-01-23;9.6;895.583333;19.329167;25.1;20.954167;19.1;90.666667;74;11.3;2.1375;
2020-01-24;25.2;895.591667;19.3375;24.7;21.108333;19.7;89.791667;72;12.1;2.729167;
2020-01-25;62.6;897.783333;19.145833;23.4;20.3;19.3;93.041667;81;10.5;2.5625;
2020-01-26;32;898.804167;19.120833;26.1;20.616667;19.5;91.416667;70;7.8;1.716667;
2020-01-27;33;899.25;18.920833;27.4;21.175;18.6;87.583333;61;11;1.7125;
2020-01-28;1;900.304167;18.7;27.1;20.908333;19;87.958333;58;10.7;2.0625;
2020-01-29;2.8;901.2125;18.070833;28.7;22.579167;18.1;78.041667;43;8.7;1.3;
2020-01-30;0;901.627273;18.2;31.2;23.695455;17.4;74;40;6.7;1.431818;
2020-01-31;0;901.2625;17.745833;31.6;23.833333;17.4;71.875;39;7.4;1.516667;
2020-02-01;0;900.929167;16.241667;31.4;23.341667;16.1;69;33;6.6;1.3125;
2020-02-02;0;900.275;17.383333;31.1;23.55;17.3;71.291667;40;7.2;1.4375;
2020-02-03;.4;899.970833;17.358333;32.2;23.945833;18.2;70.208333;31;9.9;1.8125;
2020-02-04;6.2;900.65;18.345833;27.6;21.925;19;81.041667;58;12.3;1.425;
2020-02-05;.2;900.216667;17.770833;29.5;21.370833;16.8;81.916667;43;8.5;1.441667;
2020-02-06;24.8;900.158333;18.920833;26.4;20.879167;18.7;88.958333;61;6.8;1.2875;
2020-02-07;7.8;898.473913;17.747826;20.9;19.104348;17.3;91.913043;84;9.9;2.121739;
2020-02-08;22.2;898.954167;17.5;21.6;18.929167;17.7;91.541667;81;10.3;2.870833;
2020-02-09;8.2;901.5;17.13913;25.3;19.773913;16.6;85.217391;63;12.2;3.073913;
2020-02-10;3;902.4625;17.683333;29.2;20.483333;17.7;85.416667;47;15.2;1.5375;
2020-02-11;22.4;900.854167;17.795833;29.7;21.858333;16.5;79.583333;47;8.8;1.391667;
2020-02-12;11;899.75;18.7625;26.9;21.483333;18.3;84.875;65;9.5;1.604545;
2020-02-13;4.8;900.041667;18.833333;27.6;21.3125;18.4;86.541667;57;7.4;1.295833;
