Nome: PARANOA (COOPA-DF)
Codigo Estacao: A047
Latitude: -16.012222
Longitude: -47.557417
Altitude: 1043
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;17.8;896.004348;19.069565;27.5;22.508696;18.2;81.652174;53;6.4;1.513043;
2020-01-02;.2;896.195833;19.4375;27.5;21.3875;20.1;89.125;61;7.8;1.782609;
2020-01-03;122;896.579167;19.4;28.8;21.804167;18.7;87.5;53;7.9;1.508333;
2020-01-04;4;896.079167;19.525;27.3;21.566667;19.3;88.791667;63;12;1.716667;
2020-01-05;71.6;896.075;18.725;22.5;19.25;17.3;96.791667;88;8.6;1.858333;
2020-01-06;23.4;896.820833;19.041667;26.6;22.275;18.8;82.958333;63;11.5;2.2375;
2020-01-07;0;898.216667;19.308333;28.6;23.075;19.8;80.541667;54;7.2;1.666667;
2020-01-08;25.6;898.354167;20.341667;27.5;22.1125;19.5;90.416667;64;8;1.333333;
2020-01-09;.2;898.608333;20.120833;30.6;21.883333;19.7;90.791667;58;7.4;1.420833;
2020-01-10;28.2;898.075;19.568182;30.5;22.966667;17.9;85.272727;53;9.5;1.770833;
2020-01-11;2.4;897.675;18.569565;30.9;24.508333;19.6;73.217391;39;9.4;2.083333;
2020-01-12;0;898.541667;15.933333;31.4;24.65;16.8;63.238095;34;6.5;1.383333;
2020-01-13;0;898.345833;16.082609;31.8;25.345833;19;59.565217;35;5.6;1.354167;
2020-01-14;0;898.195833;18.495455;31.3;24.920833;19.3;71.954545;43;12;2.116667;
2020-01-15;0;897.708333;17.942857;31.5;25.641667;19.3;66.571429;40;8.4;2.183333;
2020-01-16;0;899.379167;18.227273;31.5;25.233333;21;68;43;12.6;2.15;
2020-01-17;0;899.825;18.33913;30.2;23.9625;20.3;72.217391;51;8.7;1.9375;
2020-01-18;.8;900.075;18.916667;28.6;22.233333;17.9;82.791667;57;8.2;2.308333;
2020-01-19;0;898.620833;19.16087;31.2;24.4;19;75.869565;46;7.4;1.908333;
2020-01-20;3.4;896.958333;19.945833;30.2;23.154167;20;83.166667;55;9.7;1.670833;
2020-01-21;12.6;894.933333;19.9125;28.7;22.308333;19.4;87.333333;61;9.2;1.725;
2020-01-22;.8;894.4375;19.575;26.3;21.779167;19.5;87.75;69;8.3;2.0125;
2020-01-23;4.4;893.904167;19.7;25.8;21.6;19.4;89.375;70;10.1;2.1625;
2020-01-24;8.8;893.9375;19.5625;24.8;21.45;19.7;89.5;70;13.1;2.575;
2020-01-25;18;896.1625;19.820833;23;20.608333;19.6;95.375;86;9.5;2.166667;
2020-01-26;93.8;897.4125;19.704167;25.3;20.220833;19.2;97;74;7.6;1.220833;
2020-01-27;37.6;897.695833;19.891667;29.4;21.625;19;90.583333;56;10.9;1.708333;
2020-01-28;3;898.754167;19.225;28.4;21.608333;19.3;87.208333;60;11.5;1.858333;
2020-01-29;.8;899.958333;19.1375;28.4;22.358333;19;83.541667;53;10.3;1.604167;
2020-01-30;.8;900.525;19.383333;30.7;23.533333;19.2;79.708333;48;16;1.829167;
2020-01-31;.2;900.108333;19.159091;31;24.604167;19.4;75.5;46;7.1;1.708333;
2020-02-01;0;899.695833;18.836364;30.7;24.004167;18.5;77.727273;45;6.8;1.383333;
2020-02-02;0;899.191667;19.630435;31.1;24.333333;18.9;77.782609;43;8.1;1.979167;
2020-02-03;0;898.7875;18.569565;31.4;24.208333;18.3;74.26087;43;7;1.829167;
2020-02-04;58.4;899.2;18.873913;28.2;21.925;17.5;84.913043;59;10.8;2.033333;
2020-02-05;0;898.954167;18.770833;29.4;21.7875;17.8;84.291667;50;12.4;1.6875;
2020-02-06;108.8;898.8875;19.4625;26.6;20.404167;17.7;94.75;67;8.6;1.795833;
2020-02-07;12.8;897.2625;18.333333;21.2;19.0125;17.3;95.833333;84;9.2;2.920833;
2020-02-08;23.6;897.683333;18.1125;20.7;18.5125;17.2;97.541667;90;11.9;4.025;
2020-02-09;5;900.116667;17.9875;23.6;19.704167;16.7;90.416667;73;11.2;2.6375;
2020-02-10;2.6;900.995833;18.341667;29;21.725;18.4;82.583333;49;10;1.695833;
2020-02-11;3.4;899.66087;18.838095;30.4;22.978261;18.7;81.809524;49;6.8;1.547826;
2020-02-12;3.8;898.616667;19.408333;29.2;21.1875;18.5;90.25;58;10;2;
2020-02-13;5.2;898.7625;19.483333;28;20.920833;18.7;92.333333;61;10;1.65;
2020-02-14;40.2;898.720833;19.704348;29.5;22.05;19.1;89;58;10.3;1.233333;
2020-02-15;.2;898.45;19.204167;30.7;22.770833;18;82.333333;50;9.5;1.870833;
2020-02-16;30;898.408333;19.618182;30.7;23.3375;18.1;84.363636;48;7.6;1.954167;
2020-02-17;14.2;898.395833;19.566667;30;22.529167;19.3;88.619048;53;10.3;2.2875;
2020-02-18;1.2;898.783333;18.820833;29.7;23.6;19.2;76.75;44;8.3;2.1;
2020-02-19;0;897.141667;19.033333;30.6;23.6875;19.6;76.5;48;11.2;2.095833;
2020-02-20;0;896.904348;18.718182;30.3;23.221739;18.1;79;49;7.8;1.730435;
2020-02-21;13.2;898.091667;18.786957;30.2;22.625;17.4;82.434783;47;14.8;1.5875;
2020-02-22;49.2;898.995833;19.731818;29.6;22.7625;18.7;87.363636;48;7.6;1.36087;
2020-02-23;5.4;899.745833;19.9875;28.2;21.858333;19.4;89.75;57;6.3;1.3625;
