Nome: PARANOA (COOPA-DF)
Codigo Estacao: A047
Latitude: -16.012222
Longitude: -47.557417
Altitude: 1043
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-2.398;
2020-01-01;0100;null;
2020-01-01;0200;-3.44;
2020-01-01;0300;-3.361;
2020-01-01;0400;-2.972;
2020-01-01;0500;-2.138;
2020-01-01;0600;-3.278;
2020-01-01;0700;-1.918;
2020-01-01;0800;-.387;
2020-01-01;0900;3.956;
2020-01-01;1000;155.892;
2020-01-01;1100;1117.424;
2020-01-01;1200;2264.38;
2020-01-01;1300;2991.233;
2020-01-01;1400;1196.866;
2020-01-01;1500;3806.012;
2020-01-01;1600;1228.381;
2020-01-01;1700;2297.701;
2020-01-01;1800;2429.787;
2020-01-01;1900;1703.4;
2020-01-01;2000;1096.375;
2020-01-01;2100;452.701;
2020-01-01;2200;92.24;
2020-01-01;2300;-3.408;
2020-01-02;0000;-2.676;
2020-01-02;0100;-2.37;
2020-01-02;0200;-2.84;
2020-01-02;0300;-2.746;
2020-01-02;0400;-3.403;
2020-01-02;0500;-3.499;
2020-01-02;0600;-3.242;
2020-01-02;0700;-2.35;
2020-01-02;0800;-2.181;
2020-01-02;0900;.366;
2020-01-02;1000;78.557;
2020-01-02;1100;378.299;
2020-01-02;1200;1184.876;
2020-01-02;1300;2172.456;
2020-01-02;1400;2235.427;
2020-01-02;1500;2587.402;
2020-01-02;1600;1756.112;
2020-01-02;1700;1334.643;
2020-01-02;1800;326.728;
2020-01-02;1900;370.918;
2020-01-02;2000;115.916;
2020-01-02;2100;100.896;
2020-01-02;2200;19.273;
2020-01-02;2300;-.474;
2020-01-03;0000;-.282;
2020-01-03;0100;-.862;
2020-01-03;0200;.068;
2020-01-03;0300;-.212;
2020-01-03;0400;-.788;
2020-01-03;0500;-1.23;
2020-01-03;0600;-1.538;
2020-01-03;0700;-1.711;
2020-01-03;0800;-1.567;
2020-01-03;0900;7.761;
2020-01-03;1000;297.583;
2020-01-03;1100;824.121;
2020-01-03;1200;1759.574;
2020-01-03;1300;2631.409;
2020-01-03;1400;2809.876;
2020-01-03;1500;2377.016;
2020-01-03;1600;3206.292;
2020-01-03;1700;2929.009;
2020-01-03;1800;1408.688;
2020-01-03;1900;2042.604;
2020-01-03;2000;599.674;
2020-01-03;2100;248.831;
2020-01-03;2200;109.288;
2020-01-03;2300;-3.599;
2020-01-04;0000;-3.599;
2020-01-04;0100;-3.6;
2020-01-04;0200;-2.924;
2020-01-04;0300;-2.469;
2020-01-04;0400;-2.718;
2020-01-04;0500;-2.543;
2020-01-04;0600;-1.943;
2020-01-04;0700;-3.524;
2020-01-04;0800;-3.459;
2020-01-04;0900;6.695;
2020-01-04;1000;507.738;
2020-01-04;1100;1077.954;
2020-01-04;1200;1605.329;
2020-01-04;1300;2017.768;
2020-01-04;1400;1786.189;
2020-01-04;1500;2082.867;
2020-01-04;1600;3281.932;
2020-01-04;1700;1858.416;
2020-01-04;1800;817.256;
2020-01-04;1900;357.854;
2020-01-04;2000;153.352;
2020-01-04;2100;97.758;
2020-01-04;2200;34.81;
2020-01-04;2300;-1.647;
2020-01-05;0000;-1.193;
2020-01-05;0100;.114;
2020-01-05;0200;-.175;
2020-01-05;0300;-.078;
2020-01-05;0400;-.06;
2020-01-05;0500;-.274;
2020-01-05;0600;-.271;
2020-01-05;0700;-.126;
2020-01-05;0800;-.613;
2020-01-05;0900;1.491;
2020-01-05;1000;71.165;
2020-01-05;1100;64.211;
2020-01-05;1200;252.368;
2020-01-05;1300;930.665;
2020-01-05;1400;1389.669;
2020-01-05;1500;647.662;
2020-01-05;1600;860.171;
2020-01-05;1700;883.013;
2020-01-05;1800;147.675;
2020-01-05;1900;88.966;
2020-01-05;2000;235.47;
2020-01-05;2100;62.546;
2020-01-05;2200;29.262;
2020-01-05;2300;-1.41;
2020-01-06;0000;-1.765;
2020-01-06;0100;-3.119;
2020-01-06;0200;-3.597;
2020-01-06;0300;-3.322;
2020-01-06;0400;-2.951;
2020-01-06;0500;-2.626;
2020-01-06;0600;-2.95;
2020-01-06;0700;-3.382;
2020-01-06;0800;-3.313;
2020-01-06;0900;7.847;
2020-01-06;1000;272.955;
2020-01-06;1100;1204.372;
2020-01-06;1200;1936.557;
2020-01-06;1300;2901.747;
2020-01-06;1400;2864.942;
2020-01-06;1500;2865.771;
2020-01-06;1600;1887.188;
2020-01-06;1700;1861.621;
2020-01-06;1800;1840.329;
2020-01-06;1900;1388.185;
2020-01-06;2000;1036.85;
2020-01-06;2100;493.88;
2020-01-06;2200;62.893;
2020-01-06;2300;-3.595;
2020-01-07;0000;-3.581;
2020-01-07;0100;-3.6;
2020-01-07;0200;-3.6;
2020-01-07;0300;-3.6;
2020-01-07;0400;-3.434;
2020-01-07;0500;-3.6;
2020-01-07;0600;-3.6;
2020-01-07;0700;-3.591;
2020-01-07;0800;-2.878;
2020-01-07;0900;1.684;
2020-01-07;1000;163.687;
2020-01-07;1100;593.89;
2020-01-07;1200;1286.517;
2020-01-07;1300;2480.507;
2020-01-07;1400;1601.436;
2020-01-07;1500;2014.686;
2020-01-07;1600;2629.961;
2020-01-07;1700;3053.855;
2020-01-07;1800;3059.664;
2020-01-07;1900;2859.19;
2020-01-07;2000;1983.742;
2020-01-07;2100;605.313;
2020-01-07;2200;64.466;
2020-01-07;2300;-3.536;
2020-01-08;0000;-.951;
2020-01-08;0100;-.317;
2020-01-08;0200;-.319;
2020-01-08;0300;-.306;
2020-01-08;0400;-2.599;
2020-01-08;0500;-2.91;
2020-01-08;0600;-3.529;
2020-01-08;0700;-2.402;
2020-01-08;0800;-2.523;
2020-01-08;0900;3.953;
2020-01-08;1000;252.421;
2020-01-08;1100;786.126;
2020-01-08;1200;1324.852;
2020-01-08;1300;1254.103;
2020-01-08;1400;1719.783;
2020-01-08;1500;1259.631;
2020-01-08;1600;1128.316;
2020-01-08;1700;2925.998;
2020-01-08;1800;1102.211;
2020-01-08;1900;1216.666;
2020-01-08;2000;830.808;
2020-01-08;2100;682.926;
2020-01-08;2200;64.761;
2020-01-08;2300;-3.598;
2020-01-09;0000;-3.582;
2020-01-09;0100;-3.491;
2020-01-09;0200;-3.566;
2020-01-09;0300;-3.4;
2020-01-09;0400;-3.534;
2020-01-09;0500;-3.586;
2020-01-09;0600;-3.56;
2020-01-09;0700;-3.588;
2020-01-09;0800;-3.597;
2020-01-09;0900;5.361;
2020-01-09;1000;296.244;
2020-01-09;1100;965.792;
2020-01-09;1200;1717.433;
2020-01-09;1300;2823.575;
2020-01-09;1400;3155.399;
2020-01-09;1500;3237.694;
2020-01-09;1600;4033.454;
2020-01-09;1700;1200.043;
2020-01-09;1800;617.671;
2020-01-09;1900;220.493;
2020-01-09;2000;208.312;
2020-01-09;2100;160.781;
2020-01-09;2200;43.046;
2020-01-09;2300;-3.314;
2020-01-10;0000;-3.478;
2020-01-10;0100;-3.597;
2020-01-10;0200;-3.598;
2020-01-10;0300;-3.599;
2020-01-10;0400;-3.577;
2020-01-10;0500;-3.471;
2020-01-10;0600;-3.148;
2020-01-10;0700;-3.525;
2020-01-10;0800;-3.331;
2020-01-10;0900;5.041;
2020-01-10;1000;370.572;
2020-01-10;1100;1256.236;
2020-01-10;1200;1629.069;
2020-01-10;1300;2777.777;
2020-01-10;1400;3342.057;
2020-01-10;1500;3848.775;
2020-01-10;1600;3609.537;
2020-01-10;1700;3273.356;
2020-01-10;1800;2185.64;
2020-01-10;1900;2766.097;
2020-01-10;2000;1904.902;
2020-01-10;2100;556.351;
2020-01-10;2200;146.154;
2020-01-10;2300;-3.6;
2020-01-11;0000;-3.6;
2020-01-11;0100;-3.265;
2020-01-11;0200;-3.342;
2020-01-11;0300;-3.504;
2020-01-11;0400;-3.596;
2020-01-11;0500;-3.587;
2020-01-11;0600;-3.6;
2020-01-11;0700;-3.582;
2020-01-11;0800;-3.599;
2020-01-11;0900;10.858;
2020-01-11;1000;416.687;
2020-01-11;1100;1223.188;
2020-01-11;1200;2157.863;
2020-01-11;1300;2996.332;
2020-01-11;1400;3638.574;
2020-01-11;1500;3561.883;
2020-01-11;1600;3759.957;
2020-01-11;1700;3787.89;
2020-01-11;1800;3053.819;
2020-01-11;1900;2390.977;
2020-01-11;2000;1866.822;
2020-01-11;2100;899.592;
2020-01-11;2200;44.898;
2020-01-11;2300;-3.6;
2020-01-12;0000;-3.6;
2020-01-12;0100;-3.6;
2020-01-12;0200;-3.6;
2020-01-12;0300;-3.6;
2020-01-12;0400;-3.6;
2020-01-12;0500;-3.6;
2020-01-12;0600;-3.6;
2020-01-12;0700;-3.6;
2020-01-12;0800;-3.6;
2020-01-12;0900;4.216;
2020-01-12;1000;418.144;
2020-01-12;1100;1314.755;
2020-01-12;1200;2233.012;
2020-01-12;1300;3034.201;
2020-01-12;1400;3626.766;
2020-01-12;1500;3981.009;
2020-01-12;1600;3927.876;
2020-01-12;1700;3852.224;
2020-01-12;1800;3404.062;
2020-01-12;1900;2692.258;
2020-01-12;2000;1822.966;
2020-01-12;2100;880.695;
2020-01-12;2200;60.575;
2020-01-12;2300;-3.6;
2020-01-13;0000;-3.6;
2020-01-13;0100;-3.6;
2020-01-13;0200;-3.6;
2020-01-13;0300;-3.6;
2020-01-13;0400;-3.6;
2020-01-13;0500;-3.6;
2020-01-13;0600;-3.6;
2020-01-13;0700;-3.48;
2020-01-13;0800;-3.467;
2020-01-13;0900;9.69;
2020-01-13;1000;218.472;
2020-01-13;1100;1249.582;
2020-01-13;1200;2182.213;
2020-01-13;1300;2957.9;
2020-01-13;1400;3570.142;
2020-01-13;1500;3915.118;
2020-01-13;1600;2567.614;
2020-01-13;1700;3277.731;
2020-01-13;1800;1998.233;
2020-01-13;1900;2802.636;
2020-01-13;2000;1687.538;
2020-01-13;2100;872.903;
2020-01-13;2200;57.442;
2020-01-13;2300;-3.6;
2020-01-14;0000;-3.6;
2020-01-14;0100;-3.452;
2020-01-14;0200;-3.6;
2020-01-14;0300;-3.6;
2020-01-14;0400;-3.6;
2020-01-14;0500;-3.6;
2020-01-14;0600;-3.6;
2020-01-14;0700;-3.6;
2020-01-14;0800;-3.6;
