Nome: COLINAS DO TOCANTINS
Codigo Estacao: A049
Latitude: -8.092708
Longitude: -48.478605
Altitude: 200
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.573;
2020-01-01;0100;-3.152;
2020-01-01;0200;-3.57;
2020-01-01;0300;-3.592;
2020-01-01;0400;-3.592;
2020-01-01;0500;-3.581;
2020-01-01;0600;-3.599;
2020-01-01;0700;-3.598;
2020-01-01;0800;-3.597;
2020-01-01;0900;-3.229;
2020-01-01;1000;167.024;
2020-01-01;1100;564.62;
2020-01-01;1200;1659.199;
2020-01-01;1300;1715.068;
2020-01-01;1400;1936.485;
2020-01-01;1500;2730.892;
2020-01-01;1600;3164.013;
2020-01-01;1700;2733.996;
2020-01-01;1800;2846.992;
2020-01-01;1900;1932.672;
2020-01-01;2000;1117.3;
2020-01-01;2100;455.781;
2020-01-01;2200;96.53;
2020-01-01;2300;-3.506;
2020-01-02;0000;-3.461;
2020-01-02;0100;-1.925;
2020-01-02;0200;-2.172;
2020-01-02;0300;-1.774;
2020-01-02;0400;-2.489;
2020-01-02;0500;-1.927;
2020-01-02;0600;-2.32;
2020-01-02;0700;-1.623;
2020-01-02;0800;-1.735;
2020-01-02;0900;-1.024;
2020-01-02;1000;101.527;
2020-01-02;1100;838.249;
2020-01-02;1200;1206.917;
2020-01-02;1300;1444.714;
2020-01-02;1400;1596.528;
2020-01-02;1500;1941.389;
2020-01-02;1600;1440.037;
2020-01-02;1700;577.364;
2020-01-02;1800;1354.58;
2020-01-02;1900;913.778;
2020-01-02;2000;241.122;
2020-01-02;2100;150.287;
2020-01-02;2200;26.751;
2020-01-02;2300;-2.841;
2020-01-03;0000;-2.318;
2020-01-03;0100;-1.886;
2020-01-03;0200;-1.679;
2020-01-03;0300;-1.586;
2020-01-03;0400;-2.082;
2020-01-03;0500;-2.127;
2020-01-03;0600;-1.96;
2020-01-03;0700;-3.216;
2020-01-03;0800;-2.817;
2020-01-03;0900;-1.482;
2020-01-03;1000;176.981;
2020-01-03;1100;826.269;
2020-01-03;1200;1195.739;
2020-01-03;1300;1437.325;
2020-01-03;1400;1904.751;
2020-01-03;1500;2330.704;
2020-01-03;1600;1039.216;
2020-01-03;1700;927.901;
2020-01-03;1800;873.616;
2020-01-03;1900;379.972;
2020-01-03;2000;743.712;
2020-01-03;2100;315.183;
2020-01-03;2200;29.473;
2020-01-03;2300;-2.068;
2020-01-04;0000;-3.367;
2020-01-04;0100;-3.232;
2020-01-04;0200;-3.426;
2020-01-04;0300;-3.214;
2020-01-04;0400;-2.609;
2020-01-04;0500;-2.684;
2020-01-04;0600;-2.359;
2020-01-04;0700;-2.263;
2020-01-04;0800;-1.888;
2020-01-04;0900;-1.851;
2020-01-04;1000;84.107;
2020-01-04;1100;480.767;
2020-01-04;1200;1449.724;
2020-01-04;1300;1096.29;
2020-01-04;1400;1228.747;
2020-01-04;1500;1755.591;
2020-01-04;1600;1092.503;
2020-01-04;1700;1191.227;
2020-01-04;1800;928.315;
2020-01-04;1900;1699.514;
2020-01-04;2000;639.329;
2020-01-04;2100;209.979;
2020-01-04;2200;17.735;
2020-01-04;2300;-3.599;
2020-01-05;0000;-3.381;
2020-01-05;0100;-2.998;
2020-01-05;0200;-3.392;
2020-01-05;0300;-2.416;
2020-01-05;0400;-2.413;
2020-01-05;0500;-1.811;
2020-01-05;0600;-1.732;
2020-01-05;0700;-1.435;
2020-01-05;0800;-.959;
2020-01-05;0900;-.467;
2020-01-05;1000;110.05;
2020-01-05;1100;240.252;
2020-01-05;1200;475.328;
2020-01-05;1300;784.035;
2020-01-05;1400;1735.446;
2020-01-05;1500;1823.706;
2020-01-05;1600;2981.192;
2020-01-05;1700;3110.806;
2020-01-05;1800;1445.322;
2020-01-05;1900;855.862;
2020-01-05;2000;1765.958;
2020-01-05;2100;567.475;
2020-01-05;2200;43.682;
2020-01-05;2300;-3.526;
2020-01-06;0000;-3.355;
2020-01-06;0100;-3.447;
2020-01-06;0200;-2.921;
2020-01-06;0300;-2.431;
2020-01-06;0400;-2.357;
2020-01-06;0500;-2.298;
2020-01-06;0600;-1.312;
2020-01-06;0700;-1.55;
2020-01-06;0800;-1.617;
2020-01-06;0900;-1.698;
2020-01-06;1000;198.086;
2020-01-06;1100;1103.612;
2020-01-06;1200;1127.047;
2020-01-06;1300;1203.176;
2020-01-06;1400;702.066;
2020-01-06;1500;162.88;
2020-01-06;1600;84.749;
2020-01-06;1700;202.049;
2020-01-06;1800;417.786;
2020-01-06;1900;318.312;
2020-01-06;2000;182.283;
2020-01-06;2100;89.963;
2020-01-06;2200;12.313;
2020-01-06;2300;-.733;
2020-01-07;0000;-.645;
2020-01-07;0100;-1.634;
2020-01-07;0200;-1.684;
2020-01-07;0300;-1.881;
2020-01-07;0400;-.754;
2020-01-07;0500;-1.988;
2020-01-07;0600;-1.088;
2020-01-07;0700;-.497;
2020-01-07;0800;-.686;
2020-01-07;0900;-.168;
2020-01-07;1000;74.519;
2020-01-07;1100;416.149;
2020-01-07;1200;1552.288;
2020-01-07;1300;2759.698;
2020-01-07;1400;2777.417;
2020-01-07;1500;3045.123;
2020-01-07;1600;2444.897;
2020-01-07;1700;3409.635;
2020-01-07;1800;2864.483;
2020-01-07;1900;2162.893;
2020-01-07;2000;1662.484;
2020-01-07;2100;760.042;
2020-01-07;2200;44.819;
2020-01-07;2300;-3.6;
2020-01-08;0000;-3.6;
2020-01-08;0100;-3.522;
2020-01-08;0200;-3.6;
2020-01-08;0300;-2.872;
2020-01-08;0400;-3.034;
2020-01-08;0500;-3.581;
2020-01-08;0600;-3.516;
2020-01-08;0700;-2.692;
2020-01-08;0800;-2.191;
2020-01-08;0900;-.879;
2020-01-08;1000;79.22;
2020-01-08;1100;511.705;
2020-01-08;1200;1135.444;
2020-01-08;1300;1751.081;
2020-01-08;1400;2831.521;
2020-01-08;1500;2947.436;
2020-01-08;1600;2939.207;
2020-01-08;1700;1919.702;
2020-01-08;1800;1819.217;
2020-01-08;1900;1609.13;
2020-01-08;2000;1041.28;
2020-01-08;2100;382.079;
2020-01-08;2200;62.84;
2020-01-08;2300;-3.389;
2020-01-09;0000;-2.648;
2020-01-09;0100;-3.378;
2020-01-09;0200;-3.6;
2020-01-09;0300;-3.467;
2020-01-09;0400;-3.59;
2020-01-09;0500;-3.598;
2020-01-09;0600;-3.289;
2020-01-09;0700;-2.799;
2020-01-09;0800;-1.94;
2020-01-09;0900;-2.36;
2020-01-09;1000;128.754;
2020-01-09;1100;680.562;
2020-01-09;1200;993.1;
2020-01-09;1300;1090.091;
2020-01-09;1400;1224.288;
2020-01-09;1500;1351.774;
2020-01-09;1600;1758.647;
2020-01-09;1700;2060.808;
2020-01-09;1800;2627.25;
2020-01-09;1900;751.215;
2020-01-09;2000;1018.418;
2020-01-09;2100;449.016;
2020-01-09;2200;19.844;
2020-01-09;2300;-3.6;
2020-01-10;0000;-3.6;
2020-01-10;0100;-3.6;
2020-01-10;0200;-3.593;
2020-01-10;0300;-3.571;
2020-01-10;0400;-3.534;
2020-01-10;0500;-3.596;
2020-01-10;0600;-3.494;
2020-01-10;0700;-3.552;
2020-01-10;0800;-3.173;
2020-01-10;0900;-2.356;
2020-01-10;1000;226.751;
2020-01-10;1100;1006.515;
2020-01-10;1200;1856.695;
2020-01-10;1300;2632.596;
2020-01-10;1400;3099.758;
2020-01-10;1500;3856.292;
2020-01-10;1600;3270.081;
2020-01-10;1700;3191.433;
2020-01-10;1800;2735.455;
2020-01-10;1900;1943.639;
2020-01-10;2000;1268.563;
2020-01-10;2100;317.02;
2020-01-10;2200;42.356;
2020-01-10;2300;-3.6;
2020-01-11;0000;-3.6;
2020-01-11;0100;-3.597;
2020-01-11;0200;-3.35;
2020-01-11;0300;-3.039;
2020-01-11;0400;-3.327;
2020-01-11;0500;-2.913;
2020-01-11;0600;-2.283;
2020-01-11;0700;-.604;
2020-01-11;0800;-1.666;
2020-01-11;0900;1.539;
2020-01-11;1000;169.996;
2020-01-11;1100;201.877;
2020-01-11;1200;465.315;
2020-01-11;1300;825.26;
2020-01-11;1400;2087.668;
2020-01-11;1500;3059.002;
2020-01-11;1600;2355.263;
2020-01-11;1700;2933.473;
2020-01-11;1800;2787.45;
2020-01-11;1900;1796.958;
2020-01-11;2000;1410.66;
2020-01-11;2100;873.733;
2020-01-11;2200;72.088;
2020-01-11;2300;-3.6;
2020-01-12;0000;-3.6;
2020-01-12;0100;-3.6;
2020-01-12;0200;-3.6;
2020-01-12;0300;-3.6;
2020-01-12;0400;-3.553;
2020-01-12;0500;-3.326;
2020-01-12;0600;-3.151;
2020-01-12;0700;-2.898;
2020-01-12;0800;-1.084;
2020-01-12;0900;-1.451;
2020-01-12;1000;51.508;
2020-01-12;1100;497.144;
2020-01-12;1200;762.138;
2020-01-12;1300;1330.685;
2020-01-12;1400;2197.442;
2020-01-12;1500;3069.965;
2020-01-12;1600;2287.772;
2020-01-12;1700;2376.293;
2020-01-12;1800;1875.853;
2020-01-12;1900;1456.286;
2020-01-12;2000;1103.933;
2020-01-12;2100;686.791;
2020-01-12;2200;69.066;
2020-01-12;2300;-2.891;
2020-01-13;0000;-3.596;
2020-01-13;0100;-3.599;
2020-01-13;0200;-3.559;
2020-01-13;0300;-3.419;
2020-01-13;0400;-3.527;
2020-01-13;0500;-3.209;
2020-01-13;0600;-3.149;
2020-01-13;0700;-2.654;
2020-01-13;0800;-3.103;
2020-01-13;0900;-2.38;
2020-01-13;1000;188.532;
2020-01-13;1100;854.149;
2020-01-13;1200;984.338;
2020-01-13;1300;1572.658;
2020-01-13;1400;3261.267;
2020-01-13;1500;3309.697;
2020-01-13;1600;3005.774;
2020-01-13;1700;2826.971;
2020-01-13;1800;1905.347;
2020-01-13;1900;2531.224;
2020-01-13;2000;1440.547;
2020-01-13;2100;835.977;
2020-01-13;2200;75.429;
2020-01-13;2300;.639;
2020-01-14;0000;-2.314;
2020-01-14;0100;-1.802;
2020-01-14;0200;-3.047;
2020-01-14;0300;-2.176;
2020-01-14;0400;-2.582;
2020-01-14;0500;-3.504;
2020-01-14;0600;-3.537;
2020-01-14;0700;-3.474;
2020-01-14;0800;-3.564;
2020-01-14;0900;-2.138;
2020-01-14;1000;249.782;
2020-01-14;1100;943.429;
2020-01-14;1200;1844.207;
2020-01-14;1300;2607.547;
2020-01-14;1400;3207.454;
2020-01-14;1500;3195.952;
2020-01-14;1600;1753.593;
2020-01-14;1700;1822.063;
2020-01-14;1800;3059.437;
2020-01-14;1900;1973.822;
2020-01-14;2000;1813.929;
2020-01-14;2100;663.935;
2020-01-14;2200;41.649;
2020-01-14;2300;-3.6;
2020-01-15;0000;-3.6;
2020-01-15;0100;-3.6;
2020-01-15;0200;-3.6;
2020-01-15;0300;-3.6;
2020-01-15;0400;-3.6;
2020-01-15;0500;-3.6;
2020-01-15;0600;-2.364;
2020-01-15;0700;-3.522;
2020-01-15;0800;-3.6;
2020-01-15;0900;-3.418;
2020-01-15;1000;196.531;
2020-01-15;1100;951.337;
2020-01-15;1200;1861.726;
2020-01-15;1300;2420.397;
2020-01-15;1400;2371.879;
2020-01-15;1500;3526.046;
2020-01-15;1600;3261.333;
2020-01-15;1700;1560.727;
2020-01-15;1800;2997.93;
2020-01-15;1900;613.154;
2020-01-15;2000;635.334;
2020-01-15;2100;513.889;
2020-01-15;2200;49.852;
2020-01-15;2300;-3.6;
2020-01-16;0000;-3.6;
2020-01-16;0100;-3.6;
2020-01-16;0200;-3.518;
2020-01-16;0300;-3.55;
2020-01-16;0400;-3.6;
2020-01-16;0500;-2.765;
2020-01-16;0600;-2.877;
2020-01-16;0700;-3.589;
2020-01-16;0800;-3.548;
2020-01-16;0900;-1.877;
2020-01-16;1000;221.929;
2020-01-16;1100;671.03;
2020-01-16;1200;1328.145;
2020-01-16;1300;2663.535;
2020-01-16;1400;3174.074;
2020-01-16;1500;2347.183;
2020-01-16;1600;1802.333;
2020-01-16;1700;2749.553;
2020-01-16;1800;2415.268;
2020-01-16;1900;2121.286;
2020-01-16;2000;1533.544;
2020-01-16;2100;705.939;
2020-01-16;2200;50.616;
2020-01-16;2300;-3.6;
2020-01-17;0000;-3.6;
2020-01-17;0100;-3.04;
2020-01-17;0200;-3.491;
2020-01-17;0300;-3.6;
2020-01-17;0400;-3.6;
2020-01-17;0500;-3.6;
2020-01-17;0600;-3.587;
2020-01-17;0700;-3.543;
2020-01-17;0800;-3.553;
2020-01-17;0900;-2.847;
2020-01-17;1000;136.134;
2020-01-17;1100;790.541;
2020-01-17;1200;1761.057;
2020-01-17;1300;2624.68;
2020-01-17;1400;2920.894;
2020-01-17;1500;2845.354;
2020-01-17;1600;3017.78;
2020-01-17;1700;2154.696;
2020-01-17;1800;2646.648;
2020-01-17;1900;1765.78;
2020-01-17;2000;1466.877;
2020-01-17;2100;413.525;
2020-01-17;2200;76.913;
2020-01-17;2300;-3.6;
2020-01-18;0000;-3.6;
2020-01-18;0100;-3.6;
2020-01-18;0200;-3.6;
2020-01-18;0300;-3.592;
2020-01-18;0400;-3.577;
2020-01-18;0500;-3.584;
2020-01-18;0600;-3.6;
2020-01-18;0700;-3.47;
2020-01-18;0800;-3.405;
2020-01-18;0900;-1.973;
2020-01-18;1000;71.399;
2020-01-18;1100;339.052;
2020-01-18;1200;1146.32;
2020-01-18;1300;2123.026;
2020-01-18;1400;3053.78;
2020-01-18;1500;3049.486;
2020-01-18;1600;2681.953;
2020-01-18;1700;2404.857;
2020-01-18;1800;1819.636;
2020-01-18;1900;120.242;
2020-01-18;2000;117.092;
2020-01-18;2100;47.058;
2020-01-18;2200;6.389;
2020-01-18;2300;-2.198;
2020-01-19;0000;-2.975;
2020-01-19;0100;-3.378;
2020-01-19;0200;-3.495;
2020-01-19;0300;-3.546;
2020-01-19;0400;-3.162;
2020-01-19;0500;-2.382;
2020-01-19;0600;-2.485;
2020-01-19;0700;-2.198;
2020-01-19;0800;-2.949;
2020-01-19;0900;-2.917;
2020-01-19;1000;101.769;
2020-01-19;1100;579.678;
2020-01-19;1200;1694.503;
2020-01-19;1300;2419.711;
2020-01-19;1400;2929.789;
2020-01-19;1500;2858.302;
2020-01-19;1600;2953.41;
2020-01-19;1700;3934.906;
2020-01-19;1800;3130.011;
2020-01-19;1900;832.833;
2020-01-19;2000;446.663;
2020-01-19;2100;135.043;
2020-01-19;2200;18.561;
2020-01-19;2300;-3.23;
2020-01-20;0000;-1.688;
2020-01-20;0100;-3.6;
2020-01-20;0200;-3.6;
2020-01-20;0300;-3.546;
2020-01-20;0400;-3.6;
2020-01-20;0500;-3.6;
2020-01-20;0600;-3.518;
2020-01-20;0700;-3.398;
2020-01-20;0800;-3.207;
2020-01-20;0900;-3.339;
2020-01-20;1000;168.388;
2020-01-20;1100;743.712;
2020-01-20;1200;1900.427;
2020-01-20;1300;2819.915;
2020-01-20;1400;3406.571;
2020-01-20;1500;3519.088;
2020-01-20;1600;1621.119;
2020-01-20;1700;2429.62;
2020-01-20;1800;3377.088;
2020-01-20;1900;1540.716;
2020-01-20;2000;783.033;
2020-01-20;2100;524.178;
2020-01-20;2200;47.393;
2020-01-20;2300;-3.6;
2020-01-21;0000;-3.6;
2020-01-21;0100;-3.6;
2020-01-21;0200;-3.6;
2020-01-21;0300;-3.599;
2020-01-21;0400;-3.594;
2020-01-21;0500;-3.573;
2020-01-21;0600;-3.558;
2020-01-21;0700;-3.337;
2020-01-21;0800;-3.157;
2020-01-21;0900;-2.544;
2020-01-21;1000;146.328;
2020-01-21;1100;908.244;
2020-01-21;1200;1780.002;
2020-01-21;1300;2462.193;
2020-01-21;1400;2672.793;
2020-01-21;1500;2239.507;
2020-01-21;1600;1203.488;
2020-01-21;1700;2643.059;
2020-01-21;1800;1790.635;
2020-01-21;1900;927.638;
2020-01-21;2000;413.794;
2020-01-21;2100;247.173;
2020-01-21;2200;38.454;
2020-01-21;2300;-3.299;
2020-01-22;0000;-3.6;
2020-01-22;0100;-3.598;
2020-01-22;0200;-3.493;
2020-01-22;0300;-3.232;
2020-01-22;0400;-3.137;
2020-01-22;0500;-2.868;
2020-01-22;0600;-2.562;
2020-01-22;0700;-3.6;
2020-01-22;0800;-3.6;
2020-01-22;0900;-3.302;
2020-01-22;1000;123.524;
2020-01-22;1100;598.892;
2020-01-22;1200;1498.925;
2020-01-22;1300;1416.891;
2020-01-22;1400;2083.151;
2020-01-22;1500;2895.528;
2020-01-22;1600;2931.917;
2020-01-22;1700;1316.536;
2020-01-22;1800;1660.463;
2020-01-22;1900;869.388;
2020-01-22;2000;1160.278;
2020-01-22;2100;479.843;
2020-01-22;2200;35.078;
2020-01-22;2300;-2.682;
2020-01-23;0000;-2.486;
2020-01-23;0100;-1.926;
2020-01-23;0200;-1.886;
2020-01-23;0300;-1.618;
2020-01-23;0400;-1.438;
2020-01-23;0500;-1.36;
2020-01-23;0600;-1.731;
2020-01-23;0700;-1.687;
2020-01-23;0800;-1.523;
2020-01-23;0900;-1.379;
2020-01-23;1000;34.085;
2020-01-23;1100;147.468;
2020-01-23;1200;568.788;
2020-01-23;1300;641.262;
2020-01-23;1400;1304.035;
2020-01-23;1500;2036.253;
2020-01-23;1600;2508.128;
2020-01-23;1700;2145.73;
2020-01-23;1800;672.508;
2020-01-23;1900;504.635;
2020-01-23;2000;234.966;
2020-01-23;2100;59.861;
2020-01-23;2200;14.022;
2020-01-23;2300;.142;
2020-01-24;0000;-1.367;
2020-01-24;0100;-2.209;
2020-01-24;0200;-1.951;
2020-01-24;0300;-1.581;
2020-01-24;0400;-1.101;
2020-01-24;0500;-1.673;
2020-01-24;0600;-1.544;
2020-01-24;0700;-1.416;
2020-01-24;0800;-.641;
2020-01-24;0900;-.766;
2020-01-24;1000;49.417;
2020-01-24;1100;61.485;
2020-01-24;1200;44.158;
2020-01-24;1300;136.939;
2020-01-24;1400;468.732;
2020-01-24;1500;1237.615;
2020-01-24;1600;2152.691;
2020-01-24;1700;2628.82;
2020-01-24;1800;2935.65;
2020-01-24;1900;2022.533;
2020-01-24;2000;1560.871;
2020-01-24;2100;616.201;
2020-01-24;2200;52.278;
2020-01-24;2300;-3.6;
2020-01-25;0000;-3.6;
2020-01-25;0100;-3.246;
2020-01-25;0200;-3.093;
2020-01-25;0300;-2.924;
2020-01-25;0400;-3.034;
2020-01-25;0500;-2.289;
2020-01-25;0600;-3.134;
2020-01-25;0700;-3.016;
2020-01-25;0800;-2.995;
2020-01-25;0900;-2.545;
2020-01-25;1000;98.523;
2020-01-25;1100;841.611;
2020-01-25;1200;1689.071;
2020-01-25;1300;2162.368;
