Nome: ARAGUACU
Codigo Estacao: A054
Latitude: -12.59222221
Longitude: -49.5286111
Altitude: 231
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;23.8;983.85;23.0375;31.8;25.270833;23.4;88;52;9.4;2.116667;
2020-01-02;13.4;984.675;23.104167;30.7;24.420833;23.4;92.666667;65;11.5;1.504167;
2020-01-03;9;985.666667;22.5125;27.4;24.045833;21.3;91.208333;77;8;1.5625;
2020-01-04;15.6;985.329167;22.304167;28.4;24.9625;23.1;85.75;67;10.5;3.304167;
2020-01-05;21;984.779167;22.916667;29.8;24.7875;23.2;89.625;66;9.3;2.795652;
2020-01-06;5.8;985.675;21.9125;31.8;25.8625;22.5;80.416667;51;8.9;2.4375;
2020-01-07;.2;986.4;22.416667;32.3;25.795833;22.7;82.75;55;7;1.933333;
2020-01-08;0;985.654167;22.4375;33.4;26.779167;22;79.625;49;6.6;1.375;
2020-01-09;0;986.095833;23.2625;32.8;27.258333;23.7;79.833333;56;8.2;2.2375;
2020-01-10;0;984.583333;22.629167;35.7;28.204167;22.8;75.083333;40;5.4;1.233333;
2020-01-11;3.2;984.058333;23.595833;33.9;26.908333;23.9;83.541667;50;11.7;1.641667;
2020-01-12;0;985.3625;22.454167;35;27.491667;22;76.958333;45;4.8;1.425;
2020-01-13;31.6;986.129167;22.5375;32.2;25.591667;20.3;84.375;55;18;2.016667;
2020-01-14;.2;984.8625;22.633333;35.5;28.0625;22.2;76.083333;38;6.2;1.404167;
2020-01-15;0;983.3375;23.625;36.8;29.329167;24;74.166667;41;6.4;1.333333;
2020-01-16;0;985.004167;23.604167;36.1;29.170833;23.5;74.958333;42;6.8;1.2;
2020-01-17;0;986.375;23.75;31.7;26.995833;24.3;83.166667;61;8.4;1.941667;
2020-01-18;.2;985.658333;22.808333;35.1;27.475;22.1;78.458333;44;5.5;1.283333;
2020-01-19;0;984.533333;23.520833;33.9;28.008333;24.4;78.541667;49;9.1;1.983333;
2020-01-20;29;984.520833;22.9875;30.8;25.3875;21.7;87.291667;64;7.3;1.2875;
2020-01-21;9.4;982.5875;23.15;33.2;26.291667;22.3;84.5;54;9.6;1.858333;
2020-01-22;55.4;983.141667;22.854167;29.1;24.366667;22.7;91.625;73;10.9;1.795652;
2020-01-23;32.4;983.145833;23.108333;27.9;24.420833;22.6;92.625;78;10.3;2.691667;
2020-01-24;28;983.6375;23.208333;28.9;24.625;23.2;92.166667;75;14.5;3.4;
2020-01-25;62;985.1875;23.041667;29.2;24.5125;22.9;91.791667;72;10.2;2.13913;
2020-01-26;18.6;985.5375;22.845833;32.4;25.7625;22.4;85.25;56;12.4;1.766667;
2020-01-27;4.4;985.691667;22.820833;31;25.604167;23.3;85.666667;60;12.9;2.65;
2020-01-28;14;986.9625;22.529167;29;24.529167;22.5;88.75;70;11.7;1.791667;
2020-01-29;1.4;987.095833;22.925;33.8;25.433333;23.2;87.208333;50;10.3;1.645833;
2020-01-30;12.6;986.895833;22.6625;35.2;27.4;22.3;78.416667;42;6;1.3875;
2020-01-31;.2;986.016667;23.1;35.1;28.520833;23.4;75.875;39;5.6;1.441667;
2020-02-01;.2;985.783333;22.320833;36.4;28.625;23.1;73.583333;33;4.1;1.233333;
2020-02-02;0;985.366667;22.5875;35.5;28.425;22.9;73.75;40;4.8;1.570833;
2020-02-03;0;985.991667;21.333333;33.5;26.208333;22.4;77.333333;38;9.6;1.870833;
2020-02-04;0;986.558333;22.229167;32.4;26.354167;22.8;79.75;46;6.7;1.733333;
2020-02-05;0;986.375;22.970833;31.6;24.9625;22.5;89.416667;58;12.6;1.5;
2020-02-06;43.6;986.533333;22.979167;31.2;24.733333;22.4;90.75;59;8.9;1.220833;
2020-02-07;64.8;984.770833;22.35;29;24.720833;21.9;87.416667;66;9.9;2.4125;
2020-02-08;12.2;985.45;22.354167;25.6;23.570833;22.2;93;84;11.2;2.65;
2020-02-09;30.2;988.591667;21.658333;28.7;23.8;21.3;88.583333;67;7.3;1.858333;
2020-02-10;2.6;988.15;22.7;33.1;26.7625;22.7;80.541667;49;4.3;1.120833;
2020-02-11;.2;985.558333;23.241667;36.4;28.408333;23.3;76.75;41;8.7;1.504167;
2020-02-12;0;985.175;22.945833;27.1;24.670833;23.6;90.25;74;8.9;1.8;
2020-02-13;2.4;985.525;22.291667;34;26.220833;21.8;81.083333;49;8.5;1.566667;
2020-02-14;0;984.741667;22.541667;36.2;27.133333;22.7;79.375;41;13.7;1.408333;
2020-02-15;3;984.433333;22.4625;34.7;26.708333;22.5;80.166667;43;12.1;1.825;
2020-02-16;.2;985.229167;22.270833;34;27.3625;22.7;76.833333;45;4.5;1.104167;
2020-02-17;0;984.85;22.941667;31.7;26.158333;23.7;83.666667;54;9.6;1.633333;
2020-02-18;0;984.920833;22.808333;32.6;26.370833;23.7;82.375;50;9.1;1.758333;
2020-02-19;5.8;983.533333;23.3125;33.9;26.8125;23.3;82.916667;48;7.6;1.483333;
2020-02-20;20.6;984.370833;22.354167;30.6;25.820833;22.5;82.083333;59;8.8;2.516667;
2020-02-21;0;985.170833;22.9125;32.9;26.170833;22.7;83.625;53;14.6;1.108333;
2020-02-22;14.8;986.35;23.254167;31.8;25.333333;22.1;88.791667;59;10.8;1.554167;
2020-02-23;.8;986.4125;23.083333;34.8;27.3875;23;79.625;45;10.4;1.683333;
2020-02-24;10.4;985.9125;22.770833;33.3;26.1875;22.4;83.25;51;10.1;1.858333;
2020-02-25;15.2;985.025;23.5375;34.1;27.025;23.5;83.041667;52;9.3;1.470833;
2020-02-26;.2;985.283333;22.9875;30.3;24.9875;23.7;89.083333;68;10.9;1.575;
2020-02-27;7.6;984.345833;22.458333;33.7;27.191667;21.7;78.708333;45;6.8;1.5875;
2020-02-28;.2;986.329167;23.295833;31.9;26.475;23.3;83.458333;58;7.3;1.720833;
2020-02-29;0;987.520833;23.6;28.5;25.0625;23.4;91.916667;76;7.2;1.675;
2020-03-01;22.2;986.725;22.516667;32.1;26.045833;21.9;82.375;54;7.4;1.666667;
2020-03-02;0;984.925;23.733333;31.4;24.9875;23.5;93.25;61;14.4;1.5;
2020-03-03;42.6;985.2625;23.629167;28.7;25.058333;22.4;92.041667;73;7.4;1.833333;
2020-03-04;18.2;986.741667;23.1375;30.5;24.954167;21.8;90.291667;63;9;1.683333;
2020-03-05;3.8;986.525;23.091667;33.5;26.091667;22.8;85.041667;52;10.7;1.825;
2020-03-06;78.2;986.675;23.1125;28.8;24.379167;22.5;92.875;73;10;1.9375;
2020-03-07;10.4;984.9625;23.6125;30.8;25.0375;23.3;92.291667;66;6.1;1.5375;
2020-03-08;17.8;984.875;23.625;32.1;25.875;23.7;88.75;59;6.8;1.5375;
2020-03-09;15.6;986.316667;23.354167;31.2;25.8875;23.3;86.875;60;6.5;1.283333;
2020-03-10;0;985.545833;23.841667;31.3;26.05;23.6;88.333333;64;7.9;1.220833;
2020-03-11;1.8;984.5;23.3125;32.6;26.629167;23.6;83.375;52;10.2;1.675;
2020-03-12;0;985.320833;22.945833;31.5;25.879167;23.4;84.791667;54;7;1.541667;
2020-03-13;0;985.0375;22.9125;34.6;27.641667;23.3;78.958333;42;5;1.045833;
2020-03-14;0;985.566667;22.920833;32.8;26.466667;23.6;82.625;53;13.2;2.108333;
2020-03-15;58.8;986.104167;22.991667;33.2;25.420833;22;87.875;54;7.7;1.758333;
2020-03-16;19.6;986.929167;22.5;32.3;25.625;22.7;84.416667;53;7.8;1.441667;
2020-03-17;.2;985.9875;22.404167;34.6;26.904167;22.3;79.541667;41;6.2;1.266667;
2020-03-18;0;985.183333;23.804167;34.7;28.25;23.4;79.041667;46;5.5;1.05;
2020-03-19;0;984.191667;23.025;34.2;26.5625;23;82.416667;52;12.4;1.795833;
2020-03-20;0;984.595833;23.3375;29;24.454167;23.1;93.75;72;7.9;1.858333;
2020-03-21;20;985.470833;22.9;30.1;24.9125;22.6;89.125;64;9.4;2.6375;
2020-03-22;1.2;986.529167;23.595833;32.2;25.958333;22.7;88.083333;57;9.9;1.379167;
2020-03-23;5.6;986.070833;23.483333;33.7;26.695833;22.8;84.75;51;11.3;1.2375;
2020-03-24;18;985.7125;23.558333;30.6;24.404167;24;95.416667;69;9.4;1.429167;
2020-03-25;27;985.491667;22.891667;30.9;25.4875;22.5;86.708333;60;7.3;1.645833;
2020-03-26;.6;984.425;22.9875;31.1;25.4875;22.7;87;60;7.7;2.158333;
2020-03-27;6.4;983.85;22.9625;32.6;26.325;23.3;83.708333;49;7;1.733333;
2020-03-28;.4;985.3;23.333333;33.2;25.841667;24.1;86.958333;53;16;1.416667;
2020-03-29;5.8;985.8;22.675;33.7;27.308333;22.3;79;44;8.6;1.8125;
2020-03-30;.4;984.854167;22.329167;34.7;27.641667;21.9;76.416667;40;6.8;1.454167;
2020-03-31;0;983.833333;22.470833;34;27.841667;22.7;76.416667;43;7.2;1.470833;
2020-04-01;.2;984.208333;22.854167;34.3;27.508333;22.7;79.041667;45;6.2;1.4625;
2020-04-02;0;986;22.95;34.6;27.8375;23.3;78.458333;41;6.4;1.2375;
2020-04-03;.2;984.7875;22.616667;35.6;28.204167;22.1;76.416667;35;4.4;.8875;
2020-04-04;0;983.891667;23.195833;35.6;28.079167;22.2;78.333333;40;4.4;.991667;
2020-04-05;.2;984.6;23.108333;36.6;28.6625;22;76.291667;36;4.9;1.016667;
2020-04-06;5.6;985.45;24.2;35.4;27.704167;24.3;83.375;47;8.7;1.404167;
2020-04-07;5.8;986.325;24.15;31.5;25.983333;24;90.416667;60;4.9;1.404167;
2020-04-08;3;985.066667;23.6;34.9;27.495833;22.7;81.833333;46;6.8;1.554167;
2020-04-09;.2;984.4375;23.858333;34.4;26.5875;23.6;86.5;52;14.1;1.3625;
2020-04-10;29;985.033333;24.008333;32.7;26.883333;23.5;85.833333;53;8.3;1.433333;
2020-04-11;.4;985.745833;23.904167;32;25.441667;24.5;92.125;59;13.8;1.766667;
2020-04-12;8.8;986.875;23.1125;31.7;25.7625;22.7;86.875;58;7.6;1.3625;
