Nome: LAGOA DA CONFUSAO
Codigo Estacao: A055
Latitude: -10.828286
Longitude: -49.847882
Altitude: 178
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.572;
2020-01-01;0100;-2.39;
2020-01-01;0200;-3.187;
2020-01-01;0300;-3.289;
2020-01-01;0400;-3.368;
2020-01-01;0500;-3.378;
2020-01-01;0600;-2.549;
2020-01-01;0700;-2.151;
2020-01-01;0800;-2.848;
2020-01-01;0900;-.845;
2020-01-01;1000;106.078;
2020-01-01;1100;516.356;
2020-01-01;1200;1368.525;
2020-01-01;1300;1616.153;
2020-01-01;1400;1757.446;
2020-01-01;1500;2156.785;
2020-01-01;1600;3041.329;
2020-01-01;1700;2718.009;
2020-01-01;1800;2635.71;
2020-01-01;1900;721.8;
2020-01-01;2000;375.594;
2020-01-01;2100;278.212;
2020-01-01;2200;57.613;
2020-01-01;2300;-3.584;
2020-01-02;0000;-3.464;
2020-01-02;0100;-3.267;
2020-01-02;0200;-3.068;
2020-01-02;0300;-3.127;
2020-01-02;0400;-2.986;
2020-01-02;0500;-2.608;
2020-01-02;0600;-2.809;
2020-01-02;0700;-2.163;
2020-01-02;0800;-1.454;
2020-01-02;0900;-.839;
2020-01-02;1000;106.907;
2020-01-02;1100;480.052;
2020-01-02;1200;755.298;
2020-01-02;1300;338.576;
2020-01-02;1400;170.703;
2020-01-02;1500;76.538;
2020-01-02;1600;119.598;
2020-01-02;1700;239.338;
2020-01-02;1800;844.343;
2020-01-02;1900;1084.133;
2020-01-02;2000;1055.798;
2020-01-02;2100;751.318;
2020-01-02;2200;74.371;
2020-01-02;2300;-3.173;
2020-01-03;0000;-3.077;
2020-01-03;0100;-3.063;
2020-01-03;0200;-3.025;
2020-01-03;0300;-1.877;
2020-01-03;0400;-1.327;
2020-01-03;0500;-.71;
2020-01-03;0600;-1.18;
2020-01-03;0700;-1.673;
2020-01-03;0800;-1.883;
2020-01-03;0900;-1.787;
2020-01-03;1000;136.948;
2020-01-03;1100;426.095;
2020-01-03;1200;794.614;
2020-01-03;1300;1908.841;
2020-01-03;1400;2391.985;
2020-01-03;1500;2985.142;
2020-01-03;1600;426.706;
2020-01-03;1700;547.327;
2020-01-03;1800;970.142;
2020-01-03;1900;797.399;
2020-01-03;2000;434.518;
2020-01-03;2100;185.666;
2020-01-03;2200;35.861;
2020-01-03;2300;-2.176;
2020-01-04;0000;-2.27;
2020-01-04;0100;-1.396;
2020-01-04;0200;-1.781;
2020-01-04;0300;-1.105;
2020-01-04;0400;-1.04;
2020-01-04;0500;-1.378;
2020-01-04;0600;-1.038;
2020-01-04;0700;-1.202;
2020-01-04;0800;-.704;
2020-01-04;0900;-.305;
2020-01-04;1000;54.37;
2020-01-04;1100;253.499;
2020-01-04;1200;747.332;
2020-01-04;1300;1482.324;
2020-01-04;1400;2207.366;
2020-01-04;1500;1853.872;
2020-01-04;1600;2635.917;
2020-01-04;1700;1691.272;
2020-01-04;1800;1969.873;
2020-01-04;1900;1737.863;
2020-01-04;2000;1043.15;
2020-01-04;2100;749.779;
2020-01-04;2200;82.859;
2020-01-04;2300;-3.411;
2020-01-05;0000;-2.505;
2020-01-05;0100;-2.283;
2020-01-05;0200;-3.075;
2020-01-05;0300;-2.615;
2020-01-05;0400;-1.726;
2020-01-05;0500;-2.579;
2020-01-05;0600;-2.083;
2020-01-05;0700;-1.236;
2020-01-05;0800;-1.372;
2020-01-05;0900;-.835;
2020-01-05;1000;91.513;
2020-01-05;1100;402.829;
2020-01-05;1200;751.388;
2020-01-05;1300;1066.248;
2020-01-05;1400;1851.301;
2020-01-05;1500;2501.433;
2020-01-05;1600;2748.805;
2020-01-05;1700;1981.213;
2020-01-05;1800;690.948;
2020-01-05;1900;1401.613;
2020-01-05;2000;998.003;
2020-01-05;2100;285.093;
2020-01-05;2200;28.392;
2020-01-05;2300;-2.104;
2020-01-06;0000;-2.487;
2020-01-06;0100;-2.803;
2020-01-06;0200;-2.309;
2020-01-06;0300;-1.96;
2020-01-06;0400;-.986;
2020-01-06;0500;-1.456;
2020-01-06;0600;-1.96;
2020-01-06;0700;-1.485;
2020-01-06;0800;-1.45;
2020-01-06;0900;-1.193;
2020-01-06;1000;44.501;
2020-01-06;1100;328.507;
2020-01-06;1200;1007.78;
2020-01-06;1300;1407.584;
2020-01-06;1400;1560.069;
2020-01-06;1500;1081.197;
2020-01-06;1600;2119.788;
2020-01-06;1700;2623.554;
2020-01-06;1800;2716.432;
2020-01-06;1900;2375.249;
2020-01-06;2000;1870.378;
2020-01-06;2100;815.34;
2020-01-06;2200;73.481;
2020-01-06;2300;-2.102;
2020-01-07;0000;-2.994;
2020-01-07;0100;-3.514;
2020-01-07;0200;-3.299;
2020-01-07;0300;-2.452;
2020-01-07;0400;-2.379;
2020-01-07;0500;-1.783;
2020-01-07;0600;-1.856;
2020-01-07;0700;-1.782;
2020-01-07;0800;-1.505;
2020-01-07;0900;-1.393;
2020-01-07;1000;119.758;
2020-01-07;1100;882.526;
2020-01-07;1200;1470.922;
2020-01-07;1300;2308.606;
2020-01-07;1400;2598.522;
2020-01-07;1500;2504.601;
2020-01-07;1600;2933.104;
2020-01-07;1700;2578.017;
2020-01-07;1800;1104.573;
2020-01-07;1900;622.81;
2020-01-07;2000;1432.025;
2020-01-07;2100;344.876;
2020-01-07;2200;150.363;
2020-01-07;2300;-3.575;
2020-01-08;0000;-3.386;
2020-01-08;0100;-3.313;
2020-01-08;0200;-3.22;
2020-01-08;0300;-3.164;
2020-01-08;0400;-3.21;
2020-01-08;0500;-3.244;
2020-01-08;0600;-2.935;
2020-01-08;0700;-2.942;
2020-01-08;0800;-2.72;
2020-01-08;0900;-1.831;
2020-01-08;1000;102.189;
2020-01-08;1100;494.352;
2020-01-08;1200;795.673;
2020-01-08;1300;1332.069;
2020-01-08;1400;1655.792;
2020-01-08;1500;2457.293;
2020-01-08;1600;2470.998;
2020-01-08;1700;2379.296;
2020-01-08;1800;3198.967;
2020-01-08;1900;1264.598;
2020-01-08;2000;957.589;
2020-01-08;2100;619.5;
2020-01-08;2200;100.171;
2020-01-08;2300;-3.544;
2020-01-09;0000;-3.261;
2020-01-09;0100;-2.033;
2020-01-09;0200;-1.344;
2020-01-09;0300;-2.058;
2020-01-09;0400;-3.142;
2020-01-09;0500;-2.037;
2020-01-09;0600;-2.854;
2020-01-09;0700;-1.709;
2020-01-09;0800;-2.649;
2020-01-09;0900;-.788;
2020-01-09;1000;201.366;
2020-01-09;1100;1011.689;
2020-01-09;1200;1819.401;
2020-01-09;1300;2323.997;
2020-01-09;1400;2722.964;
2020-01-09;1500;3730.076;
2020-01-09;1600;3350.634;
2020-01-09;1700;3483.351;
2020-01-09;1800;1818.932;
2020-01-09;1900;2168.761;
2020-01-09;2000;1213.732;
2020-01-09;2100;138.113;
2020-01-09;2200;45.993;
2020-01-09;2300;-3.208;
2020-01-10;0000;-3.245;
2020-01-10;0100;-3.256;
2020-01-10;0200;-3.013;
2020-01-10;0300;-3.28;
2020-01-10;0400;-1.698;
2020-01-10;0500;-2.404;
2020-01-10;0600;-1.776;
2020-01-10;0700;-.529;
2020-01-10;0800;-.32;
2020-01-10;0900;-.945;
2020-01-10;1000;183.316;
2020-01-10;1100;1384.872;
2020-01-10;1200;1871.06;
2020-01-10;1300;2628.347;
2020-01-10;1400;3053.865;
2020-01-10;1500;2226.774;
2020-01-10;1600;2645.114;
2020-01-10;1700;2726.826;
2020-01-10;1800;3375.799;
2020-01-10;1900;1861.643;
2020-01-10;2000;1024.535;
2020-01-10;2100;931.892;
2020-01-10;2200;287.583;
2020-01-10;2300;-2.414;
2020-01-11;0000;null;
2020-01-11;0100;-3.298;
2020-01-11;0200;-3.009;
2020-01-11;0300;-3.158;
2020-01-11;0400;-3.207;
2020-01-11;0500;-3.053;
2020-01-11;0600;-2.96;
2020-01-11;0700;-3.026;
