Nome: CRISTALINA (FAZENDA SANTA MONICA)
Codigo Estacao: A056
Latitude: -16.39944444
Longitude: -47.62583332
Altitude: 932
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.595;
2020-01-01;0100;-3.594;
2020-01-01;0200;-3.6;
2020-01-01;0300;-3.502;
2020-01-01;0400;-3.299;
2020-01-01;0500;-2.947;
2020-01-01;0600;-2.886;
2020-01-01;0700;-2.854;
2020-01-01;0800;-2.836;
2020-01-01;0900;10.488;
2020-01-01;1000;239.601;
2020-01-01;1100;634.595;
2020-01-01;1200;1777.828;
2020-01-01;1300;2894.073;
2020-01-01;1400;3031.423;
2020-01-01;1500;3305.312;
2020-01-01;1600;2099.652;
2020-01-01;1700;717.14;
2020-01-01;1800;780.705;
2020-01-01;1900;1506.061;
2020-01-01;2000;900.926;
2020-01-01;2100;543.002;
2020-01-01;2200;100.18;
2020-01-01;2300;-3.6;
2020-01-02;0000;-3.494;
2020-01-02;0100;-3.516;
2020-01-02;0200;-3.592;
2020-01-02;0300;-3.6;
2020-01-02;0400;-3.568;
2020-01-02;0500;-3.6;
2020-01-02;0600;-3.256;
2020-01-02;0700;-3.342;
2020-01-02;0800;-3.275;
2020-01-02;0900;2.387;
2020-01-02;1000;188.342;
2020-01-02;1100;583.049;
2020-01-02;1200;1315.449;
2020-01-02;1300;2641.953;
2020-01-02;1400;3197.43;
2020-01-02;1500;1743.151;
2020-01-02;1600;1475.012;
2020-01-02;1700;1820.341;
2020-01-02;1800;1249.178;
2020-01-02;1900;560.143;
2020-01-02;2000;249.094;
2020-01-02;2100;73.393;
2020-01-02;2200;5.344;
2020-01-02;2300;-1.861;
2020-01-03;0000;-1.486;
2020-01-03;0100;-1.712;
2020-01-03;0200;-1.31;
2020-01-03;0300;-.696;
2020-01-03;0400;-1.422;
2020-01-03;0500;-1.643;
2020-01-03;0600;-2.156;
2020-01-03;0700;-2.305;
2020-01-03;0800;-2.453;
2020-01-03;0900;12.583;
2020-01-03;1000;218.355;
2020-01-03;1100;797.848;
2020-01-03;1200;1734.249;
2020-01-03;1300;1455.495;
2020-01-03;1400;2708.345;
2020-01-03;1500;3144.424;
2020-01-03;1600;3353.13;
2020-01-03;1700;3749.985;
2020-01-03;1800;2988.141;
2020-01-03;1900;2141.116;
2020-01-03;2000;1472.366;
2020-01-03;2100;691.984;
2020-01-03;2200;75.564;
2020-01-03;2300;-2.022;
2020-01-04;0000;-1.262;
2020-01-04;0100;-1.549;
2020-01-04;0200;-.418;
2020-01-04;0300;-1.869;
2020-01-04;0400;-1.87;
2020-01-04;0500;-3.382;
2020-01-04;0600;-3.246;
2020-01-04;0700;-3.225;
2020-01-04;0800;-3.548;
2020-01-04;0900;4.085;
2020-01-04;1000;237.717;
2020-01-04;1100;645.594;
2020-01-04;1200;1063.752;
2020-01-04;1300;1274.326;
2020-01-04;1400;974.489;
2020-01-04;1500;2162.949;
2020-01-04;1600;2712.384;
2020-01-04;1700;778.024;
2020-01-04;1800;440.6;
2020-01-04;1900;978.063;
2020-01-04;2000;32.495;
2020-01-04;2100;17.325;
2020-01-04;2200;4.753;
2020-01-04;2300;-.971;
2020-01-05;0000;-.122;
2020-01-05;0100;-.202;
2020-01-05;0200;-1.394;
2020-01-05;0300;-1.48;
2020-01-05;0400;-.442;
2020-01-05;0500;-.336;
2020-01-05;0600;-.992;
2020-01-05;0700;-1.243;
2020-01-05;0800;-1.692;
2020-01-05;0900;1.452;
2020-01-05;1000;118.234;
2020-01-05;1100;673.088;
2020-01-05;1200;635.655;
2020-01-05;1300;1148.939;
2020-01-05;1400;2274.988;
2020-01-05;1500;874.605;
2020-01-05;1600;548.394;
2020-01-05;1700;461.173;
2020-01-05;1800;191.733;
2020-01-05;1900;177.625;
2020-01-05;2000;376.628;
2020-01-05;2100;293.383;
2020-01-05;2200;93.45;
2020-01-05;2300;-2.918;
2020-01-06;0000;-3.007;
2020-01-06;0100;-3.361;
2020-01-06;0200;-3.548;
2020-01-06;0300;-3.6;
2020-01-06;0400;-3.529;
2020-01-06;0500;-3.429;
2020-01-06;0600;-3.6;
2020-01-06;0700;-3.6;
2020-01-06;0800;-3.599;
2020-01-06;0900;9.342;
2020-01-06;1000;503.494;
2020-01-06;1100;1378.209;
2020-01-06;1200;2009.182;
2020-01-06;1300;2419.139;
2020-01-06;1400;2952.22;
2020-01-06;1500;3140.419;
2020-01-06;1600;3389.811;
2020-01-06;1700;2519.243;
2020-01-06;1800;1611.461;
2020-01-06;1900;1142.698;
2020-01-06;2000;1433.025;
2020-01-06;2100;1003.81;
2020-01-06;2200;133.993;
2020-01-06;2300;-3.6;
2020-01-07;0000;-3.6;
2020-01-07;0100;-3.59;
2020-01-07;0200;-3.6;
2020-01-07;0300;-2.916;
2020-01-07;0400;-3.27;
2020-01-07;0500;-2.887;
2020-01-07;0600;-3.293;
2020-01-07;0700;-3.437;
2020-01-07;0800;-2.638;
2020-01-07;0900;1.11;
2020-01-07;1000;153.765;
2020-01-07;1100;603.267;
2020-01-07;1200;1278.709;
2020-01-07;1300;2337.093;
2020-01-07;1400;3165.058;
2020-01-07;1500;2832.869;
2020-01-07;1600;2163.139;
2020-01-07;1700;1833.423;
2020-01-07;1800;2820.523;
2020-01-07;1900;2347.312;
2020-01-07;2000;1916.224;
2020-01-07;2100;635.557;
2020-01-07;2200;43.12;
2020-01-07;2300;-3.321;
2020-01-08;0000;-1.993;
2020-01-08;0100;.134;
2020-01-08;0200;-.277;
2020-01-08;0300;-1.27;
2020-01-08;0400;-1.367;
2020-01-08;0500;-2.885;
2020-01-08;0600;-2.793;
2020-01-08;0700;-3.045;
2020-01-08;0800;-2.897;
2020-01-08;0900;2.348;
2020-01-08;1000;193.323;
2020-01-08;1100;1169.902;
2020-01-08;1200;1707.619;
2020-01-08;1300;1945.097;
2020-01-08;1400;1427.373;
2020-01-08;1500;1721.67;
2020-01-08;1600;2906.208;
2020-01-08;1700;2620.192;
2020-01-08;1800;921.518;
2020-01-08;1900;410.792;
2020-01-08;2000;755.776;
2020-01-08;2100;323.337;
2020-01-08;2200;70.698;
2020-01-08;2300;-3.495;
2020-01-09;0000;-2.775;
2020-01-09;0100;-2.467;
2020-01-09;0200;-2.395;
2020-01-09;0300;-2.884;
2020-01-09;0400;-3.524;
2020-01-09;0500;-3.316;
2020-01-09;0600;-3.211;
2020-01-09;0700;-3.281;
2020-01-09;0800;-3.507;
2020-01-09;0900;5.25;
