Nome: MANAUS
Codigo Estacao: A101
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;1003.6375;22.016667;31.9;27.104167;23.7;75.416667;52;7.3;1.291667;
2020-01-02;0;1004.091667;20.320833;32.8;28.2375;24;63.708333;42;5.5;1.391667;
2020-01-03;0;1005.658333;20.675;34;28.708333;25.3;63.375;41;6.1;.925;
2020-01-04;0;1005.7625;22.525;33.6;27.816667;25.2;74.25;47;7.1;1.395833;
2020-01-05;0;1003.83913;20.734783;35.2;29.517391;25.2;61.913043;36;6.5;1.173913;
2020-01-06;0;1003.166667;19.554167;34.8;30.191667;26.1;54;37;8.3;1.604167;
2020-01-07;0;1003.804167;21.945833;33.6;29.125;25.5;66.708333;47;9.8;2.116667;
2020-01-08;0;1005.220833;23.004167;32.1;26.866667;23.4;80.333333;54;10.6;1.25;
2020-01-09;0;1005.683333;22.2875;31.2;27.55;23.6;73.291667;55;8.6;1.65;
2020-01-10;0;1004.7;23.1;30.6;26.983333;24.9;79.625;64;8.2;1.304167;
2020-01-11;5.2;1004.345833;21.516667;32;27.666667;24.2;70.458333;49;8.3;1.279167;
2020-01-12;0;1004.9875;21.179167;32.9;28.2;24.3;66.916667;46;6.3;1.245833;
2020-01-13;0;1005.3125;21.95;31.6;26.9;25.5;75.208333;53;7.2;1.020833;
2020-01-14;11.6;1005.254167;21.9;32;26.9125;23.6;75.875;49;6.4;.958333;
2020-01-15;.6;1003.6;22.120833;32.7;28.170833;24.3;70.833333;50;7.5;1.408333;
2020-01-16;.2;1005.383333;22.645833;30.1;27.595833;24.2;74.791667;62;7.2;1.254167;
2020-01-17;.4;1006.2;23.991667;31.5;26.754167;24.2;85.083333;64;7;1;
2020-01-18;14.6;1005.495833;23.670833;32.2;26.854167;24.4;83.5;57;6.3;.954167;
2020-01-19;2.6;1004.983333;23.325;31.4;26.041667;24.3;85.416667;60;6.4;.7125;
2020-01-20;30.8;1004.216667;24.0375;31.2;26.541667;24.2;86.541667;63;7.9;.7;
2020-01-21;107.6;1004.175;23.204167;29.8;26.158333;23.6;84.25;66;5.7;1.025;
2020-01-22;3.2;1003.266667;22.654167;33.1;27.554167;23.6;75.416667;53;5.9;1.316667;
2020-01-23;0;1002.841667;23.254167;33.6;28.966667;25.9;72.916667;49;5.6;1.170833;
2020-01-24;1.2;1002.55;23.170833;34.2;29.333333;26.2;71.083333;46;6.3;1.2;
2020-01-25;55.2;1005.375;22.870833;31.4;27.066667;23.3;78.791667;51;10.8;1.4125;
2020-01-26;10.2;1004.679167;23.483333;33.2;27.695833;23.6;78.875;56;9.4;1.020833;
2020-01-27;7;1004.316667;23.258333;33.9;28.483333;25.6;74.291667;53;7;1.491667;
2020-01-28;84.2;1004.879167;23.175;30.1;26.3;23.8;83.541667;64;7.4;1.608333;
2020-01-29;3.4;1004.5;23.3125;32.7;28.058333;23.8;76.458333;55;9.2;1.416667;
2020-01-30;2.8;1004.95;22.991667;33.5;28.366667;25.3;73.875;50;9.6;1.770833;
2020-01-31;0;1005.45;22.975;33.5;28.675;25.7;72.083333;50;12.7;2.054167;
2020-02-01;.4;1005.575;22.520833;32.4;27.65;24.7;74.125;52;6.6;1.866667;
2020-02-02;3.2;1005.341667;21.566667;33.4;28.6375;24.9;67;45;7.3;1.704167;
2020-02-03;0;1005.795833;21.1125;32.8;29.1375;26.5;62.583333;44;6.2;.975;
2020-02-04;0;1005.416667;21.733333;34;28.779167;26.3;66.875;45;7.9;1.479167;
2020-02-05;6.4;1005.2625;22.575;31.4;27.133333;24.5;76.791667;55;13.2;1.545833;
2020-02-06;9;1004.6375;22.779167;32.1;27.479167;24.8;76.416667;51;8;1.5375;
2020-02-07;.4;1004.7;20.8;32.7;28.025;25.2;65.875;44;7.6;1.058333;
2020-02-08;0;1004.775;20.75;33;28.525;25.5;63.541667;44;5.6;.983333;
2020-02-09;0;1005.7;21.6375;34.4;29.1375;26.5;64.958333;41;7.5;1.6375;
2020-02-10;0;1006.041667;22.125;32.9;27.9125;25.4;71.875;49;10.9;2.108333;
2020-02-11;7.4;1005.679167;22.895833;31.9;26.975;24.3;79.041667;55;6.3;1.425;
2020-02-12;3.2;1004.904167;23.5875;29.9;26.308333;24.6;85.291667;64;8.5;1.4375;
2020-02-13;26.6;1004.204167;23.1625;31.3;26.754167;23.8;81.5;61;6.1;1.266667;
2020-02-14;0;1004.783333;23.216667;28.5;26.4625;24.9;82.625;66;6.3;1.358333;
2020-02-15;2.6;1004.575;22.4125;33.8;27.545833;23.7;75.375;51;7.2;1.2625;
2020-02-16;0;1003.854167;22.870833;33;28.058333;24.5;74.083333;51;8.1;1.333333;
2020-02-17;4.2;1003.425;23.229167;31.5;27.554167;25.3;77.75;58;9.4;1.5;
2020-02-18;36;1003.408333;22.7875;33.4;28.916667;24.3;70.708333;48;6.8;1.475;
2020-02-19;.6;1002.754167;22.354167;34.1;29.558333;26.9;65.791667;49;6.9;1.441667;
2020-02-20;0;1003.343478;22.804348;31.2;28.23913;26.2;73.043478;53;6.6;1.552174;
2020-02-21;0;1004.258333;23.075;31.3;27.6;26.4;76.916667;52;6.3;1.3625;
2020-02-22;16.8;1004.9375;23.625;33.5;27.566667;25.2;80.041667;53;10.7;1.520833;
2020-02-23;28.2;1004.879167;23.7;32.4;27.933333;23.4;78.791667;57;6.6;1.933333;
2020-02-24;0;1004.158333;22.883333;32.6;28.05;25.2;74.208333;54;6.7;1.475;
2020-02-25;20.2;1004.6875;23.070833;31.1;26.8875;24;80.458333;59;8.4;1.541667;
2020-02-26;.2;1004.370833;23.358333;31.9;27.65;24.8;78.125;58;8.1;1.370833;
2020-02-27;37.8;1004.791667;23.895833;33.1;27.125;23.8;83.458333;52;5.7;.95;
2020-02-28;6;1005.7875;24.15;30.6;27.525;25.7;82.083333;68;8.6;1.508333;
2020-02-29;.6;1006.654167;23.858333;32.5;27.441667;25.2;81.416667;57;5.8;1.2625;
2020-03-01;2.6;1005.458333;24.195833;31.9;28.05;25.6;80.333333;51;6.3;.991667;
2020-03-02;43.6;1005.629167;23.258333;28.2;25.866667;23.7;85.875;75;6;1.4;
2020-03-03;.2;1004.566667;23.120833;33.2;27.504167;24.3;78.083333;49;8.7;1.420833;
2020-03-04;7.6;1004.970833;23.695833;33.5;29.154167;25.1;73.583333;52;6.3;1.541667;
2020-03-05;.4;1006.016667;23.566667;31.2;26.645833;25.5;83.666667;60;7.9;1.145833;
2020-03-06;40;1005.604167;23.454167;32.7;27.6125;24;79;54;7.4;1.35;
2020-03-07;.2;1003.804167;22.1125;34.5;29.0875;25.5;68.416667;42;6.6;1.325;
2020-03-08;0;1004.282609;21.008696;34;29.7;25.7;60.565217;42;6.4;1.169565;
2020-03-09;0;1005.4375;22.9875;33.3;29.35;26.2;70.083333;46;6.7;1.854167;
2020-03-10;.4;1005.429167;22.0125;33.5;29.129167;25.8;66.5;46;7.4;1.85;
2020-03-11;0;1003.345833;22.7625;33.9;29.4125;26.1;69.083333;45;6;1.658333;
2020-03-12;0;1002.325;23.225;34.2;30.225;26.8;67;49;6.9;1.845833;
2020-03-13;0;1002.758333;23.583333;34.2;29.904167;27.2;69.625;52;8.8;1.9625;
2020-03-14;17.8;1004.8375;23.270833;28.9;25.879167;24.5;86.041667;67;7.2;1.541667;
2020-03-15;52.4;1004.9125;22.745833;32.1;26.516667;23.4;80.75;55;4.9;1.275;
2020-03-16;0;1004.020833;23.283333;33.2;28.4375;24.6;74.791667;51;7.9;1.745833;
2020-03-17;0;1004.0625;23.566667;30.8;28.0125;25.4;77.458333;61;7.5;1.225;
2020-03-18;0;1004.629167;24.2125;31.1;28.083333;25.9;80.041667;61;6.6;1.491667;
2020-03-19;3;1006.579167;22.6375;27.1;24.4125;24.9;89.875;83;6.8;1.379167;
2020-03-20;22.6;1005.654167;21.591667;32.8;25.754167;22.3;79.416667;49;6.2;1.2;
2020-03-21;1.8;1004.379167;22.6125;33.3;28.091667;24.1;73.791667;49;6.1;1.3375;
2020-03-22;4.4;1004.541667;23.266667;33.9;29.6;26;70;49;7.6;1.975;
2020-03-23;128.4;1007.116667;22.520833;30.7;25.325;22.8;85.083333;64;8.6;1.4;
2020-03-24;34.2;1005.891667;21.266667;33.5;27.079167;22.6;73.291667;41;4.8;1.091667;
2020-03-25;0;1003.733333;22.058333;34.7;29.091667;25.2;67.25;44;6.4;1.404167;
2020-03-26;2.2;1002.06087;23.43913;34.6;29.756522;26.7;69.652174;48;6.6;1.465217;
2020-03-27;.6;1001.620833;23.658333;30.6;28.2125;26.2;76.583333;65;6.2;1.258333;
2020-03-28;0;1002.241667;23.85;32.4;28.3625;25.2;77.5;59;8.6;1.620833;
2020-03-29;0;1002.808333;23.525;33.4;28.175;25.4;76.708333;51;12.6;1.566667;
2020-03-30;.6;1004.027273;23.759091;27.7;25.809091;26;88.5;80;9.7;.936364;
2020-03-31;null;1003.804348;23.347826;30.5;25.265217;23.1;89.434783;65;6.7;.96087;
2020-04-01;21.4;1003.804167;22.495833;33.3;26.75;22.7;79.291667;53;6;1.091667;
2020-04-02;0;1005.3375;23.208333;32.5;27.154167;24.4;79.875;55;8.4;1.341667;
2020-04-03;.2;1004.8875;23.1125;33.4;28.216667;25.1;75.375;50;6.5;1.1875;
2020-04-04;1.4;1003.520833;23.5875;31.1;27.7875;25.5;78.458333;61;6.2;1.45;
2020-04-05;1;1003.575;23.9;33.3;28.958333;25.3;75.416667;54;6.1;1.3;
2020-04-06;.2;1004.745833;23.891667;33.7;27.741667;26.4;80.25;54;11.9;1.6;
2020-04-07;8;1005.0625;23.979167;32.2;27.8875;25.5;80.541667;57;5.8;1.108333;
2020-04-08;.8;1005.204167;24.420833;29;26.808333;26.2;86.875;74;4.6;1.041667;
2020-04-09;7.4;1005.5125;23.504167;26.6;25.116667;24.5;90.833333;80;13;.75;
2020-04-10;5.4;1004.891667;23.095833;33;27.6375;23.1;77.958333;48;5.5;1.075;
2020-04-11;0;1005.5875;23.141667;29.5;25.758333;25.2;85.666667;65;9.9;.895833;
2020-04-12;43.2;1006.275;22.5625;33.2;26.7625;23.3;79.583333;46;9.5;1.145833;
2020-04-13;.2;1006.504167;23.041667;30.2;25.741667;24.2;85.458333;62;6.1;.966667;
2020-04-14;15.8;1005.579167;22.270833;30.5;26.195833;22.4;79.958333;60;4.7;.975;
2020-04-15;.2;1005.225;22.716667;30.6;26.845833;24.1;78.791667;58;5.3;1.333333;
2020-04-16;0;1006.870833;22.9375;31.6;26.841667;25.5;79.958333;52;8.9;1.233333;
2020-04-17;.8;1007.275;22.958333;32.5;26.654167;24;80.916667;56;6;1.095833;
2020-04-18;3;1007.633333;22.633333;26.5;25.225;23.6;85.708333;78;4.2;1.008333;
2020-04-19;0;1007.25;22.65;32.7;26.458333;23.3;80.833333;50;6.7;.941667;
2020-04-20;.2;1006.929167;23.641667;31.5;25.954167;25.3;87.291667;61;8.4;1.466667;
2020-04-21;25.8;1006.708333;22.6125;33.3;26.9875;23.5;78.583333;50;9.6;1.15;
2020-04-22;0;1005.841667;23.4125;31.2;27.129167;24.7;80.958333;61;4.6;.816667;
2020-04-23;0;1005.325;22.641667;32.5;26.754167;24.5;78.833333;54;6.5;.9125;
2020-04-24;.8;1004.608333;23.329167;33;27.441667;24.6;79.291667;52;6.4;1.141667;
2020-04-25;16.6;1006.008333;23.341667;26.7;24.904167;24.8;90.916667;76;6.1;.816667;
2020-04-26;166;1006.175;23.279167;32.3;26.825;22.2;82.416667;50;6;1.041667;
2020-04-27;.2;1006.116667;23.35;32.5;27.508333;24.8;78.791667;57;6.5;1.370833;
2020-04-28;24.4;1006.329167;23.266667;31.3;26.566667;22.8;82.958333;61;6.3;1.25;
2020-04-29;.2;1005.741667;22.616667;33.2;27.670833;23.9;75.208333;50;7.9;1.608333;
