Nome: PARQUE ESTADUAL CHANDLESS
Codigo Estacao: A102
Latitude: -9.35833333
Longitude: -69.92638888
Altitude: 184.51
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;7.8;988.429167;23.333333;30.2;24.841667;22.4;92.166667;64;4.5;.408333;
2020-01-02;5.2;990.366667;22.329167;26.5;23.7625;21.7;92.041667;74;4.6;.5375;
2020-01-03;1.4;991.279167;22.591667;33.3;25.858333;21.9;84.5;48;6.7;.604167;
2020-01-04;40.6;990.8;23.5625;29.6;24.883333;23.2;92.833333;70;8.2;.845833;
2020-01-05;10.2;988.470833;23.3375;33.4;26.05;22.9;86.583333;54;8.7;.704167;
2020-01-06;0;986.279167;22.720833;34;27.025;22.1;80.708333;44;8.7;.966667;
2020-01-07;0;987.095833;21.925;33.9;26.845833;21.4;78.458333;41;8.9;1.025;
2020-01-08;0;988.666667;22.175;34.8;26.825;21.2;79.666667;41;7.4;.870833;
2020-01-09;0;989.4875;22.766667;33.2;25.745833;21;85.5;53;9.4;.8;
2020-01-10;0;989.341667;22.958333;33.2;25.616667;22.7;86.375;56;7.8;.85;
2020-01-11;.4;989.783333;22.85;30.3;24.954167;22.3;88.875;64;8.5;.720833;
2020-01-12;.6;990.375;22.8375;32.8;25.1375;22.3;88.5;52;7.3;.916667;
2020-01-13;6;990.1125;23.3625;31.7;25.741667;23.1;87.791667;60;7.7;1.004167;
2020-01-14;32.2;990.654167;22.9375;27.7;24.054167;22.1;93.791667;73;5.8;.504167;
2020-01-15;6.8;990.1875;22.608333;31.1;24.425;21.9;90.458333;57;8.6;.8625;
2020-01-16;24.2;990.795833;21.6375;34.7;25.995833;20.8;80.875;41;8.6;.641667;
2020-01-17;.2;992.1875;23.025;28;23.85;22.3;95.208333;80;10.7;.620833;
2020-01-18;15.4;992.0875;22.320833;31.2;23.979167;21.2;91.25;62;3.7;.7625;
2020-01-19;0;990.483333;23.654167;33.1;25.841667;22.1;89.541667;51;7.1;.483333;
2020-01-20;5;989.504167;23.695833;33.1;26.533333;22.7;86.333333;54;4.7;.608333;
2020-01-21;.2;988.129167;23.458333;33.1;26.7625;23.1;84.125;52;8.3;.983333;
2020-01-22;.6;987.454167;23.654167;33.8;26.279167;22.8;86.958333;54;6.5;.791667;
2020-01-23;.8;988.0375;24.05;32.2;26.408333;23.6;87.708333;61;5.6;.75;
2020-01-24;59.8;988.945833;23.325;30.5;25.754167;22.1;87.458333;65;9.2;.866667;
2020-01-25;0;989.2625;23.570833;35.7;27.429167;22.7;82.333333;47;5;.670833;
2020-01-26;0;989.3125;23.604167;34.7;26.545833;22.9;85.291667;52;10.2;.908333;
2020-01-27;0;988.420833;23.583333;35.2;26.975;22.7;83.875;51;8.3;.85;
2020-01-28;0;988.270833;22.995833;28;24.2625;22.8;93;75;11.1;.55;
2020-01-29;2.6;989.445833;22.8;30.5;24.854167;21.4;89.375;64;14.5;.695833;
2020-01-30;8.4;990.241667;22.704167;33.3;25.191667;22.1;87.541667;54;7.2;.695833;
2020-01-31;5.4;990.425;23.420833;34;25.983333;22.2;87.291667;53;7;.8125;
2020-02-01;.2;990.833333;23.420833;32;26.5125;23.8;84.75;56;5;.533333;
2020-02-02;.8;991.2;23.629167;30.3;25.066667;22.8;92.166667;64;6.7;.616667;
2020-02-03;2.8;991;23.016667;32.8;26.2125;22.5;84.5;55;5.9;.666667;
2020-02-04;.2;989.979167;23.675;31.8;25.85;22.4;88.666667;59;6.4;.641667;
2020-02-05;2;988.7875;23.9375;32.9;25.775;23.6;90.75;55;10.8;.583333;
2020-02-06;4;989.7;23.320833;29.4;24.516667;23.4;93.5;71;8.4;.733333;
2020-02-07;8.2;990.1875;22.979167;31.3;25.466667;23;87.416667;55;5.7;.708333;
2020-02-08;0;989.6125;22.425;31.7;25.033333;21.8;87.083333;58;6.6;.691667;
2020-02-09;1;989.675;22.675;34;25.741667;21.7;85.541667;50;7.9;.725;
2020-02-10;3.4;990.883333;23.191667;31.8;25.408333;22.6;88.583333;60;6.7;.745833;
2020-02-11;3.2;991.304167;23.320833;29.6;24.775;22.9;92.333333;69;5.9;.670833;
2020-02-12;.6;990.433333;23.1375;29.4;24.654167;23;92;66;9.6;.470833;
2020-02-13;10;989.4125;22.645833;31;24.620833;21.9;89.75;62;7.1;.679167;
2020-02-14;0;989.816667;22.941667;31.7;25.620833;22.4;86.666667;58;6.7;.595833;
2020-02-15;0;990.204167;23.5;29.2;24.366667;22.6;95.25;74;5.9;.2875;
2020-02-16;16.4;988.920833;22.970833;33.5;25.695833;22.4;86.625;51;5;.629167;
2020-02-17;.2;988.183333;23.220833;34.9;26.4625;22.5;84.416667;48;7.1;.533333;
2020-02-18;0;988.879167;23.516667;33.7;25.170833;22.7;91.625;54;7;.4;
2020-02-19;18;989.091667;23.241667;31.7;24.55;22;93.125;64;6.8;.391667;
2020-02-20;7;987.4;23.220833;33.7;26.341667;21.6;85.25;53;6.1;.670833;
2020-02-21;2;988.579167;24.1;32;25.9875;23.6;90.125;62;6;.725;
2020-02-22;53.4;991.383333;22.541667;30.5;24.404167;22.3;90.125;63;9.4;1.379167;
2020-02-23;5.2;992.1625;19.45;27.9;23.25;19;80.791667;55;7.5;1.104167;
2020-02-24;0;989.645833;21.616667;33.2;25.766667;20.3;80.791667;47;5.3;.25;
2020-02-25;.2;988.904167;23.491667;32.5;25.575;23.2;89.083333;58;5;.554167;
2020-02-26;0;988.945833;23.358333;33.2;26.008333;22.3;86.875;57;5.5;.629167;
2020-02-27;.8;990.925;23.4875;30.6;24.420833;23.2;95;66;6.8;.375;
2020-02-28;82;991.4625;22.916667;31.4;24.904167;22;89.916667;63;4.2;.320833;
2020-02-29;5.4;992.116667;23.2625;25.6;23.904167;22.8;96.375;88;4.3;.416667;
2020-03-01;18.8;992.391667;22.920833;27.4;24.308333;23;92.5;71;6.6;.4875;
2020-03-02;3;990.491667;22.945833;32.9;25.0375;21.5;89.541667;57;5.8;.629167;
2020-03-03;1.6;989.520833;23.45;33.9;25.6625;22.7;88.833333;54;7.6;.366667;
2020-03-04;.2;990.075;22.95;33.7;26.1375;21.6;84.958333;54;5.2;.520833;
2020-03-05;0;990.216667;23.2625;33.8;26.658333;22.3;84.083333;51;12;1.095833;
2020-03-06;0;990.741667;23.466667;30.1;24.9875;23.3;91.791667;65;6.8;.4875;
2020-03-07;7.4;989.754167;23.583333;31.2;25.3625;23;90.791667;62;5.1;.583333;
2020-03-08;.4;989.495833;23.508333;34;26.45;23.2;85.833333;50;4.8;.35;
2020-03-09;.2;990.579167;23.879167;34;25.983333;23;89.541667;51;7.1;.5125;
2020-03-10;4.2;990.725;23.2375;34.5;26.375;22.2;85.25;48;14.6;.7375;
2020-03-11;60.8;989.1375;22.958333;29.2;24.666667;21.8;90.875;71;6.4;1.241667;
2020-03-12;1;987.379167;23.029167;34.9;26.441667;22;84.416667;47;7.6;.633333;
2020-03-13;1.4;988.758333;23.616667;31;24.6;22.1;94.666667;70;4.7;.308333;
2020-03-14;4.8;989.508333;23.408333;32.7;26.15;23.5;86.625;52;3.2;.391667;
2020-03-15;.2;989.270833;23.041667;32;24.233333;22.2;93.708333;64;10.1;.579167;
2020-03-16;7.2;988.841667;22.929167;31.3;24.65;22.2;91.125;61;6.2;.433333;
2020-03-17;.4;989.675;23.291667;30.6;25.370833;23.1;89.166667;61;11.2;.6;
2020-03-18;1.4;991.066667;22.991667;29.1;24.645833;22.5;91.208333;68;3.6;.329167;
2020-03-19;.6;990.3125;23.104167;32.8;25.670833;21.8;87.375;55;6.2;.320833;
2020-03-20;.6;989.241667;23.158333;32.2;24.775;22.6;91.75;60;14.9;.670833;
2020-03-21;31;989.3625;22.0875;29.1;23.420833;21.2;92.708333;73;15.5;.441667;
2020-03-22;7.4;990.7375;21.595833;28.5;23.470833;21;90;66;4.4;.579167;
2020-03-23;1.2;991.8625;22.45;33.1;25.366667;21.5;85.916667;55;8.9;.295833;
2020-03-24;.2;991.0125;22.470833;33;25.833333;20.8;84;54;5.7;.8125;
2020-03-25;0;988.004167;23.204167;34.5;26.995833;21.8;82.625;48;6.5;.583333;
2020-03-26;0;986.704167;23.466667;34.4;25.7875;22.4;88.75;51;10.5;.383333;
2020-03-27;10.8;985.9875;23.3375;34.4;26.2875;22.4;85.708333;52;5.7;.129167;
2020-03-28;3.2;987.054167;23.408333;31.8;25.920833;22.9;87.125;61;9.8;.454167;
2020-03-29;41.4;989.720833;22.929167;31.9;24.908333;22.2;89.791667;59;11.5;.4875;
2020-03-30;.4;990.329167;23.8375;31.2;25.6375;22.9;90.583333;65;4.9;.491667;
2020-03-31;7.8;989.695833;23.345833;31.3;25.304167;23.1;90.166667;60;5.8;.179167;
2020-04-01;11.4;989.5875;23.570833;33.7;26.0875;22.9;87.75;54;6.5;.1375;
2020-04-02;2;990.779167;23.6625;33.6;26.870833;23;84.583333;54;4.4;.1125;
2020-04-03;12.4;990.995833;23.533333;27.9;24.4375;22.7;95.083333;75;7.8;.479167;
2020-04-04;11.2;989.633333;23.516667;31.9;25.508333;22.6;89.875;59;4.8;.270833;
2020-04-05;0;989.6375;23.920833;30.7;25.091667;22.9;93.791667;69;5.7;.316667;
2020-04-06;25.8;990.541667;24.195833;33.3;26.329167;23.8;89.333333;58;5.8;.233333;
2020-04-07;5;992.304167;23.5875;26.9;24.258333;23.2;96.166667;81;4.4;.295833;
2020-04-08;7;992.9625;22.041667;30.3;24.616667;21.9;86.541667;60;8.1;.941667;
2020-04-09;.2;991.9;22.020833;30.8;24.6625;21;86.791667;58;6.7;.741667;
2020-04-10;0;991.195833;21.6125;30.8;24.816667;21;84.583333;54;7.6;.808333;
2020-04-11;0;990.945833;21.854167;32.3;25.216667;21.2;83.958333;51;4.8;.383333;
2020-04-12;0;991.741667;22.854167;30.1;24.258333;21.7;92.625;64;6;.208333;
2020-04-13;29.2;991.283333;22.208333;31.9;25.3875;22.3;84.708333;51;7;.6375;
2020-04-14;0;989.091667;22.366667;33.5;25.770833;20.8;83.666667;54;6.6;.65;
2020-04-15;0;990.258333;22.458333;27.7;23.679167;21.4;93.291667;76;7.5;.479167;
2020-04-16;17.8;994.825;20.258333;23.4;21.079167;20;95.166667;86;5.2;.85;
2020-04-17;20;996.129167;19.6;23.8;21.2375;19.1;90.708333;74;9.2;.5125;
2020-04-18;.2;994.9125;18.183333;30.7;22.925;18;79.541667;37;7;.820833;
2020-04-19;0;993.658333;17.829167;31.5;22.445833;16.1;80.125;37;7.5;.6375;
2020-04-20;0;992.75;19.795833;31.5;23.083333;17.4;84.458333;49;4.6;.35;
2020-04-21;.2;991.95;22.091667;33.5;24.854167;19.3;86.75;49;5.5;.383333;
