Nome: PARQUE ESTADUAL CHANDLESS
Codigo Estacao: A102
Latitude: -9.35833333
Longitude: -69.92638888
Altitude: 184.51
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-1.488;
2020-01-01;0100;-3.036;
2020-01-01;0200;-2.44;
2020-01-01;0300;-1.863;
2020-01-01;0400;-3.005;
2020-01-01;0500;-3.399;
2020-01-01;0600;-2.501;
2020-01-01;0700;-2.718;
2020-01-01;0800;-2.238;
2020-01-01;0900;-1.916;
2020-01-01;1000;-.745;
2020-01-01;1100;22.844;
2020-01-01;1200;137.878;
2020-01-01;1300;248.207;
2020-01-01;1400;500.637;
2020-01-01;1500;857.228;
2020-01-01;1600;980.347;
2020-01-01;1700;971.227;
2020-01-01;1800;1257.962;
2020-01-01;1900;1844.491;
2020-01-01;2000;2340.973;
2020-01-01;2100;893.222;
2020-01-01;2200;317.302;
2020-01-01;2300;68.957;
2020-01-02;0000;-2.626;
2020-01-02;0100;-2.101;
2020-01-02;0200;-2.044;
2020-01-02;0300;-1.446;
2020-01-02;0400;-2.138;
2020-01-02;0500;-1.529;
2020-01-02;0600;-1.182;
2020-01-02;0700;-.632;
2020-01-02;0800;-.25;
2020-01-02;0900;-1.813;
2020-01-02;1000;-2.746;
2020-01-02;1100;6.124;
2020-01-02;1200;80.648;
2020-01-02;1300;195.403;
2020-01-02;1400;315.218;
2020-01-02;1500;528.089;
2020-01-02;1600;1277.312;
2020-01-02;1700;1272.515;
2020-01-02;1800;1399.057;
2020-01-02;1900;1074.646;
2020-01-02;2000;1096.562;
2020-01-02;2100;885.084;
2020-01-02;2200;829.393;
2020-01-02;2300;177.953;
2020-01-03;0000;-1.111;
2020-01-03;0100;-2.747;
2020-01-03;0200;-2.101;
2020-01-03;0300;-2.448;
2020-01-03;0400;-2.117;
2020-01-03;0500;-1.64;
2020-01-03;0600;-.691;
2020-01-03;0700;-1.318;
2020-01-03;0800;-.334;
2020-01-03;0900;-1.686;
2020-01-03;1000;-1.793;
2020-01-03;1100;27.696;
2020-01-03;1200;472.16;
2020-01-03;1300;1016.103;
2020-01-03;1400;1677.482;
2020-01-03;1500;2373.968;
2020-01-03;1600;2869.069;
2020-01-03;1700;3515.792;
2020-01-03;1800;2986.01;
2020-01-03;1900;2403.784;
2020-01-03;2000;2314.006;
2020-01-03;2100;390.873;
2020-01-03;2200;694.608;
2020-01-03;2300;243.972;
2020-01-04;0000;-3.406;
2020-01-04;0100;-3.254;
2020-01-04;0200;-1.109;
2020-01-04;0300;-.676;
2020-01-04;0400;-1.219;
2020-01-04;0500;-.071;
2020-01-04;0600;-1.306;
2020-01-04;0700;-1.369;
2020-01-04;0800;-1.044;
2020-01-04;0900;-.613;
2020-01-04;1000;-.838;
2020-01-04;1100;15.109;
2020-01-04;1200;173.079;
2020-01-04;1300;314.582;
2020-01-04;1400;907.142;
2020-01-04;1500;863.476;
2020-01-04;1600;1654.275;
2020-01-04;1700;1948.514;
2020-01-04;1800;1164.617;
2020-01-04;1900;1992.812;
2020-01-04;2000;1104.722;
2020-01-04;2100;169.119;
2020-01-04;2200;129.442;
2020-01-04;2300;40.13;
2020-01-05;0000;-1.106;
2020-01-05;0100;-1.517;
2020-01-05;0200;-1.733;
2020-01-05;0300;-2.124;
2020-01-05;0400;-1.815;
2020-01-05;0500;-1.74;
2020-01-05;0600;-2.379;
2020-01-05;0700;-1.963;
2020-01-05;0800;-2.171;
2020-01-05;0900;-1.952;
2020-01-05;1000;-1.882;
2020-01-05;1100;29.222;
2020-01-05;1200;233.667;
2020-01-05;1300;650.624;
2020-01-05;1400;1221.666;
2020-01-05;1500;1630.907;
2020-01-05;1600;2184.12;
2020-01-05;1700;2780.977;
2020-01-05;1800;3125.15;
2020-01-05;1900;2573.763;
2020-01-05;2000;2155.162;
2020-01-05;2100;1612.953;
2020-01-05;2200;819.638;
2020-01-05;2300;164.47;
2020-01-06;0000;-2.858;
2020-01-06;0100;-3.073;
2020-01-06;0200;-3.245;
2020-01-06;0300;-3.368;
2020-01-06;0400;-3.418;
2020-01-06;0500;-3.265;
2020-01-06;0600;-3.474;
2020-01-06;0700;-2.969;
2020-01-06;0800;-2.497;
2020-01-06;0900;-2.855;
2020-01-06;1000;-3.211;
2020-01-06;1100;62.371;
2020-01-06;1200;638.158;
2020-01-06;1300;1453.291;
2020-01-06;1400;2260.142;
2020-01-06;1500;2605.599;
2020-01-06;1600;3358.091;
2020-01-06;1700;2614.876;
2020-01-06;1800;3176.695;
2020-01-06;1900;2795.003;
2020-01-06;2000;2255.453;
2020-01-06;2100;1918.316;
2020-01-06;2200;802.435;
2020-01-06;2300;303.68;
2020-01-07;0000;-1.734;
2020-01-07;0100;-3.538;
2020-01-07;0200;-3.52;
2020-01-07;0300;-3.476;
2020-01-07;0400;-3.529;
2020-01-07;0500;-3.511;
2020-01-07;0600;-3.538;
2020-01-07;0700;-3.529;
2020-01-07;0800;-3.506;
2020-01-07;0900;-3.356;
2020-01-07;1000;-3.536;
2020-01-07;1100;51.227;
2020-01-07;1200;627.635;
2020-01-07;1300;1537.658;
2020-01-07;1400;2327.884;
2020-01-07;1500;2557.679;
2020-01-07;1600;3604.124;
2020-01-07;1700;3519.298;
2020-01-07;1800;2884.193;
2020-01-07;1900;2742.61;
2020-01-07;2000;2751.206;
2020-01-07;2100;1635.579;
2020-01-07;2200;695.918;
2020-01-07;2300;266.052;
2020-01-08;0000;-3.025;
2020-01-08;0100;-3.517;
2020-01-08;0200;-3.47;
2020-01-08;0300;-3.538;
2020-01-08;0400;-3.54;
2020-01-08;0500;-3.472;
2020-01-08;0600;-3.536;
2020-01-08;0700;-3.526;
2020-01-08;0800;-2.935;
2020-01-08;0900;-2.491;
2020-01-08;1000;-2.646;
2020-01-08;1100;10.492;
2020-01-08;1200;320.886;
2020-01-08;1300;1271.353;
2020-01-08;1400;2369.421;
2020-01-08;1500;2497.566;
2020-01-08;1600;3758.296;
2020-01-08;1700;3891.28;
2020-01-08;1800;3176.281;
2020-01-08;1900;3175.193;
2020-01-08;2000;2515.237;
2020-01-08;2100;1943.906;
2020-01-08;2200;1059.011;
2020-01-08;2300;201.546;
2020-01-09;0000;-.95;
2020-01-09;0100;-3.54;
2020-01-09;0200;-3.501;
2020-01-09;0300;-3.517;
2020-01-09;0400;-3.479;
2020-01-09;0500;-3.415;
2020-01-09;0600;-3.538;
2020-01-09;0700;-3.502;
2020-01-09;0800;-3.501;
2020-01-09;0900;-3.467;
2020-01-09;1000;-3.51;
2020-01-09;1100;53.053;
2020-01-09;1200;676.638;
2020-01-09;1300;1559.918;
2020-01-09;1400;2343.388;
2020-01-09;1500;2501.496;
2020-01-09;1600;3541.728;
2020-01-09;1700;3105.446;
2020-01-09;1800;2327.438;
2020-01-09;1900;1405.827;
2020-01-09;2000;2672.237;
2020-01-09;2100;400.269;
2020-01-09;2200;315.016;
2020-01-09;2300;307.505;
2020-01-10;0000;.082;
2020-01-10;0100;-3.535;
2020-01-10;0200;-3.483;
2020-01-10;0300;-1.559;
2020-01-10;0400;-1.952;
2020-01-10;0500;-2.268;
2020-01-10;0600;-2.242;
2020-01-10;0700;-2.392;
2020-01-10;0800;-3.184;
2020-01-10;0900;-3.014;
2020-01-10;1000;-2.75;
2020-01-10;1100;15.357;
2020-01-10;1200;228.937;
2020-01-10;1300;488.621;
2020-01-10;1400;1140.571;
2020-01-10;1500;1515.7;
2020-01-10;1600;2035.925;
2020-01-10;1700;2086.556;
2020-01-10;1800;2262.537;
2020-01-10;1900;2427.119;
2020-01-10;2000;1598.333;
2020-01-10;2100;1328.945;
2020-01-10;2200;1394.17;
2020-01-10;2300;406.136;
2020-01-11;0000;.249;
