Nome: BOCA DO ACRE
Codigo Estacao: A110
Latitude: -8.77666666
Longitude: -67.33249999
Altitude: 111.98
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.523;
2020-01-01;0200;-3.517;
2020-01-01;0300;-3.463;
2020-01-01;0400;-3.486;
2020-01-01;0500;null;
2020-01-01;0600;null;
2020-01-01;0700;null;
2020-01-01;0800;null;
2020-01-01;0900;null;
2020-01-01;1000;null;
2020-01-01;1100;null;
2020-01-01;1200;69.911;
2020-01-01;1300;504.57;
2020-01-01;1400;1182.327;
2020-01-01;1500;1112.402;
2020-01-01;1600;1890.087;
2020-01-01;1700;1790.862;
2020-01-01;1800;1942.818;
2020-01-01;1900;1474.856;
2020-01-01;2000;1241.903;
2020-01-01;2100;580.403;
2020-01-01;2200;238.911;
2020-01-01;2300;29.597;
2020-01-02;0000;-2.578;
2020-01-02;0100;-2.211;
2020-01-02;0200;null;
2020-01-02;0300;null;
2020-01-02;0400;null;
2020-01-02;0500;null;
2020-01-02;0600;null;
2020-01-02;0700;null;
2020-01-02;0800;null;
2020-01-02;0900;null;
2020-01-02;1000;null;
2020-01-02;1100;null;
2020-01-02;1200;null;
2020-01-02;1300;628.216;
2020-01-02;1400;949.333;
2020-01-02;1500;1312.429;
2020-01-02;1600;1321.119;
2020-01-02;1700;2075.948;
2020-01-02;1800;2924.812;
2020-01-02;1900;2397.859;
2020-01-02;2000;1467.7;
2020-01-02;2100;1082.751;
2020-01-02;2200;880.469;
2020-01-02;2300;122.914;
2020-01-03;0000;-3.54;
2020-01-03;0100;-3.54;
2020-01-03;0200;-3.54;
2020-01-03;0300;-3.54;
2020-01-03;0400;null;
2020-01-03;0500;null;
2020-01-03;0600;null;
2020-01-03;0700;null;
2020-01-03;0800;null;
2020-01-03;0900;null;
2020-01-03;1000;null;
2020-01-03;1100;null;
2020-01-03;1200;261.465;
2020-01-03;1300;933.156;
2020-01-03;1400;1935.237;
2020-01-03;1500;1528.975;
2020-01-03;1600;2865.792;
2020-01-03;1700;2230.154;
2020-01-03;1800;2128.579;
2020-01-03;1900;2470.224;
2020-01-03;2000;1663.585;
2020-01-03;2100;1348.246;
2020-01-03;2200;826.025;
2020-01-03;2300;133.336;
2020-01-04;0000;-3.54;
2020-01-04;0100;-3.54;
2020-01-04;0200;-3.54;
2020-01-04;0300;-1.85;
2020-01-04;0400;null;
2020-01-04;0500;null;
2020-01-04;0600;null;
2020-01-04;0700;null;
2020-01-04;0800;null;
2020-01-04;0900;null;
2020-01-04;1000;null;
2020-01-04;1100;49.429;
2020-01-04;1200;317.28;
2020-01-04;1300;645.12;
2020-01-04;1400;980.494;
2020-01-04;1500;1879.955;
2020-01-04;1600;2135.208;
2020-01-04;1700;1963.228;
2020-01-04;1800;2050.702;
2020-01-04;1900;2410.124;
2020-01-04;2000;1733.477;
2020-01-04;2100;885.947;
2020-01-04;2200;525.994;
2020-01-04;2300;41.794;
2020-01-05;0000;-1.372;
2020-01-05;0100;-1.962;
2020-01-05;0200;-1.987;
2020-01-05;0300;-2.529;
2020-01-05;0400;null;
2020-01-05;0500;null;
2020-01-05;0600;null;
2020-01-05;0700;null;
2020-01-05;0800;null;
2020-01-05;0900;null;
2020-01-05;1000;null;
2020-01-05;1100;null;
2020-01-05;1200;null;
2020-01-05;1300;539.202;
2020-01-05;1400;623.529;
2020-01-05;1500;846.734;
2020-01-05;1600;2338.286;
2020-01-05;1700;2200.443;
2020-01-05;1800;1264.716;
2020-01-05;1900;2005.774;
2020-01-05;2000;1119.131;
2020-01-05;2100;628.57;
2020-01-05;2200;339.351;
2020-01-05;2300;124.553;
2020-01-06;0000;null;
2020-01-06;0100;null;
2020-01-06;0200;null;
2020-01-06;0300;null;
2020-01-06;0400;null;
2020-01-06;0500;null;
2020-01-06;0600;null;
2020-01-06;0700;null;
2020-01-06;0800;null;
2020-01-06;0900;null;
2020-01-06;1000;null;
2020-01-06;1100;null;
2020-01-06;1200;null;
2020-01-06;1300;114.6;
2020-01-06;1400;2025.198;
2020-01-06;1500;2599.529;
2020-01-06;1600;2409.043;
2020-01-06;1700;3005.366;
2020-01-06;1800;2246.475;
2020-01-06;1900;2108.898;
2020-01-06;2000;315.397;
2020-01-06;2100;1198.007;
2020-01-06;2200;699.693;
2020-01-06;2300;159.2;
2020-01-07;0000;null;
2020-01-07;0100;null;
2020-01-07;0200;null;
2020-01-07;0300;null;
2020-01-07;0400;null;
2020-01-07;0500;null;
2020-01-07;0600;null;
2020-01-07;0700;null;
2020-01-07;0800;null;
2020-01-07;0900;null;
2020-01-07;1000;null;
2020-01-07;1100;null;
2020-01-07;1200;null;
2020-01-07;1300;332.603;
2020-01-07;1400;2018.024;
2020-01-07;1500;2503.593;
2020-01-07;1600;2857.705;
2020-01-07;1700;3310.209;
2020-01-07;1800;2880.687;
2020-01-07;1900;2852.948;
2020-01-07;2000;2318.693;
2020-01-07;2100;1012.448;
2020-01-07;2200;978.446;
2020-01-07;2300;191.678;
2020-01-08;0000;-3.538;
2020-01-08;0100;-3.54;
2020-01-08;0200;-3.54;
2020-01-08;0300;null;
2020-01-08;0400;null;
2020-01-08;0500;null;
2020-01-08;0600;null;
2020-01-08;0700;null;
2020-01-08;0800;null;
2020-01-08;0900;null;
2020-01-08;1000;null;
2020-01-08;1100;null;
2020-01-08;1200;null;
2020-01-08;1300;771.001;
2020-01-08;1400;1688.928;
2020-01-08;1500;2393.896;
2020-01-08;1600;2913.124;
2020-01-08;1700;749.293;
2020-01-08;1800;1642.085;
2020-01-08;1900;1104.754;
2020-01-08;2000;580.696;
2020-01-08;2100;210.003;
2020-01-08;2200;null;
2020-01-08;2300;null;
2020-01-09;0000;null;
2020-01-09;0100;null;
2020-01-09;0200;null;
2020-01-09;0300;null;
2020-01-09;0400;null;
2020-01-09;0500;null;
2020-01-09;0600;null;
2020-01-09;0700;null;
2020-01-09;0800;null;
2020-01-09;0900;null;
2020-01-09;1000;null;
2020-01-09;1100;null;
2020-01-09;1200;173.072;
2020-01-09;1300;573.174;
2020-01-09;1400;988.291;
2020-01-09;1500;1563.536;
2020-01-09;1600;1275.709;
2020-01-09;1700;1649.809;
2020-01-09;1800;2894.966;
2020-01-09;1900;352.439;
2020-01-09;2000;680.012;
2020-01-09;2100;1612.822;
2020-01-09;2200;413.919;
2020-01-09;2300;73.575;
2020-01-10;0000;null;
2020-01-10;0100;null;
2020-01-10;0200;null;
2020-01-10;0300;null;
2020-01-10;0400;null;
2020-01-10;0500;null;
2020-01-10;0600;null;
2020-01-10;0700;null;
2020-01-10;0800;null;
2020-01-10;0900;null;
2020-01-10;1000;null;
2020-01-10;1100;null;
2020-01-10;1200;236.72;
2020-01-10;1300;585.096;
2020-01-10;1400;1053.638;
2020-01-10;1500;1540.071;
2020-01-10;1600;2128.761;
2020-01-10;1700;2673.267;
2020-01-10;1800;2849.318;
2020-01-10;1900;2033.926;
2020-01-10;2000;1882.384;
2020-01-10;2100;1727.267;
2020-01-10;2200;641.421;
2020-01-10;2300;7.138;
2020-01-11;0000;-2.418;
2020-01-11;0100;-1.521;
2020-01-11;0200;null;
2020-01-11;0300;null;
2020-01-11;0400;null;
2020-01-11;0500;null;
2020-01-11;0600;null;
2020-01-11;0700;null;
2020-01-11;0800;null;
2020-01-11;0900;null;
2020-01-11;1000;null;
2020-01-11;1100;null;
2020-01-11;1200;null;
2020-01-11;1300;714.521;
2020-01-11;1400;1628.356;
2020-01-11;1500;2087.741;
2020-01-11;1600;2759.815;
2020-01-11;1700;2009.207;
2020-01-11;1800;1807.14;
2020-01-11;1900;484.447;
2020-01-11;2000;821.988;
2020-01-11;2100;762.392;
2020-01-11;2200;220.035;
2020-01-11;2300;null;
2020-01-12;0000;null;
2020-01-12;0100;null;
2020-01-12;0200;null;
2020-01-12;0300;null;
2020-01-12;0400;null;
2020-01-12;0500;null;
2020-01-12;0600;null;
2020-01-12;0700;null;
2020-01-12;0800;null;
2020-01-12;0900;null;
2020-01-12;1000;null;
2020-01-12;1100;null;
2020-01-12;1200;null;
2020-01-12;1300;null;
2020-01-12;1400;null;
2020-01-12;1500;null;
2020-01-12;1600;null;
2020-01-12;1700;623.518;
2020-01-12;1800;783.532;
2020-01-12;1900;639.261;
2020-01-12;2000;968.97;
2020-01-12;2100;797.673;
2020-01-12;2200;null;
2020-01-12;2300;null;
2020-01-13;0000;null;
2020-01-13;0100;null;
2020-01-13;0200;null;
2020-01-13;0300;null;
2020-01-13;0400;null;
2020-01-13;0500;null;
2020-01-13;0600;null;
2020-01-13;0700;null;
2020-01-13;0800;null;
2020-01-13;0900;null;
2020-01-13;1000;null;
2020-01-13;1100;null;
2020-01-13;1200;null;
2020-01-13;1300;515.237;
2020-01-13;1400;922.585;
2020-01-13;1500;1170.593;
2020-01-13;1600;1512.578;
2020-01-13;1700;2192.447;
2020-01-13;1800;2130.161;
2020-01-13;1900;2196.767;
2020-01-13;2000;2169.324;
2020-01-13;2100;1268.647;
2020-01-13;2200;632.273;
2020-01-13;2300;47.751;
2020-01-14;0000;null;
2020-01-14;0100;null;
2020-01-14;0200;null;
2020-01-14;0300;null;
2020-01-14;0400;null;
2020-01-14;0500;null;
2020-01-14;0600;null;
2020-01-14;0700;null;
2020-01-14;0800;null;
2020-01-14;0900;null;
2020-01-14;1000;null;
2020-01-14;1100;null;
2020-01-14;1200;null;
2020-01-14;1300;null;
2020-01-14;1400;755.748;
2020-01-14;1500;null;
2020-01-14;1600;null;
2020-01-14;1700;2208.672;
2020-01-14;1800;1395.33;
2020-01-14;1900;1381.648;
2020-01-14;2000;null;
2020-01-14;2100;null;
2020-01-14;2200;null;
2020-01-14;2300;null;
2020-01-15;0000;null;
2020-01-15;0100;null;
2020-01-15;0200;null;
2020-01-15;0300;null;
2020-01-15;0400;null;
2020-01-15;0500;null;
2020-01-15;0600;null;
2020-01-15;0700;null;
2020-01-15;0800;null;
2020-01-15;0900;null;
2020-01-15;1000;null;
2020-01-15;1100;null;
2020-01-15;1200;null;
2020-01-15;1300;null;
2020-01-15;1400;null;
2020-01-15;1500;null;
2020-01-15;1600;null;
2020-01-15;1700;null;
2020-01-15;1800;3290.924;
2020-01-15;1900;2798.363;
2020-01-15;2000;2274.062;
2020-01-15;2100;1497.73;
2020-01-15;2200;null;
2020-01-15;2300;null;
2020-01-16;0000;null;
2020-01-16;0100;null;
2020-01-16;0200;null;
2020-01-16;0300;null;
2020-01-16;0400;null;
2020-01-16;0500;null;
2020-01-16;0600;null;
2020-01-16;0700;null;
2020-01-16;0800;null;
2020-01-16;0900;null;
2020-01-16;1000;null;
2020-01-16;1100;null;
2020-01-16;1200;null;
2020-01-16;1300;null;
2020-01-16;1400;null;
2020-01-16;1500;1785.048;
2020-01-16;1600;2610.558;
2020-01-16;1700;2918.077;
2020-01-16;1800;2294.595;
2020-01-16;1900;null;
2020-01-16;2000;null;
2020-01-16;2100;null;
2020-01-16;2200;null;
2020-01-16;2300;null;
2020-01-17;0000;null;
2020-01-17;0100;null;
2020-01-17;0200;null;
2020-01-17;0300;null;
2020-01-17;0400;null;
2020-01-17;0500;null;
2020-01-17;0600;null;
2020-01-17;0700;null;
2020-01-17;0800;null;
2020-01-17;0900;null;
2020-01-17;1000;null;
2020-01-17;1100;null;
2020-01-17;1200;null;
2020-01-17;1300;null;
2020-01-17;1400;null;
2020-01-17;1500;null;
2020-01-17;1600;873.181;
2020-01-17;1700;1285.643;
2020-01-17;1800;1758.662;
2020-01-17;1900;2416.6;
