Nome: ITACOATIARA
Codigo Estacao: A121
Latitude: -3.13333333
Longitude: -58.48277777
Altitude: 41.54
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;0;
2020-01-01;0100;0;
2020-01-01;0200;0;
2020-01-01;0300;0;
2020-01-01;0400;0;
2020-01-01;0500;0;
2020-01-01;0600;0;
2020-01-01;0700;0;
2020-01-01;0800;0;
2020-01-01;0900;0;
2020-01-01;1000;4.678;
2020-01-01;1100;233.049;
2020-01-01;1200;550.438;
2020-01-01;1300;1127.393;
2020-01-01;1400;1534.272;
2020-01-01;1500;2133.529;
2020-01-01;1600;1786.143;
2020-01-01;1700;1628.184;
2020-01-01;1800;1207.874;
2020-01-01;1900;935.791;
2020-01-01;2000;938.986;
2020-01-01;2100;390.201;
2020-01-01;2200;104.287;
2020-01-01;2300;0;
2020-01-02;0000;.045;
2020-01-02;0100;.065;
2020-01-02;0200;0;
2020-01-02;0300;0;
2020-01-02;0400;0;
2020-01-02;0500;0;
2020-01-02;0600;0;
2020-01-02;0700;0;
2020-01-02;0800;0;
2020-01-02;0900;0;
2020-01-02;1000;2.747;
2020-01-02;1100;88.957;
2020-01-02;1200;595.466;
2020-01-02;1300;1210.586;
2020-01-02;1400;1553.657;
2020-01-02;1500;2237.393;
2020-01-02;1600;3081.809;
2020-01-02;1700;2555.471;
2020-01-02;1800;1960.457;
2020-01-02;1900;1363.456;
2020-01-02;2000;931.541;
2020-01-02;2100;464.9;
2020-01-02;2200;124.966;
2020-01-02;2300;2.183;
2020-01-03;0000;0;
2020-01-03;0100;0;
2020-01-03;0200;0;
2020-01-03;0300;0;
2020-01-03;0400;0;
2020-01-03;0500;0;
2020-01-03;0600;0;
2020-01-03;0700;0;
2020-01-03;0800;0;
2020-01-03;0900;0;
2020-01-03;1000;1.109;
2020-01-03;1100;58.469;
2020-01-03;1200;596.839;
2020-01-03;1300;1299.224;
2020-01-03;1400;1936.441;
2020-01-03;1500;2279.869;
2020-01-03;1600;2662.625;
2020-01-03;1700;2663.263;
2020-01-03;1800;1623.088;
2020-01-03;1900;2293.529;
2020-01-03;2000;1214.177;
2020-01-03;2100;477.897;
2020-01-03;2200;125.497;
2020-01-03;2300;.713;
2020-01-04;0000;0;
2020-01-04;0100;0;
2020-01-04;0200;0;
2020-01-04;0300;0;
2020-01-04;0400;0;
2020-01-04;0500;0;
2020-01-04;0600;0;
2020-01-04;0700;0;
2020-01-04;0800;0;
2020-01-04;0900;0;
2020-01-04;1000;3.544;
2020-01-04;1100;199.007;
2020-01-04;1200;543.793;
2020-01-04;1300;1081.976;
2020-01-04;1400;1781.251;
2020-01-04;1500;2317.707;
2020-01-04;1600;2720.062;
2020-01-04;1700;1346.266;
2020-01-04;1800;1474.402;
2020-01-04;1900;1275.363;
2020-01-04;2000;1564.417;
2020-01-04;2100;978.778;
2020-01-04;2200;140.525;
2020-01-04;2300;1.887;
2020-01-05;0000;0;
2020-01-05;0100;0;
2020-01-05;0200;0;
2020-01-05;0300;0;
2020-01-05;0400;0;
2020-01-05;0500;0;
2020-01-05;0600;0;
2020-01-05;0700;0;
2020-01-05;0800;0;
2020-01-05;0900;0;
2020-01-05;1000;4.484;
2020-01-05;1100;183.662;
2020-01-05;1200;861.488;
2020-01-05;1300;1216.866;
2020-01-05;1400;1977.262;
2020-01-05;1500;2693.046;
2020-01-05;1600;3018.008;
2020-01-05;1700;2651.156;
2020-01-05;1800;1769.667;
2020-01-05;1900;1981.556;
2020-01-05;2000;1155.384;
2020-01-05;2100;758.559;
2020-01-05;2200;164.873;
2020-01-05;2300;1.269;
2020-01-06;0000;0;
2020-01-06;0100;0;
2020-01-06;0200;0;
2020-01-06;0300;0;
2020-01-06;0400;0;
2020-01-06;0500;0;
2020-01-06;0600;0;
2020-01-06;0700;0;
2020-01-06;0800;0;
2020-01-06;0900;0;
2020-01-06;1000;4.713;
2020-01-06;1100;173.072;
2020-01-06;1200;932.05;
2020-01-06;1300;1403.656;
2020-01-06;1400;1963.958;
2020-01-06;1500;2683.204;
2020-01-06;1600;2734.906;
2020-01-06;1700;2440.467;
2020-01-06;1800;2622.646;
2020-01-06;1900;2310.075;
2020-01-06;2000;1687.267;
2020-01-06;2100;1013.054;
2020-01-06;2200;138.432;
2020-01-06;2300;2.996;
2020-01-07;0000;0;
2020-01-07;0100;0;
2020-01-07;0200;0;
2020-01-07;0300;0;
2020-01-07;0400;0;
2020-01-07;0500;0;
2020-01-07;0600;0;
2020-01-07;0700;0;
2020-01-07;0800;0;
2020-01-07;0900;0;
2020-01-07;1000;2.794;
2020-01-07;1100;172.352;
2020-01-07;1200;618.203;
2020-01-07;1300;1359.266;
2020-01-07;1400;1802.852;
2020-01-07;1500;2313.981;
2020-01-07;1600;2766.536;
2020-01-07;1700;2414.4;
2020-01-07;1800;2075.573;
2020-01-07;1900;2372.119;
2020-01-07;2000;1742.291;
2020-01-07;2100;915.628;
2020-01-07;2200;106.079;
2020-01-07;2300;1.318;
2020-01-08;0000;0;
2020-01-08;0100;0;
2020-01-08;0200;0;
2020-01-08;0300;0;
2020-01-08;0400;0;
2020-01-08;0500;0;
2020-01-08;0600;0;
2020-01-08;0700;0;
2020-01-08;0800;.04;
2020-01-08;0900;0;
2020-01-08;1000;2.687;
2020-01-08;1100;116.731;
2020-01-08;1200;469.039;
2020-01-08;1300;940.636;
2020-01-08;1400;1871.17;
2020-01-08;1500;1499.849;
2020-01-08;1600;2355.32;
2020-01-08;1700;2615.167;
2020-01-08;1800;2281.905;
2020-01-08;1900;2223.117;
2020-01-08;2000;908.715;
2020-01-08;2100;486.71;
2020-01-08;2200;110.501;
2020-01-08;2300;1.251;
2020-01-09;0000;0;
2020-01-09;0100;0;
2020-01-09;0200;0;
2020-01-09;0300;0;
2020-01-09;0400;0;
2020-01-09;0500;0;
2020-01-09;0600;0;
2020-01-09;0700;0;
2020-01-09;0800;0;
2020-01-09;0900;0;
2020-01-09;1000;.272;
2020-01-09;1100;61.452;
2020-01-09;1200;301.592;
2020-01-09;1300;706.009;
2020-01-09;1400;832.867;
2020-01-09;1500;1192.783;
2020-01-09;1600;1491.477;
2020-01-09;1700;2596.517;
2020-01-09;1800;1868;
2020-01-09;1900;2063.361;
2020-01-09;2000;1565.02;
2020-01-09;2100;590.845;
2020-01-09;2200;274.172;
2020-01-09;2300;4.127;
2020-01-10;0000;0;
2020-01-10;0100;0;
2020-01-10;0200;0;
2020-01-10;0300;0;
2020-01-10;0400;0;
2020-01-10;0500;0;
2020-01-10;0600;0;
2020-01-10;0700;0;
2020-01-10;0800;0;
