Nome: URUCARA
Codigo Estacao: A124
Latitude: -2.53472221
Longitude: -57.75805555
Altitude: 18.49
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;.2;1007.504167;23.529167;32;26.8625;24.5;82.958333;59;8.2;.708333;
2020-01-02;0;1007.85;22.508333;32.5;27.045833;22.8;78.208333;50;7.6;.35;
2020-01-03;0;1009.6;22.691667;33.2;28.041667;25;74.125;49;6.2;.704167;
2020-01-04;0;1009.666667;23.908333;33.2;27.466667;24.2;81.75;55;5.9;.658333;
2020-01-05;4.4;1008.020833;22.708333;35.2;28.3875;23;73.916667;45;6.3;.525;
2020-01-06;0;1007.533333;22.458333;35.2;28.341667;22.5;72.75;46;7.8;.7625;
2020-01-07;0;1008.229167;24.325;33.2;27.670833;24.4;82.75;58;10.3;1.35;
2020-01-08;7.6;1009.145833;23.275;32.8;26.195833;22.6;85.041667;54;8.9;.520833;
2020-01-09;.4;1009.379167;23.6375;32.7;27.0375;23.6;82.625;58;5.7;.591667;
2020-01-10;4.8;1008.6;23.9875;31.7;26.2625;24.2;88.041667;61;12.3;.583333;
2020-01-11;1.8;1008.166667;23.1875;32.1;26.841667;23.1;81.75;57;6;.283333;
2020-01-12;0;1008.770833;22.829167;34.1;28.4125;23.9;74.625;46;5.9;.529167;
2020-01-13;2.6;1009.283333;23.475;29.3;25.8625;23.4;86.875;68;5.4;.4875;
2020-01-14;13.8;1008.904167;23;32.5;26.370833;22.5;83.5;53;6.5;.591667;
2020-01-15;3;1007.6125;23.3125;33;27.016667;22.7;81.541667;57;7.1;.804167;
2020-01-16;5.2;1009.041667;23.754167;32.9;27.041667;23.3;83.541667;55;12.2;.8375;
2020-01-17;3.4;1009.6875;24.2875;33.4;27.516667;24.1;83.875;57;6.2;.6125;
2020-01-18;4;1009.058333;24.679167;31.5;26.845833;24.5;88.416667;67;5.4;.391667;
2020-01-19;4;1008.383333;23.695833;33.1;27.579167;24.1;80.875;57;6.5;.85;
2020-01-20;3;1007.829167;24.758333;31.1;26.5375;24.1;90.333333;67;8.5;.370833;
2020-01-21;17.6;1007.766667;24.158333;30.6;26.375;23.4;88.125;64;4.9;.433333;
2020-01-22;6.6;1007.241667;23.958333;33.4;26.2;23.8;88.333333;59;8.3;.454167;
2020-01-23;21;1006.775;23.5625;33.9;27.808333;23.6;80;51;6;.645833;
2020-01-24;0;1006.504167;23.691667;35.2;28.733333;23.6;76.291667;49;6.9;.883333;
2020-01-25;0;1008.716667;24.091667;31.6;26.591667;24.1;86.541667;66;9.5;.825;
2020-01-26;8.6;1008.533333;23.95;33.1;26.925;23.4;84.916667;57;5.5;.6125;
2020-01-27;0;1008.6125;24.383333;33.4;27.533333;24.6;83.791667;59;5.6;.683333;
2020-01-28;2.2;1008.65;24.020833;32;26.554167;24.4;86.458333;63;6.2;.6375;
2020-01-29;1.2;1008.616667;24.183333;31.2;26.475;24.2;87.875;65;10.2;.579167;
2020-01-30;0;1008.779167;24.1;34.1;28.266667;24.2;79.791667;55;6.2;1.070833;
2020-01-31;0;1010.231579;24.252632;31.2;null;24.7;90.052632;68;9.6;.836842;
2020-02-01;null;null;null;null;null;null;null;null;null;null;
2020-02-02;null;null;null;null;null;null;null;null;null;null;
2020-02-03;null;null;null;null;null;null;null;null;null;null;
2020-02-04;null;null;null;null;null;null;null;null;null;null;
2020-02-05;null;null;null;null;null;null;null;null;null;null;
2020-02-06;null;null;null;null;null;null;null;null;null;null;
2020-02-07;null;null;null;null;null;null;null;null;null;null;
2020-02-08;null;null;null;null;null;null;null;null;null;null;
2020-02-09;null;null;null;null;null;null;null;null;null;null;
2020-02-10;null;null;null;null;null;null;null;null;null;null;
2020-02-11;null;null;null;null;null;null;null;null;null;null;
2020-02-12;null;null;null;null;null;null;null;null;null;null;
2020-02-13;null;null;null;null;null;null;null;null;null;null;
2020-02-14;null;null;null;null;null;null;null;null;null;null;
2020-02-15;null;null;null;null;null;null;null;null;null;null;
2020-02-16;null;null;null;null;null;null;null;null;null;null;
2020-02-17;null;null;null;null;null;null;null;null;null;null;
2020-02-18;null;null;null;null;null;null;null;null;null;null;
2020-02-19;null;null;null;null;null;null;null;null;null;null;
2020-02-20;null;null;null;null;null;null;null;null;null;null;
2020-02-21;null;null;null;null;null;null;null;null;null;null;
2020-02-22;null;null;null;null;null;null;null;null;null;null;
2020-02-23;null;null;null;null;null;null;null;null;null;null;
2020-02-24;null;null;null;null;null;null;null;null;null;null;
2020-02-25;null;null;null;null;null;null;null;null;null;null;
2020-02-26;null;null;null;null;null;null;null;null;null;null;
2020-02-27;null;null;null;null;null;null;null;null;null;null;
2020-02-28;null;null;null;null;null;null;null;null;null;null;
2020-02-29;null;null;null;null;null;null;null;null;null;null;
2020-03-01;null;null;null;null;null;null;null;null;null;null;
2020-03-02;null;null;null;null;null;null;null;null;null;null;
2020-03-03;null;null;null;null;null;null;null;null;null;null;
2020-03-04;null;null;null;null;null;null;null;null;null;null;
2020-03-05;null;null;null;null;null;null;null;null;null;null;
2020-03-06;null;null;null;null;null;null;null;null;null;null;
2020-03-07;null;null;null;null;null;null;null;null;null;null;
2020-03-08;null;null;null;null;null;null;null;null;null;null;
2020-03-09;null;null;null;null;null;null;null;null;null;null;
2020-03-10;null;null;null;null;null;null;null;null;null;null;
2020-03-11;null;null;null;null;null;null;null;null;null;null;
2020-03-12;null;null;null;null;null;null;null;null;null;null;
2020-03-13;null;null;null;null;null;null;null;null;null;null;
2020-03-14;null;null;null;null;null;null;null;null;null;null;
2020-03-15;null;null;null;null;null;null;null;null;null;null;
2020-03-16;null;null;null;null;null;null;null;null;null;null;
2020-03-17;null;null;null;null;null;null;null;null;null;null;
2020-03-18;null;null;null;null;null;null;null;null;null;null;
2020-03-19;null;null;null;null;null;null;null;null;null;null;
2020-03-20;null;null;null;null;null;null;null;null;null;null;
2020-03-21;null;null;null;null;null;null;null;null;null;null;
2020-03-22;null;null;null;null;null;null;null;null;null;null;
2020-03-23;null;null;null;null;null;null;null;null;null;null;
2020-03-24;null;null;null;null;null;null;null;null;null;null;
2020-03-25;null;null;null;null;null;null;null;null;null;null;
2020-03-26;null;null;null;null;null;null;null;null;null;null;
2020-03-27;null;null;null;null;null;null;null;null;null;null;
2020-03-28;null;null;null;null;null;null;null;null;null;null;
2020-03-29;null;null;null;null;null;null;null;null;null;null;
2020-03-30;null;null;null;null;null;null;null;null;null;null;
2020-03-31;null;null;null;null;null;null;null;null;null;null;
2020-04-01;null;null;null;null;null;null;null;null;null;null;
2020-04-02;null;null;null;null;null;null;null;null;null;null;
2020-04-03;null;null;null;null;null;null;null;null;null;null;
