Nome: S. G. DA CACHOEIRA
Codigo Estacao: A134
Latitude: -0.125207
Longitude: -67.061246
Altitude: 79.67
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;8.2;999.454167;22.779167;31.6;26.233333;23.9;81.75;65;null;null;
2020-01-02;0;1000.041667;22.308333;29.3;25.245833;23.5;83.958333;73;null;null;
2020-01-03;2.6;1002.15;22.345833;32.7;26.8;23.2;77.833333;50;null;null;
2020-01-04;0;1002.3375;22.345833;31.8;26.058333;22.9;80.333333;64;null;null;
2020-01-05;3;1000.466667;22.3875;34.4;27.441667;23.9;75.541667;45;null;null;
2020-01-06;1.6;998.995833;21.779167;34.4;27.670833;22.6;72.5;42;null;null;
2020-01-07;1.2;999.45;22.179167;34.5;27.441667;24.1;74.625;44;null;null;
2020-01-08;12.2;1000.783333;22.9375;33.4;27.170833;23.9;78.458333;54;null;null;
2020-01-09;0;1000.704167;22.65;33;26.65;23;79.291667;57;null;null;
2020-01-10;5.2;1000.070833;22.129167;33.2;26.420833;23.3;78.208333;51;null;null;
2020-01-11;0;1000.383333;22.066667;31.6;26.004167;23;79.541667;60;null;null;
2020-01-12;16;1001.608333;21.8125;30.5;25.05;22.2;82.541667;65;null;null;
2020-01-13;23.2;1001.316667;22.6;29.3;25.4;23;84.833333;73;null;null;
2020-01-14;3;1000.866667;22.4125;31.4;26.033333;23.6;81.041667;59;null;null;
2020-01-15;.2;999.920833;21.9625;31.7;25.9375;22.4;79.583333;57;null;null;
2020-01-16;7.4;1002.256522;21.791304;31.6;25.013043;22.5;82.695652;67;null;null;
2020-01-17;34.4;1002.733333;21.675;31.4;25.195833;22.4;81.5;59;null;null;
2020-01-18;.4;1001.7;22.491667;32.2;26.270833;23.1;80.125;58;null;null;
2020-01-19;12.6;1001.175;22.670833;31.7;26.166667;23.6;81.666667;62;null;null;
