Nome: PORTO WALTER
Codigo Estacao: A136
Latitude: -8.26722221
Longitude: -72.74777777
Altitude: 205.35
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;8;985.091667;24.0625;30.7;25.629167;24.3;91.333333;68;8.4;1.120833;
2020-01-02;36.2;986.825;22.854167;28.6;24.520833;22.6;90.791667;72;9.6;1.1625;
2020-01-03;8.8;988.945833;22.920833;31.5;25.2;22.6;87.958333;63;7.6;1.3;
2020-01-04;0;987.9125;23.279167;32.4;26.254167;23.1;84.833333;60;8.1;1.7125;
2020-01-05;0;985.4125;22.958333;33.2;26.979167;22.9;80.5;53;8.7;2.05;
2020-01-06;0;983.666667;22.95;33.4;27.3875;22.9;78.875;50;10;1.783333;
2020-01-07;0;984.475;22.5;32.6;27.258333;23.4;77.291667;51;8.7;1.491667;
2020-01-08;0;986.1875;22.483333;34.8;27.904167;23;75.416667;41;8;1.358333;
2020-01-09;0;986.5875;23;33.1;26.529167;21.9;82.333333;54;8.3;1.666667;
2020-01-10;0;986.616667;22.85;31.1;26.504167;23.7;81.291667;59;7.6;1.695833;
2020-01-11;0;987.125;22.516667;32.5;25.941667;22.7;82.291667;54;7.8;1.916667;
2020-01-12;0;987.845833;22.529167;30.7;25.833333;23;82.708333;62;7.2;2.033333;
2020-01-13;0;987.633333;22.529167;30.2;25.3125;23;85.083333;65;8.6;1.904167;
2020-01-14;0;987.2;22.666667;29.8;24.808333;23;88.416667;66;7.9;1.845833;
2020-01-15;11;987.429167;22.1625;31.3;24.916667;22.2;85.916667;61;9.3;1.320833;
2020-01-16;.2;988.070833;22.558333;34.2;26.629167;22.5;80.833333;48;7.7;1.083333;
2020-01-17;0;989.066667;23.341667;32.3;25.25;22.9;89.75;58;14.9;1.320833;
2020-01-18;17.4;989.108333;22.466667;32.6;25.645833;22;83.75;55;5.6;1.191667;
2020-01-19;0;988.170833;23.733333;32.3;25.691667;22.6;89.583333;62;7.7;1.2;
2020-01-20;4.2;986.933333;23.583333;34.3;26.845833;23.3;84;54;4.5;1.183333;
