Nome: BELEM
Codigo Estacao: A201
Latitude: -1.411228
Longitude: -48.439512
Altitude: 21.17
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;9.8;1008.373913;22.804348;30.8;25.013043;23;87.913043;63;6.5;.595652;
2020-01-02;30;1008.522727;23.218182;31.7;25.736364;23.7;86.681818;59;10.9;.418182;
2020-01-03;9.2;1009.454167;23.433333;32;25.570833;23.6;88.458333;60;6.2;.591667;
2020-01-04;66.4;1009.978261;23.421739;31.6;26.347826;24.1;84.73913;61;6.3;.682609;
2020-01-05;.2;1009.1;23.169565;30.5;25.86087;24;85.695652;63;7.3;.83913;
2020-01-06;12.2;1009.3;23.370833;28.7;25.058333;23.9;90.5;76;4.9;.5875;
2020-01-07;4.2;1010.105;22.355;31.7;null;22.4;85.75;62;7.1;.85;
2020-01-08;null;null;null;null;null;null;81.461538;62;7.9;null;
2020-01-09;33.2;1009.375;23.345833;32.4;27.054167;23.2;81.5;57;5.6;.5875;
2020-01-10;4.2;1009.183333;23.4;32.6;27.154167;24.3;80.583333;56;7.4;.841667;
2020-01-11;2.6;1008.795833;22.754167;30.5;26.070833;24.5;82.291667;62;6.3;.6375;
2020-01-12;18.8;1009.833333;22.279167;31.4;25.504167;22.7;83.291667;59;7.3;.866667;
2020-01-13;17;1009.225;22.695833;31.2;26.075;23.6;83.208333;40;8.2;.658333;
2020-01-14;10.6;1008.825;23.291667;31.3;25.366667;23.6;88.416667;62;8.1;.445833;
2020-01-15;17.8;1008.3;23.133333;32.1;26.1;23.6;84.625;55;6.5;.604167;
2020-01-16;2.4;1008.995833;23.708333;34.2;27.2125;23.8;82.583333;50;8.8;.904167;
2020-01-17;22.6;1009.983333;23.6;33.5;26.233333;23.9;86.5;53;13;.395833;
2020-01-18;17.8;1009.579167;23.858333;31.8;26.941667;23.1;83.916667;63;7.3;.666667;
2020-01-19;4;1009.345833;23.225;30.5;25.8875;22.5;85.583333;64;10;.983333;
2020-01-20;16.8;1008.370833;22.658333;31.4;26.133333;22.9;81.875;64;6.8;1.129167;
2020-01-21;6.8;1008.054167;22.833333;30.3;26.225;24.2;82.291667;55;6.4;.875;
2020-01-22;.2;1007.554167;23.054167;30.2;26.345833;24.4;82.541667;66;7.2;.825;
2020-01-23;3.8;1007.875;23.104167;31.8;26.370833;23.6;82.75;59;7.4;.641667;
2020-01-24;3.8;1008.108333;23.9625;33.1;27.0125;24.4;84.083333;58;5.4;.5625;
2020-01-25;41.8;1008.483333;24.3625;31;26.841667;24.8;86.583333;69;5.5;.454167;
2020-01-26;5.2;1009.008333;23.95;32.8;27.020833;24.8;83.833333;61;8.6;.65;
2020-01-27;11.4;1010.104167;23.258333;29;25.945833;23.7;85.5;67;6.8;.645833;
2020-01-28;1;1009.0875;23.425;32.3;25.766667;24.4;87.541667;60;13.4;.629167;
2020-01-29;30.2;1009.1625;23.2625;33.3;26.1625;23.3;85.083333;55;12.2;.7875;
2020-01-30;6.8;1009.7125;23.0875;33.5;25.716667;23.5;86.25;55;9.3;.820833;
2020-01-31;54.8;1010.613043;22.769565;31.5;25.63913;22.8;84.695652;63;8.5;.582609;
2020-02-01;0;1010.5125;23.3125;33;26.95;24.1;81.333333;55;11.1;1.175;
2020-02-02;1;1009.6;23.65;33.1;27.325;24.2;81.125;55;7.5;.933333;
2020-02-03;19.6;1010.0625;23.670833;33.2;26.4375;23.1;85.416667;53;8;.554167;
2020-02-04;3.8;1010.3375;23.179167;29.4;25.808333;24.2;85.916667;68;7.6;.704167;
2020-02-05;3.4;1010.283333;22.641667;30.7;25.5375;22.9;84.583333;62;9;.804167;
2020-02-06;27.4;1009.8;22.6375;30.9;25.075;22.4;86.791667;63;8.1;1.170833;
2020-02-07;5.8;1008.525;22.620833;30;25.0375;23.3;86.958333;62;6.2;.616667;
2020-02-08;41.6;1009.073913;22.882609;27.1;24.665217;22.9;89.826087;79;5.4;.513043;
2020-02-09;3;1010.55;23.004167;31.2;25.508333;23.4;86.708333;61;7.2;.533333;
2020-02-10;37.6;1010.620833;23.945833;30.3;26.295833;24.1;87.208333;67;6.5;.675;
2020-02-11;1.6;1009;23.513043;33.2;26.330435;24.5;85.304348;58;13.1;.73913;
2020-02-12;18.4;1008.570833;23.808333;32.2;26.2125;22.7;87.25;61;9.6;.754167;
2020-02-13;11.2;1008.233333;24.029167;32.6;26.904167;24.6;85.083333;60;6.7;.625;
2020-02-14;42.8;1008.845833;23.370833;30.9;25.879167;24.5;86.291667;68;11.6;.4875;
2020-02-15;5.2;1009.129167;23.091667;32.8;25.833333;24;85.75;54;8.6;.633333;
2020-02-16;20.6;1008.629167;23.120833;30.3;25.570833;23;86.666667;66;7.6;.5875;
2020-02-17;4;1008.341667;23.458333;31.5;25.575;23.8;88.333333;63;6.2;.404167;
2020-02-18;93.8;1008.295833;23.516667;31.9;25.879167;23.5;87.5;63;6.7;.629167;
2020-02-19;44.2;1007.441667;23.325;32.1;25.4875;24.2;88.333333;61;6.4;.5625;
2020-02-20;37.4;1007.454167;23.341667;25.7;24.7125;23.8;92.125;89;3.8;.4625;
2020-02-21;15.6;1008.670833;22.85;30.1;25.475;23.2;86;66;6.9;.4;
2020-02-22;4;1009.7125;23.4375;30.7;26.283333;23.8;85;63;4.3;.704167;
2020-02-23;0;1009.291667;23.358333;32.6;27.695833;24.2;78.208333;54;7.1;1.433333;
2020-02-24;1.4;1008.2875;23.933333;33.2;27.6625;24.5;81.083333;56;8.1;.8;
2020-02-25;0;1008.308333;24.2125;32;26.3375;24.9;88.375;61;7.2;.533333;
2020-02-26;43.2;1008.445833;24.295833;29.4;26.291667;24.7;88.875;76;5.7;.566667;
2020-02-27;34.4;1009.545833;23.066667;31.1;26.220833;23.1;83.583333;63;6.1;.833333;
2020-02-28;3.2;1010.258333;23.370833;30.3;25.570833;24.3;88;68;8.2;.766667;
2020-02-29;29.6;1011.054167;22.983333;29.8;25.670833;23.2;85.625;69;4.2;.629167;
2020-03-01;1.8;1010.254167;23.454167;33.5;27.166667;24.1;81;57;7.1;.958333;
2020-03-02;1.6;1009.404167;23.441667;31.8;26.266667;24.3;84.875;61;7.7;.666667;
2020-03-03;14;1009.716667;23.566667;31.2;25.525;24.4;89.25;64;6.3;.445833;
2020-03-04;61.2;1010.954167;22.6375;31.1;25.5625;22.8;84.791667;59;5.9;.679167;
2020-03-05;0;1010.895833;22.245833;33.6;27.641667;23.3;74.333333;47;6.6;.9125;
2020-03-06;0;1010.041667;23.6;32.2;26.433333;24.9;84.958333;59;8.1;.683333;
2020-03-07;62.4;1008.9;23.204167;25.9;24.566667;24.1;92.166667;88;4.7;.320833;
2020-03-08;88;1008.5;23.336364;30.1;25.45;23.4;88.636364;69;7.2;.777273;
2020-03-09;189.8;1010.4375;23.258333;29.9;25.25;23.4;89.208333;67;7.4;.7;
2020-03-10;7.4;1010.620833;18.5;27.4;18.745455;23;92.904762;65;5.5;.491667;
2020-03-11;15.6;null;null;null;null;null;null;87;4.4;null;
2020-03-12;null;null;null;null;null;null;null;null;4.5;null;
2020-03-13;null;null;null;null;null;null;null;null;null;null;
2020-03-14;null;null;null;null;null;null;null;null;null;null;
2020-03-15;null;null;null;null;null;null;null;null;null;null;
2020-03-16;null;null;null;null;null;null;null;null;null;null;
2020-03-17;null;null;null;null;null;null;null;null;null;null;
2020-03-18;null;null;null;null;null;null;null;null;null;null;
2020-03-19;null;null;null;null;null;null;null;null;null;null;
