Nome: CASTANHAL
Codigo Estacao: A202
Latitude: -1.30083333
Longitude: -47.94805555
Altitude: 47.13
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-2.904;
2020-01-01;0100;-3.099;
2020-01-01;0200;-3.277;
2020-01-01;0300;-3.202;
2020-01-01;0400;-3.285;
2020-01-01;0500;-3.46;
2020-01-01;0600;-2.415;
2020-01-01;0700;-2.356;
2020-01-01;0800;-2.308;
2020-01-01;0900;-2.366;
2020-01-01;1000;43.479;
2020-01-01;1100;481.809;
2020-01-01;1200;1542.63;
2020-01-01;1300;1478.626;
2020-01-01;1400;2141.437;
2020-01-01;1500;1693.087;
2020-01-01;1600;1219.449;
2020-01-01;1700;1366.246;
2020-01-01;1800;1330.776;
2020-01-01;1900;733.923;
2020-01-01;2000;348.962;
2020-01-01;2100;190.372;
2020-01-01;2200;17.709;
2020-01-01;2300;-2.197;
2020-01-02;0000;-2.935;
2020-01-02;0100;-3.496;
2020-01-02;0200;-2.745;
2020-01-02;0300;-2.728;
2020-01-02;0400;-3.031;
2020-01-02;0500;-3.066;
2020-01-02;0600;-1.89;
2020-01-02;0700;-2.11;
2020-01-02;0800;-2.34;
2020-01-02;0900;-2.107;
2020-01-02;1000;51.82;
2020-01-02;1100;352.237;
2020-01-02;1200;811.286;
2020-01-02;1300;1183.289;
2020-01-02;1400;1242.34;
2020-01-02;1500;1229.173;
2020-01-02;1600;2378.829;
2020-01-02;1700;1445.075;
2020-01-02;1800;2370.768;
2020-01-02;1900;1502.453;
2020-01-02;2000;260.248;
2020-01-02;2100;55.428;
2020-01-02;2200;3.947;
2020-01-02;2300;-2.596;
2020-01-03;0000;-2.351;
2020-01-03;0100;-2.501;
2020-01-03;0200;-3.396;
2020-01-03;0300;-3.405;
2020-01-03;0400;-2.766;
2020-01-03;0500;-2.942;
2020-01-03;0600;-3.292;
2020-01-03;0700;-2.363;
2020-01-03;0800;-2.783;
2020-01-03;0900;-1.658;
2020-01-03;1000;66.638;
2020-01-03;1100;490.059;
2020-01-03;1200;841.17;
2020-01-03;1300;1319.466;
2020-01-03;1400;2243.219;
2020-01-03;1500;1432.231;
2020-01-03;1600;1710.473;
2020-01-03;1700;1693.097;
2020-01-03;1800;752.274;
2020-01-03;1900;605.642;
2020-01-03;2000;679.281;
2020-01-03;2100;274.022;
2020-01-03;2200;47.685;
2020-01-03;2300;-.549;
2020-01-04;0000;-.58;
2020-01-04;0100;-2.669;
2020-01-04;0200;-2.517;
2020-01-04;0300;-2.606;
2020-01-04;0400;-2.676;
2020-01-04;0500;-2.953;
2020-01-04;0600;-3.201;
2020-01-04;0700;-2.893;
2020-01-04;0800;-2.599;
2020-01-04;0900;-2.72;
2020-01-04;1000;56.16;
2020-01-04;1100;504.438;
2020-01-04;1200;743.958;
2020-01-04;1300;1745.624;
2020-01-04;1400;1432.647;
2020-01-04;1500;1294.163;
2020-01-04;1600;1236.184;
2020-01-04;1700;1348.859;
2020-01-04;1800;1046;
2020-01-04;1900;376.933;
2020-01-04;2000;361.102;
2020-01-04;2100;40.352;
2020-01-04;2200;4.933;
2020-01-04;2300;-2.617;
2020-01-05;0000;-3.28;
2020-01-05;0100;-3.012;
2020-01-05;0200;-2.769;
2020-01-05;0300;-3.401;
2020-01-05;0400;-3.202;
2020-01-05;0500;-2.139;
2020-01-05;0600;-2.635;
2020-01-05;0700;-2.866;
2020-01-05;0800;-2;
2020-01-05;0900;-1.731;
2020-01-05;1000;15.968;
2020-01-05;1100;300.823;
2020-01-05;1200;490.062;
2020-01-05;1300;1256.866;
2020-01-05;1400;1442.84;
2020-01-05;1500;2715.781;
2020-01-05;1600;1721.827;
2020-01-05;1700;2016.436;
2020-01-05;1800;814.277;
2020-01-05;1900;112.59;
2020-01-05;2000;24.136;
2020-01-05;2100;8.144;
2020-01-05;2200;1.037;
2020-01-05;2300;-1.088;
2020-01-06;0000;-1.584;
2020-01-06;0100;-2.495;
2020-01-06;0200;-1.981;
2020-01-06;0300;-2.608;
2020-01-06;0400;-2.625;
2020-01-06;0500;-2.536;
2020-01-06;0600;-1.858;
2020-01-06;0700;-1.391;
2020-01-06;0800;-1.397;
2020-01-06;0900;-2.739;
2020-01-06;1000;56.887;
2020-01-06;1100;402.402;
2020-01-06;1200;999.471;
2020-01-06;1300;1482.952;
2020-01-06;1400;2008.57;
2020-01-06;1500;2691.085;
2020-01-06;1600;2583.374;
2020-01-06;1700;701.69;
2020-01-06;1800;118.076;
2020-01-06;1900;26.083;
2020-01-06;2000;16.593;
2020-01-06;2100;9.891;
2020-01-06;2200;.178;
2020-01-06;2300;-2.532;
2020-01-07;0000;-1.95;
2020-01-07;0100;-2.959;
2020-01-07;0200;-2.899;
2020-01-07;0300;-2.652;
2020-01-07;0400;-2.77;
2020-01-07;0500;-1.725;
2020-01-07;0600;-2.347;
2020-01-07;0700;-1.945;
2020-01-07;0800;-1.582;
2020-01-07;0900;-.233;
2020-01-07;1000;27.714;
2020-01-07;1100;219.896;
2020-01-07;1200;370.232;
2020-01-07;1300;752.5;
2020-01-07;1400;1390.722;
2020-01-07;1500;2142.807;
2020-01-07;1600;2270.346;
2020-01-07;1700;1991.664;
2020-01-07;1800;807.75;
2020-01-07;1900;680.847;
2020-01-07;2000;1123.11;
2020-01-07;2100;302.492;
2020-01-07;2200;17.373;
2020-01-07;2300;-2.707;
2020-01-08;0000;-3.289;
2020-01-08;0100;-3.288;
2020-01-08;0200;-3.424;
2020-01-08;0300;-3.237;
2020-01-08;0400;-2.918;
2020-01-08;0500;-2.899;
2020-01-08;0600;-3.16;
2020-01-08;0700;-2.625;
2020-01-08;0800;-2.699;
2020-01-08;0900;-2.626;
2020-01-08;1000;38.387;
2020-01-08;1100;410.189;
2020-01-08;1200;1420.194;
2020-01-08;1300;1553.123;
2020-01-08;1400;1699.809;
2020-01-08;1500;1520.008;
2020-01-08;1600;2635.444;
2020-01-08;1700;1052.208;
2020-01-08;1800;252.997;
2020-01-08;1900;381.184;
2020-01-08;2000;254.799;
2020-01-08;2100;188.377;
2020-01-08;2200;20.419;
2020-01-08;2300;-3.154;
2020-01-09;0000;-3.391;
2020-01-09;0100;-3.034;
2020-01-09;0200;-1.871;
2020-01-09;0300;-3.057;
2020-01-09;0400;-2.423;
2020-01-09;0500;-2.634;
2020-01-09;0600;-2.731;
2020-01-09;0700;-2.858;
2020-01-09;0800;-3.54;
2020-01-09;0900;-3.54;
2020-01-09;1000;45.95;
2020-01-09;1100;662.094;
2020-01-09;1200;1427.428;
2020-01-09;1300;2146.979;
2020-01-09;1400;2538.984;
2020-01-09;1500;2746.716;
