Nome: SAO LUIS
Codigo Estacao: A203
Latitude: -2.52666666
Longitude: -44.21361111
Altitude: 54.8
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;null;1004.783333;24.095833;28.9;26.154167;23.9;88.833333;73;7.1;1.175;
2020-01-02;null;1004.891667;23.9875;29.8;26.083333;23.3;88.625;67;9;1.366667;
2020-01-03;null;1005.645833;24.4375;30.3;26.65;24.8;88.125;65;7.1;1.108333;
2020-01-04;null;1006.3875;24.75;28.5;25.933333;24.6;93.291667;76;7.6;.695833;
2020-01-05;null;1005.583333;23.7125;30.2;26.295833;23.7;86.583333;65;8.4;1.408333;
2020-01-06;null;1005.4;24.1125;29.4;25.441667;24;92.791667;68;7.8;.758333;
2020-01-07;null;1006.558333;23.933333;28.7;25.895833;23.1;89.25;70;8.4;1.4625;
2020-01-08;null;1006.129167;23.8;30.4;26.958333;24.9;83.291667;66;9;1.791667;
2020-01-09;null;1005.7875;23.883333;30.3;27.279167;25.3;82.166667;68;9;2.208333;
2020-01-10;null;1005.965217;23.386957;30.5;26.947826;24.6;81.391304;63;8.3;2.004348;
2020-01-11;null;1005.2125;24.033333;27.8;25.6625;24;90.958333;77;9.2;1.3875;
2020-01-12;null;1005.679167;23.358333;30.6;26.695833;24.3;82.791667;60;8.4;1.629167;
2020-01-13;null;1005.3625;23.604167;29.2;26.533333;24.5;84.25;71;9.1;1.8;
2020-01-14;null;1005.054167;23.725;27.7;25.641667;24.5;89.458333;76;8.2;1.2625;
2020-01-15;null;1005.108333;23.045833;29.3;24.970833;21.6;89.541667;71;12.1;1.804167;
2020-01-16;null;1005.825;23.929167;30.1;26.745833;24.2;85.208333;66;8.1;1.625;
2020-01-17;null;1006.454167;23.966667;30.1;26.804167;24.2;85;67;8.3;1.554167;
2020-01-18;null;1006.1875;24.475;30.3;26.45;24.5;89.375;68;9.2;1.320833;
2020-01-19;null;1006.104167;23.3375;26.3;23.979167;22.3;96.416667;90;9.8;.854167;
2020-01-20;null;1004.5875;23.3875;30.6;26.341667;23;84.916667;61;7.8;1.5875;
2020-01-21;null;1004.3625;23.820833;26.9;25.4875;23.7;90.708333;78;9.2;1.508333;
2020-01-22;null;1004.033333;23.520833;30;26.704167;23.1;83.208333;68;8.8;1.933333;
2020-01-23;null;1004.05;24.220833;30.1;27.291667;24.8;83.666667;69;7.5;1.591667;
2020-01-24;null;1004.720833;24.7625;29.1;26.641667;25;89.541667;77;7.6;.975;
2020-01-25;null;1004.7;24.2875;32.7;27.779167;24.6;82.666667;59;8.8;1.445833;
2020-01-26;null;1004.945833;24.8125;32;27.695833;25.1;84.916667;64;9.9;1.883333;
2020-01-27;null;1006.233333;24.529167;28.5;26.054167;24.7;91.375;76;10.8;1.191667;
2020-01-28;null;1005.841667;24.4875;30.1;26.083333;24.6;91.208333;67;7.1;.9625;
2020-01-29;null;1005.545833;24.2625;31.8;26.716667;24.3;87.333333;60;8.3;1.133333;
2020-01-30;null;1006.158333;24.570833;28.5;25.595833;24.6;94.208333;81;7.3;.8625;
2020-01-31;null;1007.3625;23.204167;29.6;25.6875;23.3;87.041667;65;9.2;1.983333;
2020-02-01;null;1007.266667;23.029167;30.8;25.683333;22.4;86.416667;60;8;1.5125;
2020-02-02;null;1006.366667;23.766667;30.8;26.975;24.2;83.416667;62;8.5;1.6375;
2020-02-03;null;1006.75;24.091667;31.5;27.1875;24.5;83.75;61;9.4;1.975;
2020-02-04;null;1006.320833;24.270833;30.3;26.495833;24.5;88.041667;65;10.3;1.429167;
2020-02-05;null;1007.025;23.091667;25.9;24.041667;22.4;94.375;81;8.9;1.283333;
2020-02-06;null;1006.2;23.220833;29.6;25.3375;22.7;88.833333;67;6.3;.929167;
2020-02-07;null;1004.570833;23.929167;31;26.658333;23.2;85.791667;61;8.6;1.466667;
2020-02-08;null;1005.045833;23.425;30.6;26.591667;23.5;83.666667;63;9.6;1.85;
2020-02-09;null;1006.945833;24.033333;29.9;26.495833;23.5;86.791667;70;7.5;1.4125;
2020-02-10;null;1007.204167;24.7125;29.4;26.258333;24.9;91.458333;69;11;.895833;
2020-02-11;null;1005.604167;24.425;29;26.570833;24.6;88.375;69;9.7;1.625;
2020-02-12;null;1004.754167;24.633333;30.3;27.204167;25.6;86.125;70;9.1;1.883333;
2020-02-13;null;1004.779167;24.195833;30.5;26.670833;24.1;86.916667;65;7.8;1.266667;
2020-02-14;null;1005.125;23.433333;30.4;26.291667;23.4;85.375;61;10.2;1.7375;
2020-02-15;null;1005.641667;23.783333;28.4;25.595833;23.8;90.166667;70;5.4;.679167;
2020-02-16;null;1005.116667;23.808333;30.4;25.925;22.8;88.666667;69;8;1.095833;
2020-02-17;null;1004.641667;24.433333;30.3;26.733333;24.9;88;65;9.3;1.333333;
2020-02-18;null;1004.575;24.270833;31.1;26.870833;23.7;86.416667;61;8.9;1.541667;
2020-02-19;null;1003.716667;24.5;30.1;26.554167;24.5;88.833333;69;9.3;1.716667;
2020-02-20;null;1003.4;23.7625;30.5;26.216667;23.6;87.041667;65;10.3;1.633333;
