Nome: SAO LUIS
Codigo Estacao: A203
Latitude: -2.52666666
Longitude: -44.21361111
Altitude: 54.8
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;219.688;
2020-01-01;0100;303.558;
2020-01-01;0200;713.191;
2020-01-01;0300;1048.841;
2020-01-01;0400;997.59;
2020-01-01;0500;856.63;
2020-01-01;0600;42.511;
2020-01-01;0700;138.369;
2020-01-01;0800;115.035;
2020-01-01;0900;6.792;
2020-01-01;1000;null;
2020-01-01;1100;-.48;
2020-01-01;1200;.091;
2020-01-01;1300;172.422;
2020-01-01;1400;1478.22;
2020-01-01;1500;112.632;
2020-01-01;1600;2049.139;
2020-01-01;1700;3825.403;
2020-01-01;1800;3667.095;
2020-01-01;1900;3618.465;
2020-01-01;2000;3375.797;
2020-01-01;2100;3006.203;
2020-01-01;2200;2547.754;
2020-01-01;2300;2428.521;
2020-01-02;0000;2206.523;
2020-01-02;0100;1241.256;
2020-01-02;0200;null;
2020-01-02;0300;.071;
2020-01-02;0400;-.125;
2020-01-02;0500;-.075;
2020-01-02;0600;.812;
2020-01-02;0700;-.272;
2020-01-02;0800;-.224;
2020-01-02;0900;.684;
2020-01-02;1000;-.545;
2020-01-02;1100;-.121;
2020-01-02;1200;.182;
2020-01-02;1300;.789;
2020-01-02;1400;-.342;
2020-01-02;1500;-.21;
2020-01-02;1600;2446.241;
2020-01-02;1700;3663.146;
2020-01-02;1800;1761.184;
2020-01-02;1900;null;
2020-01-02;2000;null;
2020-01-02;2100;789.462;
2020-01-02;2200;1972.68;
2020-01-02;2300;1307.817;
2020-01-03;0000;483.811;
2020-01-03;0100;125.248;
2020-01-03;0200;140.101;
2020-01-03;0300;143.013;
2020-01-03;0400;34.276;
2020-01-03;0500;null;
2020-01-03;0600;null;
2020-01-03;0700;null;
2020-01-03;0800;null;
2020-01-03;0900;-.06;
2020-01-03;1000;null;
2020-01-03;1100;null;
2020-01-03;1200;14.482;
2020-01-03;1300;3422.974;
2020-01-03;1400;3655.587;
2020-01-03;1500;3696.277;
2020-01-03;1600;3169.434;
2020-01-03;1700;3749.433;
2020-01-03;1800;3597.025;
2020-01-03;1900;3372.072;
2020-01-03;2000;3511.529;
2020-01-03;2100;3485.147;
2020-01-03;2200;1251.689;
2020-01-03;2300;null;
2020-01-04;0000;null;
2020-01-04;0100;30.12;
2020-01-04;0200;null;
2020-01-04;0300;null;
2020-01-04;0400;3.034;
2020-01-04;0500;null;
2020-01-04;0600;null;
2020-01-04;0700;null;
2020-01-04;0800;null;
2020-01-04;0900;null;
2020-01-04;1000;2.654;
2020-01-04;1100;2.351;
2020-01-04;1200;null;
2020-01-04;1300;511.433;
2020-01-04;1400;3754.593;
2020-01-04;1500;2383.827;
2020-01-04;1600;null;
2020-01-04;1700;null;
2020-01-04;1800;null;
2020-01-04;1900;null;
2020-01-04;2000;null;
2020-01-04;2100;21.878;
2020-01-04;2200;206.771;
2020-01-04;2300;393.111;
2020-01-05;0000;830.369;
2020-01-05;0100;977.596;
2020-01-05;0200;1064.025;
2020-01-05;0300;1067.041;
2020-01-05;0400;1111.845;
2020-01-05;0500;826.954;
2020-01-05;0600;1049.567;
2020-01-05;0700;981.838;
2020-01-05;0800;902.528;
2020-01-05;0900;844.196;
2020-01-05;1000;736.495;
2020-01-05;1100;114.687;
2020-01-05;1200;964.241;
2020-01-05;1300;2367.68;
2020-01-05;1400;3308.044;
2020-01-05;1500;2727.623;
2020-01-05;1600;2214.49;
2020-01-05;1700;3238.653;
2020-01-05;1800;3361.459;
2020-01-05;1900;3169.618;
2020-01-05;2000;3085.504;
2020-01-05;2100;3450.645;
2020-01-05;2200;3135.688;
2020-01-05;2300;1922.087;
2020-01-06;0000;343.123;
2020-01-06;0100;213.913;
2020-01-06;0200;706.893;
2020-01-06;0300;708.684;
2020-01-06;0400;809.883;
2020-01-06;0500;813.657;
2020-01-06;0600;900.481;
2020-01-06;0700;921.152;
2020-01-06;0800;932.508;
2020-01-06;0900;867.628;
2020-01-06;1000;867.072;
2020-01-06;1100;107.022;
2020-01-06;1200;null;
2020-01-06;1300;null;
2020-01-06;1400;482.178;
2020-01-06;1500;2283.52;
2020-01-06;1600;2280.736;
2020-01-06;1700;180.052;
2020-01-06;1800;99.911;
2020-01-06;1900;974.51;
2020-01-06;2000;1349.567;
2020-01-06;2100;1277.736;
2020-01-06;2200;986.706;
2020-01-06;2300;891.575;
2020-01-07;0000;843.947;
2020-01-07;0100;660.889;
2020-01-07;0200;447.299;
2020-01-07;0300;367.06;
2020-01-07;0400;208.582;
2020-01-07;0500;196.244;
2020-01-07;0600;231.943;
2020-01-07;0700;254.409;
2020-01-07;0800;355.369;
2020-01-07;0900;426.888;
2020-01-07;1000;374.663;
2020-01-07;1100;109.343;
2020-01-07;1200;null;
2020-01-07;1300;2891.403;
2020-01-07;1400;1111.71;
2020-01-07;1500;123.209;
2020-01-07;1600;2110.47;
2020-01-07;1700;219.776;
2020-01-07;1800;1977.585;
2020-01-07;1900;2984.051;
2020-01-07;2000;3370.963;
2020-01-07;2100;3556.964;
2020-01-07;2200;3349.113;
2020-01-07;2300;3284.621;
2020-01-08;0000;3300.884;
2020-01-08;0100;3255.173;
2020-01-08;0200;3516.943;
2020-01-08;0300;3562.913;
2020-01-08;0400;3843.542;
2020-01-08;0500;4163.318;
2020-01-08;0600;4077.161;
2020-01-08;0700;3880.701;
2020-01-08;0800;3203.126;
2020-01-08;0900;4064.227;
2020-01-08;1000;4112.62;
2020-01-08;1100;4184.567;
2020-01-08;1200;3938.004;
2020-01-08;1300;3432.533;
2020-01-08;1400;1334.316;
2020-01-08;1500;1502.912;
2020-01-08;1600;3317.522;
2020-01-08;1700;3373.155;
2020-01-08;1800;3281.272;
2020-01-08;1900;3171.242;
2020-01-08;2000;3389.332;
2020-01-08;2100;3560.646;
2020-01-08;2200;3326.057;
2020-01-08;2300;3495.884;
2020-01-09;0000;3352.719;
2020-01-09;0100;3505.259;
