Nome: MEDICILANDIA
Codigo Estacao: A209
Latitude: -3.51083333
Longitude: -52.96333333
Altitude: 251.68
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-.519;
2020-01-01;0100;-1.714;
2020-01-01;0200;-1.726;
2020-01-01;0300;-1.077;
2020-01-01;0400;-1.42;
2020-01-01;0500;-.295;
2020-01-01;0600;-1.68;
2020-01-01;0700;-1.036;
2020-01-01;0800;-1.657;
2020-01-01;0900;-2.346;
2020-01-01;1000;11.947;
2020-01-01;1100;236.91;
2020-01-01;1200;584.609;
2020-01-01;1300;1228.134;
2020-01-01;1400;2099.522;
2020-01-01;1500;999.613;
2020-01-01;1600;1444.187;
2020-01-01;1700;1568.854;
2020-01-01;1800;1923.75;
2020-01-01;1900;831.044;
2020-01-01;2000;1068.831;
2020-01-01;2100;459.606;
2020-01-01;2200;77.69;
2020-01-01;2300;-3.529;
2020-01-02;0000;-3.379;
2020-01-02;0100;-3.347;
2020-01-02;0200;-3.386;
2020-01-02;0300;-3.182;
2020-01-02;0400;-1.374;
2020-01-02;0500;-.628;
2020-01-02;0600;-1.681;
2020-01-02;0700;-1.442;
2020-01-02;0800;-1.067;
2020-01-02;0900;-1.557;
2020-01-02;1000;18.816;
2020-01-02;1100;104.537;
2020-01-02;1200;335.979;
2020-01-02;1300;456.496;
2020-01-02;1400;1077.162;
2020-01-02;1500;967.141;
2020-01-02;1600;1374.458;
2020-01-02;1700;1271.847;
2020-01-02;1800;1189.694;
2020-01-02;1900;1084.444;
2020-01-02;2000;1350.118;
2020-01-02;2100;395.295;
2020-01-02;2200;16.713;
2020-01-02;2300;-2.149;
2020-01-03;0000;-.622;
2020-01-03;0100;-1.858;
2020-01-03;0200;-.891;
2020-01-03;0300;-.634;
2020-01-03;0400;-.784;
2020-01-03;0500;-1.527;
2020-01-03;0600;-1.948;
2020-01-03;0700;-1.688;
2020-01-03;0800;-.746;
2020-01-03;0900;-1.887;
2020-01-03;1000;15.062;
2020-01-03;1100;155.964;
2020-01-03;1200;336.769;
2020-01-03;1300;356.751;
2020-01-03;1400;712.475;
2020-01-03;1500;1224.992;
2020-01-03;1600;883.49;
2020-01-03;1700;884.269;
2020-01-03;1800;1280.012;
2020-01-03;1900;859.524;
2020-01-03;2000;501.696;
2020-01-03;2100;240.787;
2020-01-03;2200;71.463;
2020-01-03;2300;-2.79;
2020-01-04;0000;-2.705;
2020-01-04;0100;-1.562;
2020-01-04;0200;-1.918;
2020-01-04;0300;-2.31;
2020-01-04;0400;-2.088;
2020-01-04;0500;-1.77;
2020-01-04;0600;-1.016;
2020-01-04;0700;-1.189;
2020-01-04;0800;-1.697;
2020-01-04;0900;-1.633;
2020-01-04;1000;16.204;
2020-01-04;1100;283.793;
2020-01-04;1200;837.039;
2020-01-04;1300;738.212;
2020-01-04;1400;1727.871;
2020-01-04;1500;2003.005;
2020-01-04;1600;3067.463;
2020-01-04;1700;2892.509;
2020-01-04;1800;2543.908;
2020-01-04;1900;1939.705;
2020-01-04;2000;1208.638;
2020-01-04;2100;519.544;
2020-01-04;2200;41.885;
2020-01-04;2300;-2.712;
2020-01-05;0000;-2.574;
2020-01-05;0100;-2.178;
2020-01-05;0200;-1.546;
2020-01-05;0300;-.918;
2020-01-05;0400;-1.199;
2020-01-05;0500;-.762;
2020-01-05;0600;-1.419;
2020-01-05;0700;-.582;
2020-01-05;0800;-.812;
2020-01-05;0900;-1.238;
2020-01-05;1000;23.422;
2020-01-05;1100;213.509;
2020-01-05;1200;410.703;
2020-01-05;1300;916;
2020-01-05;1400;1412.619;
2020-01-05;1500;2268.935;
2020-01-05;1600;2437.942;
2020-01-05;1700;2122.114;
2020-01-05;1800;2871.458;
2020-01-05;1900;2394.783;
2020-01-05;2000;910.139;
2020-01-05;2100;202.435;
2020-01-05;2200;48.365;
2020-01-05;2300;-3.467;
2020-01-06;0000;-3.173;
2020-01-06;0100;-2.688;
2020-01-06;0200;-2.062;
2020-01-06;0300;-1.855;
2020-01-06;0400;-1.912;
2020-01-06;0500;-1.65;
2020-01-06;0600;-1.958;
2020-01-06;0700;-1.824;
2020-01-06;0800;-1.018;
2020-01-06;0900;-.418;
2020-01-06;1000;5.347;
2020-01-06;1100;53.359;
2020-01-06;1200;156.874;
2020-01-06;1300;605.26;
2020-01-06;1400;926.807;
2020-01-06;1500;1461.289;
2020-01-06;1600;2618.311;
2020-01-06;1700;3798.251;
2020-01-06;1800;2766.068;
2020-01-06;1900;2341.249;
2020-01-06;2000;1516.714;
2020-01-06;2100;649.302;
2020-01-06;2200;58.21;
2020-01-06;2300;-3.277;
2020-01-07;0000;-2.95;
2020-01-07;0100;-2.332;
2020-01-07;0200;-3.023;
2020-01-07;0300;-2.597;
2020-01-07;0400;-.97;
2020-01-07;0500;-2.459;
2020-01-07;0600;-2.539;
2020-01-07;0700;-1.47;
2020-01-07;0800;-1;
2020-01-07;0900;-1.016;
2020-01-07;1000;7.359;
2020-01-07;1100;207.285;
2020-01-07;1200;512.541;
2020-01-07;1300;725.493;
2020-01-07;1400;2737.465;
2020-01-07;1500;2551.594;
2020-01-07;1600;3211.069;
2020-01-07;1700;2996.199;
2020-01-07;1800;2124.988;
2020-01-07;1900;1875.936;
2020-01-07;2000;1327.436;
2020-01-07;2100;570.638;
2020-01-07;2200;46.522;
2020-01-07;2300;-3.399;
2020-01-08;0000;-2.776;
2020-01-08;0100;-3.257;
2020-01-08;0200;-2.314;
2020-01-08;0300;-1.149;
2020-01-08;0400;-1.023;
2020-01-08;0500;-2.041;
2020-01-08;0600;-2.88;
2020-01-08;0700;-2.186;
2020-01-08;0800;-2.133;
2020-01-08;0900;-.578;
2020-01-08;1000;12.418;
2020-01-08;1100;262.332;
2020-01-08;1200;587.532;
2020-01-08;1300;979.314;
2020-01-08;1400;1546.916;
2020-01-08;1500;1651.283;
2020-01-08;1600;1302.921;
2020-01-08;1700;2539.05;
2020-01-08;1800;1805.622;
2020-01-08;1900;861.557;
2020-01-08;2000;535.944;
2020-01-08;2100;520.23;
