Nome: COLINAS
Codigo Estacao: A222
Latitude: -6.03305554
Longitude: -44.23333333
Altitude: 175.37
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.512;
2020-01-01;0100;-3.358;
2020-01-01;0200;-3.54;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.437;
2020-01-01;0600;-3.338;
2020-01-01;0700;-3.54;
2020-01-01;0800;-3.54;
2020-01-01;0900;-.335;
2020-01-01;1000;125.85;
2020-01-01;1100;565.766;
2020-01-01;1200;607.411;
2020-01-01;1300;917.884;
2020-01-01;1400;914.345;
2020-01-01;1500;1351.312;
2020-01-01;1600;1182.587;
2020-01-01;1700;1603.191;
2020-01-01;1800;1034.692;
2020-01-01;1900;760.677;
2020-01-01;2000;660.82;
2020-01-01;2100;149.041;
2020-01-01;2200;.688;
2020-01-01;2300;-3.54;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.54;
2020-01-02;0200;-3.501;
2020-01-02;0300;-2.383;
2020-01-02;0400;-1.916;
2020-01-02;0500;-3.067;
2020-01-02;0600;-2.574;
2020-01-02;0700;-3.266;
2020-01-02;0800;-3.111;
2020-01-02;0900;.849;
2020-01-02;1000;173.694;
2020-01-02;1100;723.569;
2020-01-02;1200;1035.649;
2020-01-02;1300;1119.972;
2020-01-02;1400;1674.87;
2020-01-02;1500;1331.982;
2020-01-02;1600;806.833;
2020-01-02;1700;777.408;
2020-01-02;1800;599.702;
2020-01-02;1900;603.686;
2020-01-02;2000;633.212;
2020-01-02;2100;208.527;
2020-01-02;2200;2.628;
2020-01-02;2300;-3.54;
2020-01-03;0000;-3.538;
2020-01-03;0100;-3.498;
2020-01-03;0200;-3.417;
2020-01-03;0300;-3.538;
2020-01-03;0400;-3.492;
2020-01-03;0500;-3.249;
2020-01-03;0600;-3.536;
2020-01-03;0700;-2.845;
2020-01-03;0800;-1.34;
2020-01-03;0900;3.441;
2020-01-03;1000;215.15;
2020-01-03;1100;623.422;
2020-01-03;1200;645.698;
2020-01-03;1300;1365.731;
2020-01-03;1400;1416.362;
2020-01-03;1500;2072.237;
2020-01-03;1600;2108.095;
2020-01-03;1700;3152.647;
2020-01-03;1800;1807.964;
2020-01-03;1900;763.34;
2020-01-03;2000;195.964;
2020-01-03;2100;92.368;
2020-01-03;2200;-.003;
2020-01-03;2300;-3.494;
2020-01-04;0000;-3.54;
2020-01-04;0100;-3.501;
2020-01-04;0200;-3.214;
2020-01-04;0300;-3.24;
2020-01-04;0400;-3.509;
2020-01-04;0500;-2.587;
2020-01-04;0600;-2.677;
2020-01-04;0700;-1.536;
2020-01-04;0800;-1.422;
2020-01-04;0900;-1.889;
2020-01-04;1000;.952;
2020-01-04;1100;19.554;
2020-01-04;1200;18.478;
2020-01-04;1300;63.612;
2020-01-04;1400;284.641;
2020-01-04;1500;378.586;
2020-01-04;1600;1008.64;
2020-01-04;1700;1576.165;
2020-01-04;1800;1175.887;
2020-01-04;1900;1165.418;
2020-01-04;2000;664.427;
2020-01-04;2100;183.734;
2020-01-04;2200;-2.141;
2020-01-04;2300;-3.22;
2020-01-05;0000;null;
2020-01-05;0100;-2.422;
2020-01-05;0200;-2.664;
2020-01-05;0300;-3.301;
2020-01-05;0400;-3.343;
2020-01-05;0500;-2.816;
2020-01-05;0600;-2.93;
2020-01-05;0700;-3.503;
2020-01-05;0800;-2.339;
2020-01-05;0900;2.824;
2020-01-05;1000;230.013;
2020-01-05;1100;925.022;
2020-01-05;1200;1983.987;
2020-01-05;1300;2842.645;
2020-01-05;1400;2738.689;
2020-01-05;1500;3536.884;
2020-01-05;1600;1804.619;
2020-01-05;1700;1533.908;
2020-01-05;1800;1962.259;
2020-01-05;1900;804.063;
2020-01-05;2000;427.646;
2020-01-05;2100;279.189;
2020-01-05;2200;10.432;
2020-01-05;2300;-3.472;
2020-01-06;0000;-3.54;
2020-01-06;0100;-3.531;
2020-01-06;0200;-3.26;
2020-01-06;0300;-2.713;
2020-01-06;0400;-2.148;
2020-01-06;0500;-2.745;
2020-01-06;0600;-2.561;
2020-01-06;0700;-2.836;
2020-01-06;0800;-2.591;
2020-01-06;0900;4.389;
2020-01-06;1000;169.289;
2020-01-06;1100;632.737;
2020-01-06;1200;892.271;
2020-01-06;1300;1850.221;
2020-01-06;1400;1575.294;
2020-01-06;1500;1414.87;
2020-01-06;1600;2962.181;
2020-01-06;1700;2505.364;
2020-01-06;1800;1467.181;
2020-01-06;1900;1605.213;
2020-01-06;2000;393.867;
2020-01-06;2100;115.554;
2020-01-06;2200;-3.143;
2020-01-06;2300;-3.38;
2020-01-07;0000;.284;
2020-01-07;0100;null;
2020-01-07;0200;-1.931;
2020-01-07;0300;-1.347;
2020-01-07;0400;-1.764;
2020-01-07;0500;-2.136;
2020-01-07;0600;-1.421;
2020-01-07;0700;-1.605;
2020-01-07;0800;-2.291;
2020-01-07;0900;3.108;
2020-01-07;1000;239.398;
2020-01-07;1100;762.469;
2020-01-07;1200;1736.147;
2020-01-07;1300;1964.731;
2020-01-07;1400;2609.291;
2020-01-07;1500;1775.123;
2020-01-07;1600;2137.163;
2020-01-07;1700;2430.895;
2020-01-07;1800;2255.378;
2020-01-07;1900;1175.84;
2020-01-07;2000;null;
2020-01-07;2100;496.685;
2020-01-07;2200;6.932;
2020-01-07;2300;-3.54;
2020-01-08;0000;-3.54;
2020-01-08;0100;-3.54;
2020-01-08;0200;-3.54;
2020-01-08;0300;-3.54;
2020-01-08;0400;-3.54;
2020-01-08;0500;-3.54;
2020-01-08;0600;-3.54;
2020-01-08;0700;-2.59;
2020-01-08;0800;-1.722;
2020-01-08;0900;2.007;
2020-01-08;1000;172.86;
2020-01-08;1100;577.474;
2020-01-08;1200;1031.419;
2020-01-08;1300;1583.873;
2020-01-08;1400;2172.906;
2020-01-08;1500;2559.885;
2020-01-08;1600;3214.694;
2020-01-08;1700;3112.078;
2020-01-08;1800;2844.178;
2020-01-08;1900;2256.617;
2020-01-08;2000;1392.892;
2020-01-08;2100;294.049;
2020-01-08;2200;2.895;
2020-01-08;2300;-2.403;
2020-01-09;0000;-3.538;
2020-01-09;0100;-3.54;
2020-01-09;0200;-3.54;
2020-01-09;0300;-3.441;
2020-01-09;0400;-3.54;
2020-01-09;0500;-3.54;
2020-01-09;0600;-3.538;
2020-01-09;0700;-2.839;
2020-01-09;0800;-1.668;
2020-01-09;0900;4.649;
2020-01-09;1000;304.822;
2020-01-09;1100;910.878;
2020-01-09;1200;1849.64;
2020-01-09;1300;2450.244;
2020-01-09;1400;2124.306;
2020-01-09;1500;3329.237;
2020-01-09;1600;3882.199;
2020-01-09;1700;2726.84;
2020-01-09;1800;2892.264;
2020-01-09;1900;2125.191;
2020-01-09;2000;1123.756;
2020-01-09;2100;168.761;
2020-01-09;2200;1.67;
2020-01-09;2300;-3.54;
2020-01-10;0000;-2.867;
2020-01-10;0100;.781;
2020-01-10;0200;-.936;
2020-01-10;0300;-.839;
2020-01-10;0400;-1.778;
2020-01-10;0500;-2.549;
2020-01-10;0600;-2.391;
2020-01-10;0700;-3.045;
2020-01-10;0800;-3.527;
2020-01-10;0900;4.424;
2020-01-10;1000;136.277;
2020-01-10;1100;908.061;
2020-01-10;1200;1356.371;
2020-01-10;1300;1732.465;
2020-01-10;1400;2872.511;
2020-01-10;1500;3087.296;
2020-01-10;1600;1425.146;
2020-01-10;1700;1535.236;
2020-01-10;1800;2612.789;
2020-01-10;1900;1722.158;
2020-01-10;2000;277.22;
2020-01-10;2100;142.387;
2020-01-10;2200;1.254;
2020-01-10;2300;-3.54;
2020-01-11;0000;-3.54;
2020-01-11;0100;-3.54;
2020-01-11;0200;-3.54;
2020-01-11;0300;-3.54;
2020-01-11;0400;-3.531;
2020-01-11;0500;-3.54;
2020-01-11;0600;null;
2020-01-11;0700;null;
2020-01-11;0800;null;
2020-01-11;0900;null;
2020-01-11;1000;null;
2020-01-11;1100;null;
2020-01-11;1200;471.431;
2020-01-11;1300;1047.827;
2020-01-11;1400;1621.837;
2020-01-11;1500;2145.622;
2020-01-11;1600;1164.496;
2020-01-11;1700;2497.74;
2020-01-11;1800;2670.33;
2020-01-11;1900;1961.894;
2020-01-11;2000;1316.232;
2020-01-11;2100;303.016;
2020-01-11;2200;7.284;
2020-01-11;2300;-3.406;
2020-01-12;0000;-3.479;
2020-01-12;0100;-2.525;
2020-01-12;0200;-3.54;
2020-01-12;0300;null;
2020-01-12;0400;null;
2020-01-12;0500;-2.893;
