Nome: IMPERATRIZ
Codigo Estacao: A225
Latitude: -5.55583333
Longitude: -47.45972222
Altitude: 117.96
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.48;
2020-01-01;0200;-3.54;
2020-01-01;0300;-3.463;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.473;
2020-01-01;0600;-2.918;
2020-01-01;0700;-2.522;
2020-01-01;0800;-3.055;
2020-01-01;0900;-1.385;
2020-01-01;1000;61.39;
2020-01-01;1100;197.461;
2020-01-01;1200;594.953;
2020-01-01;1300;1258.889;
2020-01-01;1400;2334.204;
2020-01-01;1500;1995.094;
2020-01-01;1600;1328.394;
2020-01-01;1700;2213.923;
2020-01-01;1800;2928.933;
2020-01-01;1900;2380.77;
2020-01-01;2000;1421.655;
2020-01-01;2100;564.916;
2020-01-01;2200;16.957;
2020-01-01;2300;-3.54;
2020-01-02;0000;-3.538;
2020-01-02;0100;-3.345;
2020-01-02;0200;-3.54;
2020-01-02;0300;-2.755;
2020-01-02;0400;-1.527;
2020-01-02;0500;-1.576;
2020-01-02;0600;-3.153;
2020-01-02;0700;-3.097;
2020-01-02;0800;-2.897;
2020-01-02;0900;-2.249;
2020-01-02;1000;29.032;
2020-01-02;1100;244.435;
2020-01-02;1200;270.751;
2020-01-02;1300;677.227;
2020-01-02;1400;1674.504;
2020-01-02;1500;820.814;
2020-01-02;1600;787.396;
2020-01-02;1700;1300.389;
2020-01-02;1800;971.868;
2020-01-02;1900;626.785;
2020-01-02;2000;741.952;
2020-01-02;2100;314.271;
2020-01-02;2200;26.907;
2020-01-02;2300;-3.54;
2020-01-03;0000;-3.538;
2020-01-03;0100;-3.121;
2020-01-03;0200;-3.076;
2020-01-03;0300;-3.352;
2020-01-03;0400;-2.67;
2020-01-03;0500;-3.101;
2020-01-03;0600;-2.908;
2020-01-03;0700;-2.477;
2020-01-03;0800;-2.727;
2020-01-03;0900;-2.481;
2020-01-03;1000;138.916;
2020-01-03;1100;483.39;
2020-01-03;1200;662.102;
2020-01-03;1300;1461.188;
2020-01-03;1400;2673.375;
2020-01-03;1500;2501.537;
