Nome: SANTANA DO ARAGUAIA
Codigo Estacao: A233
Latitude: -9.3386111
Longitude: -50.35027777
Altitude: 176.75
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;989.995833;21.325;33.7;26.829167;22.6;73.875;46;7;1.491667;
2020-01-02;.2;990.508333;22.341667;31;26.008333;24;80.958333;58;9.3;1.2875;
2020-01-03;.4;991.8875;22.466667;32.3;25.383333;23.9;84.708333;53;12.2;1.354167;
2020-01-04;7.8;991.770833;21.954167;31.2;25.808333;22.7;80.375;55;7.7;1.3125;
2020-01-05;12;991.266667;22.725;27.9;25.05;23.4;86.958333;72;8.6;1.6125;
2020-01-06;8.6;991.95;21.816667;30.9;24.466667;23;85.958333;58;13.4;1.15;
2020-01-07;27.8;992.191667;21.929167;32.6;26.15;22.6;79.375;48;5.2;1.020833;
2020-01-08;.2;991.5875;22.529167;32.8;26.733333;23.3;78.958333;50;6.7;1.241667;
2020-01-09;4.4;992.175;22.529167;31.7;26.279167;23.1;80.708333;57;5.6;1.504167;
2020-01-10;0;990.675;22.275;34.5;27.245833;22.5;75.916667;47;6.1;.9;
2020-01-11;1.2;990.270833;22.6375;28.6;25.258333;23.6;85.666667;72;8.7;1.45;
2020-01-12;7.8;991.441667;22.479167;33;26.045833;22;81.791667;54;12.5;1.325;
2020-01-13;.6;991.683333;21.9375;32.5;26.395833;22.7;78;48;9.6;1.4375;
2020-01-14;6;990.879167;22.220833;34.7;26.695833;22.2;78.208333;46;7.3;.554167;
2020-01-15;0;989.6875;22.625;33.6;26.4375;23.7;80.416667;55;10.2;1.120833;
2020-01-16;.8;991.083333;22.4625;35.7;27.654167;22.7;75.583333;43;6.9;1.166667;
2020-01-17;.2;992.2875;22.6625;33.6;27.825;23.7;74.791667;48;6.8;1.454167;
2020-01-18;0;991.220833;22.5;36.4;28.35;23.6;72.916667;41;4.9;1.041667;
2020-01-19;2.4;990.970833;21.4375;33.2;25.875;22;77.75;48;18.1;1.508333;
2020-01-20;.6;990.191667;22.291667;34.7;26.75;23.6;78.041667;47;10.8;1.5125;
2020-01-21;11.2;988.658333;22.05;35.3;28.420833;23.2;71.333333;40;8.2;1.5875;
2020-01-22;0;988.995833;22.791667;32.8;26.741667;24.8;79.541667;55;8.1;1.3125;
2020-01-23;7.2;989.429167;22.933333;29;25.525;23.9;85.833333;69;7.3;1.416667;
2020-01-24;20.2;990.020833;22.991667;31.6;25.270833;23.3;87.791667;61;10.6;1.108333;
2020-01-25;8.6;990.420833;23.141667;34.5;26.783333;24.3;81.875;51;14.8;1.4875;
2020-01-26;4;991.216667;22.858333;34.5;27.116667;23.3;79.208333;48;8;1.525;
2020-01-27;19.8;991.991667;22.125;30.2;24.258333;23.3;88.166667;69;13.8;2.329167;
2020-01-28;14.2;992.25;22.233333;31.8;25.070833;22.5;84.875;59;6.2;1.066667;
2020-01-29;0;992.3875;22.383333;32.7;26.9875;22.8;77.333333;51;7.5;1.208333;
2020-01-30;0;992.575;22.520833;32.9;27.004167;22.9;78;53;6.1;1.104167;
2020-01-31;0;991.966667;22.704167;34.7;27.475;23.5;77;45;13.3;1.633333;
2020-02-01;18;991.7375;22.683333;34.7;27.845833;22.8;75.625;44;9.8;1.145833;
2020-02-02;0;991.25;22.408333;36;28;23.6;74.416667;39;14.9;1.466667;
2020-02-03;0;991.883333;22.091667;34.6;26.05;22.4;80.125;49;20.8;1.091667;
2020-02-04;0;992.516667;21.75;32;25.575;22.3;80.416667;53;7.4;1.304167;
2020-02-05;13.4;992.575;21.829167;29.3;24.320833;21.9;86.5;62;18.6;1.191667;
2020-02-06;10.8;992.1;22;32.6;26.445833;21.9;78.25;51;12.9;1.716667;
2020-02-07;.4;990.583333;22.2875;29.5;25.070833;24;84.916667;65;24.7;1.1875;
2020-02-08;42.2;991.6125;22.1125;26.4;23.566667;22.5;91.583333;83;22.4;.966667;
2020-02-09;45.6;993.929167;21.408333;30.8;24.925;21.6;81.833333;56;6.6;1.4875;
2020-02-10;6.2;993.475;22.170833;34.2;26.9875;22.9;76.875;46;23.6;1.325;
2020-02-11;.4;991.295833;22.079167;35.4;27.175;23;75.75;44;21.6;1.275;
2020-02-12;.4;990.991667;22;27.5;24.666667;23.6;85.416667;71;17.7;1.354167;
2020-02-13;16.4;991.225;21.954167;34.1;26.758333;21.5;77.041667;46;4;.6375;
2020-02-14;.2;990.179167;22.0625;36.6;29.054167;23;69.75;35;13.1;.920833;
2020-02-15;0;990.6375;21.404167;33.5;27.558333;24;70.75;42;8.5;2.254167;
2020-02-16;0;990.6625;21.516667;35.6;28.679167;23.4;68.25;39;7.2;1.6625;
2020-02-17;0;989.929167;22.129167;35.9;28.708333;23.5;69.375;43;7.1;1.633333;
2020-02-18;10;990.6125;22.633333;31.4;26.191667;22.5;81.625;59;10.3;1.2;
2020-02-19;7;989.241667;23.170833;35.5;27.829167;22.6;77.333333;48;8.9;1.258333;
2020-02-20;0;989.908333;22.170833;30.6;25.895833;23.9;80.458333;59;14.3;1.625;
2020-02-21;0;991.016667;21.304167;33.7;26.458333;22.9;74.916667;45;6.5;1.270833;
2020-02-22;5;992.195833;22.3875;32.9;26.595833;23;79;53;7.7;1.4625;
2020-02-23;.2;992.116667;22.966667;34.2;26.416667;24;82.25;49;10.1;1.225;
2020-02-24;3;991.020833;22.254167;35.1;27.0625;23.2;77.291667;43;13.2;1.125;
2020-02-25;.2;991.041667;22.658333;34;27.15;23.8;77.75;49;7.4;1.466667;
2020-02-26;.2;990.754167;22.404167;33.7;27.3625;23.8;75.958333;49;21.6;.875;
2020-02-27;.2;990.6;23.025;35.2;27.775;24.1;76.791667;46;10.8;1.733333;
2020-02-28;0;991.958333;23;32.3;27.041667;23.4;79.541667;57;5.4;.9375;
2020-02-29;0;992.983333;22.633333;35;26.745833;23.2;79.916667;43;8.6;.45;
2020-03-01;0;992.325;22.466667;33.9;26.766667;23.4;78.541667;47;10.1;.65;
2020-03-02;.2;991.420833;22.816667;28.8;25.225;23.9;86.666667;73;9.9;.495833;
2020-03-03;7.2;991.508333;22.7;30.1;25.6875;23.5;84.166667;64;5.8;.425;
2020-03-04;17;992.866667;22.754167;30.7;25.0375;22.8;87.458333;63;6.3;.908333;
