Nome: NOVO REPARTIMENTO
Codigo Estacao: A235
Latitude: -4.24388888
Longitude: -49.93944444
Altitude: 100.76
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.043;
2020-01-01;0100;-1.73;
2020-01-01;0200;-1.75;
2020-01-01;0300;-2.533;
2020-01-01;0400;-2.346;
2020-01-01;0500;-3.269;
2020-01-01;0600;-1.328;
2020-01-01;0700;-2.164;
2020-01-01;0800;-.523;
2020-01-01;0900;-2.435;
2020-01-01;1000;52.456;
2020-01-01;1100;262.097;
2020-01-01;1200;502.551;
2020-01-01;1300;1495.108;
2020-01-01;1400;1741.432;
2020-01-01;1500;2126.584;
2020-01-01;1600;3254.372;
2020-01-01;1700;2223.916;
2020-01-01;1800;2074.097;
2020-01-01;1900;1473.013;
2020-01-01;2000;1598.566;
2020-01-01;2100;687.754;
2020-01-01;2200;57.042;
2020-01-01;2300;-2.861;
2020-01-02;0000;-3.019;
2020-01-02;0100;-2.225;
2020-01-02;0200;-2.008;
2020-01-02;0300;-2.615;
2020-01-02;0400;-1.902;
2020-01-02;0500;-1.151;
2020-01-02;0600;.399;
2020-01-02;0700;-.498;
2020-01-02;0800;-1.473;
2020-01-02;0900;-.917;
2020-01-02;1000;29.702;
2020-01-02;1100;257.591;
2020-01-02;1200;959.022;
2020-01-02;1300;1102.861;
2020-01-02;1400;1444.833;
2020-01-02;1500;1938.963;
2020-01-02;1600;2474.203;
2020-01-02;1700;2572.852;
2020-01-02;1800;2781.763;
2020-01-02;1900;1203.552;
2020-01-02;2000;964.385;
2020-01-02;2100;285.174;
2020-01-02;2200;43.337;
2020-01-02;2300;-2.53;
2020-01-03;0000;-2.982;
2020-01-03;0100;-2.096;
2020-01-03;0200;.687;
2020-01-03;0300;-.274;
2020-01-03;0400;-.048;
2020-01-03;0500;-.526;
2020-01-03;0600;-.512;
2020-01-03;0700;-1.025;
2020-01-03;0800;-1.736;
2020-01-03;0900;-.419;
2020-01-03;1000;9.015;
2020-01-03;1100;61.551;
2020-01-03;1200;178.754;
2020-01-03;1300;311.13;
2020-01-03;1400;338.671;
2020-01-03;1500;516.556;
2020-01-03;1600;855.227;
2020-01-03;1700;1313.18;
2020-01-03;1800;1219.574;
2020-01-03;1900;1021.812;
2020-01-03;2000;970.857;
2020-01-03;2100;300.104;
2020-01-03;2200;39.55;
2020-01-03;2300;-3.147;
2020-01-04;0000;-2.466;
2020-01-04;0100;-1.978;
2020-01-04;0200;-2.209;
2020-01-04;0300;-2.418;
2020-01-04;0400;-1.746;
2020-01-04;0500;-2.71;
2020-01-04;0600;-.523;
2020-01-04;0700;-1.575;
2020-01-04;0800;-.94;
2020-01-04;0900;-1.33;
2020-01-04;1000;27.224;
2020-01-04;1100;283.672;
2020-01-04;1200;521.934;
2020-01-04;1300;879.26;
2020-01-04;1400;1586.804;
2020-01-04;1500;1889.146;
2020-01-04;1600;1080.867;
2020-01-04;1700;2650.722;
2020-01-04;1800;2094.413;
2020-01-04;1900;657.063;
2020-01-04;2000;493.013;
2020-01-04;2100;216.973;
2020-01-04;2200;28.831;
2020-01-04;2300;-3.34;
2020-01-05;0000;-3.401;
2020-01-05;0100;-3.525;
2020-01-05;0200;-1.524;
2020-01-05;0300;-1.097;
2020-01-05;0400;-1.34;
2020-01-05;0500;-1.604;
2020-01-05;0600;-.571;
2020-01-05;0700;-2.591;
2020-01-05;0800;-2.381;
2020-01-05;0900;-2.806;
2020-01-05;1000;125.446;
2020-01-05;1100;573.117;
2020-01-05;1200;1199.004;
2020-01-05;1300;1491.513;
2020-01-05;1400;2598.755;
2020-01-05;1500;2536.356;
2020-01-05;1600;1877.576;
2020-01-05;1700;2336.457;
2020-01-05;1800;1365.642;
2020-01-05;1900;1194.252;
2020-01-05;2000;762.696;
2020-01-05;2100;221.646;
2020-01-05;2200;35.428;
2020-01-05;2300;-2.259;
2020-01-06;0000;-2.77;
2020-01-06;0100;-2.984;
2020-01-06;0200;-2.084;
2020-01-06;0300;-2.888;
2020-01-06;0400;-2.673;
2020-01-06;0500;-2.246;
2020-01-06;0600;-1.905;
2020-01-06;0700;-2.579;
2020-01-06;0800;-2.656;
2020-01-06;0900;.057;
2020-01-06;1000;21.159;
2020-01-06;1100;320.793;
2020-01-06;1200;757.203;
2020-01-06;1300;921.787;
2020-01-06;1400;1037.882;
2020-01-06;1500;1609.058;
2020-01-06;1600;1358.268;
2020-01-06;1700;1603.208;
2020-01-06;1800;1741.997;
2020-01-06;1900;1283.725;
2020-01-06;2000;829.469;
2020-01-06;2100;290.271;
2020-01-06;2200;27.103;
2020-01-06;2300;-3.381;
2020-01-07;0000;-3.54;
2020-01-07;0100;-3.349;
2020-01-07;0200;-3.008;
2020-01-07;0300;-2.292;
2020-01-07;0400;.376;
2020-01-07;0500;-.967;
2020-01-07;0600;-1.371;
2020-01-07;0700;-.792;
2020-01-07;0800;-1.324;
2020-01-07;0900;-2.184;
2020-01-07;1000;80.599;
2020-01-07;1100;1051.584;
2020-01-07;1200;1538.945;
2020-01-07;1300;1633.693;
2020-01-07;1400;2672.336;
2020-01-07;1500;2780.117;
2020-01-07;1600;3623.933;
2020-01-07;1700;2528.789;
2020-01-07;1800;2962.228;
2020-01-07;1900;1642.711;
2020-01-07;2000;1273.27;
2020-01-07;2100;803.144;
2020-01-07;2200;10.166;
2020-01-07;2300;-2.602;
2020-01-08;0000;-1.209;
2020-01-08;0100;-2.893;
2020-01-08;0200;-2.516;
2020-01-08;0300;-2.956;
2020-01-08;0400;-3.03;
2020-01-08;0500;-3.208;
2020-01-08;0600;-2.899;
2020-01-08;0700;-2.856;
2020-01-08;0800;-2.399;
2020-01-08;0900;-3.101;
2020-01-08;1000;73.529;
2020-01-08;1100;406.258;
2020-01-08;1200;810.912;
2020-01-08;1300;1276.019;
2020-01-08;1400;1756.998;
2020-01-08;1500;1964.127;
2020-01-08;1600;3051.877;
2020-01-08;1700;3285.183;
2020-01-08;1800;2893.628;
2020-01-08;1900;1548.407;
2020-01-08;2000;1109.486;
2020-01-08;2100;370.981;
2020-01-08;2200;39.888;
2020-01-08;2300;-3.208;
2020-01-09;0000;-2.994;
2020-01-09;0100;-2.122;
2020-01-09;0200;-2.845;
2020-01-09;0300;-3.494;
2020-01-09;0400;-3.477;
2020-01-09;0500;-2.954;
2020-01-09;0600;-3.501;
2020-01-09;0700;-3.501;
2020-01-09;0800;-3.54;
2020-01-09;0900;-3.275;
2020-01-09;1000;58.907;
2020-01-09;1100;386.867;
2020-01-09;1200;1165.5;
2020-01-09;1300;1590.204;
2020-01-09;1400;2467.832;
2020-01-09;1500;1694.803;
2020-01-09;1600;1213.334;
2020-01-09;1700;2900.663;
2020-01-09;1800;2985.271;
2020-01-09;1900;2238.156;
2020-01-09;2000;492.809;
2020-01-09;2100;186.029;
2020-01-09;2200;50.394;
2020-01-09;2300;-3.54;
2020-01-10;0000;-3.538;
2020-01-10;0100;-3.347;
2020-01-10;0200;-3.327;
2020-01-10;0300;-3.024;
2020-01-10;0400;-3.179;
2020-01-10;0500;-3.007;
2020-01-10;0600;-3.368;
2020-01-10;0700;-1.413;
2020-01-10;0800;-.311;
2020-01-10;0900;-1.297;
2020-01-10;1000;56.711;
2020-01-10;1100;276.693;
2020-01-10;1200;314.052;
2020-01-10;1300;404.139;
2020-01-10;1400;1071.309;
2020-01-10;1500;1541.618;
2020-01-10;1600;1466.883;
2020-01-10;1700;2162.521;
2020-01-10;1800;3147.652;
2020-01-10;1900;2316.939;
2020-01-10;2000;1380.049;
2020-01-10;2100;572.147;
2020-01-10;2200;57.497;
2020-01-10;2300;-3.54;
2020-01-11;0000;-3.54;
2020-01-11;0100;-3.512;
2020-01-11;0200;-2.665;
2020-01-11;0300;-3.358;
2020-01-11;0400;-3.533;
2020-01-11;0500;-1.583;
2020-01-11;0600;-1.583;
2020-01-11;0700;-.987;
2020-01-11;0800;-2.899;
2020-01-11;0900;-2.267;
2020-01-11;1000;38.254;
2020-01-11;1100;412.518;
2020-01-11;1200;1642.859;
2020-01-11;1300;2235.013;
