Nome: BURITICUPU
Codigo Estacao: A238
Latitude: -4.32055554
Longitude: -46.44944444
Altitude: 174.91
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;null;990.210526;null;31.9;null;22.2;69.153846;43;8.2;2.052632;
2020-01-02;0;990.429167;null;31.5;26.279167;23.3;70.785714;49;11;2.025;
2020-01-03;1.6;991.35;null;31.7;26.2625;23;null;52;12.1;1.725;
2020-01-04;39.2;992.395833;null;28.3;24.6875;22.9;null;71;10.1;1.641667;
2020-01-05;null;990.972222;null;32.7;null;22.7;60.916667;44;7.9;2.138889;
2020-01-06;null;991.3;null;30;null;24.2;null;63;8.7;2.168421;
2020-01-07;null;992.185714;null;31.5;null;22.6;69.692308;51;8.1;2.028571;
2020-01-08;0;991.625;null;32.2;26.204167;22.5;71.923077;48;8.2;1.791667;
2020-01-09;.2;991.616667;null;31.3;25.754167;23.6;null;54;11;1.4125;
2020-01-10;.4;991.358333;null;31.4;25.479167;23.3;null;55;9;1.4375;
2020-01-11;1.2;990.558333;null;30.4;25.6625;22.7;null;59;10.3;1.891667;
2020-01-12;10.2;991.720833;null;29.7;24.520833;23.1;null;61;9.1;1.6125;
2020-01-13;null;991.128571;null;31.6;null;22.2;null;54;6.8;1.380952;
2020-01-14;22.6;990.929167;null;29;24.445833;21.1;null;67;11.3;1.608333;
2020-01-15;.6;990.483333;null;31.6;26.045833;22.7;null;55;10.4;1.79;
2020-01-16;0;991.229167;null;33.1;27.045833;23.3;65.692308;46;7.7;2.205556;
2020-01-17;0;991.929167;null;32.7;27.145833;22.9;70.266667;51;4;null;
2020-01-18;0;991.545833;null;32.6;26.533333;22.1;73.5625;53;11.8;null;
2020-01-19;2.6;991.358333;null;28.8;24.6625;22.5;null;69;11.8;2.127778;
2020-01-20;13.2;990.331818;null;32.7;25.413636;21.2;null;53;13.1;null;
2020-01-21;1.4;989.733333;null;32;26;22.9;null;51;9.5;null;
2020-01-22;.2;989.6125;null;31.7;25.941667;23.2;null;53;6.8;null;
2020-01-23;1;989.75;null;31.3;26.233333;23;null;55;12.3;null;
2020-01-24;0;990.3625;null;32;26.629167;23.8;null;54;5.4;null;
2020-01-25;0;990.395833;null;33.8;27.520833;22.9;57.833333;42;5;null;
