Nome: MARABA
Codigo Estacao: A240
Latitude: -5.36638888
Longitude: -49.05111111
Altitude: 116.58
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;5.6;997.808333;21.720833;29.3;24.733333;22.3;84.166667;57;5.8;1.129167;
2020-01-02;.6;997.6375;22.3125;31.5;25.25;22.9;84.583333;58;7.1;1.2625;
2020-01-03;6.6;999.033333;22.708333;30.5;25.583333;23.4;84.833333;60;5.9;1.191667;
2020-01-04;5;999.5875;22.8125;28.8;25.029167;22.8;87.916667;67;6.6;1.15;
2020-01-05;3;998.075;22.125;31.9;26.033333;21.9;80.125;54;7.4;1.333333;
2020-01-06;34.4;998.9875;22.091667;26.3;23.533333;22.4;91.708333;74;7.5;1.233333;
2020-01-07;3;999.279167;22.354167;31.7;25.1375;21.8;85.375;57;5.7;1.229167;
2020-01-08;0;998.7375;22.416667;30.7;25.845833;22.8;82.375;60;5.5;1.175;
2020-01-09;5.2;999.091667;22.445833;31.7;25.808333;22.3;82.75;55;6.4;1.1125;
2020-01-10;0;997.995833;23.079167;30.9;26.4875;23.3;82.375;61;6.5;1.466667;
2020-01-11;0;997.608333;22.4625;31;26.3625;24.2;79.791667;57;7.6;1.870833;
2020-01-12;27.6;999.225;22.0875;28;24.6625;22.6;86.166667;70;7.3;1.75;
2020-01-13;.2;998.420833;22.275;31.7;26.25;23.4;80.125;53;7.4;1.254167;
2020-01-14;20.2;998.3625;21.725;26.6;23.65;21.5;89;77;8.5;1.391667;
2020-01-15;.2;997.229167;22.6625;32.1;26.395833;22.4;81.166667;55;7.1;1.420833;
2020-01-16;1;998.3375;22.6625;31.5;26.45;23.1;80.708333;58;5.1;1.2625;
2020-01-17;0;999.133333;22.779167;32.9;26.758333;23.5;80.125;53;4.6;1.125;
2020-01-18;0;998.470833;22.925;33.6;26.779167;23.3;80.458333;51;6;1.2625;
2020-01-19;0;997.858333;23;33;26.429167;23.8;82.666667;55;9.4;1.4875;
2020-01-20;10;997.625;22.304167;31.3;25.633333;22.3;82.75;60;8.3;1.220833;
2020-01-21;75;997.016667;22.633333;29.2;25.016667;22.4;87.083333;66;6.8;1.575;
2020-01-22;.2;996.625;22.445833;30.7;26.075;23.3;81.208333;60;6.5;1.508333;
2020-01-23;0;996.929167;23.116667;28.6;25.591667;23.6;86.416667;73;7.5;1.441667;
2020-01-24;3.8;997.2875;23.3875;31.5;26.833333;24.1;82.375;60;6;1.3875;
2020-01-25;0;997.4875;23.429167;32.7;27.579167;24.2;79.458333;54;7.3;1.425;
2020-01-26;37.4;998.0625;22.945833;31.8;26.391667;22.8;82.583333;58;10.1;1.308333;
2020-01-27;32;999.266667;22.675;28.6;25;22.7;87.416667;66;12.5;1.641667;
2020-01-28;2.4;998.7375;22.3;31.6;26.1;22.7;80.791667;55;7.6;.945833;
2020-01-29;2;999.029167;22.241667;30.6;25.104167;22.3;84.875;58;4.6;1.108333;
2020-01-30;3.2;998.941667;22.829167;28.8;25.270833;21.7;86.583333;69;12.5;1.229167;
2020-01-31;32.4;999.466667;22.779167;30.6;25.820833;19.9;84;62;11.7;1.375;
2020-02-01;0;999.333333;22.679167;32.3;26.775;23.7;79.541667;52;6.2;1.483333;
2020-02-02;0;998.525;22.770833;32.5;27.0625;23;78.875;48;7.4;1.470833;
2020-02-03;.8;999.104167;23.1;28.4;25.204167;22;88.416667;74;9.7;1.133333;
2020-02-04;4.8;999.266667;22.691667;31.8;26.0875;22.2;82.541667;57;6.3;1.283333;
2020-02-05;1.8;999.525;22.4;30.2;25.479167;22.9;83.875;60;8.5;1.566667;
2020-02-06;7.2;999.0875;21.895833;29.9;25.379167;22.3;82.083333;59;7.8;1.5;
2020-02-07;0;997.191667;22.6625;30.2;25.508333;22.9;84.958333;63;6.4;1.425;
2020-02-08;20;998.608333;22.283333;29;24.658333;22.3;87.041667;67;6.4;1.3;
2020-02-09;10.4;1000.275;22.475;29.1;25.020833;22.1;86.291667;65;7.1;1.083333;
2020-02-10;3;999.958333;22.320833;32.1;26.095833;21.8;80.916667;55;7.7;1.125;
2020-02-11;8.6;998.204167;23.145833;31;25.95;22.8;85.208333;62;8.5;1.145833;
2020-02-12;.4;997.666667;22.758333;30.7;25.654167;22.2;84.583333;66;6.8;1.254167;
