Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: A241
Latitude: -8.30361111
Longitude: -49.28277777
Altitude: 175.74
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.495;
2020-01-01;0100;-3.5;
2020-01-01;0200;-3.529;
2020-01-01;0300;-3.495;
2020-01-01;0400;-2.447;
2020-01-01;0500;-3.47;
2020-01-01;0600;-3.206;
2020-01-01;0700;-2.328;
2020-01-01;0800;-2.582;
2020-01-01;0900;-2.846;
2020-01-01;1000;80.634;
2020-01-01;1100;358.848;
2020-01-01;1200;1315.739;
2020-01-01;1300;1765.509;
2020-01-01;1400;2673.578;
2020-01-01;1500;1533.914;
2020-01-01;1600;3326.156;
2020-01-01;1700;2715.492;
2020-01-01;1800;2595.442;
2020-01-01;1900;2213.082;
2020-01-01;2000;1618.037;
2020-01-01;2100;797.983;
2020-01-01;2200;46.229;
2020-01-01;2300;-3.54;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.527;
2020-01-02;0200;-3.395;
2020-01-02;0300;-3.434;
2020-01-02;0400;-3.493;
2020-01-02;0500;-3.519;
2020-01-02;0600;-3.336;
2020-01-02;0700;-3.438;
2020-01-02;0800;-3.16;
2020-01-02;0900;-2.265;
2020-01-02;1000;96.98;
2020-01-02;1100;404.442;
2020-01-02;1200;1011.242;
2020-01-02;1300;1814.276;
2020-01-02;1400;2214.061;
2020-01-02;1500;2692.798;
2020-01-02;1600;1745.996;
2020-01-02;1700;2568.634;
2020-01-02;1800;1041.815;
2020-01-02;1900;886.412;
2020-01-02;2000;249;
2020-01-02;2100;148.529;
2020-01-02;2200;6.103;
2020-01-02;2300;-2.974;
2020-01-03;0000;-2.514;
2020-01-03;0100;-2.363;
2020-01-03;0200;-2.306;
2020-01-03;0300;-2.625;
2020-01-03;0400;-2.324;
2020-01-03;0500;-2.209;
2020-01-03;0600;-1.773;
2020-01-03;0700;-3.497;
2020-01-03;0800;-2.689;
2020-01-03;0900;-1.703;
2020-01-03;1000;129.579;
2020-01-03;1100;592.26;
2020-01-03;1200;1574.538;
2020-01-03;1300;1370.277;
2020-01-03;1400;1757.92;
2020-01-03;1500;1833.139;
2020-01-03;1600;633.712;
2020-01-03;1700;179.98;
2020-01-03;1800;785.519;
2020-01-03;1900;1006.066;
2020-01-03;2000;382.874;
2020-01-03;2100;92.153;
2020-01-03;2200;3.041;
2020-01-03;2300;-2.714;
2020-01-04;0000;-3.359;
2020-01-04;0100;-2.115;
2020-01-04;0200;-3.01;
2020-01-04;0300;-2.698;
2020-01-04;0400;-2.477;
2020-01-04;0500;-2.391;
2020-01-04;0600;-2.611;
2020-01-04;0700;-2.7;
2020-01-04;0800;-3.412;
2020-01-04;0900;-3.228;
2020-01-04;1000;122.838;
2020-01-04;1100;415.201;
2020-01-04;1200;857.184;
2020-01-04;1300;1627.664;
2020-01-04;1400;2710.177;
2020-01-04;1500;1658.962;
2020-01-04;1600;2420.949;
2020-01-04;1700;1846.198;
2020-01-04;1800;947.319;
2020-01-04;1900;577.086;
2020-01-04;2000;768.619;
2020-01-04;2100;176.988;
2020-01-04;2200;5.463;
2020-01-04;2300;-2.944;
2020-01-05;0000;-3.082;
2020-01-05;0100;-2.975;
2020-01-05;0200;-2.563;
2020-01-05;0300;-3.128;
2020-01-05;0400;-1.518;
2020-01-05;0500;-2.618;
2020-01-05;0600;-2.393;
2020-01-05;0700;-3.114;
2020-01-05;0800;-2.695;
2020-01-05;0900;-3.227;
2020-01-05;1000;109.94;
2020-01-05;1100;416.493;
2020-01-05;1200;702.778;
2020-01-05;1300;963.561;
2020-01-05;1400;1186.063;
2020-01-05;1500;1296.81;
2020-01-05;1600;2437.631;
2020-01-05;1700;2562.742;
2020-01-05;1800;1628.858;
2020-01-05;1900;676.776;
2020-01-05;2000;406.676;
2020-01-05;2100;201.772;
2020-01-05;2200;42.914;
2020-01-05;2300;-3.397;
2020-01-06;0000;-2.919;
2020-01-06;0100;-3.259;
2020-01-06;0200;-2.912;
2020-01-06;0300;-2.122;
2020-01-06;0400;-1.794;
2020-01-06;0500;-3.052;
2020-01-06;0600;-3.487;
2020-01-06;0700;-3.194;
2020-01-06;0800;-3.269;
2020-01-06;0900;-3.193;
2020-01-06;1000;38.627;
2020-01-06;1100;331.807;
2020-01-06;1200;653.178;
2020-01-06;1300;1068.057;
2020-01-06;1400;1133.256;
2020-01-06;1500;1320.276;
2020-01-06;1600;1688.481;
2020-01-06;1700;1306.31;
2020-01-06;1800;1304.387;
2020-01-06;1900;753.77;
2020-01-06;2000;312.473;
2020-01-06;2100;56.413;
2020-01-06;2200;9.007;
2020-01-06;2300;-3.177;
2020-01-07;0000;-2.411;
2020-01-07;0100;-2.607;
2020-01-07;0200;-2.447;
2020-01-07;0300;-3.17;
2020-01-07;0400;-3.444;
2020-01-07;0500;-3.305;
2020-01-07;0600;-2.961;
2020-01-07;0700;-3.514;
2020-01-07;0800;-2.56;
2020-01-07;0900;-2.766;
2020-01-07;1000;47.153;
2020-01-07;1100;471.421;
2020-01-07;1200;973.596;
2020-01-07;1300;2520.642;
2020-01-07;1400;2423.967;
2020-01-07;1500;3071.047;
2020-01-07;1600;2969.134;
2020-01-07;1700;3389.001;
2020-01-07;1800;3214.677;
2020-01-07;1900;2292.995;
2020-01-07;2000;1711.746;
2020-01-07;2100;708.167;
2020-01-07;2200;116.737;
2020-01-07;2300;-3.54;
2020-01-08;0000;-3.54;
2020-01-08;0100;-2.354;
2020-01-08;0200;-3.461;
2020-01-08;0300;-3.282;
2020-01-08;0400;-3.176;
2020-01-08;0500;-3.54;
2020-01-08;0600;-3.399;
2020-01-08;0700;-3.029;
2020-01-08;0800;-3.001;
2020-01-08;0900;-2.502;
2020-01-08;1000;70.51;
2020-01-08;1100;384.347;
2020-01-08;1200;887.483;
2020-01-08;1300;1144.517;
2020-01-08;1400;1490.933;
2020-01-08;1500;2694.225;
2020-01-08;1600;3232.252;
2020-01-08;1700;2854.236;
2020-01-08;1800;2481.017;
2020-01-08;1900;1863.359;
2020-01-08;2000;1168.235;
2020-01-08;2100;825.541;
2020-01-08;2200;72.63;
2020-01-08;2300;-3.54;
2020-01-09;0000;-3.54;
2020-01-09;0100;-3.529;
2020-01-09;0200;-3.54;
2020-01-09;0300;-3.227;
2020-01-09;0400;-3.54;
2020-01-09;0500;-3.538;
2020-01-09;0600;-3.257;
2020-01-09;0700;-3.125;
2020-01-09;0800;-3.491;
2020-01-09;0900;-3.013;
2020-01-09;1000;65.83;
2020-01-09;1100;450.031;
2020-01-09;1200;1495.828;
2020-01-09;1300;1879.127;
2020-01-09;1400;1573.622;
2020-01-09;1500;1034.272;
2020-01-09;1600;402.12;
2020-01-09;1700;420.788;
2020-01-09;1800;731.162;
2020-01-09;1900;687.259;
