Nome: PORTO GRANDE
Codigo Estacao: A244
Latitude: 0.69416666
Longitude: -51.40388888
Altitude: 84.8
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;null;
2020-01-01;0100;null;
2020-01-01;0200;null;
2020-01-01;0300;null;
2020-01-01;0400;null;
2020-01-01;0500;null;
2020-01-01;0600;null;
2020-01-01;0700;null;
2020-01-01;0800;null;
2020-01-01;0900;null;
2020-01-01;1000;null;
2020-01-01;1100;null;
2020-01-01;1200;null;
2020-01-01;1300;null;
2020-01-01;1400;1873.058;
2020-01-01;1500;1648.676;
2020-01-01;1600;2585.24;
2020-01-01;1700;2475.215;
2020-01-01;1800;2387.341;
2020-01-01;1900;1554.571;
2020-01-01;2000;645.989;
2020-01-01;2100;null;
2020-01-01;2200;null;
2020-01-01;2300;null;
2020-01-02;0000;null;
2020-01-02;0100;null;
2020-01-02;0200;null;
2020-01-02;0300;null;
2020-01-02;0400;null;
2020-01-02;0500;null;
2020-01-02;0600;null;
2020-01-02;0700;null;
2020-01-02;0800;null;
2020-01-02;0900;null;
2020-01-02;1000;null;
2020-01-02;1100;null;
2020-01-02;1200;927.132;
2020-01-02;1300;2256.284;
2020-01-02;1400;1021.417;
2020-01-02;1500;1318.839;
2020-01-02;1600;2882.484;
2020-01-02;1700;2418.791;
2020-01-02;1800;1027.718;
2020-01-02;1900;1239.98;
2020-01-02;2000;861.844;
2020-01-02;2100;null;
2020-01-02;2200;null;
2020-01-02;2300;null;
2020-01-03;0000;null;
2020-01-03;0100;null;
2020-01-03;0200;null;
2020-01-03;0300;null;
2020-01-03;0400;null;
2020-01-03;0500;null;
2020-01-03;0600;null;
2020-01-03;0700;null;
2020-01-03;0800;null;
2020-01-03;0900;null;
2020-01-03;1000;null;
2020-01-03;1100;null;
2020-01-03;1200;241.063;
2020-01-03;1300;997.954;
2020-01-03;1400;1054.423;
2020-01-03;1500;1002.934;
2020-01-03;1600;1239.009;
2020-01-03;1700;1053.128;
2020-01-03;1800;833.482;
2020-01-03;1900;745.302;
2020-01-03;2000;null;
2020-01-03;2100;null;
2020-01-03;2200;null;
2020-01-03;2300;null;
2020-01-04;0000;null;
2020-01-04;0100;null;
2020-01-04;0200;null;
2020-01-04;0300;null;
2020-01-04;0400;null;
2020-01-04;0500;null;
2020-01-04;0600;null;
2020-01-04;0700;null;
2020-01-04;0800;null;
2020-01-04;0900;null;
2020-01-04;1000;null;
2020-01-04;1100;null;
2020-01-04;1200;985.601;
2020-01-04;1300;744.63;
2020-01-04;1400;2194.559;
2020-01-04;1500;2790.999;
2020-01-04;1600;2603.001;
2020-01-04;1700;2498.705;
2020-01-04;1800;882.784;
2020-01-04;1900;397.435;
2020-01-04;2000;553.405;
2020-01-04;2100;155.653;
2020-01-04;2200;null;
2020-01-04;2300;null;
2020-01-05;0000;null;
2020-01-05;0100;null;
2020-01-05;0200;null;
2020-01-05;0300;null;
2020-01-05;0400;null;
2020-01-05;0500;null;
2020-01-05;0600;null;
2020-01-05;0700;null;
2020-01-05;0800;null;
2020-01-05;0900;null;
2020-01-05;1000;null;
2020-01-05;1100;133.679;
2020-01-05;1200;880.357;
2020-01-05;1300;2081.392;
2020-01-05;1400;1640.926;
2020-01-05;1500;1555.822;
2020-01-05;1600;1675.44;
2020-01-05;1700;1532.753;
2020-01-05;1800;2425.496;
2020-01-05;1900;824.784;
2020-01-05;2000;1010.499;
2020-01-05;2100;540.284;
2020-01-05;2200;35.07;
2020-01-05;2300;-3.339;
2020-01-06;0000;-3.456;
2020-01-06;0100;-3.54;
2020-01-06;0200;-3.54;
2020-01-06;0300;-3.532;
2020-01-06;0400;-3.53;
2020-01-06;0500;-3.54;
2020-01-06;0600;-3.537;
2020-01-06;0700;-3.527;
2020-01-06;0800;-3.343;
2020-01-06;0900;-3.168;
2020-01-06;1000;null;
2020-01-06;1100;294.293;
2020-01-06;1200;738.371;
2020-01-06;1300;1240.249;
2020-01-06;1400;1838.142;
2020-01-06;1500;1934.09;
2020-01-06;1600;2083.904;
2020-01-06;1700;2489.387;
2020-01-06;1800;1618.274;
2020-01-06;1900;815.946;
2020-01-06;2000;285.562;
2020-01-06;2100;324.721;
2020-01-06;2200;56.55;
2020-01-06;2300;-3.152;
2020-01-07;0000;-3.4;
2020-01-07;0100;-2.616;
2020-01-07;0200;-3.151;
