Nome: MINA DO PALITO
Codigo Estacao: A246
Latitude: -6.31999999
Longitude: -55.78777777
Altitude: 259.88
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;0;
2020-01-01;0100;0;
2020-01-01;0200;0;
2020-01-01;0300;0;
2020-01-01;0400;0;
2020-01-01;0500;0;
2020-01-01;0600;0;
2020-01-01;0700;0;
2020-01-01;0800;0;
2020-01-01;0900;0;
2020-01-01;1000;3.035;
2020-01-01;1100;70.149;
2020-01-01;1200;117.399;
2020-01-01;1300;96.204;
2020-01-01;1400;88.69;
2020-01-01;1500;276.737;
2020-01-01;1600;373.653;
2020-01-01;1700;640.364;
2020-01-01;1800;460.643;
2020-01-01;1900;468.801;
2020-01-01;2000;328.146;
2020-01-01;2100;105.013;
2020-01-01;2200;54.42;
2020-01-01;2300;0;
2020-01-02;0000;0;
2020-01-02;0100;0;
2020-01-02;0200;0;
2020-01-02;0300;0;
2020-01-02;0400;0;
2020-01-02;0500;.007;
2020-01-02;0600;0;
2020-01-02;0700;0;
2020-01-02;0800;.027;
2020-01-02;0900;.381;
2020-01-02;1000;14.387;
2020-01-02;1100;154.876;
2020-01-02;1200;687.153;
2020-01-02;1300;962.028;
2020-01-02;1400;1467.288;
2020-01-02;1500;2192.559;
2020-01-02;1600;2233.601;
2020-01-02;1700;2694.123;
2020-01-02;1800;1642.217;
2020-01-02;1900;358.676;
2020-01-02;2000;256.402;
2020-01-02;2100;96.814;
2020-01-02;2200;20.507;
2020-01-02;2300;0;
2020-01-03;0000;0;
2020-01-03;0100;0;
2020-01-03;0200;0;
2020-01-03;0300;0;
2020-01-03;0400;.003;
2020-01-03;0500;0;
2020-01-03;0600;.007;
2020-01-03;0700;0;
2020-01-03;0800;0;
2020-01-03;0900;0;
2020-01-03;1000;4.738;
2020-01-03;1100;105.893;
2020-01-03;1200;354.504;
2020-01-03;1300;959.732;
2020-01-03;1400;950.097;
2020-01-03;1500;1184.002;
2020-01-03;1600;430.484;
2020-01-03;1700;652.474;
2020-01-03;1800;1024.802;
2020-01-03;1900;991.092;
2020-01-03;2000;842.066;
2020-01-03;2100;336.837;
2020-01-03;2200;77.258;
2020-01-03;2300;.034;
2020-01-04;0000;0;
2020-01-04;0100;0;
2020-01-04;0200;0;
2020-01-04;0300;0;
2020-01-04;0400;0;
2020-01-04;0500;0;
2020-01-04;0600;0;
2020-01-04;0700;0;
2020-01-04;0800;0;
2020-01-04;0900;0;
2020-01-04;1000;7.932;
2020-01-04;1100;123.523;
2020-01-04;1200;311.196;
2020-01-04;1300;1188.595;
2020-01-04;1400;2243.04;
2020-01-04;1500;3220.349;
2020-01-04;1600;2908.586;
2020-01-04;1700;2821.443;
2020-01-04;1800;2589.302;
2020-01-04;1900;1879.413;
2020-01-04;2000;1184.912;
2020-01-04;2100;705.596;
2020-01-04;2200;154.792;
2020-01-04;2300;0;
2020-01-05;0000;0;
2020-01-05;0100;0;
2020-01-05;0200;0;
2020-01-05;0300;0;
2020-01-05;0400;0;
2020-01-05;0500;0;
2020-01-05;0600;0;
2020-01-05;0700;0;
2020-01-05;0800;0;
2020-01-05;0900;0;
2020-01-05;1000;8.579;
2020-01-05;1100;248.453;
2020-01-05;1200;1063.925;
2020-01-05;1300;910.67;
2020-01-05;1400;1455.05;
2020-01-05;1500;2181.143;
2020-01-05;1600;2418.572;
2020-01-05;1700;2365.123;
2020-01-05;1800;1479.989;
2020-01-05;1900;872.792;
2020-01-05;2000;1222.184;
2020-01-05;2100;428.579;
2020-01-05;2200;102.406;
2020-01-05;2300;0;
2020-01-06;0000;0;
2020-01-06;0100;0;
2020-01-06;0200;0;
2020-01-06;0300;0;
2020-01-06;0400;0;
2020-01-06;0500;0;
2020-01-06;0600;0;
2020-01-06;0700;0;
2020-01-06;0800;0;
2020-01-06;0900;0;
2020-01-06;1000;17.294;
2020-01-06;1100;441.026;
2020-01-06;1200;630.115;
2020-01-06;1300;1353.956;
2020-01-06;1400;1718.257;
2020-01-06;1500;3118.87;
2020-01-06;1600;2602.998;
2020-01-06;1700;2359.805;
2020-01-06;1800;1106.231;
2020-01-06;1900;2157.061;
2020-01-06;2000;996.828;
2020-01-06;2100;199.567;
2020-01-06;2200;29.195;
2020-01-06;2300;0;
2020-01-07;0000;0;
2020-01-07;0100;0;
2020-01-07;0200;0;
2020-01-07;0300;0;
2020-01-07;0400;.01;
2020-01-07;0500;.007;
2020-01-07;0600;0;
2020-01-07;0700;0;
2020-01-07;0800;.007;
2020-01-07;0900;.03;
2020-01-07;1000;16.845;
2020-01-07;1100;253.384;
2020-01-07;1200;547.931;
2020-01-07;1300;1153.138;
2020-01-07;1400;1826.99;
2020-01-07;1500;2388.578;
2020-01-07;1600;2924.985;
2020-01-07;1700;2748.374;
2020-01-07;1800;2240.447;
2020-01-07;1900;1313.049;
2020-01-07;2000;1252.1;
2020-01-07;2100;343.76;
2020-01-07;2200;126.316;
2020-01-07;2300;.067;
2020-01-08;0000;0;
2020-01-08;0100;0;
2020-01-08;0200;0;
2020-01-08;0300;0;
2020-01-08;0400;0;
2020-01-08;0500;0;
2020-01-08;0600;0;
2020-01-08;0700;0;
2020-01-08;0800;0;
2020-01-08;0900;0;
2020-01-08;1000;8.627;
2020-01-08;1100;187.305;
2020-01-08;1200;230.485;
2020-01-08;1300;575.503;
2020-01-08;1400;613.277;
2020-01-08;1500;980.081;
2020-01-08;1600;1286.333;
2020-01-08;1700;1659.807;
2020-01-08;1800;2011.331;
2020-01-08;1900;1591.368;
2020-01-08;2000;869.976;
2020-01-08;2100;300.803;
2020-01-08;2200;11.045;
2020-01-08;2300;0;
2020-01-09;0000;0;
2020-01-09;0100;0;
2020-01-09;0200;0;
2020-01-09;0300;0;
2020-01-09;0400;0;
2020-01-09;0500;.044;
2020-01-09;0600;.01;
2020-01-09;0700;.476;
2020-01-09;0800;0;
2020-01-09;0900;0;
2020-01-09;1000;2.63;
2020-01-09;1100;58.251;
2020-01-09;1200;119.578;
2020-01-09;1300;231.372;
2020-01-09;1400;382.964;
2020-01-09;1500;691.102;
2020-01-09;1600;995.503;
2020-01-09;1700;1065.274;
2020-01-09;1800;1178.606;
2020-01-09;1900;1167.642;
2020-01-09;2000;1351.41;
2020-01-09;2100;1230.143;
2020-01-09;2200;194.074;
2020-01-09;2300;1.295;
2020-01-10;0000;0;
2020-01-10;0100;0;
2020-01-10;0200;0;
2020-01-10;0300;0;
2020-01-10;0400;0;
2020-01-10;0500;0;
2020-01-10;0600;.013;
2020-01-10;0700;.034;
2020-01-10;0800;.445;
2020-01-10;0900;.125;
