Nome: ZE DOCA
Codigo Estacao: A255
Latitude: -3.26916666
Longitude: -45.65111111
Altitude: 45.5
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;.4;1005.4875;23.5375;28.5;25.383333;23.6;89.75;73;9.8;1.508333;
2020-01-02;4.2;1005.454167;23.479167;32.9;25.691667;23.2;88.666667;58;9.8;1.213043;
2020-01-03;119;1006.195833;23.7875;32.4;26.216667;22.6;87.666667;57;10.3;null;
2020-01-04;10;1007.291667;23.925;27.1;24.9;24.1;94.541667;84;8;1.3875;
2020-01-05;4.8;1005.891667;23.395833;33.4;26.7625;23.2;83.875;51;11.2;1.4;
2020-01-06;1.6;1006.204167;23.645833;31.8;25.283333;23.6;91.291667;61;9.4;1.641667;
2020-01-07;87.2;1007.1125;23.075;30.3;25.316667;22.5;88.041667;68;8.5;1.208333;
2020-01-08;8.4;1006.754167;23.7875;30.2;25.925;23.8;88.5;68;6.7;1.208333;
2020-01-09;2.8;1006.3875;23.25;32.9;26.591667;23.5;83.25;54;11.1;1.7375;
2020-01-10;5;1006.375;23.8375;30.6;26.333333;24.1;86.916667;63;6.1;1.654167;
2020-01-11;4.8;1005.729167;23.5875;31.9;25.5875;23.3;89.5;59;12.9;1.725;
2020-01-12;23.4;1006.425;24.041667;29.9;25.7375;23.9;90.791667;69;9.5;1.279167;
2020-01-13;4.2;1005.991667;24.0125;31;26.120833;23.8;88.5;66;10.8;1.516667;
2020-01-14;25.6;1005.854167;23.029167;31.4;25.045833;21.8;89.375;61;8.6;1.741667;
2020-01-15;23.2;1005.616667;23.025;31.6;25.279167;21.8;88.208333;64;13.3;1.675;
2020-01-16;28.4;1006.183333;23.883333;33;27.245833;23.5;83.208333;56;13.2;1.8375;
2020-01-17;.2;1006.991667;24.0125;33.4;27.029167;23.7;84.458333;59;7.8;1.720833;
2020-01-18;12.4;1006.575;23.4;33;25.991667;22.2;86.666667;62;10.6;1.583333;
2020-01-19;9.4;1006.558333;23.675;30.2;25.879167;22.9;88.083333;71;10.5;2.283333;
2020-01-20;.2;1005.170833;23.0125;33.2;26.5125;22.4;82.875;53;9;1.945833;
2020-01-21;1.2;1004.958333;23.216667;32.2;25.708333;23.9;86.625;60;13.1;2.1625;
2020-01-22;3.6;1004.591667;23.4125;32.2;25.875;23.8;86.958333;60;11.7;1.641667;
2020-01-23;8.2;1004.620833;24.0875;33.1;26.679167;23.7;86.5;59;10.5;1.483333;
2020-01-24;7;1005.279167;24.658333;30.8;26.920833;24.7;88;70;7.3;1.45;
2020-01-25;4.8;1005.216667;23.6125;34;28.208333;24;78.375;49;7.3;1.558333;
2020-01-26;0;1005.4875;24.283333;33.2;27.754167;24.8;82.291667;60;9.3;1.916667;
2020-01-27;43.2;1007.170833;23.429167;28.6;24.525;23;93.833333;72;13.9;1.616667;
2020-01-28;7;1006.466667;23.633333;30.1;25.8625;23;88.208333;65;9.5;1.816667;
2020-01-29;4.2;1006.291667;23.716667;32.5;26.845833;23.8;84.416667;58;18;1.8375;
2020-01-30;9.6;1006.641667;23.833333;30.1;25.645833;23;90;71;8.1;1.345833;
2020-01-31;21.4;1007.575;23.941667;32.6;25.9;23.5;89.708333;60;9.5;1.675;
2020-02-01;2;1007.6875;23.429167;33.2;26.75;23;83.416667;56;10.2;1.958333;
2020-02-02;0;1006.65;23.608333;33.3;27.395833;23.9;81.041667;53;13.5;1.991667;
2020-02-03;0;1006.954167;23.8;32.4;27.066667;24;83.166667;60;12.1;1.941667;
2020-02-04;15.4;1006.958333;24.075;32.2;26.275;24.4;88.333333;61;14.6;1.516667;
