Nome: RECIFE
Codigo Estacao: A301
Latitude: -8.05916666
Longitude: -34.95916666
Altitude: 11.3
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;1;1010.8875;21.758333;31.3;27.320833;23.6;72.916667;53;null;null;
2020-01-02;1.2;1010.9625;21.833333;32.8;27.6875;23.1;71.458333;52;null;null;
2020-01-03;.4;1011.4375;21.783333;33.1;28.008333;24.1;70.375;43;null;null;
2020-01-04;0;1011.445833;20.429167;33.2;27.645833;22.3;67.083333;39;null;null;
2020-01-05;0;1011.504167;21.158333;31.7;27.491667;23.5;68.958333;53;null;null;
2020-01-06;0;1011.158333;21.220833;32.4;27.741667;23.2;68.916667;47;null;null;
2020-01-07;0;1011.495833;21.3125;32.8;28.325;25.3;66.375;48;null;null;
2020-01-08;0;1011.3125;21.395833;32.8;27.245833;23.1;71.708333;50;null;null;
2020-01-09;.6;1011.141667;21.183333;32.5;28.154167;25.4;66.708333;47;null;null;
2020-01-10;.2;1012.095652;20.534783;33;28.073913;23;65.173913;41;null;null;
2020-01-11;0;1011.758333;20.666667;33.2;28.379167;26;64.166667;41;null;null;
2020-01-12;.4;1012.158333;20.920833;33.1;27.375;22.6;69.5;46;null;null;
2020-01-13;0;1011.2;21.216667;32.8;27.841667;22.5;68.666667;47;null;null;
2020-01-14;0;1010.904167;20.520833;33;28.291667;24.5;63.583333;44;null;null;
2020-01-15;0;1011.329167;19.916667;33.5;27.554167;21.8;64.916667;43;null;null;
2020-01-16;0;1012.716667;20.720833;33;28.275;23.8;64.541667;42;null;null;
2020-01-17;0;1012.758333;21.383333;33;28.383333;26.6;66.5;43;null;null;
2020-01-18;.4;1012.891667;21.8625;32.5;28.183333;24.8;69.375;52;null;null;
2020-01-19;5.8;1011.7;21.6375;32.4;28.1125;24.4;69.166667;44;null;null;
2020-01-20;0;1010.175;21.033333;32.1;27.554167;23.1;68.916667;48;null;null;
2020-01-21;1.4;1009.354167;22.208333;33.4;27.8875;23;72.833333;51;null;null;
2020-01-22;1;1009.754167;23.108333;33;27.616667;24;77.333333;54;null;null;
2020-01-23;21.8;1010.245833;23.470833;31.4;27.8125;24.8;78;63;null;null;
2020-01-24;0;1011.279167;22.783333;32.4;27.8;24.9;74.666667;54;null;null;
2020-01-25;.4;1011.3;23.55;32.5;27.8125;24.9;78.458333;58;null;null;
2020-01-26;.8;1011.091667;23.3875;33.3;28.5;24.1;74.916667;56;null;null;
2020-01-27;0;1011.566667;23.058333;32.8;28.654167;24.8;72.833333;54;null;null;
2020-01-28;.4;1011.875;22.291667;33.3;28.166667;23.4;71.833333;50;null;null;
2020-01-29;21.2;1011.954167;21.75;32.2;27.958333;23.7;70.458333;48;null;null;
2020-01-30;0;1012.208333;21.45;32.2;28.191667;23.8;67.458333;52;null;null;
2020-01-31;1.6;1012.345833;22.275;32.6;27.620833;23.8;73.75;50;null;null;
2020-02-01;.6;1012.75;23.308333;30.6;27.2125;24.3;79.625;65;null;null;
2020-02-02;.2;1012.220833;22.983333;32.4;27.633333;23.6;76.833333;57;null;null;
2020-02-03;2;1012.3625;23.4875;32.7;27.570833;24.2;79.333333;57;null;null;
2020-02-04;24.8;1012.15;23.108333;32.7;28.341667;23.8;74.333333;53;null;null;
2020-02-05;0;1011.433333;22.454167;32.8;28.433333;24.2;71.166667;49;null;null;
2020-02-06;.6;1011.429167;22.516667;32.9;28.216667;24.1;72.708333;50;null;null;
2020-02-07;0;1010.4625;21.975;33.3;28.395833;23.6;69.208333;45;null;null;
2020-02-08;0;1011.25;21.833333;32.6;27.875;23.1;70.875;54;null;null;
2020-02-09;0;1012.6625;22.65;33;28.5375;24.5;71.291667;50;null;null;
2020-02-10;.4;1013.1375;23.270833;33.1;28.358333;24.1;74.875;54;null;null;
2020-02-11;1;1011.983333;22.1125;32.2;28.629167;25.5;68.666667;51;null;null;
