Nome: ARCO VERDE
Codigo Estacao: A309
Latitude: -8.4336111
Longitude: -37.05555555
Altitude: 683.95
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;15;936.204167;19.55;29.5;23.120833;19.1;81.041667;53;9.7;1.825;
2020-01-02;1.4;936.033333;17.95;32;25.491667;20.7;65.958333;38;8.2;2.25;
2020-01-03;0;936.229167;17.179167;32.9;26.879167;20.7;58.666667;31;9.6;2.641667;
2020-01-04;0;936.204167;17.175;34.5;27.245833;21.8;57.666667;30;10.4;2.275;
2020-01-05;0;936.366667;17.720833;32.1;26.554167;22;59.75;39;8.5;2.75;
2020-01-06;0;936;17.108333;33;26.6375;21.2;59.125;34;10.3;3.058333;
2020-01-07;0;936.604167;17.625;33.2;26.370833;20.1;61.75;33;10.5;2.1875;
2020-01-08;0;936.308333;16.583333;34.3;26.533333;20.3;57.791667;31;9.7;3.3125;
2020-01-09;0;936.145833;16.170833;33.5;26.641667;21.8;56.916667;27;10.2;2.179167;
2020-01-10;0;936.670833;17.133333;33.7;26.6;21.4;59.166667;32;11.3;3.083333;
2020-01-11;0;936.416667;14.9625;34.5;26.366667;20;54.083333;22;11.3;3.675;
2020-01-12;0;936.895833;15.6375;34.4;26.395833;19.7;56.25;26;10.8;3.5375;
