Nome: CAMPINA GRANDE
Codigo Estacao: A313
Latitude: -7.225574
Longitude: -35.904831
Altitude: 546.17
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-2.507;
2020-01-01;0100;-3.168;
2020-01-01;0200;-3.218;
2020-01-01;0300;-2.893;
2020-01-01;0400;-3.139;
2020-01-01;0500;-2.993;
2020-01-01;0600;-2.774;
2020-01-01;0700;-2.235;
2020-01-01;0800;-2.611;
2020-01-01;0900;50.633;
2020-01-01;1000;219.265;
2020-01-01;1100;489.602;
2020-01-01;1200;1081.171;
2020-01-01;1300;1136.177;
2020-01-01;1400;1248.41;
2020-01-01;1500;1481.945;
2020-01-01;1600;1850.946;
2020-01-01;1700;1147.656;
2020-01-01;1800;1441.521;
2020-01-01;1900;702.212;
2020-01-01;2000;330.183;
2020-01-01;2100;26.952;
2020-01-01;2200;-3.54;
2020-01-01;2300;-3.364;
2020-01-02;0000;-1.62;
2020-01-02;0100;-2.347;
2020-01-02;0200;-2.207;
2020-01-02;0300;-2.944;
2020-01-02;0400;-3.112;
2020-01-02;0500;-2.377;
2020-01-02;0600;-3.347;
2020-01-02;0700;-3.471;
2020-01-02;0800;-3.227;
2020-01-02;0900;66.208;
2020-01-02;1000;451.39;
2020-01-02;1100;860.296;
2020-01-02;1200;1881.716;
2020-01-02;1300;2044.691;
2020-01-02;1400;2237.596;
2020-01-02;1500;2573.229;
2020-01-02;1600;2786.89;
2020-01-02;1700;1706.467;
2020-01-02;1800;1852.419;
2020-01-02;1900;1315.427;
2020-01-02;2000;787.672;
2020-01-02;2100;77.788;
2020-01-02;2200;-3.54;
2020-01-02;2300;-3.54;
2020-01-03;0000;-3.54;
2020-01-03;0100;-3.438;
2020-01-03;0200;-3.536;
2020-01-03;0300;-3.54;
2020-01-03;0400;-3.458;
2020-01-03;0500;-3.471;
2020-01-03;0600;-3.128;
2020-01-03;0700;-3.528;
2020-01-03;0800;-3.028;
2020-01-03;0900;70.875;
2020-01-03;1000;665.295;
2020-01-03;1100;1067.641;
2020-01-03;1200;1910.595;
2020-01-03;1300;2152.828;
2020-01-03;1400;3146.936;
2020-01-03;1500;3031.411;
2020-01-03;1600;3240.446;
2020-01-03;1700;2122.374;
2020-01-03;1800;1862.397;
2020-01-03;1900;933.636;
2020-01-03;2000;393.513;
2020-01-03;2100;77.024;
2020-01-03;2200;-3.54;
2020-01-03;2300;-3.54;
2020-01-04;0000;-3.54;
2020-01-04;0100;-3.48;
2020-01-04;0200;-3.46;
2020-01-04;0300;-3.506;
2020-01-04;0400;-3.54;
2020-01-04;0500;-3.305;
2020-01-04;0600;-3.502;
2020-01-04;0700;-3.291;
2020-01-04;0800;-3.53;
2020-01-04;0900;100.151;
2020-01-04;1000;872.723;
2020-01-04;1100;1779.094;
2020-01-04;1200;2025.085;
2020-01-04;1300;2389.604;
2020-01-04;1400;3232.747;
2020-01-04;1500;3878.13;
2020-01-04;1600;3416.73;
2020-01-04;1700;3269.026;
2020-01-04;1800;2496.065;
2020-01-04;1900;1643.538;
2020-01-04;2000;550.034;
2020-01-04;2100;82.064;
2020-01-04;2200;-3.54;
2020-01-04;2300;-3.54;
2020-01-05;0000;-3.54;
2020-01-05;0100;-3.54;
2020-01-05;0200;-3.524;
2020-01-05;0300;-3.54;
2020-01-05;0400;-3.108;
2020-01-05;0500;-3.148;
2020-01-05;0600;-2.867;
2020-01-05;0700;-3.284;
2020-01-05;0800;-3.36;
2020-01-05;0900;110.497;
