Nome: CAICO
Codigo Estacao: A316
Latitude: -6.46749999
Longitude: -37.08499999
Altitude: 171.26
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;4.4;992.425;21.125;32.6;25.458333;21.4;77.958333;50;7.3;1.841667;
2020-01-02;.8;991.616667;18.966667;36;29.7;23.7;55.625;31;8.4;2.120833;
2020-01-03;0;991.995833;18.329167;37.9;30.141667;24;52.625;26;8.5;1.983333;
2020-01-04;0;992.291667;18.2;37.1;30.1125;25.3;51.666667;26;7.6;2.216667;
2020-01-05;0;992.0125;18.358333;36.8;30.454167;26.3;50.458333;28;8.1;2.175;
2020-01-06;0;991.5125;18.645833;36.4;30.558333;26.5;51.25;29;8;2.3625;
2020-01-07;.4;992.229167;18.108333;38.8;30.5375;24.6;50.708333;24;12;2.204167;
2020-01-08;0;992.416667;20.608333;35.6;28.645833;26.5;63.833333;38;12.2;1.908333;
2020-01-09;3.2;992.570833;21.3;32.6;26.175;21.9;76.25;44;9.1;1.966667;
2020-01-10;1;992.616667;20.466667;34.8;28.866667;24.9;62.833333;36;14.3;1.870833;
2020-01-11;.4;992.0125;17.741667;36.3;29.5375;23.5;53;24;9;2;
2020-01-12;.2;992.654167;16.9375;36.5;29.254167;23.6;50.583333;24;10.3;2.370833;
2020-01-13;.2;991.725;18.054167;37.2;29.845833;24.2;52;28;10.5;2.220833;
2020-01-14;.2;991.1375;18.416667;37.8;30.454167;24.1;52.208333;24;7.9;1.970833;
2020-01-15;0;991.829167;16.454167;36.5;30.070833;24.5;46.666667;24;9.5;2.3;
2020-01-16;0;993.066667;17.245833;36.9;30.325;24.7;48.458333;25;9.4;2.383333;
2020-01-17;0;993.05;18.254167;36.9;29.620833;25.2;53.458333;27;14.9;2.820833;
2020-01-18;4.2;993.2;20.754167;35.7;28.354167;23.2;67.208333;35;9.3;2.495833;
