Nome: MACAU
Codigo Estacao: A317
Latitude: -5.15111111
Longitude: -36.57305554
Altitude: 17.37
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;3.2;1009.125;22.725;31.5;26.5875;25.2;79.958333;55;11.6;2.845833;
2020-01-02;4.8;1008.775;null;32.4;27.575;22.8;65.8125;51;12;4.1125;
2020-01-03;0;1009.441667;22.058333;33.1;28.108333;23.9;70.916667;51;14;4.495833;
2020-01-04;0;1009.7625;21.779167;32.6;28.166667;24.3;69.208333;53;11;4.416667;
2020-01-05;0;1009.391667;21.141667;33.9;28.329167;23.7;66.375;39;12.1;4.204167;
2020-01-06;0;1009.1;21.579167;33.4;28.495833;25.1;67.5;41;11.9;4.266667;
2020-01-07;0;1009.7;22.183333;33.5;28.233333;23.8;70.791667;47;12.4;4.166667;
2020-01-08;59.2;1009.954167;23.194737;28.6;26.391667;23.5;80.052632;71;8.3;2.870833;
2020-01-09;.8;1009.65;22.785;30.3;26.4625;23.2;78.9;58;8.8;2.9125;
2020-01-10;0;1009.804167;22.304167;31.9;27.654167;24.9;73.583333;55;11.1;4.095833;
2020-01-11;.2;1009.0875;22.154167;32.5;27.983333;23.8;71.541667;55;14;4.583333;
2020-01-12;0;1009.616667;20.070833;35.2;28.15;22;64.625;27;10.9;3.666667;
2020-01-13;0;1008.929167;21.495833;34.1;28.308333;23.8;67.583333;39;11.8;4.4125;
2020-01-14;0;1008.583333;21.654167;34.8;28.35;23.5;68.833333;36;12;4.125;
2020-01-15;0;1008.941667;21.845833;33.4;28.3875;23.8;68.958333;44;11.7;4.183333;
2020-01-16;0;1010.066667;21.404167;35.1;28.729167;23.6;66.416667;33;11.4;4.291667;
2020-01-17;0;1010.216667;22.091667;34.8;27.75;24.4;72.75;41;12.2;3.475;
2020-01-18;3.8;1010.095833;22.2375;34.7;28.216667;24;71.583333;45;10.6;3.675;
2020-01-19;.8;1009.491667;21.391667;34.1;28.125;24;68.916667;35;12.7;4.695833;
2020-01-20;0;1008.229167;21.333333;33.3;28.004167;22.9;68.75;41;10.2;3.804167;
2020-01-21;0;1007.841667;22.0875;32.9;28.2;23.9;70.625;49;10.9;3.895833;
2020-01-22;1.6;1008.129167;22.795455;32.9;28.354167;24.6;71.636364;52;11.2;3.5625;
2020-01-23;0;1007.854167;22.479167;33.5;28.783333;25.6;69.75;49;12.6;4.2375;
