Nome: MOSSORO
Codigo Estacao: A318
Latitude: -4.90416666
Longitude: -37.36694443
Altitude: 29.44
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-1.21;
2020-01-01;0100;-2.672;
2020-01-01;0200;-1.446;
2020-01-01;0300;-.219;
2020-01-01;0400;-.811;
2020-01-01;0500;-.276;
2020-01-01;0600;-.404;
2020-01-01;0700;-1.234;
2020-01-01;0800;-1.897;
2020-01-01;0900;29.411;
2020-01-01;1000;225.136;
2020-01-01;1100;623.415;
2020-01-01;1200;1369.188;
2020-01-01;1300;1892.859;
2020-01-01;1400;1130.062;
2020-01-01;1500;2328.895;
2020-01-01;1600;2222.532;
2020-01-01;1700;2370.141;
2020-01-01;1800;2048.534;
2020-01-01;1900;1432.146;
2020-01-01;2000;832.223;
2020-01-01;2100;95.84;
2020-01-01;2200;-3.509;
2020-01-01;2300;-3.54;
2020-01-02;0000;-3.497;
2020-01-02;0100;-3.363;
2020-01-02;0200;-3.54;
2020-01-02;0300;-3.381;
2020-01-02;0400;-3.497;
2020-01-02;0500;-3.54;
2020-01-02;0600;-3.54;
2020-01-02;0700;-3.54;
2020-01-02;0800;-3.54;
2020-01-02;0900;70.823;
2020-01-02;1000;607.313;
2020-01-02;1100;1537.662;
2020-01-02;1200;1734.718;
2020-01-02;1300;2034.45;
2020-01-02;1400;2335.663;
2020-01-02;1500;2774.212;
2020-01-02;1600;2194.411;
2020-01-02;1700;2467.258;
2020-01-02;1800;840.982;
2020-01-02;1900;446.272;
2020-01-02;2000;410.372;
2020-01-02;2100;90.544;
2020-01-02;2200;-3.514;
2020-01-02;2300;-3.54;
2020-01-03;0000;-3.475;
2020-01-03;0100;-3.48;
2020-01-03;0200;-3.54;
2020-01-03;0300;-3.54;
2020-01-03;0400;-3.54;
2020-01-03;0500;-3.54;
2020-01-03;0600;-3.511;
2020-01-03;0700;-3.54;
2020-01-03;0800;-3.54;
2020-01-03;0900;42.735;
2020-01-03;1000;296.201;
2020-01-03;1100;761.471;
2020-01-03;1200;1467.771;
2020-01-03;1300;2717.457;
2020-01-03;1400;3004.414;
2020-01-03;1500;3587.737;
2020-01-03;1600;3509.37;
2020-01-03;1700;3156.322;
2020-01-03;1800;2547.714;
2020-01-03;1900;1719.699;
2020-01-03;2000;766.032;
2020-01-03;2100;82.261;
2020-01-03;2200;-3.54;
2020-01-03;2300;-3.54;
2020-01-04;0000;-3.54;
2020-01-04;0100;-3.54;
2020-01-04;0200;-3.54;
2020-01-04;0300;-3.54;
2020-01-04;0400;null;
2020-01-04;0500;null;
2020-01-04;0600;null;
2020-01-04;0700;null;
2020-01-04;0800;null;
2020-01-04;0900;null;
2020-01-04;1000;282.218;
2020-01-04;1100;700.4;
2020-01-04;1200;1271.452;
