Nome: QUIXERAMOBIM
Codigo Estacao: A325
Latitude: -5.17444443
Longitude: -39.28944444
Altitude: 221.04
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.156;
2020-01-01;0100;-3.25;
2020-01-01;0200;-3.496;
2020-01-01;0300;-2.506;
2020-01-01;0400;-2.984;
2020-01-01;0500;-3.446;
2020-01-01;0600;-3.534;
2020-01-01;0700;-1.765;
2020-01-01;0800;-1.691;
2020-01-01;0900;8.686;
2020-01-01;1000;236.696;
2020-01-01;1100;612.08;
2020-01-01;1200;821.884;
2020-01-01;1300;2064.461;
2020-01-01;1400;2268.292;
2020-01-01;1500;3030.123;
2020-01-01;1600;3406.261;
2020-01-01;1700;3353.496;
2020-01-01;1800;1423.666;
2020-01-01;1900;1299.233;
2020-01-01;2000;458.413;
2020-01-01;2100;67.038;
2020-01-01;2200;-3.54;
2020-01-01;2300;-3.455;
2020-01-02;0000;2.238;
2020-01-02;0100;.17;
2020-01-02;0200;-2.31;
2020-01-02;0300;-3.525;
2020-01-02;0400;-3.377;
2020-01-02;0500;-3.54;
2020-01-02;0600;-3.254;
2020-01-02;0700;-2.374;
2020-01-02;0800;-3.294;
2020-01-02;0900;38.629;
2020-01-02;1000;307.618;
2020-01-02;1100;1137.657;
2020-01-02;1200;2060.364;
2020-01-02;1300;2081.864;
2020-01-02;1400;1702.938;
2020-01-02;1500;2431.792;
2020-01-02;1600;2205.023;
2020-01-02;1700;2325.844;
2020-01-02;1800;2173.511;
2020-01-02;1900;1365.968;
2020-01-02;2000;590.877;
2020-01-02;2100;99.326;
2020-01-02;2200;-3.496;
2020-01-02;2300;-3.214;
2020-01-03;0000;-2.456;
2020-01-03;0100;-3.432;
2020-01-03;0200;-3.269;
2020-01-03;0300;-3.209;
2020-01-03;0400;-3.461;
2020-01-03;0500;-3.444;
2020-01-03;0600;-3.538;
2020-01-03;0700;-3.536;
2020-01-03;0800;-3.217;
2020-01-03;0900;51.137;
2020-01-03;1000;439.436;
2020-01-03;1100;884.277;
2020-01-03;1200;1285.349;
2020-01-03;1300;1727.727;
2020-01-03;1400;1793.38;
2020-01-03;1500;2092.816;
2020-01-03;1600;3589.287;
2020-01-03;1700;2825.292;
2020-01-03;1800;2879.88;
2020-01-03;1900;1451.018;
2020-01-03;2000;547.275;
2020-01-03;2100;55.875;
2020-01-03;2200;-3.464;
2020-01-03;2300;-3.488;
2020-01-04;0000;-3.067;
2020-01-04;0100;-3.429;
2020-01-04;0200;-3.426;
2020-01-04;0300;-3.54;
2020-01-04;0400;-3.54;
2020-01-04;0500;-3.405;
2020-01-04;0600;-2.914;
2020-01-04;0700;-2.671;
2020-01-04;0800;-2.14;
2020-01-04;0900;21.452;
2020-01-04;1000;227.173;
2020-01-04;1100;836.768;
2020-01-04;1200;984.671;
2020-01-04;1300;881.688;
2020-01-04;1400;2391.614;
2020-01-04;1500;3127.846;
2020-01-04;1600;2052.913;
2020-01-04;1700;2792.229;
2020-01-04;1800;1868.116;
2020-01-04;1900;1681.344;
2020-01-04;2000;499.754;
2020-01-04;2100;67.102;
2020-01-04;2200;-3.518;
2020-01-04;2300;-3.263;
2020-01-05;0000;-3.486;
2020-01-05;0100;-3.54;
2020-01-05;0200;-3.54;
2020-01-05;0300;-3.533;
2020-01-05;0400;-2.875;
2020-01-05;0500;-3.017;
2020-01-05;0600;-3.389;
2020-01-05;0700;-2.63;
2020-01-05;0800;-1.532;
2020-01-05;0900;37.579;
2020-01-05;1000;280.007;
2020-01-05;1100;780.988;
2020-01-05;1200;1340.899;
2020-01-05;1300;1380.379;
2020-01-05;1400;1827.935;
2020-01-05;1500;1507.076;
2020-01-05;1600;2745.048;
2020-01-05;1700;2966.34;
2020-01-05;1800;1974.243;
2020-01-05;1900;1871.862;
2020-01-05;2000;600.911;
2020-01-05;2100;61.773;
2020-01-05;2200;-3.445;
2020-01-05;2300;-3.483;
2020-01-06;0000;-3.538;
2020-01-06;0100;-3.182;
2020-01-06;0200;-3.54;
2020-01-06;0300;-3.538;
2020-01-06;0400;-3.531;
2020-01-06;0500;-3.488;
2020-01-06;0600;-3.25;
2020-01-06;0700;-3.538;
2020-01-06;0800;-3.531;
2020-01-06;0900;22.074;
2020-01-06;1000;230.055;
2020-01-06;1100;985.551;
2020-01-06;1200;1354.323;
2020-01-06;1300;1234.204;
2020-01-06;1400;1871.991;
2020-01-06;1500;1992.617;
2020-01-06;1600;2450.933;
2020-01-06;1700;2305.729;
2020-01-06;1800;2166.879;
2020-01-06;1900;1328.534;
2020-01-06;2000;935.425;
2020-01-06;2100;125.553;
2020-01-06;2200;-3.54;
2020-01-06;2300;-3.522;
2020-01-07;0000;-3.538;
2020-01-07;0100;-3.54;
2020-01-07;0200;-3.442;
2020-01-07;0300;-3.486;
2020-01-07;0400;-3.503;
2020-01-07;0500;-2.42;
2020-01-07;0600;-1.502;
2020-01-07;0700;-.576;
2020-01-07;0800;-2.384;
2020-01-07;0900;48.588;
2020-01-07;1000;283.564;
2020-01-07;1100;741.044;
2020-01-07;1200;1513.966;
2020-01-07;1300;2320.613;
2020-01-07;1400;1453.434;
2020-01-07;1500;1465.363;
2020-01-07;1600;3258.8;
2020-01-07;1700;2940.296;
2020-01-07;1800;2230.038;
2020-01-07;1900;1411.408;
2020-01-07;2000;707.249;
2020-01-07;2100;140.953;
2020-01-07;2200;-3.516;
2020-01-07;2300;-3.54;
2020-01-08;0000;-3.54;
2020-01-08;0100;-3.48;
2020-01-08;0200;-3.474;
2020-01-08;0300;-3.061;
2020-01-08;0400;-2.918;
2020-01-08;0500;-2.798;
2020-01-08;0600;-2.628;
2020-01-08;0700;-3.239;
2020-01-08;0800;-2.255;
2020-01-08;0900;12.721;
2020-01-08;1000;134.17;
2020-01-08;1100;1156.991;
2020-01-08;1200;592.823;
2020-01-08;1300;331.335;
2020-01-08;1400;701.904;
2020-01-08;1500;1715.243;
2020-01-08;1600;2999.498;
2020-01-08;1700;3114.309;
2020-01-08;1800;2508.964;
2020-01-08;1900;1287.616;
2020-01-08;2000;522.982;
2020-01-08;2100;49.18;
2020-01-08;2200;-3.317;
2020-01-08;2300;-2.378;
2020-01-09;0000;-2.686;
2020-01-09;0100;.852;
2020-01-09;0200;-.96;
2020-01-09;0300;-1.829;
2020-01-09;0400;-2.552;
2020-01-09;0500;-1.015;
2020-01-09;0600;-2.092;
2020-01-09;0700;-3.088;
2020-01-09;0800;null;
2020-01-09;0900;55.651;
2020-01-09;1000;537.087;
2020-01-09;1100;613.711;
2020-01-09;1200;1025.883;
2020-01-09;1300;2276.62;
2020-01-09;1400;2986.695;
2020-01-09;1500;1489.07;
2020-01-09;1600;1140.398;
2020-01-09;1700;966.719;
2020-01-09;1800;1205.452;
2020-01-09;1900;1614.275;
2020-01-09;2000;631.928;
2020-01-09;2100;83.73;
2020-01-09;2200;-3.34;
2020-01-09;2300;-3.54;
2020-01-10;0000;-3.54;
2020-01-10;0100;-3.533;
2020-01-10;0200;-3.536;
2020-01-10;0300;-3.54;
2020-01-10;0400;-3.54;
2020-01-10;0500;-3.514;
2020-01-10;0600;-3.512;
2020-01-10;0700;-3.533;
2020-01-10;0800;-3.52;
2020-01-10;0900;27.668;
2020-01-10;1000;631.783;
2020-01-10;1100;1151.986;
2020-01-10;1200;1235.1;
2020-01-10;1300;1871.051;
2020-01-10;1400;3189.962;
2020-01-10;1500;3303.852;
2020-01-10;1600;3744.01;
2020-01-10;1700;3173.873;
2020-01-10;1800;2497.057;
2020-01-10;1900;1597.076;
2020-01-10;2000;1057.268;
2020-01-10;2100;145.957;
2020-01-10;2200;-3.509;
2020-01-10;2300;-3.54;
2020-01-11;0000;-3.54;
2020-01-11;0100;-3.514;
2020-01-11;0200;-3.54;
2020-01-11;0300;-3.055;
2020-01-11;0400;-2.691;
2020-01-11;0500;-.552;
2020-01-11;0600;3.677;
2020-01-11;0700;.816;
2020-01-11;0800;-.252;
2020-01-11;0900;16.177;
2020-01-11;1000;250.407;
2020-01-11;1100;1163.736;
2020-01-11;1200;1351.677;
2020-01-11;1300;2175.05;
2020-01-11;1400;2458.463;
2020-01-11;1500;2768.396;
2020-01-11;1600;2700.8;
2020-01-11;1700;2409.396;
2020-01-11;1800;1894.478;
2020-01-11;1900;1919.538;
2020-01-11;2000;1009.564;
2020-01-11;2100;211.626;
2020-01-11;2200;-3.499;
2020-01-11;2300;-3.54;
2020-01-12;0000;-3.54;
2020-01-12;0100;-3.509;
2020-01-12;0200;-3.496;
2020-01-12;0300;-2.991;
2020-01-12;0400;-3.486;
2020-01-12;0500;-3.228;
2020-01-12;0600;-3.538;
2020-01-12;0700;-3.494;
2020-01-12;0800;-3.236;
2020-01-12;0900;45.733;
2020-01-12;1000;644.68;
2020-01-12;1100;1165.634;
2020-01-12;1200;1936.232;
2020-01-12;1300;1704.695;
2020-01-12;1400;2726.491;
2020-01-12;1500;3061.026;
2020-01-12;1600;3053.84;
2020-01-12;1700;3394.074;
2020-01-12;1800;2799.933;
2020-01-12;1900;1724.649;
2020-01-12;2000;586.245;
2020-01-12;2100;132.187;
2020-01-12;2200;-3.327;
2020-01-12;2300;-3.54;
2020-01-13;0000;-3.54;
2020-01-13;0100;-3.54;
2020-01-13;0200;-3.54;
2020-01-13;0300;-3.54;
2020-01-13;0400;-3.54;
2020-01-13;0500;-3.437;
2020-01-13;0600;-3.437;
2020-01-13;0700;-3.54;
2020-01-13;0800;-3.538;
2020-01-13;0900;50.073;
2020-01-13;1000;566.7;
2020-01-13;1100;997.865;
2020-01-13;1200;2450.106;
2020-01-13;1300;3178.878;
2020-01-13;1400;3600.39;
2020-01-13;1500;3886.345;
2020-01-13;1600;3197.631;
2020-01-13;1700;2394.15;
2020-01-13;1800;2406.974;
2020-01-13;1900;1823.653;
2020-01-13;2000;862.377;
2020-01-13;2100;161.677;
2020-01-13;2200;-3.104;
2020-01-13;2300;-3.462;
2020-01-14;0000;-3.287;
