Nome: BOM JESUS DO PIAUI
Codigo Estacao: A326
Latitude: -9.08333333
Longitude: -44.32638888
Altitude: 296
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.536;
2020-01-01;0200;-3.54;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.221;
2020-01-01;0500;-3.234;
2020-01-01;0600;-2.659;
2020-01-01;0700;-2.873;
2020-01-01;0800;-2.42;
2020-01-01;0900;5.386;
2020-01-01;1000;272.19;
2020-01-01;1100;317.675;
2020-01-01;1200;1311.622;
2020-01-01;1300;1467.067;
2020-01-01;1400;1516.975;
2020-01-01;1500;916.991;
2020-01-01;1600;993.452;
2020-01-01;1700;1662.275;
2020-01-01;1800;2710.562;
2020-01-01;1900;1386.615;
2020-01-01;2000;368.078;
2020-01-01;2100;147.446;
2020-01-01;2200;5.529;
2020-01-01;2300;-3.54;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.54;
2020-01-02;0200;-3.54;
2020-01-02;0300;-3.54;
2020-01-02;0400;-3.487;
2020-01-02;0500;-3.531;
2020-01-02;0600;-3.54;
2020-01-02;0700;-3.13;
2020-01-02;0800;-2.945;
2020-01-02;0900;4.909;
2020-01-02;1000;273.651;
2020-01-02;1100;684.16;
2020-01-02;1200;1891.714;
2020-01-02;1300;2799.256;
2020-01-02;1400;3416.634;
2020-01-02;1500;3667.712;
2020-01-02;1600;2924.379;
2020-01-02;1700;1738.2;
2020-01-02;1800;1396.775;
2020-01-02;1900;1019.649;
2020-01-02;2000;935.015;
2020-01-02;2100;236.409;
2020-01-02;2200;6.689;
2020-01-02;2300;-3.54;
2020-01-03;0000;-3.54;
2020-01-03;0100;-3.489;
2020-01-03;0200;-3.534;
2020-01-03;0300;-3.508;
2020-01-03;0400;-2.507;
2020-01-03;0500;-2.128;
2020-01-03;0600;-2.861;
2020-01-03;0700;-3.337;
2020-01-03;0800;-3.408;
2020-01-03;0900;-1.784;
2020-01-03;1000;7.907;
2020-01-03;1100;70.553;
2020-01-03;1200;165.08;
2020-01-03;1300;359.81;
2020-01-03;1400;485.307;
2020-01-03;1500;1283.903;
2020-01-03;1600;3087.914;
2020-01-03;1700;3113.026;
2020-01-03;1800;2359.786;
2020-01-03;1900;1610.112;
2020-01-03;2000;709.945;
2020-01-03;2100;239.335;
2020-01-03;2200;10.973;
2020-01-03;2300;-3.54;
2020-01-04;0000;-3.54;
2020-01-04;0100;-3.54;
2020-01-04;0200;-3.531;
2020-01-04;0300;-3.386;
2020-01-04;0400;-3.54;
2020-01-04;0500;-2.587;
2020-01-04;0600;-2.627;
2020-01-04;0700;.209;
2020-01-04;0800;-1.875;
2020-01-04;0900;-.518;
2020-01-04;1000;85.525;
2020-01-04;1100;470.301;
2020-01-04;1200;946.592;
2020-01-04;1300;1516.809;
2020-01-04;1400;1995.638;
2020-01-04;1500;2227.143;
2020-01-04;1600;3141.842;
2020-01-04;1700;2324.89;
2020-01-04;1800;482.445;
2020-01-04;1900;339.738;
2020-01-04;2000;264.781;
2020-01-04;2100;66.645;
2020-01-04;2200;-.692;
2020-01-04;2300;-3.521;
2020-01-05;0000;-3.04;
2020-01-05;0100;-2.848;
2020-01-05;0200;-3.19;
2020-01-05;0300;-3.258;
2020-01-05;0400;-3.245;
2020-01-05;0500;-1.031;
2020-01-05;0600;-1.889;
2020-01-05;0700;-1.986;
2020-01-05;0800;-2.45;
2020-01-05;0900;2.717;
2020-01-05;1000;300.278;
2020-01-05;1100;514.473;
2020-01-05;1200;843.762;
2020-01-05;1300;1449.401;
2020-01-05;1400;2920.141;
2020-01-05;1500;2153.166;
2020-01-05;1600;2333.219;
2020-01-05;1700;2437.834;
2020-01-05;1800;2854.467;
2020-01-05;1900;2226.43;
2020-01-05;2000;1464.385;
2020-01-05;2100;473.676;
2020-01-05;2200;6.541;
2020-01-05;2300;-3.54;
2020-01-06;0000;-3.534;
2020-01-06;0100;-3.495;
2020-01-06;0200;-3.517;
2020-01-06;0300;-3.442;
2020-01-06;0400;-3.531;
2020-01-06;0500;-3.536;
2020-01-06;0600;-3.54;
2020-01-06;0700;-3.54;
2020-01-06;0800;-3.467;
2020-01-06;0900;8.993;
2020-01-06;1000;294.061;
2020-01-06;1100;569.727;
2020-01-06;1200;763.758;
2020-01-06;1300;1634.327;
2020-01-06;1400;2341.782;
2020-01-06;1500;2682.454;
2020-01-06;1600;2556.868;
2020-01-06;1700;2258.973;
2020-01-06;1800;782.867;
2020-01-06;1900;644.543;
2020-01-06;2000;113.018;
2020-01-06;2100;14.43;
2020-01-06;2200;-3.41;
2020-01-06;2300;-3.001;
2020-01-07;0000;-2.737;
2020-01-07;0100;-3.179;
2020-01-07;0200;-3.484;
2020-01-07;0300;-3.194;
2020-01-07;0400;-3.22;
2020-01-07;0500;-3.265;
