Nome: SURUBIM
Codigo Estacao: A328
Latitude: -7.83972221
Longitude: -35.80111111
Altitude: 421.44
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-2.874;
2020-01-01;0100;-3.46;
2020-01-01;0200;-3.505;
2020-01-01;0300;-3.263;
2020-01-01;0400;-3.022;
2020-01-01;0500;-3.123;
2020-01-01;0600;-3.54;
2020-01-01;0700;-2.944;
2020-01-01;0800;-2.286;
2020-01-01;0900;123.451;
2020-01-01;1000;462.015;
2020-01-01;1100;1087.653;
2020-01-01;1200;1312.223;
2020-01-01;1300;1134.322;
2020-01-01;1400;1527.828;
2020-01-01;1500;1373.368;
2020-01-01;1600;997.436;
2020-01-01;1700;1214.084;
2020-01-01;1800;1102.328;
2020-01-01;1900;664.951;
2020-01-01;2000;199.267;
2020-01-01;2100;13.232;
2020-01-01;2200;-3.54;
2020-01-01;2300;-3.529;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.531;
2020-01-02;0200;-3.54;
2020-01-02;0300;-3.522;
2020-01-02;0400;-3.457;
2020-01-02;0500;-3.54;
2020-01-02;0600;-3.047;
2020-01-02;0700;-3.525;
2020-01-02;0800;-2.246;
2020-01-02;0900;249.498;
2020-01-02;1000;772.759;
2020-01-02;1100;1041.561;
2020-01-02;1200;1494.673;
2020-01-02;1300;2110.106;
2020-01-02;1400;3439.746;
2020-01-02;1500;3669.858;
2020-01-02;1600;3024.232;
2020-01-02;1700;2519.801;
2020-01-02;1800;1682.589;
2020-01-02;1900;1540.383;
2020-01-02;2000;478.359;
2020-01-02;2100;23.104;
2020-01-02;2200;-3.54;
2020-01-02;2300;-3.54;
2020-01-03;0000;-3.54;
2020-01-03;0100;-3.54;
2020-01-03;0200;-3.54;
2020-01-03;0300;-3.54;
2020-01-03;0400;-3.54;
2020-01-03;0500;-3.54;
2020-01-03;0600;-3.329;
2020-01-03;0700;-3.099;
2020-01-03;0800;-2.577;
2020-01-03;0900;207.711;
2020-01-03;1000;534.798;
2020-01-03;1100;1226.03;
2020-01-03;1200;1942.263;
2020-01-03;1300;3014.389;
2020-01-03;1400;3363.184;
2020-01-03;1500;3960.834;
2020-01-03;1600;3596.181;
2020-01-03;1700;3018.43;
2020-01-03;1800;2050.803;
2020-01-03;1900;1049.228;
2020-01-03;2000;322.199;
2020-01-03;2100;27.302;
2020-01-03;2200;-3.54;
2020-01-03;2300;-3.54;
2020-01-04;0000;-3.397;
2020-01-04;0100;-3.48;
2020-01-04;0200;-3.47;
2020-01-04;0300;-3.536;
2020-01-04;0400;-3.54;
2020-01-04;0500;-3.54;
2020-01-04;0600;-3.222;
2020-01-04;0700;-3.54;
2020-01-04;0800;-1.984;
2020-01-04;0900;142.357;
2020-01-04;1000;670.587;
2020-01-04;1100;1166.089;
2020-01-04;1200;2525.976;
2020-01-04;1300;2561.543;
2020-01-04;1400;3587.016;
2020-01-04;1500;3754.147;
2020-01-04;1600;3478.039;
2020-01-04;1700;3051.56;
2020-01-04;1800;2123.087;
2020-01-04;1900;1517.276;
2020-01-04;2000;601.568;
2020-01-04;2100;22.308;
2020-01-04;2200;-3.54;
2020-01-04;2300;-3.54;
2020-01-05;0000;-3.54;
2020-01-05;0100;-3.54;
2020-01-05;0200;-3.54;
2020-01-05;0300;-3.54;
