Nome: CABROBO
Codigo Estacao: A329
Latitude: -8.50388888
Longitude: -39.31527777
Altitude: 342.74
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-2.285;
2020-01-01;0100;-3.118;
2020-01-01;0200;-3.386;
2020-01-01;0300;-2.612;
2020-01-01;0400;-2.197;
2020-01-01;0500;-2.523;
2020-01-01;0600;-2.032;
2020-01-01;0700;-1.515;
2020-01-01;0800;-3.156;
2020-01-01;0900;20.265;
2020-01-01;1000;261.524;
2020-01-01;1100;816.634;
2020-01-01;1200;1475.602;
2020-01-01;1300;2914.06;
2020-01-01;1400;3192.482;
2020-01-01;1500;2014.817;
2020-01-01;1600;1382.233;
2020-01-01;1700;1380.208;
2020-01-01;1800;1061.647;
2020-01-01;1900;797.038;
2020-01-01;2000;661.042;
2020-01-01;2100;252.951;
2020-01-01;2200;-3.54;
2020-01-01;2300;-3.54;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.54;
2020-01-02;0200;-3.54;
2020-01-02;0300;-3.54;
2020-01-02;0400;-3.54;
2020-01-02;0500;-3.537;
2020-01-02;0600;-3.54;
2020-01-02;0700;-3.54;
2020-01-02;0800;-3.538;
2020-01-02;0900;46.144;
2020-01-02;1000;439.046;
2020-01-02;1100;1033.813;
2020-01-02;1200;1980.84;
2020-01-02;1300;2405.836;
2020-01-02;1400;2340.296;
2020-01-02;1500;2099.001;
2020-01-02;1600;2868.607;
2020-01-02;1700;2520.717;
2020-01-02;1800;1881.727;
2020-01-02;1900;557.824;
2020-01-02;2000;97.315;
2020-01-02;2100;22.044;
2020-01-02;2200;-3.54;
2020-01-02;2300;-3.479;
2020-01-03;0000;-3.54;
2020-01-03;0100;-3.48;
2020-01-03;0200;-3.487;
2020-01-03;0300;-3.54;
2020-01-03;0400;-3.54;
2020-01-03;0500;-3.532;
2020-01-03;0600;-3.54;
2020-01-03;0700;-3.54;
2020-01-03;0800;-3.54;
2020-01-03;0900;94.446;
2020-01-03;1000;395.336;
2020-01-03;1100;1012.444;
2020-01-03;1200;1736.437;
2020-01-03;1300;2732.596;
2020-01-03;1400;1611.034;
2020-01-03;1500;2427.748;
2020-01-03;1600;2574.234;
2020-01-03;1700;2303.332;
2020-01-03;1800;1250.373;
2020-01-03;1900;597.342;
2020-01-03;2000;149.911;
2020-01-03;2100;7.878;
2020-01-03;2200;-2.988;
2020-01-03;2300;-3.377;
2020-01-04;0000;-3.54;
2020-01-04;0100;-3.54;
2020-01-04;0200;-3.54;
2020-01-04;0300;-3.369;
2020-01-04;0400;-3.54;
2020-01-04;0500;-3.526;
2020-01-04;0600;-3.534;
2020-01-04;0700;-3.335;
2020-01-04;0800;-3.498;
2020-01-04;0900;37.965;
2020-01-04;1000;182.422;
2020-01-04;1100;407.467;
2020-01-04;1200;653.187;
2020-01-04;1300;1608.738;
2020-01-04;1400;2241.497;
2020-01-04;1500;1634.48;
2020-01-04;1600;1459.558;
2020-01-04;1700;1431.763;
2020-01-04;1800;1335.027;
2020-01-04;1900;147.5;
2020-01-04;2000;26.38;
2020-01-04;2100;3.377;
2020-01-04;2200;-1.898;
2020-01-04;2300;-2.816;
2020-01-05;0000;-3.144;
2020-01-05;0100;-3.201;
2020-01-05;0200;-2.932;
2020-01-05;0300;-3.352;
2020-01-05;0400;-3.381;
2020-01-05;0500;-3.526;
2020-01-05;0600;-3.357;
2020-01-05;0700;-3.225;
2020-01-05;0800;-3.254;
2020-01-05;0900;34.531;
2020-01-05;1000;306.831;
2020-01-05;1100;1028.318;
2020-01-05;1200;2321.558;
2020-01-05;1300;2804.468;
2020-01-05;1400;3188.886;
2020-01-05;1500;3055.918;
2020-01-05;1600;2750.801;
2020-01-05;1700;2567.996;
2020-01-05;1800;2250.592;
2020-01-05;1900;1683.798;
2020-01-05;2000;969.507;
2020-01-05;2100;240.033;
2020-01-05;2200;-3.362;
2020-01-05;2300;-3.54;
2020-01-06;0000;-3.54;
2020-01-06;0100;-3.48;
2020-01-06;0200;-3.54;
2020-01-06;0300;-3.54;
2020-01-06;0400;-3.401;
2020-01-06;0500;-3.54;
2020-01-06;0600;-3.538;
2020-01-06;0700;-3.54;
2020-01-06;0800;-3.54;
2020-01-06;0900;24.792;
2020-01-06;1000;478.544;
2020-01-06;1100;1205.836;
2020-01-06;1200;1833.692;
2020-01-06;1300;2490.493;
2020-01-06;1400;2683.92;
2020-01-06;1500;2719.838;
2020-01-06;1600;3515.392;
2020-01-06;1700;3174.804;
2020-01-06;1800;2729.582;
2020-01-06;1900;2101.751;
2020-01-06;2000;648.971;
2020-01-06;2100;139.259;
2020-01-06;2200;-3.54;
2020-01-06;2300;-3.54;
2020-01-07;0000;-3.54;
2020-01-07;0100;-3.48;
2020-01-07;0200;-3.54;
2020-01-07;0300;-3.531;
2020-01-07;0400;-3.54;
2020-01-07;0500;-3.538;
2020-01-07;0600;-3.354;
2020-01-07;0700;-3.535;
2020-01-07;0800;-3.51;
2020-01-07;0900;94.612;
2020-01-07;1000;322.837;
2020-01-07;1100;1068.495;
2020-01-07;1200;996.045;
2020-01-07;1300;1665.356;
2020-01-07;1400;2733.098;
2020-01-07;1500;2926.17;
2020-01-07;1600;3561.159;
2020-01-07;1700;3572.178;
2020-01-07;1800;2754.237;
2020-01-07;1900;1950.578;
2020-01-07;2000;1028.321;
2020-01-07;2100;202.47;
2020-01-07;2200;-3.54;
2020-01-07;2300;-3.54;
2020-01-08;0000;-3.54;
2020-01-08;0100;-3.456;
2020-01-08;0200;-3.538;
2020-01-08;0300;-3.526;
2020-01-08;0400;-3.538;
2020-01-08;0500;-3.538;
2020-01-08;0600;-3.532;
2020-01-08;0700;-3.54;
2020-01-08;0800;-3.54;
2020-01-08;0900;79.572;
2020-01-08;1000;382.783;
2020-01-08;1100;397.249;
2020-01-08;1200;1595.251;
2020-01-08;1300;720.48;
2020-01-08;1400;2266.086;
2020-01-08;1500;2833.016;
2020-01-08;1600;3785.099;
2020-01-08;1700;3450.396;
2020-01-08;1800;2621.353;
2020-01-08;1900;2004.969;
2020-01-08;2000;466.856;
2020-01-08;2100;59.187;
2020-01-08;2200;2.089;
2020-01-08;2300;-3.135;
2020-01-09;0000;-1.366;
2020-01-09;0100;-2.97;
2020-01-09;0200;-3.458;
2020-01-09;0300;-3.385;
2020-01-09;0400;-3.534;
2020-01-09;0500;-3.538;
2020-01-09;0600;-3.094;
2020-01-09;0700;-3.343;
2020-01-09;0800;-3.54;
2020-01-09;0900;47.786;
2020-01-09;1000;277.684;
2020-01-09;1100;908.965;
2020-01-09;1200;2075.984;
2020-01-09;1300;3228.742;
2020-01-09;1400;3542.062;
2020-01-09;1500;3723.912;
2020-01-09;1600;3768.55;
2020-01-09;1700;3395.447;
2020-01-09;1800;2343.565;
2020-01-09;1900;2010.873;
2020-01-09;2000;1099.695;
2020-01-09;2100;210.914;
2020-01-09;2200;-3.54;
2020-01-09;2300;-3.54;
2020-01-10;0000;-3.54;
2020-01-10;0100;-3.54;
2020-01-10;0200;-3.54;
2020-01-10;0300;-3.54;
2020-01-10;0400;-3.538;
2020-01-10;0500;-3.54;
2020-01-10;0600;-3.54;
2020-01-10;0700;-3.54;
2020-01-10;0800;-3.25;
2020-01-10;0900;39.68;
2020-01-10;1000;540.56;
2020-01-10;1100;713.559;
2020-01-10;1200;1668.967;
2020-01-10;1300;3094.223;
2020-01-10;1400;3364.171;
2020-01-10;1500;3151.828;
2020-01-10;1600;3307.242;
2020-01-10;1700;3114.31;
2020-01-10;1800;1761.66;
2020-01-10;1900;1539.825;
2020-01-10;2000;588.069;
2020-01-10;2100;162.872;
