Nome: CRATEUS
Codigo Estacao: A342
Latitude: -5.18666666
Longitude: -40.67222221
Altitude: 298.19
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;5.4;977.895833;21.9375;30.6;26.208333;23.4;79.041667;50;8.2;1.466667;
2020-01-02;1.4;977.404167;21.4375;32.8;27.9625;24.2;68.916667;43;9.7;2.166667;
2020-01-03;0;978.004167;21.495833;34.5;27.591667;24.8;70.791667;42;9.2;1.608696;
2020-01-04;0;978.670833;21.483333;34.3;27.208333;24.5;73.541667;40;10.5;1.754167;
2020-01-05;7.8;977.983333;21.283333;34.1;27.4125;22.4;72.75;40;5.4;1.365217;
2020-01-06;0;977.4625;21.066667;33.9;27.8875;24.4;68.083333;42;8.6;1.9;
2020-01-07;0;978.729167;21.658333;35.5;27.258333;24.2;74.083333;38;12.3;1.945833;
2020-01-08;4.2;978.608333;21.841667;36.4;26.5375;23.2;78.333333;35;11.6;1.775;
2020-01-09;29.2;978.525;21.979167;32.3;25.479167;22.3;82.625;50;9;1.483333;
2020-01-10;0;978.5375;21.75;31.4;25.983333;22.9;78.791667;53;7.2;1.622727;
2020-01-11;15.6;977.916667;22.020833;32.6;26.441667;22.5;78.625;48;7.2;1.916667;
2020-01-12;.2;978.195833;20.941667;34.8;28.445833;23.7;66.916667;38;8.4;2.0125;
2020-01-13;0;977.783333;20.5375;34.8;28.466667;23.2;64.833333;39;10.6;1.772727;
2020-01-14;11;977.229167;22.258333;34.9;28.079167;24;72.666667;43;8.6;1.921739;
2020-01-15;0;977.708333;22.75;31.7;26.879167;24.3;78.666667;54;7.7;2.158333;
2020-01-16;.8;978.654167;21.204167;35.3;28.445833;24.1;68.25;34;9.2;2.130435;
2020-01-17;0;979.0875;21.775;34.3;27.254167;23.9;74.083333;42;7;1.954167;
2020-01-18;0;978.691667;21.620833;33.3;28.141667;23.9;69.916667;49;7.4;1.943478;
2020-01-19;0;978.1;20.958333;32.7;28.141667;24.9;67.125;40;8.8;2.3625;
2020-01-20;0;977.0125;20.795833;33.6;27.733333;22.9;67.75;43;5.6;1.508333;
2020-01-21;0;976.35;21.183333;34.2;28.2625;24.2;67.083333;44;10.4;2.1875;
2020-01-22;.4;976.683333;21.4;33.1;27.525;23.6;71.166667;45;8.2;2.104167;
2020-01-23;0;976.875;21.991667;33;26.7;23.9;76.833333;51;11.9;1.645833;
2020-01-24;2.8;977.529167;21.691667;34.4;27.741667;23.4;73.125;38;9.9;1.679167;
2020-01-25;0;977.2875;21.329167;36.3;29.6625;24.1;62.875;36;8.7;1.9375;
2020-01-26;0;977.7125;22.35;36.6;28.095833;25.1;72.625;37;12.8;2.091667;
2020-01-27;3.8;978.566667;22.641667;35.4;26.45;23.1;81.833333;39;9.2;1.591667;
2020-01-28;29.6;979.245833;22.3;30;25.366667;21.7;84.083333;61;10.2;1.756522;
2020-01-29;.6;978.458333;22.425;33.6;27.183333;22;76.833333;51;5.8;1.3625;
2020-01-30;11.6;978.833333;22.795833;33;26.429167;22.2;81.875;54;9.3;1.679167;
2020-01-31;15.4;979.954167;22.504167;30.5;24.866667;21.9;87.333333;62;6.9;1.720833;
2020-02-01;2.6;979.8625;22.404167;32.1;26.379167;23;80.333333;55;6;1.526087;
2020-02-02;55.6;979.4375;22.4375;33.1;25.616667;21.9;83.708333;51;7;1.595833;
2020-02-03;.4;979.6125;22.466667;32.9;26.3875;23.1;80.125;52;9.2;1.458333;
2020-02-04;0;979.341667;22.666667;33.3;25.654167;23.3;84.708333;53;12.2;1.2;
2020-02-05;20;979.595833;22.170833;28.8;24.154167;21.2;89.208333;70;11.7;1.745833;
2020-02-06;8;979.1125;22.083333;31.9;25.225;21.7;84;55;11.2;1.191667;
2020-02-07;.6;977.483333;22.216667;32.4;25.120833;22.1;84.75;52;8.8;1.433333;
2020-02-08;5.4;977.9625;22.125;32.2;26.166667;22.6;79.916667;54;6.8;1.420833;
2020-02-09;0;979.479167;22.225;33.6;27.529167;23.6;74.75;48;5.9;1.495833;
2020-02-10;0;980.008333;22.6;31.8;26.733333;23;78.875;57;10.3;1.375;
2020-02-11;1.2;978.45;22.775;33.3;27.675;24.3;76.416667;50;8;2;
2020-02-12;0;977.65;22.054167;33.8;27.741667;23.6;73.5;44;8.8;1.525;
2020-02-13;0;977.908333;22.316667;33.9;26.2625;24;80.291667;50;10.5;1.754167;
2020-02-14;3.6;978.0125;21.808333;32.5;26.2625;21.4;78.375;55;7.5;1.754167;
2020-02-15;0;978.2375;22.554167;32.9;25.6;23.9;84.458333;54;8.6;1.491667;
2020-02-16;51.4;978.1;22.5625;30.5;24.879167;21.7;87.666667;64;8.4;1.266667;
2020-02-17;.2;977.808333;22.995833;31.6;25.770833;22.5;85.708333;59;8.6;1.358333;
2020-02-18;5;977.966667;23.091667;29.9;24.908333;22.4;89.958333;69;9.7;1.379167;
2020-02-19;20.8;976.366667;22.758333;32;26.25;22.5;82.625;57;8.4;1.7875;
2020-02-20;0;976.741667;22.516667;30.3;26.095833;23.2;81.791667;62;8.6;1.745833;
2020-02-21;0;977.583333;22.675;29.8;25.725;23.2;83.75;67;5.4;1.2125;
2020-02-22;.6;978.779167;23.145833;29.6;25.616667;21.7;86.708333;69;8.3;1.4375;
2020-02-23;22.8;979.0875;22.883333;33.2;27.216667;22.8;79;51;7;1.695833;
2020-02-24;0;977.695833;23.3875;33.4;27.55;24.2;79.5;53;7.1;1.858333;
2020-02-25;.6;977.495833;23.495833;32.8;26.525;24.5;84.208333;57;7.5;1.6375;
2020-02-26;0;976.904167;23.304167;33.3;27.195833;23.7;80.75;52;5.5;1.354167;
2020-02-27;0;978.191667;23.395833;33.5;27.254167;24.3;80.458333;53;9.1;1.8375;
2020-02-28;1;979.308333;23.170833;31.7;25.570833;23.7;87.291667;62;9.3;1.383333;
2020-02-29;1.2;979.408333;22.941667;33;26.3;23.1;83.25;52;7.3;1.358333;
2020-03-01;9;979.345833;22.8125;32.1;25.7875;22.2;84.583333;58;5.7;1.416667;
2020-03-02;20.2;978.658333;22.945833;32.2;25.133333;22.7;88.75;58;10.7;1.729167;
2020-03-03;15.2;978.620833;23.020833;32.1;25.625;22.9;86.416667;58;7.8;1.229167;
2020-03-04;11.8;979.595833;23.341667;32.1;26.029167;23.3;86.25;56;8.3;1.2625;
2020-03-05;7;980.279167;23.416667;32;25.795833;23.4;87.541667;60;7.9;1.208333;
2020-03-06;1.6;978.679167;23.2375;32.4;25.8;22.5;86.875;56;8.6;1.075;
2020-03-07;42.8;978.225;22.883333;31.8;25.091667;21.5;88.625;58;8.8;1.3;
2020-03-08;1;977.445833;23.054167;32.9;27.133333;23.2;80.208333;53;5;1.241667;
2020-03-09;0;978.079167;23.483333;33.3;26.4875;23.7;84.666667;55;7.8;1.65;
2020-03-10;1;978.679167;22.983333;33.6;25.641667;23.3;86.166667;51;7.5;1.566667;
2020-03-11;25.4;977.454167;22.595833;32.8;26.441667;22.6;81.25;51;4.7;1.216667;
2020-03-12;13;977.154167;22.904167;33.7;27.208333;23.3;79.75;50;7.2;1.4625;
2020-03-13;5.6;978.575;22.941667;30;24.575;23.5;91.041667;67;8;1.658333;
2020-03-14;55.4;978.195833;22.504167;31.4;25.466667;22.4;85.125;60;8.2;1.775;
2020-03-15;24.8;977.929167;22.783333;32.3;25.525;22.2;86.166667;56;8.1;1.929167;
2020-03-16;16.6;979.179167;23.333333;28.9;24.825;22.4;91.75;69;8.6;1.225;
2020-03-17;1.8;979.15;23.016667;31.8;26.516667;22.6;82.5;58;6.3;1.491667;
2020-03-18;0;978.433333;23.15;32.9;27.2;23.7;80;55;7.5;1.579167;
2020-03-19;8.4;977.454167;23.4375;32.1;26.075;23.8;86.25;59;8.7;1.4;
2020-03-20;1.2;977.7;23.075;33.3;26.266667;23.2;84.125;50;9.7;1.641667;
2020-03-21;0;978.758333;22.991667;32.2;25.954167;23.7;84.791667;57;8.6;1.3125;
2020-03-22;.2;979.683333;22.529167;32.7;26.5;22;80.041667;56;5.7;1.133333;
2020-03-23;0;979.345833;23.441667;32.7;27.2125;23.6;81;56;5.8;1.291667;
2020-03-24;16.8;978.429167;23.733333;32.1;26.429167;24.1;86;59;9.1;1.358333;
2020-03-25;121.8;978.608333;22.6125;29.8;24.895833;21.2;87.833333;67;9.1;1.758333;
2020-03-26;0;977.575;22.716667;33.1;26.2625;22.2;82.583333;53;8.9;1.5375;
2020-03-27;4.8;976.533333;23.254167;30;25.6125;22.9;87.458333;68;10.5;1.3375;
2020-03-28;4.8;977.525;22.7;32.6;26.158333;22.1;83.083333;52;7.5;1.495833;
2020-03-29;0;977.829167;22.858333;33.3;26.9125;22.9;79.791667;54;7.3;1.558333;
2020-03-30;0;977.020833;23.095833;30.8;24.7;22.7;91.166667;68;12.5;1.329167;
2020-03-31;20;975.975;23.329167;32;26.716667;22.5;83.083333;59;6.2;1.583333;
2020-04-01;.2;977.225;23.129167;32.1;26.975;23.5;81.083333;54;7.4;1.758333;
2020-04-02;0;978.516667;23.295833;33.5;27.558333;23.3;78.875;53;7;1.591667;
2020-04-03;0;977.933333;23.779167;33.4;27.466667;23.9;81.416667;58;7.4;1.366667;
2020-04-04;0;977.421739;23.143478;33.4;27.152174;22.9;80.347826;54;6.5;1.978261;
2020-04-05;0;978.2625;23.425;33.4;27.5375;23.9;79.833333;54;7.4;1.829167;
2020-04-06;0;979.133333;23.379167;33.4;27.4;23.7;80.625;50;8.7;1.7;
2020-04-07;0;978.325;23.170833;33.6;26.741667;22.6;82.541667;51;8.6;1.775;
2020-04-08;1.6;977.25;23.4125;34;27.633333;23.3;79.625;52;6.9;1.683333;
2020-04-09;0;977.504167;22.925;32.4;27;22.8;79.291667;58;6.4;1.5375;
2020-04-10;0;978.0125;23.120833;34.2;27.3;22.7;79.416667;51;6.6;1.433333;
2020-04-11;0;978.466667;22.925;34.4;26.9125;23.6;80.125;49;7.8;1.7;
2020-04-12;.8;978.7375;23.433333;31.8;25.6;23;88.416667;60;7.2;1.308333;
2020-04-13;3.6;977.9125;23.7125;32.5;26.55;23.6;85.291667;56;5.4;1.3875;
2020-04-14;1.6;977.291667;22.825;31.7;25.9125;23.2;84.083333;56;7.1;1.483333;
2020-04-15;3;978.625;22.604167;31.7;26.4;23.5;80.625;54;5.7;1.316667;
2020-04-16;0;979.704167;23.075;32.7;26.3875;23.2;83.208333;57;7.8;1.479167;
2020-04-17;1.2;980.208333;23.241667;31.2;24.979167;22.7;90.666667;63;5.6;1.1375;
2020-04-18;16.8;980.429167;23.320833;33;25.779167;23;87.458333;53;7.3;1.5625;
2020-04-19;1;979.825;22.770833;32.2;25.85;22;84.625;52;5.9;1.425;
2020-04-20;21.8;979.029167;23.325;32.2;25.916667;23;86.75;59;6.5;1.333333;
