Nome: SAO RAIMUNDO NONATO
Codigo Estacao: A345
Latitude: -9.03305554
Longitude: -42.70111111
Altitude: 385
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;null;null;null;29;null;23.9;72.333333;64;8.1;null;
2020-01-02;null;null;null;33.3;null;24.1;61.1875;45;8.8;null;
2020-01-03;null;null;null;null;null;null;79.307692;65;4.4;null;
2020-01-04;null;null;null;null;null;null;74.538462;62;12;null;
2020-01-05;null;null;null;null;null;null;77;69;4.6;null;
2020-01-06;null;null;null;30.9;null;23.2;72.928571;61;11.2;null;
2020-01-07;null;null;null;null;null;null;71.285714;58;12.2;null;
2020-01-08;null;null;null;30.4;null;24.2;73.866667;68;7;null;
2020-01-09;null;null;null;30.6;null;24.2;73.066667;65;7.4;null;
2020-01-10;null;null;null;32;null;24.3;69.066667;57;5.2;null;
2020-01-11;null;null;null;null;null;null;63.571429;51;8.2;null;
2020-01-12;null;null;null;33.5;null;23.2;54.133333;41;12.1;null;
2020-01-13;null;null;null;34.6;null;22.7;53.733333;42;7.9;null;
2020-01-14;null;null;null;35.3;null;23.4;51.785714;42;8.1;null;
2020-01-15;null;null;null;null;null;null;48.714286;38;8.6;null;
2020-01-16;null;null;null;null;null;null;44;33;8.9;null;
2020-01-17;null;null;null;null;null;null;44.142857;33;7.3;null;
2020-01-18;null;null;null;null;null;null;50.642857;42;7.5;null;
2020-01-19;null;null;null;null;null;null;47.714286;39;9.7;null;
2020-01-20;null;null;null;null;null;null;60;48;9;null;
2020-01-21;null;null;null;31.9;null;23;67.2;56;8.4;null;
2020-01-22;null;null;null;null;null;null;73.916667;66;13.2;null;
2020-01-23;null;null;null;null;null;null;83.416667;81;9.5;null;
2020-01-24;null;null;null;null;null;null;81.642857;79;3.8;null;
2020-01-25;null;null;null;32.3;null;23.9;72.066667;63;6.1;null;
2020-01-26;null;null;null;null;null;null;82.307692;70;7.9;null;
2020-01-27;null;null;null;null;null;null;77.333333;71;4.4;null;
2020-01-28;null;null;null;null;null;null;82.307692;78;3.8;null;
2020-01-29;null;null;null;31.7;null;22.1;68.666667;57;7.3;null;
2020-01-30;null;null;null;31.5;null;21.3;62.133333;50;7.7;null;
2020-01-31;null;null;null;33.4;null;20.8;59.666667;46;6;null;
2020-02-01;null;null;null;33.7;null;23.4;61.066667;50;5.5;null;
2020-02-02;null;null;null;30.6;null;24.2;69.066667;63;5.5;null;
2020-02-03;null;null;null;null;null;22.6;77.846154;71;10.5;null;
2020-02-04;null;null;null;null;null;null;75.666667;68;10.1;null;
2020-02-05;null;null;null;null;null;23.7;80.5;73;9.3;null;
2020-02-06;null;null;null;null;null;null;81.142857;75;4.6;null;
2020-02-07;null;null;null;31.8;null;22.6;72.333333;61;5.9;null;
2020-02-08;null;null;null;null;null;null;78;73;3.1;null;
2020-02-09;null;null;null;30.6;null;null;75.357143;67;5.6;null;
2020-02-10;null;null;null;null;null;null;68;56;8.5;null;
2020-02-11;null;null;null;32.2;null;22.5;65.666667;56;7.4;null;
2020-02-12;null;null;null;32.3;null;22.5;57.666667;44;6.1;null;
2020-02-13;null;null;null;33.3;null;21.2;58.357143;47;7.2;null;
2020-02-14;null;null;null;null;null;null;null;60;7.7;null;
2020-02-15;null;null;null;null;null;null;73.266667;65;6.7;null;
2020-02-16;null;null;null;31.7;null;23.6;66.2;54;8.2;null;
2020-02-17;null;null;null;32.9;null;21.2;59.571429;47;6.7;null;
2020-02-18;null;null;null;null;null;null;63.866667;55;8.8;null;
2020-02-19;null;null;null;32.1;null;24;64.285714;55;7.3;null;
2020-02-20;null;null;null;null;null;null;64.071429;54;7.6;null;
2020-02-21;null;null;null;null;null;null;64.571429;56;7.5;null;
2020-02-22;null;null;null;null;null;null;64.266667;51;14.8;null;
2020-02-23;null;null;null;null;null;null;69.461538;60;5.4;null;
2020-02-24;null;null;null;null;null;null;62.142857;49;8.6;null;
2020-02-25;null;null;null;null;null;null;57.733333;46;6.7;null;
2020-02-26;null;null;null;34.3;null;22.9;53;38;6.4;null;
2020-02-27;null;null;null;null;null;null;50.466667;34;8.4;null;
2020-02-28;null;null;null;33.5;null;24.6;61.214286;50;9.7;null;
2020-02-29;null;null;null;null;null;null;null;71;3.8;null;
2020-03-01;null;null;null;null;null;null;71.428571;60;5.9;null;
2020-03-02;null;null;null;null;null;null;72.153846;60;5.9;null;
2020-03-03;null;null;null;null;null;null;null;82;5.9;null;
2020-03-04;null;null;null;null;null;null;83.083333;77;7.8;null;
2020-03-05;null;null;null;null;null;null;80;75;4.5;null;
2020-03-06;null;null;null;null;null;null;74.642857;65;10.1;null;
2020-03-07;null;null;null;null;null;null;76.642857;70;8.4;null;
2020-03-08;null;null;null;null;null;null;72.692308;64;10.4;null;
2020-03-09;null;null;null;null;null;null;77.571429;67;8.4;null;
2020-03-10;null;null;null;null;null;null;72.857143;62;6.8;null;
2020-03-11;null;null;null;null;null;null;73.384615;64;8.6;null;
2020-03-12;null;null;null;null;null;null;71.6;61;6;null;
2020-03-13;null;null;null;null;null;null;69.285714;58;10.5;null;
2020-03-14;null;null;null;null;null;null;67.928571;58;8.6;null;
2020-03-15;null;null;null;null;null;null;67.384615;61;8.5;null;
2020-03-16;null;null;null;null;null;null;74.5;71;5.9;null;
2020-03-17;null;null;null;null;null;null;73;64;6.6;null;
2020-03-18;null;null;null;null;null;null;null;66;7.4;null;
2020-03-19;null;null;null;null;null;null;80.214286;76;4.8;null;
2020-03-20;null;null;null;null;null;null;81.4;74;6.9;null;
2020-03-21;null;null;null;null;null;null;76;68;6.4;null;
2020-03-22;null;null;null;null;null;null;73.785714;61;9.2;null;
2020-03-23;null;null;null;null;null;null;74.384615;63;5;null;
2020-03-24;null;null;null;null;null;null;null;61;13.5;null;
2020-03-25;null;null;null;null;null;null;null;75;5.4;null;
2020-03-26;null;null;null;null;null;null;75.923077;65;5.9;null;
2020-03-27;null;null;null;null;null;null;73.615385;66;9;null;
2020-03-28;null;null;null;null;null;null;66.928571;55;8.2;null;
2020-03-29;null;null;null;null;null;null;70.928571;61;9.7;null;
2020-03-30;null;null;null;null;null;null;72.571429;65;7.2;null;
2020-03-31;null;null;null;null;null;null;71;63;8.1;null;
2020-04-01;null;null;null;null;null;null;67.307692;58;7.6;null;
2020-04-02;null;null;null;null;null;null;68.769231;62;6.7;null;
2020-04-03;null;null;null;null;null;null;66.5;55;6.3;null;
2020-04-04;null;null;null;null;null;null;74.333333;63;7.6;null;
2020-04-05;null;null;null;null;null;null;73;59;9.1;null;
2020-04-06;null;null;null;null;null;null;68.461538;56;6.8;null;
2020-04-07;null;null;null;null;null;null;66.571429;57;6.9;null;
2020-04-08;null;null;null;null;null;null;65.214286;55;6.6;null;
2020-04-09;null;null;null;null;null;null;76.923077;72;6.6;null;
2020-04-10;null;null;null;null;null;null;76.692308;66;4.9;null;
2020-04-11;null;null;null;null;null;null;79.583333;71;6.4;null;
2020-04-12;null;null;null;null;null;null;79;73;6.1;null;
2020-04-13;null;null;null;null;null;null;null;68;8.9;null;
2020-04-14;null;null;null;null;null;null;null;75;5.9;null;
2020-04-15;null;null;null;null;null;null;81.333333;74;8.1;null;
2020-04-16;null;null;null;null;null;null;81.076923;77;8.9;null;
