Nome: CAMPOS SALES
Codigo Estacao: A347
Latitude: -7.07777777
Longitude: -40.36277777
Altitude: 577.95
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;0;
2020-01-01;0100;0;
2020-01-01;0200;0;
2020-01-01;0300;0;
2020-01-01;0400;0;
2020-01-01;0500;0;
2020-01-01;0600;0;
2020-01-01;0700;0;
2020-01-01;0800;0;
2020-01-01;0900;15.823;
2020-01-01;1000;218.545;
2020-01-01;1100;723.274;
2020-01-01;1200;1084.586;
2020-01-01;1300;1221.696;
2020-01-01;1400;2001.298;
2020-01-01;1500;2534.329;
2020-01-01;1600;2813.039;
2020-01-01;1700;2048.539;
2020-01-01;1800;1431.099;
2020-01-01;1900;823.056;
2020-01-01;2000;397.195;
2020-01-01;2100;80.731;
2020-01-01;2200;0;
2020-01-01;2300;0;
2020-01-02;0000;0;
2020-01-02;0100;0;
2020-01-02;0200;0;
2020-01-02;0300;0;
2020-01-02;0400;0;
2020-01-02;0500;0;
2020-01-02;0600;0;
2020-01-02;0700;0;
2020-01-02;0800;0;
2020-01-02;0900;21.466;
2020-01-02;1000;232.345;
2020-01-02;1100;576.476;
2020-01-02;1200;1157.547;
2020-01-02;1300;1810.59;
2020-01-02;1400;2169.023;
2020-01-02;1500;2814.565;
2020-01-02;1600;2646.262;
2020-01-02;1700;1875.167;
2020-01-02;1800;1987.706;
2020-01-02;1900;1108.108;
2020-01-02;2000;609.524;
2020-01-02;2100;147.836;
2020-01-02;2200;0;
2020-01-02;2300;0;
2020-01-03;0000;0;
2020-01-03;0100;0;
2020-01-03;0200;0;
2020-01-03;0300;0;
2020-01-03;0400;0;
2020-01-03;0500;0;
2020-01-03;0600;0;
2020-01-03;0700;0;
2020-01-03;0800;0;
2020-01-03;0900;14.557;
2020-01-03;1000;165.232;
2020-01-03;1100;908.839;
2020-01-03;1200;1550.156;
2020-01-03;1300;1409.672;
2020-01-03;1400;2044.617;
2020-01-03;1500;1608.139;
2020-01-03;1600;1063.221;
2020-01-03;1700;1108.809;
2020-01-03;1800;921.632;
2020-01-03;1900;808.9;
2020-01-03;2000;333.72;
2020-01-03;2100;149.583;
2020-01-03;2200;.165;
2020-01-03;2300;0;
2020-01-04;0000;0;
2020-01-04;0100;0;
2020-01-04;0200;0;
2020-01-04;0300;0;
2020-01-04;0400;0;
2020-01-04;0500;0;
2020-01-04;0600;0;
2020-01-04;0700;0;
2020-01-04;0800;0;
2020-01-04;0900;8.474;
2020-01-04;1000;234.805;
2020-01-04;1100;383.05;
2020-01-04;1200;1081.644;
2020-01-04;1300;1456.111;
2020-01-04;1400;1691.448;
2020-01-04;1500;1381.483;
2020-01-04;1600;1531.613;
2020-01-04;1700;466.241;
2020-01-04;1800;101.274;
2020-01-04;1900;143.261;
2020-01-04;2000;207.364;
2020-01-04;2100;49.204;
2020-01-04;2200;0;
2020-01-04;2300;0;
2020-01-05;0000;0;
2020-01-05;0100;0;
2020-01-05;0200;0;
2020-01-05;0300;0;
2020-01-05;0400;.003;
2020-01-05;0500;0;
2020-01-05;0600;0;
2020-01-05;0700;0;
2020-01-05;0800;0;
2020-01-05;0900;19.985;
2020-01-05;1000;144.991;
2020-01-05;1100;353.082;
2020-01-05;1200;866.459;
2020-01-05;1300;823.309;
2020-01-05;1400;1358.895;
2020-01-05;1500;1532.724;
2020-01-05;1600;1672.072;
2020-01-05;1700;1020.999;
2020-01-05;1800;643.772;
2020-01-05;1900;528.139;
2020-01-05;2000;303.208;
2020-01-05;2100;110.354;
2020-01-05;2200;.031;
2020-01-05;2300;0;
2020-01-06;0000;0;
2020-01-06;0100;0;
2020-01-06;0200;0;
2020-01-06;0300;0;
2020-01-06;0400;0;
2020-01-06;0500;0;
2020-01-06;0600;0;
2020-01-06;0700;0;
2020-01-06;0800;0;
2020-01-06;0900;20.358;
2020-01-06;1000;539.3;
2020-01-06;1100;1482.207;
2020-01-06;1200;1450.226;
2020-01-06;1300;823.469;
2020-01-06;1400;2485.925;
2020-01-06;1500;2959.139;
2020-01-06;1600;2012.692;
2020-01-06;1700;2335.233;
2020-01-06;1800;2559.804;
2020-01-06;1900;695.567;
2020-01-06;2000;116.07;
2020-01-06;2100;32.383;
2020-01-06;2200;0;
2020-01-06;2300;0;
2020-01-07;0000;0;
2020-01-07;0100;0;
2020-01-07;0200;0;
2020-01-07;0300;0;
2020-01-07;0400;0;
2020-01-07;0500;0;
2020-01-07;0600;0;
2020-01-07;0700;0;
2020-01-07;0800;.892;
2020-01-07;0900;17.323;
2020-01-07;1000;63.826;
2020-01-07;1100;427.766;
2020-01-07;1200;1302.825;
2020-01-07;1300;1641.215;
2020-01-07;1400;925.974;
2020-01-07;1500;1114.893;
2020-01-07;1600;2483.715;
2020-01-07;1700;2811.69;
2020-01-07;1800;1922.318;
2020-01-07;1900;1604.482;
2020-01-07;2000;853.899;
2020-01-07;2100;116.516;
2020-01-07;2200;.165;
2020-01-07;2300;0;
2020-01-08;0000;0;
2020-01-08;0100;0;
2020-01-08;0200;0;
2020-01-08;0300;0;
2020-01-08;0400;0;
2020-01-08;0500;0;
2020-01-08;0600;0;
2020-01-08;0700;0;
2020-01-08;0800;0;
2020-01-08;0900;6.505;
2020-01-08;1000;94.057;
2020-01-08;1100;61.694;
2020-01-08;1200;68.07;
2020-01-08;1300;66.906;
2020-01-08;1400;188.092;
2020-01-08;1500;1296.149;
2020-01-08;1600;2015.328;
2020-01-08;1700;1322.106;
2020-01-08;1800;248.529;
2020-01-08;1900;411.553;
2020-01-08;2000;246.762;
2020-01-08;2100;59.122;
2020-01-08;2200;0;
2020-01-08;2300;0;
2020-01-09;0000;0;
2020-01-09;0100;0;
2020-01-09;0200;0;
2020-01-09;0300;0;
2020-01-09;0400;0;
2020-01-09;0500;.003;
2020-01-09;0600;0;
2020-01-09;0700;0;
2020-01-09;0800;0;
2020-01-09;0900;23.306;
2020-01-09;1000;316.271;
2020-01-09;1100;634.384;
2020-01-09;1200;1559.115;
2020-01-09;1300;1447.138;
2020-01-09;1400;2371.106;
2020-01-09;1500;1611.303;
2020-01-09;1600;3071.007;
2020-01-09;1700;2390.244;
2020-01-09;1800;2031.277;
2020-01-09;1900;1448.131;
2020-01-09;2000;368.26;
2020-01-09;2100;43.384;
2020-01-09;2200;.583;
2020-01-09;2300;0;
2020-01-10;0000;0;
2020-01-10;0100;0;
2020-01-10;0200;0;
2020-01-10;0300;0;
2020-01-10;0400;0;
2020-01-10;0500;0;
2020-01-10;0600;0;
2020-01-10;0700;0;
2020-01-10;0800;.025;
2020-01-10;0900;10.187;
