Nome: SAO LUIS DO QUITUNDE
Codigo Estacao: A356
Latitude: -9.28749999
Longitude: -35.56583333
Altitude: 13.69
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;.2;1010.541667;22.75;32;27.033333;23.9;78.541667;57;7.9;1.541667;
2020-01-02;.4;1010.55;22.729167;33.1;27.345833;23.7;77.708333;50;9.7;1.854167;
2020-01-03;0;1010.904167;22.691667;34.5;27.666667;23.3;76.5;46;10.6;2.120833;
2020-01-04;0;1010.941667;21.620833;33.8;27.4125;23;73.75;41;9.8;2.329167;
2020-01-05;0;1011.170833;22.116667;32;26.795833;23.5;76.916667;55;8.8;1.725;
2020-01-06;0;1010.8125;21.791667;32.2;26.745833;22.1;76.208333;51;8.8;1.975;
2020-01-07;0;1011.420833;22.195833;32.9;27.1125;23.3;76.25;52;9.6;2.1625;
2020-01-08;.2;1011.0625;21.875;33;26.8875;21.9;76;48;9.2;2.029167;
2020-01-09;0;1010.933333;21.808333;32.9;27.266667;22.7;73.583333;51;10.6;2.216667;
2020-01-10;0;1011.858333;21.175;32.9;26.916667;21.7;73.25;42;8.6;1.9875;
2020-01-11;0;1011.695833;21.1;33.2;26.891667;22;73.5;43;9.4;2.0625;
2020-01-12;0;1012.070833;21.708333;32.9;27.008333;21.9;75;47;9.2;2.329167;
2020-01-13;0;1011.133333;21.704167;33.7;27.041667;21.7;75;42;9.8;2.129167;
2020-01-14;0;1010.875;21.65;32.8;27.095833;22.9;74.166667;48;9.1;1.9125;
2020-01-15;0;1011.325;20.779167;32.9;26.266667;20.7;74.708333;38;9.4;1.8625;
2020-01-16;3;1012.6625;21.754167;32.7;27.0375;23;75.166667;41;10.3;2.008333;
2020-01-17;0;1012.8125;22.341667;33.2;27.154167;22.6;77.333333;44;10.4;2.120833;
2020-01-18;0;1012.791667;22.8125;32.9;27.3;23;77.875;52;9.3;2.1125;
2020-01-19;0;1011.720833;22.570833;31.8;26.804167;22.7;78.708333;53;11.9;2.025;
2020-01-20;.4;1010.15;21.616667;32.2;26.291667;21.4;77.541667;52;10.3;2.070833;
2020-01-21;.2;1008.8625;22.2125;34.3;27.366667;21.9;75.625;46;10.3;2.245833;
2020-01-22;0;1009.141667;23.245833;33;28.0125;23.8;76.083333;58;9.6;2.391667;
2020-01-23;0;1009.920833;23.9875;31.9;27.5125;24.6;81.625;63;10.8;2.070833;
2020-01-24;4.4;1010.958333;23.5875;33;27.516667;24.2;80.75;52;10.9;1.95;
2020-01-25;0;1011.05;23.908333;32.8;27.870833;24.7;80;58;9.3;2.154167;
2020-01-26;.6;1010.708333;24.541667;34.5;28.6875;24.8;79.708333;55;9.8;2.0125;
2020-01-27;0;1011.4625;23.854167;33.2;28.204167;24.5;78.75;56;10.1;2.066667;
2020-01-28;0;1011.858333;22.808333;33.4;27.329167;22.6;78.291667;49;9.6;1.9625;
2020-01-29;.2;1012.170833;22.166667;33;27.404167;23.1;75.333333;47;9.5;2.333333;
2020-01-30;2.2;1012.4875;22.9125;30.9;25.295833;22.7;87.333333;60;8.3;1.204167;
2020-01-31;10.2;1012.279167;22.916667;32.6;26.620833;22.6;81.958333;56;9.7;1.85;
2020-02-01;1.2;1012.504167;23.770833;32.2;27.370833;23.6;81.708333;62;8.2;1.891667;
2020-02-02;0;1011.829167;23.7625;32.8;27.525;23.8;81.041667;57;9.1;1.666667;
2020-02-03;3.4;1011.829167;23.8375;34.5;28.283333;23.8;78.541667;52;11;2.241667;
2020-02-04;4.6;1012.008333;24.2;31.2;26.6125;24.2;87.291667;66;9.5;1.470833;
2020-02-05;15.2;1011.220833;23.4625;32.7;27.516667;23.2;80.458333;55;9.5;2.1375;
2020-02-06;0;1011.329167;23.283333;34.4;27.220833;23.4;80.416667;46;8.6;1.791667;
2020-02-07;0;1010.208333;22.958333;33.1;27.604167;23.6;77.541667;50;9.7;2.095833;
2020-02-08;0;1011.1625;22.229167;33.3;27.4875;22.5;75.375;47;9.7;2.066667;
2020-02-09;0;1012.7;23.0375;33.4;27.55;23.3;78.333333;48;8.7;1.741667;
2020-02-10;1.6;1013.2125;24.258333;32.7;27.7125;24.6;82.666667;57;8.1;1.841667;
2020-02-11;0;1011.991667;22.241667;33.1;27.795833;23.6;74.458333;42;9.9;2.0625;
2020-02-12;.4;1010.945833;23.508333;31.5;26.591667;23;84.291667;57;8.1;1.620833;
2020-02-13;13.2;1010.720833;24.554167;30.7;26.545833;24.5;89.375;69;7.7;1.383333;
2020-02-14;4;1011.016667;23.7625;31.6;27.091667;23.6;83.166667;61;9.6;1.754167;
2020-02-15;1.4;1010.875;22.775;32.3;26.916667;22.8;79.875;52;8.2;1.966667;
2020-02-16;.2;1010.875;22.708333;32.7;26.9375;22.6;79.208333;53;9.1;2.145833;
2020-02-17;0;1010.791667;23.141667;33.3;27.854167;23.7;77.166667;49;9.7;2.316667;
2020-02-18;.2;1010.879167;22.816667;33.1;27.983333;24.3;74.916667;48;9.1;2.45;
2020-02-19;.2;1009.729167;22.229167;31.8;27.0625;22.7;76.583333;52;8.8;1.7375;
2020-02-20;3.2;1010.1875;22.920833;29.9;24.241667;22.7;92.708333;72;10.6;1.0125;
2020-02-21;48;1010.233333;24.029167;31.4;25.65;22.4;91.5;68;9.1;1.45;
2020-02-22;14;1010.879167;24.325;32.8;27.704167;23.7;83.541667;54;7.3;1.575;
2020-02-23;0;1011.5625;24.083333;33.1;27.795833;23.8;81.75;54;8.3;1.891667;
2020-02-24;.2;1011.204167;23.808333;32.5;27.879167;24.7;79.666667;59;7.9;2.004167;
