Nome: PALMARES
Codigo Estacao: A357
Latitude: -8.66666666
Longitude: -35.56805554
Altitude: 164.01
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;0;
2020-01-01;0100;.002;
2020-01-01;0200;0;
2020-01-01;0300;0;
2020-01-01;0400;0;
2020-01-01;0500;.007;
2020-01-01;0600;0;
2020-01-01;0700;0;
2020-01-01;0800;.001;
2020-01-01;0900;13.482;
2020-01-01;1000;70.082;
2020-01-01;1100;118.208;
2020-01-01;1200;175.541;
2020-01-01;1300;282.244;
2020-01-01;1400;175.779;
2020-01-01;1500;147.715;
2020-01-01;1600;200.015;
2020-01-01;1700;259.315;
2020-01-01;1800;149.911;
2020-01-01;1900;89.635;
2020-01-01;2000;14.284;
2020-01-01;2100;1.402;
2020-01-01;2200;0;
2020-01-01;2300;0;
2020-01-02;0000;0;
2020-01-02;0100;0;
2020-01-02;0200;0;
2020-01-02;0300;0;
2020-01-02;0400;0;
2020-01-02;0500;0;
2020-01-02;0600;0;
2020-01-02;0700;0;
2020-01-02;0800;.001;
2020-01-02;0900;8.324;
2020-01-02;1000;72.369;
2020-01-02;1100;173.132;
2020-01-02;1200;232.202;
2020-01-02;1300;282.403;
2020-01-02;1400;283.169;
2020-01-02;1500;282.545;
2020-01-02;1600;371.121;
2020-01-02;1700;344.888;
2020-01-02;1800;291.487;
2020-01-02;1900;131.631;
2020-01-02;2000;71.608;
2020-01-02;2100;9.968;
2020-01-02;2200;0;
2020-01-02;2300;0;
2020-01-03;0000;0;
2020-01-03;0100;0;
2020-01-03;0200;0;
2020-01-03;0300;0;
2020-01-03;0400;0;
2020-01-03;0500;0;
2020-01-03;0600;0;
2020-01-03;0700;0;
2020-01-03;0800;0;
2020-01-03;0900;21.447;
2020-01-03;1000;125.346;
2020-01-03;1100;160.417;
2020-01-03;1200;163.325;
2020-01-03;1300;337.306;
2020-01-03;1400;347.998;
2020-01-03;1500;460.095;
2020-01-03;1600;395.561;
2020-01-03;1700;369.853;
2020-01-03;1800;346.73;
2020-01-03;1900;165.548;
2020-01-03;2000;87.927;
2020-01-03;2100;6.398;
2020-01-03;2200;0;
2020-01-03;2300;0;
2020-01-04;0000;0;
2020-01-04;0100;0;
2020-01-04;0200;0;
2020-01-04;0300;0;
2020-01-04;0400;0;
2020-01-04;0500;0;
2020-01-04;0600;0;
2020-01-04;0700;0;
2020-01-04;0800;.002;
2020-01-04;0900;20.481;
2020-01-04;1000;97.859;
2020-01-04;1100;172.496;
2020-01-04;1200;294.732;
2020-01-04;1300;296.509;
2020-01-04;1400;291.616;
2020-01-04;1500;394.897;
2020-01-04;1600;413.212;
2020-01-04;1700;379.415;
2020-01-04;1800;336.088;
2020-01-04;1900;227.582;
2020-01-04;2000;121.983;
2020-01-04;2100;20.75;
2020-01-04;2200;0;
2020-01-04;2300;0;
2020-01-05;0000;0;
2020-01-05;0100;0;
2020-01-05;0200;0;
2020-01-05;0300;0;
2020-01-05;0400;0;
2020-01-05;0500;.003;
2020-01-05;0600;0;
2020-01-05;0700;0;
2020-01-05;0800;.004;
2020-01-05;0900;19.738;
2020-01-05;1000;92.043;
2020-01-05;1100;154.58;
2020-01-05;1200;213.694;
2020-01-05;1300;246.644;
2020-01-05;1400;241.54;
2020-01-05;1500;271.49;
2020-01-05;1600;300.226;
2020-01-05;1700;334.635;
2020-01-05;1800;212.396;
2020-01-05;1900;152.219;
2020-01-05;2000;57.952;
2020-01-05;2100;8.849;
2020-01-05;2200;0;
2020-01-05;2300;0;
2020-01-06;0000;0;
2020-01-06;0100;0;
2020-01-06;0200;0;
2020-01-06;0300;0;
2020-01-06;0400;0;
2020-01-06;0500;0;
2020-01-06;0600;0;
2020-01-06;0700;0;
2020-01-06;0800;.07;
2020-01-06;0900;28.503;
2020-01-06;1000;99.536;
2020-01-06;1100;144.597;
2020-01-06;1200;169.663;
2020-01-06;1300;282.707;
2020-01-06;1400;425.268;
2020-01-06;1500;506.653;
2020-01-06;1600;424.068;
2020-01-06;1700;176.237;
2020-01-06;1800;234.197;
2020-01-06;1900;119.465;
2020-01-06;2000;69.275;
2020-01-06;2100;7.093;
2020-01-06;2200;0;
2020-01-06;2300;0;
2020-01-07;0000;0;
2020-01-07;0100;0;
2020-01-07;0200;.007;
2020-01-07;0300;0;
2020-01-07;0400;0;
2020-01-07;0500;0;
2020-01-07;0600;0;
2020-01-07;0700;0;
2020-01-07;0800;0;
2020-01-07;0900;20.283;
2020-01-07;1000;78.652;
2020-01-07;1100;183.081;
2020-01-07;1200;251.943;
2020-01-07;1300;242.019;
2020-01-07;1400;363.798;
2020-01-07;1500;295.719;
2020-01-07;1600;334.673;
2020-01-07;1700;350.469;
2020-01-07;1800;263.614;
2020-01-07;1900;135.951;
2020-01-07;2000;33.854;
2020-01-07;2100;3.942;
2020-01-07;2200;.002;
2020-01-07;2300;0;
2020-01-08;0000;0;
2020-01-08;0100;0;
2020-01-08;0200;0;
2020-01-08;0300;.003;
2020-01-08;0400;0;
2020-01-08;0500;0;
2020-01-08;0600;0;
2020-01-08;0700;0;
2020-01-08;0800;0;
2020-01-08;0900;17.745;
2020-01-08;1000;103.669;
2020-01-08;1100;170.458;
2020-01-08;1200;283.456;
2020-01-08;1300;364.979;
2020-01-08;1400;320.276;
2020-01-08;1500;198.844;
2020-01-08;1600;182.136;
2020-01-08;1700;370.555;
2020-01-08;1800;238.579;
