Nome: VALENCA DO PIAUI
Codigo Estacao: A363
Latitude: -6.39916666
Longitude: -41.73999999
Altitude: 313.39
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;25.8;969.6375;21.254167;30.1;24.179167;20.8;85.333333;54;7.6;2.1375;
2020-01-02;3.4;969.170833;22.145833;33.3;24.995833;22.7;85.916667;46;14.3;1.5875;
2020-01-03;13.2;970.316667;22.675;27.7;24.075;21.4;92;72;6.2;1.275;
2020-01-04;2.4;970.958333;22.204167;29.5;24.170833;21.9;89.25;64;9.8;1.541667;
2020-01-05;0;969.970833;21.433333;31.5;26.158333;22.9;77.291667;46;9.6;1.8625;
2020-01-06;0;969.679167;22.404167;28.5;24.758333;22.1;87.25;69;5.7;1.404167;
2020-01-07;65.8;971.05;22.291667;27.4;23.754167;21.8;91.791667;75;7.4;1.595833;
2020-01-08;2.4;970.425;21.658333;32;24.120833;22;87.458333;52;15.9;2.091667;
2020-01-09;2.8;970.229167;21.504167;32.2;24.545833;20.9;85;47;7.3;1.141667;
2020-01-10;21.8;970.329167;22.216667;30.1;24.891667;22.3;85.833333;61;6.1;1.695833;
2020-01-11;0;969.425;22.1125;31.5;25.5;22.2;82.791667;53;8;1.604167;
2020-01-12;.4;969.85;21.091667;34.6;26.45;21.5;75.625;38;8.3;1.579167;
2020-01-13;0;969.5375;21.733333;32.2;26.029167;21.5;78.666667;47;7.3;1.220833;
2020-01-14;1.8;968.95;22.479167;32.3;26.145833;22.5;81.75;52;5.5;1.325;
2020-01-15;1;969.258333;23.05;29.4;25.283333;22.9;87.791667;68;7;1.2125;
2020-01-16;1.6;970.316667;21.129167;34.4;27.279167;22.6;73.333333;32;9.1;1.529167;
2020-01-17;0;970.608333;20.75;32.9;26.866667;21.4;70.541667;47;7.8;1.379167;
2020-01-18;.2;970.154167;22.241667;33.5;26.145833;22.7;80.166667;47;15;1.529167;
2020-01-19;33.8;970.145833;22.479167;26.2;23.479167;20.7;94.041667;80;12.2;1.475;
2020-01-20;2.2;969.008333;21.883333;31.6;24.516667;20.8;86.916667;53;5.5;1.3;
2020-01-21;15;968.179167;21.2625;32.1;25.0625;20.5;81.166667;52;8.5;1.391667;
2020-01-22;0;968.491667;22.029167;29.9;25.525;22.8;82;57;5.4;1.629167;
