Nome: OURICURI
Codigo Estacao: A366
Latitude: -7.88583333
Longitude: -40.10277777
Altitude: 457.85
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;null;null;null;null;null;null;60.133333;42;4.5;null;
2020-01-02;null;null;null;null;null;null;53.4;37;8.5;null;
2020-01-03;null;null;null;null;null;null;61.857143;36;10.3;null;
2020-01-04;null;null;null;null;null;null;null;50;12.8;null;
2020-01-05;null;null;null;null;null;null;60.428571;43;6;null;
2020-01-06;null;null;null;null;null;null;55;37;7.2;null;
2020-01-07;null;null;null;null;null;null;null;47;7.6;null;
2020-01-08;null;null;null;null;null;null;73.666667;54;10.6;null;
2020-01-09;null;null;null;null;null;null;null;33;6.4;null;
2020-01-10;null;null;null;null;null;null;null;36;6.9;null;
2020-01-11;null;null;null;null;null;null;null;33;9.8;null;
2020-01-12;null;null;null;null;null;null;null;31;7.3;null;
2020-01-13;null;null;null;null;null;null;null;29;10;null;
2020-01-14;null;null;null;null;null;null;null;29;9.6;null;
2020-01-15;null;null;null;null;null;null;null;25;8.2;null;
2020-01-16;null;null;null;null;null;null;null;26;10.2;null;
2020-01-17;null;null;null;null;null;null;null;31;7.2;null;
2020-01-18;null;null;null;null;null;null;43.416667;28;11.5;null;
2020-01-19;null;null;null;null;null;null;null;40;8.5;null;
2020-01-20;null;null;null;null;null;null;null;28;7.2;null;
2020-01-21;null;null;null;null;null;null;42.25;26;19.1;null;
2020-01-22;null;null;null;null;null;null;null;41;6.6;null;
2020-01-23;null;null;null;null;null;null;null;63;3.7;null;
2020-01-24;null;null;null;null;null;null;65.166667;49;5.3;null;
2020-01-25;null;null;null;null;null;null;null;22;9.8;null;
2020-01-26;null;null;null;null;null;null;null;27;10.9;null;
2020-01-27;null;null;null;null;null;null;65.6;36;9.1;null;
2020-01-28;null;null;null;null;null;null;72.785714;47;5.3;null;
2020-01-29;null;null;null;null;null;null;54.285714;36;8.9;null;
2020-01-30;null;null;null;null;null;null;50.928571;32;7.7;null;
2020-01-31;null;null;null;null;null;null;50.214286;33;7.1;null;
2020-02-01;null;null;null;null;null;null;53.6;32;8.4;null;
2020-02-02;null;null;null;null;null;null;63.333333;43;11.4;null;
2020-02-03;null;null;null;null;null;24;79;49;10.1;null;
2020-02-04;null;null;null;null;null;null;71;47;9.4;null;
2020-02-05;null;null;null;null;null;null;74.266667;49;6;null;
2020-02-06;null;null;null;null;null;null;74.666667;51;9.1;null;
2020-02-07;null;null;null;31.3;null;21.8;71.714286;46;9.9;null;
2020-02-08;null;null;null;null;null;null;71.333333;52;8.5;null;
2020-02-09;null;961.652632;20.357895;31.4;null;21.9;71.473684;45;6.8;1.731579;
2020-02-10;null;null;null;31.9;null;23.5;62.25;44;7.4;null;
2020-02-11;null;null;null;32;null;24.5;61.9375;41;9;null;
2020-02-12;null;null;null;null;null;null;51.666667;32;5.9;null;
2020-02-13;null;959.605263;20.257895;30.7;null;22.6;68.578947;50;7.4;1.915789;
2020-02-14;null;null;null;null;null;null;72.2;53;7.3;null;
2020-02-15;null;null;null;29.8;null;23;72.0625;51;6.3;null;
2020-02-16;null;null;null;31.2;null;23.1;60.1875;36;8.5;null;
2020-02-17;null;959.675;18.89;30.9;null;20.1;67.2;44;7.4;2.27;
2020-02-18;null;null;null;29.7;null;22.7;86.1875;57;7.7;null;
2020-02-19;null;null;null;null;null;null;73.466667;56;7.5;null;
2020-02-20;null;null;null;30.1;null;22.2;73.25;53;4.9;null;
2020-02-21;null;null;null;null;null;21.2;91.083333;75;12.9;null;
2020-02-22;null;null;null;null;null;null;null;61;5;null;
2020-02-23;null;null;null;null;null;null;72.333333;51;6.8;null;
2020-02-24;null;959.933333;21.057143;30.5;null;21.6;78.190476;47;7.8;2.247619;
2020-02-25;null;959.138889;21.022222;31.4;null;21.1;75.388889;48;7.4;2.133333;
2020-02-26;null;null;null;31.8;null;23.4;68;45;6.7;null;
2020-02-27;null;959.16;20.035;34.1;null;21.2;65.9;33;6.9;1.765;
2020-02-28;null;960.1;20.695833;33.3;27.6625;22.3;67;39;8.8;2.358333;
2020-02-29;null;960.895833;21.157895;31.2;25.504167;20.5;72.736842;51;13.5;2.4625;
2020-03-01;null;960.758333;21.666667;30.8;25.479167;22.3;80.583333;52;9.5;1.933333;
