Nome: BARREIRAS
Codigo Estacao: A402
Latitude: -12.12472221
Longitude: -45.02694443
Altitude: 474.17
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;3.4;957.4375;21.35;30.6;24.775;21.5;82.625;56;7.6;1.658333;
2020-01-02;1.4;958.020833;22.0125;26.4;23.804167;22.5;89.791667;81;8.2;1.479167;
2020-01-03;10.6;958.895833;21.695833;28.9;23.325;21.2;90.875;67;10.4;1.591667;
2020-01-04;9.2;959.05;22.204167;25.3;22.920833;22.3;95.791667;83;9.8;.9125;
2020-01-05;56;959.2375;21.608333;28.5;23.5375;20.6;89.583333;67;7.3;1.458333;
2020-01-06;7.6;958.804167;22.395833;29.9;24.579167;20.8;88.25;63;10.4;1.616667;
2020-01-07;21.2;959.404167;21.754167;31.4;25.25;21.1;83.041667;48;10.4;.104167;
2020-01-08;0;958.533333;22.325;31.9;25.5125;21.5;83.875;53;6.5;.1;
2020-01-09;2;958.2625;22.329167;34.7;25.183333;21.8;86;45;9.5;.204167;
2020-01-10;2.2;958.2125;21.7875;33.3;26.008333;21.2;79.833333;46;8.6;.108333;
2020-01-11;0;957.825;20.625;32.7;26.666667;20.5;72.625;41;8.2;.25;
2020-01-12;0;958.358333;20.741667;33.7;25.833333;20.6;75.916667;42;12.2;.075;
2020-01-13;0;958.033333;20.670833;34.7;27.329167;20.9;71.25;36;5.4;.045833;
2020-01-14;0;957.158333;21.175;35.3;28.608333;22.6;66.875;40;7.3;.045833;
2020-01-15;0;957.108333;20.345833;34.5;28.179167;21.7;66.041667;37;8.7;.291667;
2020-01-16;0;958.683333;18.8875;35.5;27.295833;19.1;64.041667;35;7.7;.158333;
2020-01-17;0;958.8875;19.416667;36;28.3625;20.9;61.958333;34;6.8;.470833;
2020-01-18;2.2;958.9375;21.183333;35.3;27.333333;22.2;71.416667;37;10.5;.370833;
2020-01-19;0;957.941667;20.958333;34;28.2875;22.4;66.875;42;8.9;.129167;
2020-01-20;0;956.754167;20.329167;35.1;27.975;21.6;66.458333;33;7.7;.0375;
2020-01-21;0;955.8625;21.595833;32.7;25.55;22.2;79.708333;50;11.9;.425;
