Nome: BARREIRAS
Codigo Estacao: A402
Latitude: -12.12472221
Longitude: -45.02694443
Altitude: 474.17
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.54;
2020-01-01;0200;-3.54;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.54;
2020-01-01;0600;-3.515;
2020-01-01;0700;-3.538;
2020-01-01;0800;-3.54;
2020-01-01;0900;22.623;
2020-01-01;1000;293.704;
2020-01-01;1100;386.049;
2020-01-01;1200;1274.488;
2020-01-01;1300;1725.909;
2020-01-01;1400;933.377;
2020-01-01;1500;1673.433;
2020-01-01;1600;3662.804;
2020-01-01;1700;2719.204;
2020-01-01;1800;1522.776;
2020-01-01;1900;1568.005;
2020-01-01;2000;880.046;
2020-01-01;2100;308.168;
2020-01-01;2200;20.994;
2020-01-01;2300;-3.54;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.54;
2020-01-02;0200;-3.54;
2020-01-02;0300;-3.54;
2020-01-02;0400;-3.54;
2020-01-02;0500;-3.533;
2020-01-02;0600;-3.535;
2020-01-02;0700;-3.425;
2020-01-02;0800;-3.483;
2020-01-02;0900;3.426;
2020-01-02;1000;127.754;
2020-01-02;1100;600.118;
2020-01-02;1200;1269.773;
2020-01-02;1300;1469.22;
2020-01-02;1400;686.486;
2020-01-02;1500;301.886;
2020-01-02;1600;1336.09;
2020-01-02;1700;1352.593;
2020-01-02;1800;674.643;
2020-01-02;1900;582.918;
2020-01-02;2000;580.549;
2020-01-02;2100;153.314;
2020-01-02;2200;1.388;
2020-01-02;2300;-3.216;
2020-01-03;0000;-3.54;
2020-01-03;0100;-3.473;
2020-01-03;0200;-3.357;
2020-01-03;0300;-3.274;
2020-01-03;0400;-3.097;
2020-01-03;0500;-3.506;
2020-01-03;0600;-3.455;
2020-01-03;0700;-3.487;
2020-01-03;0800;-3.524;
