Nome: LUIZ EDUARDO MAGALHAES
Codigo Estacao: A404
Latitude: -12.1525
Longitude: -45.82972221
Altitude: 760.68
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;926.654167;20.4625;28.1;22.791667;19.8;87.333333;61;7.7;1.083333;
2020-01-02;5.4;927.2;20.661905;28.9;22.529167;20.4;88.285714;58;16.8;1.4375;
2020-01-03;60.4;927.825;null;28.4;22.504167;19.8;84.285714;62;9.9;1.308333;
2020-01-04;14.4;927.958333;20.920833;28.5;21.883333;20.3;94.833333;68;12.6;2.779167;
2020-01-05;15.6;928.116667;20.166667;27.2;22.270833;18.9;88.541667;69;12.4;1.741667;
2020-01-06;31.8;928.191667;20.91;28.5;23.404167;19.9;84.15;63;7.6;1.783333;
2020-01-07;1.4;928.745833;20.820833;31.5;24.079167;20.7;83.416667;49;8;1.658333;
2020-01-08;0;927.9375;21.025;31.5;25.116667;20.7;80.208333;49;7.9;1.420833;
2020-01-09;0;927.8875;21.0625;30.9;23.816667;20.1;86.25;55;9.3;2.470833;
2020-01-10;5.8;927.525;20.733333;32.1;24.45;20.1;82.041667;43;6;1.279167;
2020-01-11;0;927.2;19.558333;31.9;25.875;20.1;70.625;42;9.2;1.841667;
2020-01-12;0;927.8625;19.366667;32.7;25.15;18.6;72.833333;45;7.3;.966667;
2020-01-13;0;927.695833;20.291667;33.3;25.804167;20;74.458333;36;7.8;1.591667;
2020-01-14;0;926.991667;20.375;34.7;26.558333;20.8;72.791667;35;10.9;1.908333;
2020-01-15;0;926.5875;19.475;34;26.616667;19.5;69.291667;34;10.1;2.2875;
2020-01-16;0;928.2;16.508333;33.9;26.854167;18.4;56.583333;30;9.3;1.7375;
2020-01-17;0;928.704167;18.8375;33.9;26.3375;20.3;65.291667;39;7.9;1.8125;
2020-01-18;0;928.483333;19.566667;33.5;26.366667;20.1;69.708333;38;7.4;1.625;
2020-01-19;0;927.491667;19.554167;33.8;27.45;22.6;64.291667;37;9.5;2.070833;
2020-01-20;0;926.6;20.708333;32.5;25.420833;20.1;76.916667;46;9.9;2.008333;
2020-01-21;0;925.333333;20.525;32.3;24.983333;20.4;78.666667;47;11.9;2.554167;
2020-01-22;21.6;926.154167;20.83913;25.2;22.1125;20.1;92.434783;77;10.4;2.020833;
2020-01-23;8.6;926.404167;21.05;26.4;21.804167;20.2;95.625;76;13;2.270833;
2020-01-24;37.6;927.341667;21.163636;24.1;21.495833;20;97.636364;85;10;1.908333;
2020-01-25;11.2;927.654167;21.195833;30.7;23.804167;20.1;87.125;52;9.8;1.9;
2020-01-26;2.2;928.5625;20.683333;27.8;23.341667;19.8;86.125;61;13.8;1.879167;
2020-01-27;7.6;928.954167;21.083333;27.8;22.870833;21.2;90.25;64;6.7;1.591667;
2020-01-28;15.2;929.504167;19.941667;28.9;22.766667;19.2;85.666667;51;15.9;1.6375;
2020-01-29;.4;929.354167;20.108333;31.2;24.375;19;79.458333;45;9.4;1.554167;
2020-01-30;0;929.241667;19.7875;32.7;25.4;18.6;74.25;38;8.7;2;
2020-01-31;0;929.2;17.508333;32.1;25.0875;17.2;66.416667;35;7.7;2.220833;
2020-02-01;0;928.995833;17.6625;32.3;24.925;17.1;66.958333;38;7.7;1.175;
2020-02-02;0;928.395833;19.191667;32.7;24.6875;18.4;73.916667;41;16.1;1.095833;
2020-02-03;35.6;928.829167;20.416667;30.5;23.041667;18.1;86.125;58;14.7;1.175;
2020-02-04;.6;929.345833;21.1875;28.1;22.1125;20.3;94.791667;70;12.1;.508333;
2020-02-05;26.8;929.066667;21.173684;29.3;22.8375;19.7;88.473684;61;9.3;.916667;
2020-02-06;26;929.158333;null;27.4;21.679167;19.6;89.923077;65;12.6;1.4125;
2020-02-07;51.8;927.391667;20.916667;27.9;22.245833;19.7;89.888889;64;9.8;1.183333;
2020-02-08;47.4;928.6;null;27.1;20.9625;19.3;89.083333;67;9.7;1.3375;
