Nome: ITABERABA
Codigo Estacao: A408
Latitude: -12.52416666
Longitude: -40.29972221
Altitude: 250.11
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;3.4;982.4375;22.158333;34.7;27.258333;22.6;75.375;46;9.3;1.9375;
2020-01-02;.6;982.845833;22.591667;31.8;26.525;23.3;80.083333;55;10.7;1.441667;
2020-01-03;0;983.6375;22.5625;32.5;26.6375;23.6;79.5;57;7.1;1.25;
2020-01-04;.8;983.479167;24.070833;31.4;25.670833;24;91.166667;63;9.5;.695833;
2020-01-05;11.4;983.683333;22.8;33.4;25.829167;22.1;85.043478;52;9.8;1.158333;
2020-01-06;2.4;983.020833;23.416667;34.5;28.425;24.1;76.791667;48;7.2;1.591667;
2020-01-07;0;983.8625;22.629167;35.4;28.616667;24.1;72.083333;45;6.7;2.1;
2020-01-08;0;984.016667;21.7875;33.8;27.7;23.3;72.041667;47;8.9;2.004167;
2020-01-09;0;983.8;20.116667;34.6;27.504167;22.7;67.083333;39;10.5;2.058333;
2020-01-10;0;984.541667;19.658333;34.7;27.345833;22.2;66.583333;36;10.5;1.804167;
2020-01-11;.2;984.3875;21.191667;35.9;28.5625;23.1;67.916667;35;11.2;2.354167;
2020-01-12;0;984.8375;20.716667;36.4;29.020833;24.2;64.541667;33;11.1;2.408333;
2020-01-13;0;983.920833;21.4625;36.4;29.095833;24;66.875;36;11;2.170833;
2020-01-14;0;983.604167;20.241667;36.5;29.05;23.8;62.541667;34;10.5;2.816667;
2020-01-15;0;984.0875;19.879167;36.6;28.808333;23.1;63.166667;30;11.6;2.795833;
2020-01-16;0;985.604167;21.104167;35.1;28.620833;23.8;66.041667;41;10.9;2.5875;
2020-01-17;0;985.45;20.375;36.2;28.591667;22.8;64.833333;36;11.2;2.525;
2020-01-18;0;985.745833;20.825;36;28.625;23.4;65.791667;35;12.3;2.6875;
2020-01-19;0;984.754167;20.558333;36.6;28.625;23.5;64.708333;36;10.4;2.5875;
2020-01-20;0;982.8375;20.270833;36.3;28.816667;24.1;63.791667;33;8.6;2.295833;
2020-01-21;0;981.204167;21.204167;35.4;28.058333;24.1;68.416667;39;10;2.7;
2020-01-22;3.4;981.520833;22.65;31.8;26.766667;23.7;79.833333;53;9.2;1.6375;
2020-01-23;0;982.754167;23.304348;29.9;24.816667;23.6;90.913043;67;21.4;.725;
2020-01-24;8.6;983.229167;21.808696;33.2;25.479167;21.3;82.391304;42;11;1.545833;
2020-01-25;.2;982.983333;23.545833;34.3;28.120833;24.1;78.333333;51;6.3;1.275;
2020-01-26;7.6;984.395833;24.1875;30.5;25.945833;23.5;90.75;68;10.4;1.7;
2020-01-27;4.2;984.616667;null;31.9;25.975;22.2;71.923077;56;6.8;.858333;
2020-01-28;0;985.179167;22.9625;34;28.533333;24.6;74.25;47;8.7;2.1375;
2020-01-29;0;985.670833;22.666667;34.5;27.9875;23.3;74.875;50;10.2;2.283333;
2020-01-30;0;986.104167;21.1875;33.5;27.570833;23.4;70.375;45;11.8;2.375;
2020-01-31;0;985.683333;21;34.7;28.1;22.9;68.041667;41;8.9;2.145833;
2020-02-01;1.6;985.333333;21.654167;35.4;28.358333;23.6;69.708333;38;9.2;1.904167;
2020-02-02;0;984.483333;22.241667;36;29.204167;24.2;69.041667;41;7.4;1.904167;
2020-02-03;0;984.620833;23.116667;35.4;29;25;72.333333;46;11;2.783333;
2020-02-04;1.2;985.183333;23.475;33.7;27.583333;24.5;78.875;52;12;2.875;
2020-02-05;.2;984.479167;22.483333;35.3;28.2875;23.6;73.833333;41;9.9;2.025;
2020-02-06;0;984.616667;22.120833;34.7;27.420833;24.1;74.5;45;8.8;1.641667;
2020-02-07;8;983.358333;21.741667;34.9;27.825;23.2;72.416667;39;11.7;1.858333;
2020-02-08;0;984.216667;22.2625;32.2;27.5875;24;74.208333;51;9.3;2.091667;
2020-02-09;.2;985.945833;22.970833;32;27.583333;25.2;76.958333;49;7.3;1.8625;
2020-02-10;.6;986.508333;21.916667;36.4;29.279167;24.7;67.833333;39;11.8;2.079167;
2020-02-11;0;984.829167;22.604167;36.7;29.308333;24.5;70.375;39;11.2;2.691667;
2020-02-12;0;984.108333;20.6625;36.2;28.65;22.8;65;36;10.7;2.491667;
2020-02-13;0;983.933333;20.904167;36.5;28.979167;24.2;64.666667;35;11.3;1.75;
2020-02-14;0;984.270833;21.908333;35.4;29.041667;25.2;67.875;41;10.2;2.808333;
2020-02-15;.8;984.025;21.7875;35.9;28.683333;23.8;69.458333;36;10.2;3.004167;
2020-02-16;.2;984.033333;21.416667;36.6;28.65;23.6;68;36;11.5;2.508333;
2020-02-17;0;984.295833;21.7375;35.8;28.3375;23.5;69.958333;40;12.2;2.6875;
2020-02-18;.2;984.679167;22.3;34.5;28.0125;24.1;72.833333;47;10.5;3.375;
2020-02-19;0;983.216667;21.566667;35.2;28.5625;24.2;67.958333;41;12.9;2.983333;
2020-02-20;0;982.8375;21.679167;36.1;29.079167;24.5;67.333333;38;10.9;2.583333;
2020-02-21;.4;983.254167;21.908333;34.5;28.808333;23.8;68.916667;43;10;2.066667;
2020-02-22;0;983.3625;22.075;37.8;30.516667;25.1;64.75;34;8.6;2.379167;
2020-02-23;0;984.320833;23.041667;37.1;29.833333;25.3;69.708333;41;8.6;2.233333;
2020-02-24;1.4;984.229167;23.204167;36;29.329167;24.9;72.208333;42;10.8;2.958333;
